timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.29,4.46,4.19,4.27,4.27,184073,0.0000,1.0
2020-12-10,4.55,4.7,4.1566,4.38,4.38,205627,0.0000,1.0
2020-12-09,4.32,4.67,4.0,4.49,4.49,398354,0.0000,0.1
2020-12-08,0.45,0.47,0.4356,0.4425,4.425,2678934,0.0000,1.0
2020-12-07,0.507,0.5283,0.468,0.485,4.85,2020759,0.0000,1.0
2020-12-04,0.51,0.5298,0.51,0.5179,5.179,691052,0.0000,1.0
2020-12-03,0.52,0.5398,0.505,0.5143,5.143,1239918,0.0000,1.0
2020-12-02,0.5021,0.538,0.5001,0.53,5.3,930479,0.0000,1.0
2020-12-01,0.56,0.56,0.503,0.53,5.3,1440983,0.0000,1.0
2020-11-30,0.57,0.5915,0.502,0.545,5.45,4068065,0.0000,1.0
2020-11-27,0.47,0.5545,0.453,0.5394,5.394,9272420,0.0000,1.0
2020-11-25,0.43,0.49,0.43,0.475,4.75,2307911,0.0000,1.0
2020-11-24,0.421,0.4325,0.415,0.432,4.32,954610,0.0000,1.0
2020-11-23,0.4136,0.4359,0.4101,0.43,4.3,1040664,0.0000,1.0
2020-11-20,0.4145,0.4499,0.4111,0.4337,4.337,987017,0.0000,1.0
2020-11-19,0.41,0.4196,0.3905,0.4152,4.152,845522,0.0000,1.0
2020-11-18,0.421,0.43,0.405,0.4156,4.156,587112,0.0000,1.0
2020-11-17,0.4216,0.45,0.4106,0.43,4.3,760235,0.0000,1.0
2020-11-16,0.455,0.4588,0.4201,0.4236,4.236,561228,0.0000,1.0
2020-11-13,0.4198,0.449,0.4105,0.4469,4.469,775049,0.0000,1.0
2020-11-12,0.417,0.4267,0.402,0.4171,4.171,440600,0.0000,1.0
2020-11-11,0.435,0.4468,0.411,0.4171,4.171,630117,0.0000,1.0
2020-11-10,0.4263,0.4688,0.42,0.4351,4.351,1034437,0.0000,1.0
2020-11-09,0.3912,0.4285,0.381,0.4205,4.205,1159362,0.0000,1.0
2020-11-06,0.408,0.408,0.37,0.3723,3.723,914195,0.0000,1.0
2020-11-05,0.4151,0.435,0.391,0.3916,3.916,1162543,0.0000,1.0
2020-11-04,0.38,0.413407,0.3705,0.4013,4.013,958116,0.0000,1.0
2020-11-03,0.3982,0.3993,0.373,0.3784,3.784,569419,0.0000,1.0
2020-11-02,0.3702,0.3988,0.365,0.39,3.9,902848,0.0000,1.0
2020-10-30,0.388,0.3888,0.3701,0.3741,3.741,469605,0.0000,1.0
2020-10-29,0.3767,0.388,0.36405,0.3868,3.868,507735,0.0000,1.0
2020-10-28,0.3941,0.3941,0.3511,0.3833,3.833,1067649,0.0000,1.0
2020-10-27,0.4127,0.4196,0.4,0.4001,4.001,875637,0.0000,1.0
2020-10-26,0.455,0.4612,0.4025,0.4105,4.105,1716915,0.0000,1.0
2020-10-23,0.4655,0.48,0.456,0.4585,4.585,960268,0.0000,1.0
2020-10-22,0.48,0.48,0.461,0.4682,4.682,461831,0.0000,1.0
2020-10-21,0.4874,0.4886,0.461,0.4696,4.696,730629,0.0000,1.0
2020-10-20,0.49,0.5,0.475,0.4812,4.812,851480,0.0000,1.0
2020-10-19,0.5,0.52,0.4813,0.491,4.91,1754182,0.0000,1.0
2020-10-16,0.4924,0.4999,0.4801,0.4801,4.801,12065515,0.0000,1.0
2020-10-15,0.5,0.511103,0.49,0.4986,4.986,575513,0.0000,1.0
2020-10-14,0.5,0.52,0.5,0.5033,5.033,552266,0.0000,1.0
2020-10-13,0.5238,0.5279,0.505,0.51,5.1,894828,0.0000,1.0
2020-10-12,0.534,0.5366,0.5111,0.5114,5.114,957704,0.0000,1.0
2020-10-09,0.564,0.569,0.525,0.5356,5.356,2462508,0.0000,1.0
2020-10-08,0.53,0.64,0.513,0.532,5.32,9790037,0.0000,1.0
2020-10-07,0.4998,0.525,0.4801,0.5109,5.109,1264677,0.0000,1.0
2020-10-06,0.5174,0.5387,0.495,0.5,5.0,787792,0.0000,1.0
2020-10-05,0.5075,0.56,0.5036,0.5111,5.111,1959817,0.0000,1.0
2020-10-02,0.5029,0.518605,0.4944,0.5079,5.079,842864,0.0000,1.0
2020-10-01,0.5241,0.5365,0.507,0.5174,5.174,239474,0.0000,1.0
2020-09-30,0.54,0.55,0.5,0.5181,5.181,690158,0.0000,1.0
2020-09-29,0.535,0.553,0.5206,0.5365,5.365,268502,0.0000,1.0
2020-09-28,0.55,0.555,0.52,0.5279,5.279,293152,0.0000,1.0
2020-09-25,0.54,0.6,0.52011,0.5637,5.637,920467,0.0000,1.0
2020-09-24,0.52,0.558,0.50121,0.5333,5.333,489932,0.0000,1.0
2020-09-23,0.5718,0.5718,0.527,0.5408,5.408,454043,0.0000,1.0
2020-09-22,0.58,0.58,0.5484,0.5715,5.715,218863,0.0000,1.0
2020-09-21,0.586,0.586,0.532,0.5769,5.769,382010,0.0000,1.0
2020-09-18,0.6,0.6195,0.57,0.5909,5.909,878526,0.0000,1.0
2020-09-17,0.535,0.6074,0.5205,0.603,6.03,1277460,0.0000,1.0
2020-09-16,0.545,0.55,0.5251,0.539,5.39,458242,0.0000,1.0
2020-09-15,0.521,0.55,0.515401,0.5398,5.398,656059,0.0000,1.0
2020-09-14,0.4983,0.5294,0.495,0.5274,5.274,462436,0.0000,1.0
2020-09-11,0.5171,0.52,0.49,0.5032,5.032,511067,0.0000,1.0
2020-09-10,0.5032,0.5262,0.49,0.5078,5.078,666780,0.0000,1.0
2020-09-09,0.4773,0.523,0.47,0.517,5.17,660065,0.0000,1.0
2020-09-08,0.4739,0.4999,0.4676,0.4816,4.816,543629,0.0000,1.0
2020-09-04,0.5,0.5,0.46,0.49,4.9,971019,0.0000,1.0
2020-09-03,0.5064,0.51,0.47,0.4949,4.949,978568,0.0000,1.0
2020-09-02,0.5172,0.5173,0.4846,0.5001,5.001,1410549,0.0000,1.0
2020-09-01,0.53,0.55,0.51,0.51,5.1,1647633,0.0000,1.0
2020-08-31,0.5308,0.5559,0.52,0.5351,5.351,1849378,0.0000,1.0
2020-08-28,0.565,0.5804,0.55,0.5613,5.613,1802743,0.0000,1.0
2020-08-27,0.6079,0.6221,0.56,0.5804,5.804,3176944,0.0000,1.0
2020-08-26,0.55,0.58,0.54,0.5611,5.611,2203844,0.0000,1.0
2020-08-25,0.5801,0.59,0.5202,0.5441,5.441,4030523,0.0000,1.0
2020-08-24,0.69,0.7078,0.6,0.6097,6.097,5977506,0.0000,1.0
2020-08-21,0.8397,0.9561,0.6503,0.6748,6.748,76390530,0.0000,1.0
2020-08-20,0.63,0.65,0.561,0.575,5.75,7265893,0.0000,1.0
2020-08-19,0.5285,0.55,0.51,0.52,5.2,616781,0.0000,1.0
2020-08-18,0.575,0.579799,0.525,0.5412,5.412,977165,0.0000,1.0
2020-08-17,0.62,0.6295,0.5706,0.5821,5.821,770729,0.0000,1.0
2020-08-14,0.6081,0.62,0.6011,0.61,6.1,297520,0.0000,1.0
2020-08-13,0.6,0.63,0.59,0.6049,6.049,539914,0.0000,1.0
2020-08-12,0.67,0.67,0.582,0.592,5.92,1394925,0.0000,1.0
2020-08-11,0.671,0.6999,0.6522,0.6566,6.566,512877,0.0000,1.0
2020-08-10,0.74,0.74,0.67,0.6768,6.768,654829,0.0000,1.0
2020-08-07,0.667,0.7198,0.651,0.7,7.0,853871,0.0000,1.0
2020-08-06,0.71,0.73,0.66285,0.67,6.7,622467,0.0000,1.0
2020-08-05,0.7275,0.75,0.6745,0.6932,6.932,798766,0.0000,1.0
2020-08-04,0.73,0.739,0.7101,0.7299,7.299,616845,0.0000,1.0
2020-08-03,0.7202,0.7202,0.680101,0.7058,7.058,544282,0.0000,1.0
2020-07-31,0.7168,0.7427,0.7031,0.71,7.1,240496,0.0000,1.0
2020-07-30,0.715,0.73,0.703,0.73,7.3,265136,0.0000,1.0
2020-07-29,0.74,0.7496,0.715,0.7267,7.267,328179,0.0000,1.0
2020-07-28,0.723,0.77,0.7001,0.7363,7.363,912125,0.0000,1.0
2020-07-27,0.74,0.7696,0.72,0.724,7.24,156973,0.0000,1.0
2020-07-24,0.7402,0.79,0.7222,0.7296,7.296,205045,0.0000,1.0
