timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.41,13.435,12.89,13.11,13.11,93686,0.0000,1.0
2020-12-10,13.51,13.66,13.32,13.5,13.5,75730,0.0000,1.0
2020-12-09,13.89,13.89,13.57,13.57,13.57,54439,0.0000,1.0
2020-12-08,13.9,14.0331,13.75,13.94,13.94,56309,0.2450,1.0
2020-12-07,14.25,14.35,14.01,14.1,13.8564681001,65487,0.0000,1.0
2020-12-04,14.41,14.45,14.14,14.29,14.0431864646,39715,0.0000,1.0
2020-12-03,14.13,14.32,14.0501,14.23,13.9842227705,54981,0.0000,1.0
2020-12-02,14.05,14.2775,13.955,14.23,13.9842227705,49718,0.0000,1.0
2020-12-01,14.26,14.45,14.02,14.05,13.8073316884,46074,0.0000,1.0
2020-11-30,14.2,14.39,14.0,14.24,13.9940500529,88226,0.0000,1.0
2020-11-27,14.45,14.7401,14.0,14.38,14.1316320056,78350,0.0000,1.0
2020-11-25,14.39,15.28,14.0,14.25,14.0038773352,202944,0.0000,1.0
2020-11-24,14.84,15.01,14.35,14.37,14.1218047233,145998,0.0000,1.0
2020-11-23,15.25,15.25,14.19,14.3,14.0530137469,28749,0.0000,1.0
2020-11-20,14.72,15.13,14.4,15.13,14.8686781812,22369,0.0000,1.0
2020-11-19,15.22,15.22,14.53,14.57,14.3183503701,15514,0.0000,1.0
2020-11-18,15.57,15.69,14.75,15.1,14.8391963342,38518,0.0000,1.0
2020-11-17,15.0,15.86,15.0,15.41,15.1438420867,31910,0.0000,1.0
2020-11-16,14.5,15.39,14.4501,15.24,14.9767782869,21820,0.0000,1.0
2020-11-13,14.45,14.86,14.15,14.37,14.1218047233,23741,0.0000,1.0
2020-11-12,15.24,15.24,14.35,14.49,14.2397321114,29304,0.0000,1.0
2020-11-11,15.48,15.69,14.91,15.06,14.7998872048,23172,0.0000,1.0
2020-11-10,15.6,15.7,15.14,15.38,15.1143602397,22000,0.0000,1.0
2020-11-09,15.65,15.65,15.2,15.26,14.9964328516,29847,0.0000,1.0
2020-11-06,15.26,15.42,15.12,15.12,14.8588508988,16670,0.0000,1.0
2020-11-05,15.49,16.2,15.12,15.34,15.0750511103,26093,0.0000,1.0
2020-11-04,15.46,16.06,15.1,15.4,15.1340148044,24011,0.0000,1.0
2020-11-03,15.04,15.6,14.99,15.42,15.1536693691,35098,0.0000,1.0
2020-11-02,15.39,15.93,14.945,14.99,14.7310962284,43002,0.0000,1.0
