timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,46.54,46.82,46.4182,46.82,46.82,7241,0.0000,1.0
2020-12-10,46.34,46.88,46.31,46.79,46.79,12989,0.0000,1.0
2020-12-09,47.28,47.4299,46.455,46.7694,46.7694,14165,0.0000,1.0
2020-12-08,46.39,46.9298,46.38,46.9298,46.9298,4927,0.0000,1.0
2020-12-07,46.6,46.74,46.34,46.6175,46.6175,4696,0.0000,1.0
2020-12-04,45.94,46.8299,45.94,46.6929,46.6929,6028,0.0000,1.0
2020-12-03,45.63,45.79,45.36,45.525,45.525,5289,0.0000,1.0
2020-12-02,45.0,45.57,45.0,45.44,45.44,4968,0.0000,1.0
2020-12-01,45.86,45.86,45.105,45.2617,45.2617,4977,0.0000,1.0
2020-11-30,45.9,45.9,44.75,44.75,44.75,5710,0.0000,1.0
2020-11-27,45.78,45.8372,45.48,45.8337,45.8337,2398,0.0000,1.0
2020-11-25,45.72,45.975,45.419,45.7775,45.7775,3232,0.0000,1.0
2020-11-24,45.27,46.104,45.27,46.0807,46.0807,11294,0.0000,1.0
2020-11-23,44.43,45.0541,44.43,44.8218,44.8218,2133,0.0000,1.0
2020-11-20,43.63,43.9691,43.6011,43.89,43.89,15535,0.0000,1.0
2020-11-19,43.71,43.91,43.4569,43.9098,43.9098,7627,0.0000,1.0
2020-11-18,44.49,44.657,43.87,43.87,43.87,16949,0.0000,1.0
2020-11-17,43.63,44.1841,43.58,44.05,44.05,8192,0.0000,1.0
2020-11-16,43.89,44.15,43.77,44.082,44.082,11858,0.0000,1.0
2020-11-13,42.66,43.2872,42.66,43.0853,43.0853,12487,0.0000,1.0
2020-11-12,42.79,42.79,41.9036,42.128,42.128,30067,0.0000,1.0
2020-11-11,42.9,42.9994,42.63,42.9994,42.9994,6797,0.0000,1.0
2020-11-10,41.93,43.18,41.93,42.93,42.93,13903,0.0000,1.0
2020-11-09,42.3,42.8499,41.737,41.737,41.737,30597,0.0000,1.0
2020-11-06,41.13,41.13,40.32,40.3232,40.3232,7479,0.0000,1.0
2020-11-05,40.627,41.0166,40.32,41.0092,41.0092,6840,0.0000,1.0
2020-11-04,39.98,40.21,39.475,39.86,39.86,24175,0.0000,1.0
2020-11-03,39.62,40.3779,39.62,40.3779,40.3779,221007,0.0000,1.0
2020-11-02,38.76,38.9603,38.55,38.9603,38.9603,13186,0.0000,1.0
2020-10-30,38.59,38.7799,38.0512,38.23,38.23,7081,0.0000,1.0
2020-10-29,37.7677,38.7749,37.7677,38.7749,38.7749,5356,0.0000,1.0
2020-10-28,38.66,38.66,38.306,38.3793,38.3793,7481,0.0000,1.0
2020-10-27,39.93,39.9399,39.5,39.5844,39.5844,11498,0.0000,1.0
2020-10-26,40.1,40.1,39.55,39.86,39.86,22271,0.0000,1.0
2020-10-23,40.79,40.79,40.46,40.7419,40.7419,10990,0.0000,1.0
2020-10-22,40.1,40.57,39.8201,40.5099,40.5099,9493,0.0000,1.0
2020-10-21,40.31,40.34,40.0002,40.0002,40.0002,5733,0.0000,1.0
2020-10-20,40.44,40.5299,40.2,40.2,40.2,7823,0.0000,1.0
2020-10-19,40.79,40.92,40.1547,40.1547,40.1547,13115,0.0000,1.0
2020-10-16,40.58,40.97,40.56,40.6596,40.6596,6815,0.0000,1.0
2020-10-15,39.62,40.5694,39.62,40.4798,40.4798,57233,0.0000,1.0
2020-10-14,40.86,40.86,40.17,40.22,40.22,9970,0.0000,1.0
2020-10-13,40.59,40.78,40.5481,40.7151,40.7151,6452,0.0000,1.0
2020-10-12,40.8,41.02,40.6768,41.0053,41.0053,32062,0.0000,1.0
2020-10-09,41.05,41.23,40.64,40.64,40.64,18490,0.0000,1.0
2020-10-08,40.52,40.795,40.409,40.7773,40.7773,17617,0.0000,1.0
2020-10-07,40.04,40.2369,39.8878,40.2369,40.2369,7574,0.0000,1.0
2020-10-06,39.8393,40.3467,39.4259,39.4259,39.4259,3162,0.0000,1.0
2020-10-05,38.69,39.65,38.69,39.65,39.65,157166,0.0000,1.0
2020-10-02,37.3,38.37,37.24,38.24,38.24,90697,0.0000,1.0
2020-10-01,37.78,38.13,37.291,38.13,38.13,87636,0.0000,1.0
2020-09-30,37.59,37.9172,37.2598,37.4826,37.4826,9800,0.0000,1.0
2020-09-29,37.43,37.5065,36.93,37.394,37.394,7639,0.0000,1.0
2020-09-28,36.99,37.58,36.99,37.4822,37.4822,11244,0.0000,1.0
2020-09-25,35.81,36.4289,35.81,36.4117,36.4117,5690,0.0000,1.0
2020-09-24,35.75,36.49,35.7384,36.0613,36.0613,12470,0.0769,1.0
2020-09-23,37.66,37.66,36.01,36.03,35.9533302433,26128,0.0000,1.0
2020-09-22,37.72,37.72,37.056,37.33,37.2505639185,11144,0.0000,1.0
2020-09-21,39.1,39.1,37.3638,37.6029,37.5228832031,8184,0.0000,1.0
2020-09-18,39.79,39.98,39.4117,39.8516,39.7667980995,4997,0.0000,1.0
2020-09-17,39.11,39.695,39.11,39.66,39.5756058132,4529,0.0000,1.0
2020-09-16,39.32,39.7632,39.32,39.5779,39.4936805173,5719,0.0000,1.0
2020-09-15,39.68,39.7,39.215,39.215,39.1315527475,8631,0.0000,1.0
2020-09-14,38.57,39.2065,38.4801,39.2065,39.123070835,8409,0.0000,1.0
2020-09-11,38.65,38.71,38.126,38.3217,38.2401536383,10230,0.0000,1.0
2020-09-10,38.92,38.93,38.6367,38.68,38.5976911966,9768,0.0000,1.0
2020-09-09,38.99,38.99,38.73,38.77,38.6874996818,7826,0.0000,1.0
2020-09-08,38.73,38.97,38.25,38.6277,38.5455024879,15814,0.0000,1.0
2020-09-04,39.68,39.68,38.42,39.0809,38.9977381046,11507,0.0000,1.0
2020-09-03,39.93,40.09,39.0485,39.15,39.0666910637,13229,0.0000,1.0
2020-09-02,39.87,39.9856,39.4789,39.9697,39.8846467895,22661,0.0000,1.0
2020-09-01,39.38,39.6015,39.25,39.6015,39.5172302979,8409,0.0000,1.0
2020-08-31,39.78,39.78,39.3497,39.4626,39.378625869,3667,0.0000,1.0
2020-08-28,39.87,39.87,39.595,39.76,39.675393019,31771,0.0000,1.0
2020-08-27,40.01,40.01,39.49,39.6408,39.5564466697,13690,0.0000,1.0
2020-08-26,39.9199,39.9483,39.6524,39.6524,39.5680219856,9729,0.0000,1.0
2020-08-25,40.5,40.5,39.8001,40.125,40.0396163201,7731,0.0000,1.0
2020-08-24,40.27,40.27,39.86,40.1221,40.0367224912,10187,0.0000,1.0
2020-08-21,40.36,40.41,39.988,39.988,39.9029078482,11019,0.0000,1.0
2020-08-20,40.71,40.84,40.7,40.7294,40.6427301919,12643,0.0000,1.0
2020-08-19,41.23,41.58,41.0,41.0944,41.006953493,75349,0.0000,1.0
2020-08-18,41.94,41.94,41.05,41.21,41.1223075029,14722,0.0000,1.0
2020-08-17,41.95,41.95,41.64,41.89,41.8008605022,13438,0.0000,1.0
2020-08-14,41.37,41.9489,41.36,41.7917,41.7027696789,4139,0.0000,1.0
2020-08-13,41.65,41.8421,41.5,41.52,41.4316478408,12059,0.0000,1.0
2020-08-12,42.26,42.26,41.55,41.82,41.7310094581,27143,0.0000,1.0
2020-08-11,42.15,42.3399,41.5,41.5968,41.5082844148,29907,0.0000,1.0
2020-08-10,41.02,41.8,41.02,41.69,41.6012860906,20866,0.0000,1.0
2020-08-07,39.89,40.72,39.89,40.71,40.623371474,18105,0.0000,1.0
2020-08-06,40.15,40.34,39.98,40.05,39.9647759158,9049,0.0000,1.0
2020-08-05,39.96,40.28,39.8,40.19,40.1044780039,15117,0.0000,1.0
2020-08-04,39.365,39.62,39.28,39.57,39.485797328,35800,0.0000,1.0
2020-08-03,38.93,39.3219,38.8,39.23,39.1465208284,15028,0.0000,1.0
2020-07-31,39.13,39.13,38.22,38.77,38.6874996818,30709,0.0000,1.0
2020-07-30,39.02,39.5,38.905,39.28,39.1964144313,44163,0.0000,1.0
2020-07-29,38.92,39.73,38.92,39.6311,39.5467673108,17979,0.0000,1.0
2020-07-28,38.9879,39.09,38.74,38.74,38.65756352,7983,0.0000,1.0
2020-07-27,38.89,39.045,38.7,38.9372,38.8543438898,14038,0.0000,1.0
2020-07-24,39.03,39.15,38.6137,38.64,38.5577763143,12861,0.0000,1.0
2020-07-23,39.15,39.38,39.15,39.19,39.1066059461,6410,0.0000,1.0
2020-07-22,39.14,39.36,39.066,39.13,39.0467336226,9528,0.0000,1.0
2020-07-21,38.62,39.48,38.62,39.45,39.3660526811,15320,0.0000,1.0
2020-07-20,38.47,38.59,38.12,38.22,38.13867005,18179,0.0000,1.0
2020-07-17,38.58,38.83,38.55,38.67,38.587712476,13445,0.0000,1.0
2020-07-16,38.71,38.8799,38.405,38.74,38.65756352,26586,0.0000,1.0
2020-07-15,38.39,39.04,38.34,38.97,38.8870740933,18733,0.0000,1.0
2020-07-14,37.17,37.52,36.97,37.45,37.3703085655,10962,0.0000,1.0
2020-07-13,37.91,38.16,37.07,37.14,37.0609682275,25301,0.0000,1.0
2020-07-10,36.56,37.51,36.56,37.51,37.4301808889,36100,0.0000,1.0
2020-07-09,37.69,37.69,36.2,36.62,36.5420747575,16860,0.0000,1.0
2020-07-08,37.55,37.9,37.18,37.54,37.4601170507,12300,0.0000,1.0
2020-07-07,38.3,38.33,37.44,37.59,37.5100106535,25294,0.0000,1.0
2020-07-06,38.85,39.03,38.39,38.63,38.5477975937,31676,0.0000,1.0
2020-07-02,38.87,39.07,37.99,38.06,37.9790105207,25124,0.0000,1.0
2020-07-01,39.3,39.39,38.05,38.05,37.9690318001,14600,0.0000,1.0
2020-06-30,38.3,39.15,38.27,39.13,39.0467336226,55810,0.0000,1.0
2020-06-29,37.37,38.57,37.24,38.43,38.3482231821,45206,0.0000,1.0
2020-06-26,37.48,37.48,36.58,36.83,36.7516278896,18313,0.0000,1.0
2020-06-25,37.29,37.87,36.97,37.79,37.7095850651,18579,0.1778,1.0
2020-06-24,38.46,38.46,37.2,37.61,37.3542184245,35118,0.0000,1.0
2020-06-23,39.43,39.57,38.96,39.03,38.7645611569,23795,0.0000,1.0
2020-06-22,38.33,38.91,38.25,38.8,38.5361253622,32652,0.0000,1.0
2020-06-19,39.02,39.61,38.29,38.55,38.2878255854,30849,0.0000,1.0
2020-06-18,38.73,39.38,38.73,38.91,38.645377264,18441,0.0000,1.0
2020-06-17,40.19,40.19,38.95,39.02,38.7546291658,15858,0.0000,1.0
2020-06-16,40.49,40.56,39.67,40.06,39.7875562373,60271,0.0000,1.0
2020-06-15,37.05,39.06,36.99,38.93,38.6652412461,11559,0.0000,1.0
2020-06-12,39.16,39.16,37.25,38.26,37.9997978443,73620,0.0000,1.0
2020-06-11,39.01,39.31,37.42,37.56,37.3045584692,37914,0.0000,1.0
2020-06-10,42.68,42.68,41.06,41.09,40.8105513178,25352,0.0000,1.0
2020-06-09,42.79,43.08,41.97,42.81,42.5188537823,20391,0.0000,1.0
2020-06-08,43.15,43.56,42.91,43.56,43.2637531128,36073,0.0000,1.0
2020-06-05,42.12,42.79,41.78,42.32,42.0321862198,102439,0.0000,1.0
2020-06-04,39.41,40.37,39.35,40.17,39.8968081391,29625,0.0000,1.0
2020-06-03,38.77,39.97,38.77,39.64,39.3704126123,10918,0.0000,1.0
2020-06-02,38.11,38.4,38.01,38.23,37.970001871,10410,0.0000,1.0
2020-06-01,37.95,38.37,37.78,37.93,37.6720421389,21963,0.0000,1.0
2020-05-29,38.02,38.02,37.22,37.81,37.552858246,13842,0.0000,1.0
2020-05-28,39.76,39.76,38.26,38.26,37.9997978443,32319,0.0000,1.0
2020-05-27,38.44,39.55,37.84,39.4,39.1320448265,155596,0.0000,1.0
2020-05-26,37.34,37.78,37.34,37.59,37.3343544424,24804,0.0000,1.0
2020-05-22,36.08,36.15,35.64,36.11,35.8644197636,9425,0.0000,1.0
