timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.79,18.05,17.61,17.66,17.66,69832,0.0000,1.0
2020-12-10,17.68,18.07,17.68,18.03,18.03,28801,0.0000,1.0
2020-12-09,18.17,18.26,17.81,17.96,17.96,44036,0.0000,1.0
2020-12-08,17.78,18.15,17.78,18.09,18.09,32232,0.0000,1.0
2020-12-07,18.15,18.17,17.84,17.95,17.95,34935,0.0000,1.0
2020-12-04,17.76,18.28,17.65,18.2,18.2,54370,0.0000,1.0
2020-12-03,17.71,17.71,17.2402,17.54,17.54,51759,0.0000,1.0
2020-12-02,17.07,17.76,17.07,17.56,17.56,38771,0.0000,1.0
2020-12-01,17.11,17.58,16.93,17.22,17.22,48680,0.0000,1.0
2020-11-30,18.19,18.19,16.73,16.81,16.81,77407,0.0000,1.0
2020-11-27,17.645,17.84,17.295,17.69,17.69,19261,0.0000,1.0
2020-11-25,18.1,18.1,17.8,17.94,17.94,36333,0.0000,1.0
2020-11-24,17.54,18.42,17.45,18.27,18.27,65222,0.0000,1.0
2020-11-23,17.49,17.49,17.16,17.26,17.26,56202,0.0000,1.0
2020-11-20,17.51,17.51,17.07,17.24,17.24,61647,0.0000,1.0
2020-11-19,17.79,17.8,17.41,17.73,17.73,74121,0.0000,1.0
2020-11-18,17.99,18.15,17.79,17.79,17.79,66016,0.0000,1.0
2020-11-17,17.06,17.98,17.0,17.88,17.88,97677,0.0000,1.0
2020-11-16,17.28,17.28,16.97,17.24,17.24,140792,0.0000,1.0
2020-11-13,16.91,17.1,16.8,16.83,16.83,68210,0.0000,1.0
2020-11-12,16.9,16.91,16.54,16.72,16.72,70617,0.0000,1.0
2020-11-11,17.1,17.1,16.62,17.03,17.03,65303,0.0000,1.0
2020-11-10,16.54,17.28,16.54,17.04,17.04,99604,0.0000,1.0
2020-11-09,15.98,16.85,15.98,16.29,16.29,162014,0.0000,1.0
2020-11-06,15.32,15.44,14.9,14.91,14.91,43642,0.0000,1.0
2020-11-05,14.91,15.5,14.91,15.41,15.41,44811,0.0000,1.0
2020-11-04,15.21,15.265,14.83,14.93,14.93,51411,0.0000,1.0
2020-11-03,15.6,15.7,15.54,15.58,15.58,85961,0.0000,1.0
2020-11-02,15.62,15.72,15.2,15.36,15.36,86566,0.0000,1.0
2020-10-30,15.23,15.67,15.23,15.43,15.43,93636,0.0000,1.0
2020-10-29,15.2,15.64,15.04,15.42,15.42,54973,0.0000,1.0
2020-10-28,15.2,15.745,15.14,15.28,15.28,41091,0.0000,1.0
2020-10-27,16.15,16.18,15.64,15.66,15.66,35312,0.0000,1.0
2020-10-26,16.4,16.4,15.94,16.22,16.22,40931,0.0000,1.0
2020-10-23,16.44,16.6,16.25,16.48,16.48,83362,0.0000,1.0
2020-10-22,16.32,16.4,16.165,16.3,16.3,80299,0.0000,1.0
2020-10-21,16.19,16.32,16.12,16.21,16.21,29736,0.0000,1.0
2020-10-20,16.32,16.6,16.16,16.22,16.22,54167,0.0000,1.0
2020-10-19,16.23,16.3,16.06,16.17,16.17,25410,0.0000,1.0
2020-10-16,15.93,16.15,15.68,16.09,16.09,27838,0.0000,1.0
2020-10-15,15.36,16.1,15.36,16.05,16.05,30665,0.0000,1.0
2020-10-14,15.94,16.1,15.58,15.6,15.6,23492,0.0000,1.0
2020-10-13,16.4,16.4487,15.91,15.94,15.94,38776,0.0000,1.0
2020-10-12,16.33,16.62,16.1,16.55,16.55,36867,0.0000,1.0
2020-10-09,16.71,16.71,16.11,16.265,16.265,42482,0.1900,1.0
2020-10-08,16.215,16.8655,16.215,16.74,16.5467092069,66770,0.0000,1.0
2020-10-07,16.21,16.9,16.13,16.83,16.6356700091,92880,0.0000,1.0
2020-10-06,15.95,16.68,15.83,16.13,15.9437526588,67560,0.0000,1.0
2020-10-05,15.23,15.84,15.23,15.82,15.6373321179,70921,0.0000,1.0
2020-10-02,14.65,15.4,14.65,15.14,14.9651838347,74743,0.0000,1.0
2020-10-01,14.775,14.931,14.56,14.83,14.6587632938,38953,0.0000,1.0
2020-09-30,15.01,15.16,14.68,14.81,14.6389942267,43360,0.0000,1.0
2020-09-29,14.91,15.46,14.41,14.87,14.6983014281,47986,0.0000,1.0
2020-09-28,14.83,15.05,14.71,14.75,14.5796870252,51104,0.0000,1.0
2020-09-25,14.12,14.61,14.12,14.48,14.3128046187,60454,0.0000,1.0
2020-09-24,14.29,14.61,14.13,14.22,14.0558067457,54598,0.0000,1.0
2020-09-23,14.5,14.62,14.16,14.19,14.0261531449,66839,0.0000,1.0
2020-09-22,15.11,15.21,14.47,14.5,14.3325736858,88237,0.0000,1.0
2020-09-21,15.0,15.2,14.85,15.08,14.9058766332,132600,0.0000,1.0
2020-09-18,15.19,15.32,15.0,15.3,15.1233363719,232995,0.0000,1.0
2020-09-17,14.86,15.13,14.8,15.02,14.8465694318,22392,0.0000,1.0
2020-09-16,14.7641,15.17,14.7,15.02,14.8465694318,39933,0.0000,1.0
2020-09-15,15.03,15.03,14.715,14.76,14.5895715588,53436,0.0000,1.0
2020-09-14,14.92,15.12,14.81,14.87,14.6983014281,41795,0.0000,1.0
2020-09-11,14.7167,14.93,14.65,14.81,14.6389942267,49269,0.0000,1.0
2020-09-10,14.8,14.98,14.62,14.72,14.5500334245,125061,0.0000,1.0
2020-09-09,15.19,15.2536,14.69,14.72,14.5500334245,85000,0.0000,1.0
2020-09-08,15.66,15.66,14.97,15.11,14.935530234,76535,0.0000,1.0
2020-09-04,16.03,16.2,15.56,15.71,15.5286022486,43522,0.0000,1.0
2020-09-03,15.8,16.17,15.56,15.68,15.4989486478,58502,0.0000,1.0
2020-09-02,15.34,15.73,15.34,15.54,15.3605651778,26660,0.0000,1.0
2020-09-01,15.24,15.53,15.1,15.42,15.2419507748,61127,0.0000,1.0
2020-08-31,15.37,15.71,15.33,15.365,15.1875858402,71949,0.0000,1.0
2020-08-28,15.98,16.05,15.48,15.49,15.3111425099,49043,0.0000,1.0
2020-08-27,15.73,16.04,15.57,15.81,15.6274475843,35227,0.0000,1.0
