timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,33.5,34.01,33.0608,33.4,33.4,27276,0.0000,1.0
2020-12-10,33.41,33.96,33.0,33.65,33.65,20903,0.0000,1.0
2020-12-09,33.85,34.06,32.97,33.8,33.8,35238,0.0000,1.0
2020-12-08,32.29,33.63,32.29,33.54,33.54,42480,0.0000,1.0
2020-12-07,32.71,33.085,31.96,32.57,32.57,18398,0.0000,1.0
2020-12-04,31.56,33.16,31.56,33.1,33.1,34766,0.0000,1.0
2020-12-03,31.25,31.49,30.98,31.3,31.3,26320,0.0000,1.0
2020-12-02,30.81,31.48,30.265,30.99,30.99,40745,0.0000,1.0
2020-12-01,30.53,31.27,30.46,30.93,30.93,29009,0.0000,1.0
2020-11-30,31.6,31.61,30.05,30.05,30.05,58439,0.4100,1.0
2020-11-27,31.89,32.0859,31.1,31.84,31.4114248194,23358,0.0000,1.0
2020-11-25,31.8,32.19,30.85,31.96,31.5298095863,36651,0.0000,1.0
2020-11-24,30.86,32.44,30.27,32.3,31.8652330926,61573,0.0000,1.0
2020-11-23,30.52,30.74,29.97,30.43,30.0204038083,26625,0.0000,1.0
2020-11-20,29.76,30.72,29.685,30.44,30.0302692055,26858,0.0000,1.0
2020-11-19,29.77,30.33,29.6,30.15,29.7441726855,37788,0.0000,1.0
2020-11-18,30.7,30.7,29.79,30.0,29.5961917269,16621,0.0000,1.0
2020-11-17,29.32,30.48,29.32,30.18,29.7737688772,23221,0.0000,1.0
2020-11-16,29.94,30.6699,29.55,30.25,29.8428266579,53394,0.0000,1.0
2020-11-13,28.97,29.34,28.7,29.11,28.7181713723,15412,0.0000,1.0
2020-11-12,30.07,30.07,28.4,28.54,28.1558437295,35537,0.0000,1.0
2020-11-11,30.41,30.41,29.49,30.0,29.5961917269,14494,0.0000,1.0
2020-11-10,29.88,30.75,27.7955,29.99,29.5863263296,61948,0.0000,1.0
2020-11-09,29.13,30.04,28.65,29.47,29.073325673,86458,0.0000,1.0
2020-11-06,28.71,28.71,27.16,27.21,26.8437458963,16199,0.0000,1.0
2020-11-05,27.71,28.859,27.5,28.31,27.9289395929,13774,0.0000,1.0
2020-11-04,28.66,28.66,27.31,27.9,27.524458306,14206,0.0000,1.0
2020-11-03,28.69,29.4,28.69,29.32,28.9253447144,27683,0.0000,1.0
2020-11-02,28.26,28.48,27.85,28.25,27.8697472095,15238,0.0000,1.0
2020-10-30,27.78,28.3,26.965,27.76,27.3863427446,18511,0.0000,1.0
