timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.52,13.76,13.48,13.54,13.54,28010,0.0000,1.0
2020-12-10,13.57,13.62,13.36,13.56,13.56,30863,0.1100,1.0
2020-12-09,13.75,13.83,13.58,13.65,13.5401609364,34977,0.0000,1.0
2020-12-08,13.43,13.66,13.33,13.58,13.4707242136,47471,0.0000,1.0
2020-12-07,13.48,13.64,13.2641,13.54,13.4310460863,37968,0.0000,1.0
2020-12-04,13.27,13.42,13.05,13.37,13.2624140454,26907,0.0000,1.0
2020-12-03,13.3,13.3,13.06,13.09,12.9846671544,19718,0.0000,1.0
2020-12-02,12.92,13.29,12.83,13.2,13.0937820044,33852,0.0000,1.0
2020-12-01,12.76,13.06,12.68,12.91,12.8061155816,33310,0.0000,1.0
2020-11-30,13.08,13.08,12.52,12.54,12.4390929042,97293,0.0000,1.0
2020-11-27,13.31,13.35,12.98,13.03,12.9251499634,22280,0.0000,1.0
2020-11-25,13.34,13.41,13.09,13.4,13.2921726408,33324,0.0000,1.0
2020-11-24,13.07,13.63,13.0571,13.49,13.3814484272,69262,0.0000,1.0
2020-11-23,12.81,13.07,12.8,12.81,12.7069202634,53187,0.0000,1.0
2020-11-20,12.59,12.88,12.4,12.88,12.7763569861,46220,0.0000,1.0
2020-11-19,12.8,13.06,12.52,12.77,12.6672421361,43687,0.0000,1.0
2020-11-18,13.2,13.275,12.81,12.81,12.7069202634,31293,0.0000,1.0
2020-11-17,13.19,13.25,12.955,13.13,13.0243452816,32668,0.0000,1.0
2020-11-16,12.96,13.24,12.8,13.24,13.1334601317,88579,0.0000,1.0
2020-11-13,12.53,12.685,12.47,12.61,12.5085296269,25309,0.0000,1.0
2020-11-12,12.55,12.55,12.25,12.37,12.2704608632,40091,0.0000,1.0
2020-11-11,12.88,13.21,12.6,12.77,12.6672421361,54975,0.0000,1.0
2020-11-10,12.44,13.165,12.41,13.1,12.9945866862,83910,0.0000,1.0
2020-11-09,12.21,12.86,11.99,12.18,12.0819897586,102784,0.0000,1.0
2020-11-06,11.75,11.75,11.11,11.15,11.060277981,37074,0.0000,1.0
2020-11-05,11.18,11.72,11.18,11.58,11.4868178493,21569,0.0000,1.0
2020-11-04,11.44,11.48,11.085,11.1,11.0106803219,51696,0.0000,1.0
