timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.26,12.2965,12.17,12.17,12.17,57325,0.0000,1.0
2020-12-10,12.26,12.3087,12.25,12.25,12.25,110864,0.0000,1.0
2020-12-09,12.32,12.34,12.25,12.25,12.25,74114,0.0000,1.0
2020-12-08,12.3,12.35,12.28,12.28,12.28,63703,0.0000,1.0
2020-12-07,12.28,12.36,12.22,12.28,12.28,167165,0.0000,1.0
2020-12-04,12.27,12.38,12.27,12.3,12.3,111030,0.0000,1.0
2020-12-03,12.34,12.34,12.27,12.3,12.3,124442,0.0000,1.0
2020-12-02,12.13,12.3,12.13,12.3,12.3,148452,0.0000,1.0
2020-12-01,12.09,12.16,12.0797,12.16,12.16,122696,0.0000,1.0
2020-11-30,12.05,12.06,11.99,12.05,12.05,199347,0.0000,1.0
2020-11-27,11.98,12.05,11.98,12.05,12.05,60061,0.0000,1.0
2020-11-25,12.0,12.05,11.96,11.97,11.97,76957,0.0000,1.0
2020-11-24,12.0,12.03,11.98,12.0,12.0,90507,0.0000,1.0
2020-11-23,11.93,11.9801,11.91,11.97,11.97,99984,0.0000,1.0
2020-11-20,11.9,11.95,11.48,11.88,11.88,66498,0.0000,1.0
2020-11-19,11.94,11.97,11.9,11.9,11.9,68696,0.0000,1.0
2020-11-18,11.89,11.96,11.8701,11.92,11.92,100660,0.0000,1.0
2020-11-17,11.85,11.89,11.84,11.88,11.88,63591,0.0000,1.0
2020-11-16,11.92,11.92,11.85,11.85,11.85,62099,0.0000,1.0
2020-11-13,11.88,11.9,11.83,11.87,11.87,79259,0.0788,1.0
2020-11-12,11.93,11.95,11.89,11.89,11.8115877745,88812,0.0000,1.0
2020-11-11,11.88,11.93,11.82,11.93,11.8513239823,52649,0.0000,1.0
2020-11-10,11.83,11.84,11.76,11.84,11.7619175147,103082,0.0000,1.0
2020-11-09,11.81,11.96,11.742,11.78,11.702313203,176155,0.0000,1.0
2020-11-06,11.7,11.76,11.67,11.69,11.6129067354,99770,0.0000,1.0
2020-11-05,11.64,11.7099,11.61,11.68,11.6029726834,99117,0.0000,1.0
2020-11-04,11.55,11.62,11.45,11.59,11.5135662159,118822,0.0000,1.0
2020-11-03,11.39,11.49,11.3763,11.48,11.4042916443,101081,0.0000,1.0
2020-11-02,11.34,11.4,11.34,11.37,11.2950170728,92442,0.0000,1.0
2020-10-30,11.33,11.34,11.29,11.34,11.265214917,171607,0.0000,1.0
2020-10-29,11.28,11.36,11.24,11.33,11.255280865,323667,0.0000,1.0
2020-10-28,11.34,11.34,11.2105,11.27,11.1956765533,289686,0.0000,1.0
2020-10-27,11.34,11.41,11.32,11.38,11.3049511248,78496,0.0000,1.0
2020-10-26,11.38,11.4,11.31,11.38,11.3049511248,96521,0.0000,1.0
2020-10-23,11.4,11.43,11.38,11.42,11.3446873326,139142,0.0000,1.0
2020-10-22,11.38,11.44,11.38,11.4,11.3248192287,227109,0.0000,1.0
2020-10-21,11.44,11.45,11.38,11.39,11.3148851768,148782,0.0000,1.0
2020-10-20,11.52,11.52,11.45,11.46,11.3844235404,397979,0.0000,1.0
2020-10-19,11.59,11.59,11.45,11.49,11.4142256963,140243,0.0000,1.0
2020-10-16,11.63,11.65,11.56,11.56,11.48376406,85171,0.0000,1.0
2020-10-15,11.72,11.72,11.6,11.63,11.5533024237,68569,0.0000,1.0
2020-10-14,11.74,11.77,11.71,11.74,11.6625769952,77504,0.0788,1.0
2020-10-13,11.83,11.86,11.77,11.81,11.6538933151,91635,0.0000,1.0
2020-10-12,11.9,11.9,11.81,11.84,11.6834967698,151253,0.0000,1.0
2020-10-09,11.85,11.85,11.79,11.83,11.6736289516,83020,0.0000,1.0
2020-10-08,11.78,11.85,11.78,11.81,11.6538933151,49306,0.0000,1.0
2020-10-07,11.76,11.78,11.73,11.73,11.5749507694,102144,0.0000,1.0
2020-10-06,11.73,11.77,11.69,11.7,11.5453473148,54468,0.0000,1.0
2020-10-05,11.67,11.755,11.67,11.73,11.5749507694,71232,0.0000,1.0
2020-10-02,11.52,11.66,11.5011,11.66,11.5058760419,89361,0.0000,1.0
2020-10-01,11.52,11.6,11.52,11.55,11.3973300415,55086,0.0000,1.0
2020-09-30,11.52,11.56,11.5,11.5,11.3479909504,143057,0.0000,1.0
2020-09-29,11.53,11.53,11.48,11.48,11.328255314,162408,0.0000,1.0
2020-09-28,11.55,11.58,11.51,11.53,11.3775944051,114456,0.0000,1.0
2020-09-25,11.61,11.61,11.5294,11.53,11.3775944051,82438,0.0000,1.0
2020-09-24,11.62,11.65,11.54,11.64,11.4861404054,90603,0.0000,1.0
2020-09-23,11.73,11.73,11.61,11.63,11.4762725872,61486,0.0000,1.0
2020-09-22,11.73,11.73,11.67,11.7,11.5453473148,62631,0.0000,1.0
2020-09-21,11.77,11.77,11.66,11.71,11.555215133,50644,0.0000,1.0
2020-09-18,11.75,11.79,11.75,11.78,11.6242898605,81095,0.0000,1.0
2020-09-17,11.76,11.8,11.74,11.74,11.5848185876,72534,0.0000,1.0
2020-09-16,11.84,11.88,11.8,11.8,11.6440254969,128650,0.0000,1.0
2020-09-15,11.89,11.89,11.8,11.85,11.693364588,54271,0.0000,1.0
2020-09-14,11.8,11.85,11.7672,11.85,11.693364588,71445,0.0788,1.0
2020-09-11,11.77,11.81,11.73,11.81,11.5769093106,88525,0.0000,1.0
2020-09-10,11.78,11.82,11.72,11.73,11.4984882484,103948,0.0000,1.0
2020-09-09,11.72,11.79,11.6801,11.79,11.5573040451,193786,0.0000,1.0
2020-09-08,11.64,11.68,11.59,11.68,11.4494750845,96188,0.0000,1.0
2020-09-04,11.67,11.7,11.56,11.67,11.4396724517,76426,0.0000,1.0
2020-09-03,11.76,11.76,11.62,11.65,11.4200671862,154289,0.0000,1.0
2020-09-02,11.77,11.79,11.71,11.77,11.5376987795,162413,0.0000,1.0
2020-09-01,11.74,11.77,11.7,11.77,11.5376987795,73883,0.0000,1.0
2020-08-31,11.77,11.79,11.72,11.72,11.4886856156,93022,0.0000,1.0
2020-08-28,11.76,11.76,11.72,11.76,11.5278961467,74121,0.0000,1.0
2020-08-27,11.75,11.77,11.7159,11.74,11.5082908812,127042,0.0000,1.0
2020-08-26,11.71,11.74,11.7,11.72,11.4886856156,195527,0.0000,1.0
2020-08-25,11.68,11.7,11.6533,11.7,11.4690803501,74786,0.0000,1.0
2020-08-24,11.63,11.68,11.6105,11.67,11.4396724517,48267,0.0000,1.0
2020-08-21,11.71,11.71,11.545,11.64,11.4102645534,141507,0.0000,1.0
2020-08-20,11.72,11.74,11.692,11.7,11.4690803501,156669,0.0000,1.0
2020-08-19,11.67,11.77,11.6524,11.71,11.4788829828,175412,0.0000,1.0
2020-08-18,11.68,11.68,11.6165,11.68,11.4494750845,68737,0.0000,1.0
2020-08-17,11.63,11.67,11.57,11.64,11.4102645534,146618,0.0000,1.0
2020-08-14,11.59,11.66,11.56,11.63,11.4004619206,82664,0.0000,1.0
2020-08-13,11.63,11.63,11.57,11.57,11.341646124,87572,0.0788,1.0
2020-08-12,11.6,11.67,11.6,11.66,11.352550804,74323,0.0000,1.0
2020-08-11,11.69,11.69,11.49,11.49,11.1870333394,116730,0.0000,1.0
2020-08-10,11.6,11.62,11.57,11.62,11.3136055182,50395,0.0000,1.0
2020-08-07,11.52,11.56,11.5,11.56,11.2551875895,99209,0.0000,1.0
2020-08-06,11.51,11.56,11.5,11.5,11.1967696609,31998,0.0000,1.0
2020-08-05,11.47,11.55,11.47,11.49,11.1870333394,46999,0.0000,1.0
2020-08-04,11.47,11.5,11.45,11.47,11.1675606965,117552,0.0000,1.0
2020-08-03,11.45,11.465,11.4,11.45,11.1480880536,72577,0.0000,1.0
2020-07-31,11.39,11.43,11.36,11.43,11.1286154108,66135,0.0000,1.0
2020-07-30,11.42,11.42,11.34,11.37,11.0701974821,82843,0.0000,1.0
2020-07-29,11.38,11.42,11.36,11.42,11.1188790893,130866,0.0000,1.0
2020-07-28,11.37,11.4,11.35,11.38,11.0799338035,122983,0.0000,1.0
2020-07-27,11.35,11.4,11.335,11.37,11.0701974821,99249,0.0000,1.0
2020-07-24,11.26,11.34,11.24,11.32,11.0215158749,46668,0.0000,1.0
2020-07-23,11.22,11.29,11.22,11.27,10.9728342676,70251,0.0000,1.0
2020-07-22,11.23,11.245,11.21,11.21,10.914416339,39323,0.0000,1.0
2020-07-21,11.25,11.29,11.22,11.23,10.9338889819,70333,0.0000,1.0
2020-07-20,11.2,11.23,11.17,11.21,10.914416339,69193,0.0000,1.0
2020-07-17,11.2,11.2,11.15,11.17,10.8754710532,84491,0.0000,1.0
2020-07-16,11.13,11.21,11.13,11.21,10.914416339,64802,0.0000,1.0
2020-07-15,11.19,11.23,11.14,11.15,10.8559984103,96374,0.0000,1.0
2020-07-14,11.12,11.17,11.1,11.17,10.8754710532,93245,0.0788,1.0
2020-07-13,11.16,11.21,11.11,11.18,10.8089544107,99102,0.0000,1.0
2020-07-10,11.11,11.12,11.05,11.1,10.7316094775,50872,0.0000,1.0
2020-07-09,11.15,11.16,11.07,11.07,10.7026051276,97260,0.0000,1.0
2020-07-08,11.23,11.23,11.1,11.12,10.7509457108,85786,0.0000,1.0
2020-07-07,11.2,11.28,11.18,11.18,10.8089544107,55330,0.0000,1.0
2020-07-06,11.28,11.28,11.19,11.25,10.8766312272,75785,0.0000,1.0
2020-07-02,11.3,11.32,11.18,11.2,10.828290644,123155,0.0000,1.0
2020-07-01,11.19,11.27,11.19,11.24,10.8669631106,73310,0.0000,1.0
2020-06-30,11.13,11.19,11.06,11.18,10.8089544107,205652,0.0000,1.0
2020-06-29,11.05,11.1,11.01,11.1,10.7316094775,37439,0.0000,1.0
2020-06-26,11.07,11.12,11.02,11.02,10.6542645443,87032,0.0000,1.0
2020-06-25,11.13,11.16,11.07,11.08,10.7122732442,159913,0.0000,1.0
2020-06-24,11.23,11.23,11.14,11.14,10.7702819441,122475,0.0000,1.0
2020-06-23,11.18,11.25,11.18,11.24,10.8669631106,118877,0.0000,1.0
2020-06-22,11.15,11.21,11.15,11.18,10.8089544107,114608,0.0000,1.0
