timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,28.06,28.21,28.01,28.21,28.21,1394,0.0000,1.0
2020-12-10,28.5,28.5,28.05,28.5,28.5,2479,0.0000,1.0
2020-12-09,27.76,28.62,27.76,28.42,28.42,16879,0.0000,1.0
2020-12-08,27.19,27.84,27.08,27.84,27.84,3634,0.0000,1.0
2020-12-07,27.26,28.85,27.0,27.55,27.55,4712,0.0000,1.0
2020-12-04,26.73,27.4083,26.7,26.99,26.99,7182,0.0000,1.0
2020-12-03,26.75,27.13,26.49,26.7,26.7,5866,0.0000,1.0
2020-12-02,25.7252,27.65,25.7252,26.82,26.82,4897,0.0000,1.0
2020-12-01,28.78,28.78,28.01,28.01,28.01,3805,0.0000,1.0
2020-11-30,29.48,29.48,28.3,28.45,28.45,4737,0.0000,1.0
2020-11-27,29.155,29.74,29.155,29.74,29.74,1834,0.0000,1.0
2020-11-25,28.88,29.18,27.95,28.97,28.97,7250,0.0000,1.0
2020-11-24,27.5,29.59,27.5,28.38,28.38,10491,0.0000,1.0
2020-11-23,26.96,27.0,26.7122,26.91,26.91,3014,0.0000,1.0
2020-11-20,26.33,26.61,26.2576,26.35,26.35,4791,0.0000,1.0
2020-11-19,26.07,26.78,26.07,26.78,26.78,2188,0.0000,1.0
2020-11-18,26.63,26.63,25.71,26.04,26.04,7281,0.0000,1.0
2020-11-17,26.4,27.0,25.272,26.21,26.21,6370,0.0000,1.0
2020-11-16,25.29,26.6,25.29,26.6,26.6,8031,0.0000,1.0
2020-11-13,24.405,25.25,24.405,24.63,24.63,7249,0.0000,1.0
2020-11-12,24.45,24.45,24.06,24.06,24.06,2210,0.0000,1.0
2020-11-11,25.0,25.0,24.44,24.99,24.99,8442,0.0000,1.0
2020-11-10,23.42,25.0,23.42,24.9,24.9,13953,0.0000,1.0
2020-11-09,23.0,23.87,22.9101,23.01,23.01,16059,0.0000,1.0
2020-11-06,23.63,23.63,22.84,22.84,22.84,5395,0.0000,1.0
2020-11-05,23.4,23.9,23.2154,23.26,23.26,5243,0.3000,1.0
2020-11-04,23.38,23.98,23.38,23.72,23.4179626486,5171,0.0000,1.0
2020-11-03,23.0,23.9,23.0,23.9,23.5956706282,12372,0.0000,1.0
2020-11-02,22.475,22.95,22.475,22.95,22.6577674024,2156,0.0000,1.0
2020-10-30,22.65,22.65,22.0,22.0,21.7198641766,10103,0.0000,1.0
2020-10-29,22.65,23.0,22.65,23.0,22.7071307301,2552,0.0000,1.0
2020-10-28,23.575,23.66,22.85,23.12,22.8256027165,13882,0.0000,1.0
2020-10-27,23.77,24.1558,23.66,23.66,23.3587266553,3227,0.0000,1.0
2020-10-26,24.0535,24.0535,23.02,23.55,23.2501273345,7193,0.0000,1.0
2020-10-23,23.65,23.94,23.62,23.93,23.6252886248,5601,0.0000,1.0
2020-10-22,23.39,23.56,23.39,23.4,23.1020373514,6818,0.0000,1.0
2020-10-21,22.8,22.8,22.8,22.8,22.5096774194,1102,0.0000,1.0
2020-10-20,22.45,23.15,22.45,23.15,22.8552207131,3986,0.0000,1.0
2020-10-19,23.4178,23.4178,22.39,22.39,22.1048981324,3276,0.0000,1.0
2020-10-16,22.8,23.31,22.74,22.78,22.4899320883,6899,0.0000,1.0
2020-10-15,23.26,23.35,22.355,23.08,22.7861120543,6380,0.0000,1.0
2020-10-14,23.09,23.674,22.75,22.75,22.4603140917,2080,0.0000,1.0
2020-10-13,23.5,23.5,22.87,23.0,22.7071307301,3576,0.0000,1.0
2020-10-12,23.28,23.59,23.28,23.47,23.1711460102,2521,0.0000,1.0
2020-10-09,23.0,23.25,22.7,22.9,22.6084040747,4387,0.0000,1.0
2020-10-08,23.05,23.6614,22.59,22.85,22.559040747,4803,0.0000,1.0
2020-10-07,22.23,23.15,22.23,23.05,22.7564940577,3926,0.0000,1.0
2020-10-06,22.63,23.21,21.49,21.49,21.2163582343,4533,0.0000,1.0
2020-10-05,21.9,23.2399,21.9,22.31,22.0259168081,5075,0.0000,1.0
2020-10-02,21.54,21.6822,21.31,21.51,21.2361035654,2624,0.0000,1.0
2020-10-01,21.875,21.875,21.16,21.16,20.8905602716,1768,0.0000,1.0
2020-09-30,21.77,21.77,21.07,21.38,21.1077589134,2718,0.0000,1.0
2020-09-29,21.5527,21.5527,21.0,21.4,21.1275042445,3007,0.0000,1.0
2020-09-28,21.35,21.35,21.35,21.35,21.0781409168,1847,0.0000,1.0
2020-09-25,21.5,22.125,21.0,21.23,20.9596689304,6958,0.0000,1.0
2020-09-24,21.0,23.1,21.0,21.02,20.7523429542,2217,0.0000,1.0
2020-09-23,21.69,21.69,19.6,21.12,20.8510696095,4181,0.0000,1.0
2020-09-22,22.2,22.2,21.5,21.5,21.2262308998,6808,0.0000,1.0
2020-09-21,22.51,22.51,22.2,22.2,21.9173174873,6533,0.0000,1.0
2020-09-18,23.1,23.11,22.64,23.11,22.8157300509,14561,0.0000,1.0
2020-09-17,22.86,23.5,22.5,23.5,23.2007640068,6252,0.0000,1.0
2020-09-16,23.49,23.87,22.78,23.3,23.0033106961,8249,0.0000,1.0
2020-09-15,24.67,24.67,23.5,23.5,23.2007640068,7253,0.0000,1.0
2020-09-14,23.81,24.43,23.33,24.43,24.1189219015,2433,0.0000,1.0
2020-09-11,23.75,23.856,23.5,23.5,23.2007640068,3126,0.0000,1.0
2020-09-10,24.16,24.175,23.87,24.13,23.8227419355,1604,0.0000,1.0
2020-09-09,24.44,24.44,23.75,23.86,23.556179966,6999,0.0000,1.0
2020-09-08,24.08,24.4,24.02,24.02,23.7141426146,1593,0.0000,1.0
2020-09-04,24.39,24.39,24.39,24.39,24.0794312394,1315,0.0000,1.0
2020-09-03,24.39,24.495,23.86,24.49,24.1781578947,6155,0.0000,1.0
2020-09-02,24.25,24.59,24.25,24.5,24.1880305603,2235,0.0000,1.0
2020-09-01,24.25,24.25,24.25,24.25,23.9412139219,1472,0.0000,1.0
2020-08-31,24.0772,24.49,23.84,23.84,23.536434635,5146,0.0000,1.0
2020-08-28,23.95,24.49,23.95,24.49,24.1781578947,2298,0.0000,1.0
2020-08-27,24.1,24.26,23.74,23.74,23.4377079796,6270,0.0000,1.0
2020-08-26,24.28,24.4344,23.76,23.76,23.4574533107,6448,0.0000,1.0
2020-08-25,24.16,24.2,23.7101,24.05,23.7437606112,3382,0.0000,1.0
2020-08-24,23.92,24.2,23.845,24.0,23.6943972835,5395,0.0000,1.0
2020-08-21,24.3,24.3,23.7,23.92,23.6154159593,5940,0.0000,1.0
2020-08-20,24.41,24.4898,24.4,24.4,24.0893039049,1719,0.0000,1.0
2020-08-19,24.55,24.63,24.4,24.63,24.3163752122,1488,0.0000,1.0
2020-08-18,24.49,24.66,24.36,24.36,24.0498132428,1531,0.0000,1.0
2020-08-17,25.0,25.0,24.35,24.35,24.0399405772,6644,0.0000,1.0
2020-08-14,24.63,24.85,24.366,24.85,24.533573854,3956,0.0000,1.0
2020-08-13,24.92,24.95,24.74,24.85,24.533573854,1444,0.0000,1.0
2020-08-12,24.88,24.97,24.77,24.95,24.6323005093,3064,0.0000,1.0
2020-08-11,25.0,25.0,24.27,24.27,23.960959253,5421,0.0000,1.0
2020-08-10,25.345,25.345,24.75,24.75,24.4348471986,7175,0.0000,1.0
2020-08-07,24.0,25.1143,24.0,24.92,24.6026825127,5996,0.0000,1.0
2020-08-06,25.16,25.16,24.79,25.0,24.681663837,4207,0.3000,1.0
2020-08-05,25.15,25.5717,24.75,25.3,24.681663837,8817,0.0000,1.0
2020-08-04,24.49,24.9,24.48,24.75,24.1451059275,9852,0.0000,1.0
