timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.76,4.85,4.66,4.7,4.7,222933,0.0000,1.0
2020-12-10,4.75,4.85,4.74,4.8,4.8,204649,0.0000,1.0
2020-12-09,4.87,4.89,4.765,4.79,4.79,414755,0.0000,1.0
2020-12-08,4.83,4.96,4.805,4.81,4.81,328981,0.0000,1.0
2020-12-07,4.98,5.0927,4.88,4.9,4.9,349856,0.0000,1.0
2020-12-04,4.88,5.03,4.85,4.99,4.99,207235,0.0000,1.0
2020-12-03,4.84,4.9,4.77,4.83,4.83,143130,0.0000,1.0
2020-12-02,4.83,4.9,4.6839,4.86,4.86,245132,0.0000,1.0
2020-12-01,4.72,4.89,4.69,4.83,4.83,278163,0.0000,1.0
2020-11-30,4.81,4.92,4.6,4.64,4.64,652099,0.0000,1.0
2020-11-27,4.96,5.055,4.79,4.88,4.88,194238,0.0000,1.0
2020-11-25,5.11,5.11,4.92,4.96,4.96,241625,0.0000,1.0
2020-11-24,5.0,5.22,4.95,5.11,5.11,696215,0.0000,1.0
2020-11-23,4.82,4.97,4.8,4.86,4.86,569364,0.0000,1.0
2020-11-20,4.75,4.87,4.71,4.86,4.86,202951,0.0000,1.0
2020-11-19,4.78,4.88,4.66,4.87,4.87,240718,0.0000,1.0
2020-11-18,5.01,5.05,4.79,4.81,4.81,315824,0.0000,1.0
2020-11-17,4.84,5.04,4.76,5.0,5.0,500897,0.0000,1.0
2020-11-16,4.91,5.06,4.79,4.86,4.86,645068,0.0000,1.0
2020-11-13,4.62,4.8,4.59,4.74,4.74,489613,0.0000,1.0
2020-11-12,4.58,4.74,4.4,4.58,4.58,458108,0.0000,1.0
2020-11-11,4.98,4.98,4.6,4.64,4.64,289987,0.0000,1.0
2020-11-10,4.77,5.0,4.57,4.93,4.93,693995,0.0000,1.0
2020-11-09,4.55,4.95,4.535,4.66,4.66,775055,0.0000,1.0
2020-11-06,4.28,4.32,4.085,4.12,4.12,340263,0.0000,1.0
