timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.0212,7.0212,6.94,7.01,7.01,24034,0.0000,1.0
2020-12-10,7.0,7.04,6.95,6.99,6.99,20310,0.0000,1.0
2020-12-09,7.09,7.11,6.95,6.99,6.99,58011,0.0000,1.0
2020-12-08,7.04,7.14,7.03,7.04,7.04,84891,0.0000,1.0
2020-12-07,7.09,7.1166,7.04,7.05,7.05,33838,0.0000,1.0
2020-12-04,6.97,7.1,6.97,7.09,7.09,35993,0.0000,1.0
2020-12-03,6.92,7.0,6.92,6.96,6.96,31462,0.0000,1.0
2020-12-02,6.86,6.93,6.86,6.91,6.91,32485,0.0000,1.0
2020-12-01,6.84,6.89,6.8146,6.89,6.89,40028,0.0000,1.0
2020-11-30,6.82,6.82,6.73,6.77,6.77,43354,0.0000,1.0
2020-11-27,6.7785,6.83,6.7785,6.8036,6.8036,32948,0.0000,1.0
2020-11-25,6.83,6.83,6.77,6.8,6.8,35052,0.0000,1.0
2020-11-24,6.74,6.85,6.74,6.85,6.85,36707,0.0000,1.0
2020-11-23,6.63,6.74,6.63,6.74,6.74,72262,0.0000,1.0
2020-11-20,6.65,6.65,6.59,6.62,6.62,116517,0.0000,1.0
2020-11-19,6.55,6.61,6.5489,6.6022,6.6022,14013,0.0000,1.0
2020-11-18,6.57,6.64,6.5234,6.57,6.57,45371,0.0000,1.0
2020-11-17,6.47,6.57,6.47,6.56,6.56,14916,0.0000,1.0
2020-11-16,6.45,6.57,6.4153,6.54,6.54,73694,0.0000,1.0
2020-11-13,6.29,6.38,6.29,6.35,6.35,44778,0.0000,1.0
2020-11-12,6.35,6.35,6.24,6.26,6.26,22604,0.0000,1.0
2020-11-11,6.41,6.41,6.35,6.38,6.38,41839,0.0000,1.0
2020-11-10,6.34,6.4,6.32,6.36,6.36,24418,0.0000,1.0
2020-11-09,6.51,6.54,6.25,6.36,6.36,91815,0.0000,1.0
2020-11-06,6.285,6.3034,6.17,6.2568,6.2568,47189,0.0000,1.0
2020-11-05,6.22,6.3201,6.2,6.3,6.3,28452,0.0000,1.0
2020-11-04,6.01,6.19,6.01,6.14,6.14,46682,0.0000,1.0
2020-11-03,5.99,6.09,5.99,6.03,6.03,21501,0.0000,1.0
2020-11-02,5.91,5.98,5.87,5.92,5.92,39659,0.0000,1.0
