timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,73.2,74.64,73.2,74.52,74.52,98670,0.0000,1.0
2020-12-10,73.45,74.265,72.69,73.4,73.4,83757,0.0000,1.0
2020-12-09,74.15,74.6,73.1401,73.63,73.63,80969,0.0000,1.0
2020-12-08,72.87,74.24,72.87,73.56,73.56,92591,0.0000,1.0
2020-12-07,73.89,74.1,71.685,73.38,73.38,86428,0.0000,1.0
2020-12-04,73.48,74.18,71.915,73.75,73.75,64639,0.0000,1.0
2020-12-03,73.01,73.92,71.83,73.25,73.25,58329,0.0000,1.0
2020-12-02,73.22,73.6409,71.705,72.85,72.85,150131,0.0000,1.0
2020-12-01,73.98,74.605,73.12,73.29,73.29,115007,0.0000,1.0
2020-11-30,73.57,74.3453,72.88,73.07,73.07,164484,0.0000,1.0
2020-11-27,75.29,75.35,73.77,74.19,74.19,73661,0.0000,1.0
2020-11-25,77.49,77.5,74.17,75.24,75.24,121812,0.0000,1.0
2020-11-24,76.15,78.41,75.84,77.68,77.68,182834,0.2100,1.0
2020-11-23,74.8,75.36,73.52,75.33,75.1269020413,95921,0.0000,1.0
2020-11-20,73.8,74.66,73.11,74.47,74.2692206959,157688,0.0000,1.0
2020-11-19,74.61,75.23,72.4306,74.21,74.0099216844,93452,0.0000,1.0
2020-11-18,74.32,75.39,74.015,74.73,74.5285197073,133042,0.0000,1.0
2020-11-17,73.88,74.88,72.4945,74.23,74.0298677622,184466,0.0000,1.0
2020-11-16,73.43,74.7,71.57,74.49,74.2891667737,126913,0.0000,1.0
2020-11-13,70.09,72.38,69.91,72.18,71.9853947875,109689,0.0000,1.0
2020-11-12,71.41,71.41,69.1,69.8,69.6118115291,102973,0.0000,1.0
2020-11-11,72.72,73.23,70.41,71.42,71.227443831,176606,0.0000,1.0
2020-11-10,71.43,73.06,71.0,73.01,72.8131570163,176512,0.0000,1.0
2020-11-09,70.58,72.13,68.67,71.03,70.8384953139,311451,0.0000,1.0
2020-11-06,66.43,66.43,65.01,65.92,65.7422724355,99899,0.0000,1.0
2020-11-05,64.95,66.5,64.95,65.9,65.7223263577,99518,0.0000,1.0
2020-11-04,66.15,66.24,63.93,64.72,64.5455077674,114619,0.0000,1.0
2020-11-03,64.63,67.05,64.4,66.62,66.4403851586,163558,0.0000,1.0
2020-11-02,63.28,64.97,62.09,63.74,63.5681499551,211348,0.0000,1.0
2020-10-30,63.65,64.15,61.46,62.97,62.8002259597,229399,0.0000,1.0
2020-10-29,59.64,61.85,59.24,61.5,61.3341892412,127335,0.0000,1.0
2020-10-28,61.44,61.69,59.75,60.02,59.8581794839,305164,0.0000,1.0
2020-10-27,61.72,62.87,61.43,62.595,62.4262370009,170673,0.0000,1.0
2020-10-26,62.23,62.615,61.26,61.93,61.763029914,130290,0.0000,1.0
2020-10-23,62.64,63.12,62.27,62.81,62.6406573373,113211,0.0000,1.0
2020-10-22,62.4,62.6,61.43,62.52,62.3514392091,154863,0.0000,1.0
2020-10-21,61.86,62.63,60.235,62.25,62.0821671588,139581,0.0000,1.0
