timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,6.33,6.5,6.21,6.26,6.26,526652,0.0000,1.0
2020-12-10,6.37,6.4,6.09,6.37,6.37,447592,0.0000,1.0
2020-12-09,6.52,6.55,6.26,6.39,6.39,357661,0.0000,1.0
2020-12-08,6.47,6.51,6.35,6.51,6.51,626317,0.0000,1.0
2020-12-07,6.39,6.4,6.31,6.33,6.33,323420,0.0000,1.0
2020-12-04,6.25,6.37,6.21,6.33,6.33,257891,0.0000,1.0
2020-12-03,6.07,6.23,6.03,6.2,6.2,315721,0.0000,1.0
2020-12-02,6.04,6.1,5.93,6.0,6.0,202606,0.0000,1.0
2020-12-01,6.08,6.14,5.88,6.14,6.14,235899,0.0000,1.0
2020-11-30,6.15,6.15,5.96,6.06,6.06,224162,0.0000,1.0
2020-11-27,6.0,6.15,5.98,6.15,6.15,182601,0.0000,1.0
2020-11-25,5.95,5.99,5.81,5.93,5.93,164035,0.0000,1.0
2020-11-24,5.97,6.0202,5.88,5.9,5.9,473738,0.0000,1.0
2020-11-23,5.68,5.81,5.64,5.74,5.74,263686,0.0000,1.0
2020-11-20,5.4,5.5337,5.35,5.48,5.48,149717,0.0000,1.0
2020-11-19,5.46,5.55,5.38,5.4,5.4,130123,0.0000,1.0
2020-11-18,5.37,5.455,5.31,5.45,5.45,257524,0.0000,1.0
2020-11-17,5.43,5.44,5.33,5.38,5.38,198887,0.0000,1.0
2020-11-16,5.48,5.51,5.36,5.44,5.44,279487,0.0000,1.0
2020-11-13,5.38,5.45,5.31,5.36,5.36,159513,0.0000,1.0
2020-11-12,5.4,5.52,5.31,5.34,5.34,147544,0.0000,1.0
2020-11-11,5.53,5.54,5.31,5.4,5.4,256429,0.0000,1.0
2020-11-10,5.43,5.79,5.335,5.5,5.5,933787,0.3600,1.0
2020-11-09,6.26,6.3,6.03,6.03,5.65955631399,542607,0.0000,1.0
2020-11-06,5.91,6.09,5.88,6.08,5.70648464164,754034,0.0000,1.0
2020-11-05,6.01,6.1477,5.895,5.91,5.54692832765,582569,0.0000,1.0
2020-11-04,5.96,6.05,5.92,6.0,5.63139931741,1019754,0.0000,1.0
2020-11-03,5.97,5.97,5.84,5.92,5.55631399317,332834,0.0000,1.0
2020-11-02,6.06,6.07,5.88,5.99,5.62201365188,520836,0.0000,1.0
