timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.44,5.44,5.415,5.42,5.42,461702,0.0000,1.0
2020-12-10,5.4,5.45,5.4,5.44,5.44,866895,0.0000,1.0
2020-12-09,5.45,5.49,5.43,5.44,5.44,1859910,0.0000,1.0
2020-12-08,5.44,5.495,5.43,5.44,5.44,2671091,0.0000,1.0
2020-12-07,5.41,5.46,5.4,5.45,5.45,1237096,0.0000,1.0
2020-12-04,5.44,5.46,5.41,5.43,5.43,260034,0.0000,1.0
2020-12-03,5.44,5.44,5.41,5.43,5.43,545236,0.0000,1.0
2020-12-02,5.35,5.45,5.35,5.42,5.42,735034,0.0000,1.0
2020-12-01,5.4,5.4,5.34,5.35,5.35,2856260,0.0000,1.0
2020-11-30,5.32,5.4,5.31,5.39,5.39,381303,0.0000,1.0
2020-11-27,5.35,5.38,5.33,5.34,5.34,218913,0.0000,1.0
2020-11-25,5.34,5.37,5.34,5.36,5.36,462815,0.0000,1.0
2020-11-24,5.36,5.38,5.35,5.35,5.35,370071,0.0000,1.0
2020-11-23,5.37,5.38,5.34,5.36,5.36,390749,0.0000,1.0
2020-11-20,5.33,5.37,5.3025,5.37,5.37,370331,0.0000,1.0
2020-11-19,5.24,5.33,5.2349,5.32,5.32,476073,0.0000,1.0
2020-11-18,5.27,5.3,5.23,5.23,5.23,522849,0.0000,1.0
2020-11-17,5.21,5.29,5.21,5.28,5.28,293491,0.0000,1.0
2020-11-16,5.2,5.24,5.2,5.24,5.24,218046,0.0000,1.0
2020-11-13,5.2,5.22,5.1739,5.22,5.22,650194,0.0147,1.0
2020-11-12,5.23,5.23,5.19,5.2,5.18539744398,340936,0.0000,1.0
2020-11-11,5.18,5.22,5.18,5.22,5.2053412803,418080,0.0000,1.0
2020-11-10,5.2,5.23,5.17,5.18,5.16545360766,830163,0.0000,1.0
2020-11-09,5.24,5.24,5.2,5.23,5.21531319846,382079,0.0000,1.0
2020-11-06,5.21,5.21,5.16,5.19,5.17542552582,805537,0.0000,1.0
2020-11-05,5.2,5.21,5.17,5.2,5.18539744398,246160,0.0000,1.0
2020-11-04,5.19,5.21,5.16,5.19,5.17542552582,178202,0.0000,1.0
2020-11-03,5.15,5.17,5.14,5.16,5.14550977133,298016,0.0000,1.0
2020-11-02,5.2,5.24,5.11,5.14,5.12556593501,454405,0.0000,1.0
2020-10-30,5.19,5.22,5.175,5.19,5.17542552582,415367,0.0000,1.0
2020-10-29,5.12,5.2,5.12,5.19,5.17542552582,369988,0.0000,1.0
2020-10-28,5.14,5.18,5.12,5.13,5.11559401685,398095,0.0000,1.0
2020-10-27,5.21,5.21,5.14,5.15,5.13553785317,560690,0.0000,1.0
2020-10-26,5.26,5.27,5.19,5.19,5.17542552582,382098,0.0000,1.0
2020-10-23,5.26,5.28,5.26,5.27,5.25520087111,121523,0.0000,1.0
2020-10-22,5.28,5.28,5.25,5.26,5.24522895295,135798,0.0000,1.0
2020-10-21,5.26,5.29,5.26,5.26,5.24522895295,267769,0.0000,1.0
2020-10-20,5.25,5.3,5.25,5.27,5.25520087111,335610,0.0000,1.0
2020-10-19,5.27,5.285,5.25,5.25,5.23525703479,426339,0.0000,1.0
2020-10-16,5.27,5.3,5.27,5.27,5.25520087111,312946,0.0000,1.0
2020-10-15,5.25,5.295,5.25,5.28,5.26517278927,311519,0.0000,1.0
2020-10-14,5.3,5.33,5.27,5.27,5.25520087111,314654,0.0156,1.0
2020-10-13,5.33,5.35,5.3,5.32,5.28940302602,361908,0.0000,1.0
2020-10-12,5.34,5.36,5.33,5.33,5.29934551291,188531,0.0000,1.0
2020-10-09,5.39,5.39,5.32,5.33,5.29934551291,296551,0.0000,1.0
2020-10-08,5.33,5.37,5.32,5.35,5.31923048669,199360,0.0000,1.0
2020-10-07,5.32,5.39,5.31,5.32,5.28940302602,297439,0.0000,1.0
2020-10-06,5.39,5.39,5.31,5.31,5.27946053912,189476,0.0000,1.0
2020-10-05,5.35,5.41,5.34,5.39,5.35900043425,269148,0.0000,1.0
2020-10-02,5.32,5.36,5.32,5.33,5.29934551291,323132,0.0000,1.0
2020-10-01,5.35,5.37,5.34,5.35,5.31923048669,215975,0.0000,1.0
2020-09-30,5.37,5.39,5.335,5.35,5.31923048669,502176,0.0000,1.0
2020-09-29,5.39,5.41,5.37,5.38,5.34905794736,375210,0.0000,1.0
2020-09-28,5.34,5.39,5.34,5.39,5.35900043425,222740,0.0000,1.0
2020-09-25,5.34,5.35,5.28,5.32,5.28940302602,337225,0.0000,1.0
2020-09-24,5.33,5.36,5.33,5.35,5.31923048669,300267,0.0000,1.0
2020-09-23,5.41,5.42,5.35,5.35,5.31923048669,189626,0.0000,1.0
2020-09-22,5.37,5.42,5.37,5.42,5.38882789493,205054,0.0000,1.0
2020-09-21,5.36,5.38,5.3458,5.37,5.33911546047,310359,0.0000,1.0
2020-09-18,5.37,5.39,5.35,5.39,5.35900043425,179025,0.0000,1.0
2020-09-17,5.28,5.37,5.28,5.35,5.31923048669,671957,0.0000,1.0
2020-09-16,5.3,5.35,5.2982,5.35,5.31923048669,600197,0.0000,1.0
2020-09-15,5.32,5.33,5.29,5.31,5.27946053912,509762,0.0000,1.0
2020-09-14,5.32,5.34,5.3,5.33,5.29934551291,397716,0.0145,1.0
2020-09-11,5.33,5.35,5.31,5.33,5.28496802017,299560,0.0000,1.0
2020-09-10,5.37,5.38,5.325,5.33,5.28496802017,507148,0.0000,1.0
2020-09-09,5.32,5.375,5.31,5.36,5.31471455687,363341,0.0000,1.0
2020-09-08,5.3,5.32,5.28,5.31,5.2651369957,240036,0.0000,1.0
2020-09-04,5.27,5.325,5.27,5.3,5.25522148347,421056,0.0000,1.0
2020-09-03,5.36,5.36,5.27,5.32,5.27505250794,343478,0.0000,1.0
2020-09-02,5.35,5.39,5.34,5.39,5.34446109357,227256,0.0000,1.0
2020-09-01,5.33,5.37,5.32,5.35,5.30479904463,319831,0.0000,1.0
2020-08-31,5.33,5.35,5.31,5.33,5.28496802017,268397,0.0000,1.0
2020-08-28,5.42,5.42,5.31,5.32,5.27505250794,287959,0.0000,1.0
2020-08-27,5.44,5.45,5.39,5.39,5.34446109357,325613,0.0000,1.0
2020-08-26,5.41,5.42,5.3938,5.42,5.37420763027,536637,0.0000,1.0
2020-08-25,5.39,5.41,5.35,5.41,5.36429211803,504077,0.0000,1.0
2020-08-24,5.39,5.4,5.36,5.38,5.33454558133,211702,0.0000,1.0
2020-08-21,5.36,5.4,5.36,5.39,5.34446109357,237558,0.0000,1.0
2020-08-20,5.4,5.415,5.37,5.39,5.34446109357,455166,0.0000,1.0
2020-08-19,5.42,5.42,5.39,5.4,5.3543766058,234760,0.0000,1.0
2020-08-18,5.44,5.44,5.39,5.41,5.36429211803,469177,0.0000,1.0
2020-08-17,5.38,5.43,5.38,5.43,5.3841231425,232287,0.0000,1.0
2020-08-14,5.43,5.43,5.37,5.38,5.33454558133,427531,0.0152,1.0
2020-08-13,5.45,5.45,5.41,5.42,5.35906677247,361090,0.0000,1.0
2020-08-12,5.47,5.47,5.42,5.45,5.38872950368,334789,0.0000,1.0
2020-08-11,5.45,5.47,5.44,5.45,5.38872950368,876458,0.0000,1.0
2020-08-10,5.43,5.47,5.43,5.46,5.39861708075,291419,0.0000,1.0
2020-08-07,5.45,5.45,5.43,5.43,5.36895434954,190682,0.0000,1.0
2020-08-06,5.49,5.504,5.46,5.47,5.40850465782,186942,0.0000,1.0
2020-08-05,5.47,5.52,5.47,5.51,5.44805496611,317662,0.0000,1.0
2020-08-04,5.46,5.495,5.44,5.48,5.4183922349,149998,0.0000,1.0
2020-08-03,5.49,5.5,5.44,5.45,5.38872950368,272875,0.0000,1.0
2020-07-31,5.5,5.5,5.46,5.48,5.4183922349,564483,0.0000,1.0
2020-07-30,5.41,5.48,5.4,5.48,5.4183922349,253215,0.0000,1.0
2020-07-29,5.45,5.48,5.43,5.48,5.4183922349,206839,0.0000,1.0
2020-07-28,5.43,5.45,5.415,5.44,5.37884192661,486678,0.0000,1.0
2020-07-27,5.43,5.46,5.42,5.43,5.36895434954,780716,0.0000,1.0
2020-07-24,5.41,5.46,5.41,5.44,5.37884192661,348971,0.0000,1.0
2020-07-23,5.4,5.42,5.385,5.42,5.35906677247,260912,0.0000,1.0
2020-07-22,5.42,5.43,5.38,5.4,5.33929161833,263882,0.0000,1.0
2020-07-21,5.45,5.45,5.41,5.42,5.35906677247,143148,0.0000,1.0
2020-07-20,5.42,5.46,5.42,5.45,5.38872950368,265696,0.0000,1.0
2020-07-17,5.46,5.46,5.4,5.42,5.35906677247,272013,0.0000,1.0
2020-07-16,5.43,5.45,5.42,5.44,5.37884192661,227462,0.0000,1.0
2020-07-15,5.43,5.47,5.43,5.43,5.36895434954,612436,0.0000,1.0
2020-07-14,5.34,5.44,5.34,5.44,5.37884192661,426943,0.0155,1.0
2020-07-13,5.4,5.44,5.36,5.36,5.28468384688,414744,0.0000,1.0
2020-07-10,5.34,5.4,5.34,5.39,5.31426230124,440245,0.0000,1.0
2020-07-09,5.41,5.42,5.34,5.35,5.27482436209,439650,0.0000,1.0
2020-07-08,5.41,5.43,5.4,5.4,5.32412178603,352354,0.0000,1.0
2020-07-07,5.45,5.55,5.43,5.43,5.3537002404,364139,0.0000,1.0
2020-07-06,5.39,5.47,5.34,5.47,5.39313817956,372429,0.0000,1.0
2020-07-02,5.38,5.44,5.38,5.4,5.32412178603,963107,0.0000,1.0
2020-07-01,5.36,5.4,5.34,5.39,5.31426230124,294372,0.0000,1.0
2020-06-30,5.31,5.37,5.26,5.37,5.29454333167,1275273,0.0000,1.0
2020-06-29,5.25,5.31,5.25,5.3,5.22552693814,886548,0.0000,1.0
2020-06-26,5.25,5.3,5.24,5.26,5.18608899899,1059087,0.0000,1.0
2020-06-25,5.25,5.29,5.23,5.27,5.19594848378,746641,0.0000,1.0
2020-06-24,5.26,5.29,5.25,5.25,5.1762295142,989748,0.0000,1.0
2020-06-23,5.23,5.28,5.23,5.25,5.1762295142,739442,0.0000,1.0
2020-06-22,5.21,5.27,5.2,5.23,5.15651054462,890215,0.0000,1.0
2020-06-19,5.23,5.24,5.21,5.21,5.13679157504,544479,0.0000,1.0
2020-06-18,5.22,5.26,5.21,5.22,5.14665105983,170249,0.0000,1.0
2020-06-17,5.24,5.26,5.22,5.22,5.14665105983,274324,0.0000,1.0
2020-06-16,5.21,5.25,5.2,5.22,5.14665105983,370256,0.0000,1.0
2020-06-15,5.18,5.21,5.14,5.19,5.11707260546,585073,0.0000,1.0
2020-06-12,5.19,5.24,5.19,5.21,5.13679157504,313535,0.0133,1.0
2020-06-11,5.24,5.25,5.16,5.18,5.09420871072,929957,0.0000,1.0
2020-06-10,5.32,5.35,5.3,5.32,5.23189002723,267481,0.0000,1.0
2020-06-09,5.34,5.35,5.27,5.32,5.23189002723,403917,0.0000,1.0
2020-06-08,5.35,5.37,5.32,5.34,5.25155878673,378879,0.0000,1.0
2020-06-05,5.37,5.38,5.34,5.36,5.27122754623,384054,0.0000,1.0
2020-06-04,5.41,5.41,5.33,5.35,5.26139316648,289559,0.0000,1.0
2020-06-03,5.43,5.45,5.37,5.4,5.31056506523,641421,0.0000,1.0
2020-06-02,5.41,5.43,5.38,5.43,5.34006820448,375470,0.0000,1.0
2020-06-01,5.4,5.42,5.39,5.41,5.32039944498,158118,0.0000,1.0
2020-05-29,5.4,5.4,5.36,5.38,5.29089630573,297308,0.0000,1.0
2020-05-28,5.39,5.4,5.37,5.37,5.28106192598,163306,0.0000,1.0
2020-05-27,5.4,5.4,5.36,5.39,5.30073068548,410244,0.0000,1.0
2020-05-26,5.4,5.44,5.38,5.42,5.33023382473,405985,0.0000,1.0
2020-05-22,5.28,5.39,5.25,5.37,5.28106192598,1718017,0.0000,1.0
2020-05-21,5.28,5.34,5.25,5.27,5.18271812848,528890,0.0000,1.0
2020-05-20,5.31,5.33,5.28,5.29,5.20238688798,500196,0.0000,1.0
2020-05-19,5.29,5.3,5.27,5.27,5.18271812848,350777,0.0000,1.0
2020-05-18,5.28,5.32,5.27,5.3,5.21222126773,229548,0.0000,1.0
2020-05-15,5.25,5.29,5.25,5.25,5.16304936898,228432,0.0000,1.0
2020-05-14,5.24,5.25,5.2,5.24,5.15321498923,421294,0.0129,1.0
2020-05-13,5.36,5.4,5.28,5.28,5.17980070877,328027,0.0000,1.0
2020-05-12,5.39,5.4,5.36,5.37,5.26809276631,308495,0.0000,1.0
2020-05-11,5.42,5.43,5.37,5.4,5.29752345215,388842,0.0000,1.0
2020-05-08,5.42,5.44,5.39,5.43,5.326954138,267426,0.0000,1.0
2020-05-07,5.38,5.42,5.38,5.41,5.30733368077,414698,0.0000,1.0
2020-05-06,5.4,5.42,5.36,5.37,5.26809276631,454941,0.0000,1.0
2020-05-05,5.38,5.45,5.38,5.44,5.33676436661,520944,0.0000,1.0
2020-05-04,5.3,5.38,5.3,5.37,5.26809276631,319315,0.0000,1.0
2020-05-01,5.33,5.39,5.32,5.35,5.24847230908,476651,0.0000,1.0
2020-04-30,5.4,5.45,5.38,5.41,5.30733368077,1021146,0.0000,1.0
2020-04-29,5.38,5.45,5.37,5.41,5.30733368077,730413,0.0000,1.0
2020-04-28,5.31,5.37,5.3,5.33,5.22885185185,537292,0.0000,1.0
2020-04-27,5.38,5.43,5.29,5.31,5.20923139462,504223,0.0000,1.0
2020-04-24,5.49,5.49,5.38,5.38,5.27790299492,322628,0.0000,1.0
2020-04-23,5.46,5.51,5.42,5.5,5.3956257383,799433,0.0000,1.0
2020-04-22,5.39,5.53,5.39,5.42,5.31714390938,560306,0.0000,1.0
2020-04-21,5.33,5.38,5.31,5.37,5.26809276631,464014,0.0000,1.0
2020-04-20,5.49,5.49,5.39,5.42,5.31714390938,222053,0.0000,1.0
2020-04-17,5.5,5.54,5.43,5.5,5.3956257383,809595,0.0000,1.0
2020-04-16,5.38,5.5,5.32,5.47,5.36619505246,707890,0.0000,1.0
2020-04-15,5.37,5.39,5.32,5.38,5.27790299492,264904,0.0000,1.0
2020-04-14,5.4,5.47,5.4,5.44,5.33676436661,461248,0.0152,1.0
2020-04-13,5.49,5.53,5.31,5.41,5.29254568547,968882,0.0000,1.0
2020-04-09,5.4,5.53,5.34,5.5,5.38059173199,518589,0.0000,1.0
2020-04-08,5.4,5.47,5.25,5.35,5.23384832112,2482302,0.0000,1.0
2020-04-07,5.4,5.49,5.38,5.39,5.27297989735,826453,0.0000,1.0
2020-04-06,5.22,5.4,5.22,5.33,5.21428253301,836948,0.0000,1.0
2020-04-03,5.32,5.35,5.16,5.2,5.08710491025,650781,0.0000,1.0
2020-04-02,5.27,5.42,5.27,5.32,5.20449963895,487259,0.0000,1.0
2020-04-01,5.21,5.34,5.14,5.23,5.11645359242,1282595,0.0000,1.0
2020-03-31,5.45,5.56,5.34,5.35,5.23384832112,1008093,0.0000,1.0
2020-03-30,5.45,5.49,5.34,5.45,5.3316772617,344041,0.0000,1.0
2020-03-27,5.45,5.5,5.3,5.45,5.3316772617,293889,0.0000,1.0
2020-03-26,5.3,5.57,5.3,5.57,5.4490719904,654211,0.0000,1.0
