timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,124.92,125.314,124.7307,124.84,124.84,15095,0.0000,1.0
2020-12-10,124.34,125.72,124.34,125.6,125.6,13389,0.0000,1.0
2020-12-09,125.95,125.95,124.15,124.61,124.61,42475,0.0000,1.0
2020-12-08,125.8,125.99,125.13,125.91,125.91,41998,0.0000,1.0
2020-12-07,125.33,125.75,125.33,125.61,125.61,41674,0.0000,1.0
2020-12-04,125.27,125.62,125.11,125.59,125.59,15904,0.0000,1.0
2020-12-03,124.53,125.14,124.45,124.66,124.66,21410,0.0000,1.0
2020-12-02,123.47,123.9786,123.25,123.66,123.66,36416,0.0000,1.0
2020-12-01,123.8,124.355,123.55,124.04,124.04,83632,0.0000,1.0
2020-11-30,123.27,123.27,121.9,121.9,121.9,47685,0.0000,1.0
2020-11-27,124.69,125.07,124.69,124.9223,124.9223,24355,0.0000,1.0
2020-11-25,122.99,123.46,122.76,123.46,123.46,52495,0.0000,1.0
2020-11-24,124.26,124.629,123.55,124.57,124.57,59684,0.0000,1.0
2020-11-23,124.18,124.2027,123.18,123.68,123.68,32977,0.0000,1.0
2020-11-20,122.754,123.5282,122.754,123.06,123.06,10364,0.0000,1.0
2020-11-19,121.64,122.3478,121.59,122.21,122.21,26607,0.0000,1.0
2020-11-18,122.71,122.79,121.95,121.95,121.95,23921,0.0000,1.0
2020-11-17,122.09,122.53,121.55,122.165,122.165,34644,0.0000,1.0
2020-11-16,122.61,123.12,122.34,122.61,122.61,57999,0.0000,1.0
2020-11-13,121.46,121.85,120.9077,121.59,121.59,49860,0.0000,1.0
2020-11-12,120.91,121.45,119.8468,119.97,119.97,48792,0.0000,1.0
2020-11-11,119.35,120.5,119.11,120.43,120.43,51677,0.0000,1.0
2020-11-10,120.9,120.9,119.37,119.7,119.7,44462,0.0000,1.0
2020-11-09,124.74,124.75,121.99,121.99,121.99,52694,0.0000,1.0
2020-11-06,120.6,121.82,120.39,121.3,121.3,36223,0.0000,1.0
2020-11-05,121.3,121.45,120.305,121.1423,121.1423,29850,0.0000,1.0
2020-11-04,118.06,119.5824,117.586,119.23,119.23,29315,0.0000,1.0
2020-11-03,115.49,116.279,115.08,115.95,115.95,20840,0.0000,1.0
2020-11-02,115.3,115.8818,115.1317,115.8333,115.8333,13667,0.0000,1.0
2020-10-30,114.35,114.87,113.745,114.38,114.38,62178,0.0000,1.0
2020-10-29,115.1799,116.07,115.01,115.76,115.76,38672,0.0000,1.0
2020-10-28,115.1,115.1,114.19,114.33,114.33,11023,0.0000,1.0
2020-10-27,116.01,116.7574,115.86,116.7393,116.7393,6994,0.0000,1.0
2020-10-26,115.38,116.08,114.68,115.48,115.48,18537,0.0000,1.0
2020-10-23,116.15,116.7023,115.74,116.7,116.7,4612,0.0000,1.0
2020-10-22,116.62,116.74,116.02,116.37,116.37,7006,0.0000,1.0
2020-10-21,116.58,117.0901,116.46,116.46,116.46,12006,0.0000,1.0
2020-10-20,116.23,116.88,116.14,116.42,116.42,24359,0.0000,1.0
2020-10-19,116.03,116.1661,115.13,115.41,115.41,10111,0.0000,1.0
2020-10-16,115.8,115.8849,115.49,115.57,115.57,6913,0.0000,1.0
2020-10-15,114.36,115.09,114.3,114.81,114.81,19289,0.0000,1.0
2020-10-14,116.76,116.88,116.02,116.05,116.05,10995,0.0000,1.0
2020-10-13,116.55,116.75,116.15,116.68,116.68,8498,0.0000,1.0
2020-10-12,116.53,117.1,116.35,116.85,116.85,15758,0.0000,1.0
2020-10-09,114.97,115.8171,114.97,115.6852,115.6852,9191,0.0000,1.0
2020-10-08,114.69,115.0068,114.49,114.79,114.79,16863,0.0000,1.0
2020-10-07,114.02,114.46,113.79,114.19,114.19,29192,0.0000,1.0
2020-10-06,112.92,113.5999,112.73,112.94,112.94,41201,0.0000,1.0
2020-10-05,111.59,112.41,111.59,112.3385,112.3385,59128,0.0000,1.0
2020-10-02,111.34,112.05,111.1601,111.3356,111.3356,20672,0.0000,1.0
2020-10-01,112.42,112.6871,111.93,112.53,112.53,10337,0.0000,1.0
2020-09-30,110.46,111.6299,110.46,111.39,111.39,32542,0.0000,1.0
2020-09-29,109.36,109.8371,109.2,109.6724,109.6724,13407,0.0000,1.0
2020-09-28,109.65,109.74,109.075,109.48,109.48,32166,0.0000,1.0
2020-09-25,107.12,108.25,106.6,108.25,108.25,37363,0.0000,1.0
