timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,37.77,37.8467,37.4601,37.59,37.59,4246607,0.0000,1.0
2020-12-10,37.87,38.16,37.82,37.97,37.97,3420034,0.0000,1.0
2020-12-09,37.85,37.875,37.52,37.84,37.84,5054037,0.0000,1.0
2020-12-08,37.22,37.83,37.2,37.64,37.64,3467232,0.0000,1.0
2020-12-07,37.6,37.695,37.32,37.56,37.56,3842018,0.0000,1.0
2020-12-04,37.65,37.86,37.48,37.5,37.5,4021531,0.0000,1.0
2020-12-03,37.32,37.415,37.0767,37.27,37.27,5785585,0.0000,1.0
2020-12-02,37.28,37.64,37.28,37.4,37.4,4170346,0.0000,1.0
2020-12-01,37.12,37.58,37.09,37.52,37.52,5830851,0.0000,1.0
2020-11-30,37.32,37.35,36.73,36.79,36.79,7418650,0.0000,1.0
2020-11-27,36.92,37.2109,36.85,37.07,37.07,2804437,0.0000,1.0
2020-11-25,36.92,37.25,36.8,37.23,37.23,3636747,0.0000,1.0
2020-11-24,36.77,37.21,36.72,37.09,37.09,4944303,0.0000,1.0
2020-11-23,36.91,36.925,36.48,36.74,36.74,5735799,0.0000,1.0
2020-11-20,37.14,37.2,36.88,37.03,37.03,4275631,0.0000,1.0
2020-11-19,37.17,37.22,36.85,37.14,37.14,5340722,0.0000,1.0
2020-11-18,37.33,37.345,36.52,36.57,36.57,10821862,0.0000,1.0
2020-11-17,37.28,37.5,37.03,37.15,37.15,9396122,0.0000,1.0
2020-11-16,38.41,38.54,37.9,38.06,38.06,5164722,0.0000,1.0
2020-11-13,37.78,38.3,37.78,38.3,38.3,3449792,0.0000,1.0
2020-11-12,37.99,38.17,37.67,37.75,37.75,4168183,0.4959,1.0
2020-11-11,38.91,39.265,38.68,39.17,38.6620796174,7565165,0.0000,1.0
2020-11-10,39.07,39.14,38.54,38.83,38.3264884234,6190943,0.0000,1.0
2020-11-09,37.99,38.02,37.46,37.49,37.0038643058,6280417,0.0000,1.0
2020-11-06,37.08,37.145,36.75,36.84,36.3622929055,4755196,0.0000,1.0
2020-11-05,37.39,37.43,36.685,36.8,36.3228115885,6602422,0.0000,1.0
2020-11-04,36.34,37.12,36.31,36.57,36.0957940161,10922015,0.0000,1.0
2020-11-03,35.09,35.475,35.04,35.26,34.8027808862,6187305,0.0000,1.0
2020-11-02,34.2,34.43,34.02,34.4,33.9539325719,4582446,0.0000,1.0
2020-10-30,33.48,33.73,33.26,33.42,32.9866403067,5682742,0.0000,1.0
2020-10-29,33.94,34.13,33.4782,33.96,33.5196380855,6562520,0.0000,1.0
2020-10-28,34.66,34.7,33.865,33.95,33.5097677563,7482829,0.0000,1.0
2020-10-27,35.46,35.775,35.31,35.35,34.8916138493,6664733,0.0000,1.0
2020-10-26,35.43,35.46,34.99,35.22,34.7632995692,3600038,0.0000,1.0
2020-10-23,35.41,35.505,34.98,35.29,34.8323918739,5153774,0.0000,1.0
2020-10-22,35.22,35.26,34.89,35.09,34.6349852892,6903782,0.0000,1.0
2020-10-21,35.68,35.9,35.31,35.35,34.8916138493,7760117,0.0000,1.0
2020-10-20,36.17,36.24,35.78,36.04,35.5726665666,5306397,0.0000,1.0
2020-10-19,36.62,36.77,36.0847,36.18,35.7108511759,3487188,0.0000,1.0
2020-10-16,36.46,36.725,36.4001,36.57,36.0957940161,3950649,0.0000,1.0
2020-10-15,35.99,36.12,35.71,35.98,35.5134445912,6908486,0.0000,1.0
2020-10-14,37.46,37.49,37.01,37.21,36.7274950872,2933892,0.0000,1.0
2020-10-13,37.49,37.67,37.07,37.19,36.7077544287,5022250,0.0000,1.0
2020-10-12,37.7,37.7,37.38,37.56,37.0729566105,3551780,0.0000,1.0
2020-10-09,37.58,37.89,37.48,37.57,37.0828269397,3865208,0.0000,1.0
2020-10-08,36.92,37.25,36.87,37.16,36.678143441,3299014,0.0000,1.0
2020-10-07,36.64,36.76,36.5,36.59,36.1155346746,3748343,0.0000,1.0
2020-10-06,37.47,37.52,36.72,36.81,36.3326819178,4072542,0.0000,1.0
2020-10-05,37.38,37.795,37.37,37.69,37.2012708905,2393001,0.0000,1.0
2020-10-02,37.16,37.4762,37.085,37.24,36.7571060749,3344560,0.0000,1.0
2020-10-01,37.61,37.7,36.98,37.14,36.6584027825,3882911,0.0000,1.0
2020-09-30,38.11,38.12,37.5,37.64,37.1519192443,3739722,0.0000,1.0
2020-09-29,37.6,37.8573,37.27,37.43,36.9446423304,2868822,0.0000,1.0
2020-09-28,37.84,38.16,37.775,37.86,37.3690664875,3012753,0.0000,1.0
2020-09-25,37.31,37.81,37.29,37.8,37.3098445121,3275576,0.0000,1.0
2020-09-24,37.58,37.65,37.09,37.38,36.8952906842,3502900,0.0000,1.0
2020-09-23,38.61,38.6315,37.75,37.79,37.2999741829,3331730,0.0000,1.0
2020-09-22,37.95,38.125,37.7,38.0,37.5072510968,3299663,0.0000,1.0
2020-09-21,38.53,38.55,37.7,38.21,37.7145280108,4421020,0.0000,1.0
2020-09-18,39.78,39.78,39.18,39.26,38.7509125806,3683972,0.0000,1.0
2020-09-17,39.43,39.74,39.25,39.47,38.9581894945,2611993,0.0000,1.0
2020-09-16,39.45,39.71,39.39,39.42,38.9088378483,2089363,0.0000,1.0
2020-09-15,39.44,39.62,39.23,39.27,38.7607829098,1755757,0.0000,1.0
2020-09-14,39.15,39.247,39.02,39.08,38.5732466543,1527305,0.0000,1.0
2020-09-11,39.1,39.21,38.855,39.11,38.602857642,2135596,0.0000,1.0
2020-09-10,39.47,39.6032,38.7002,38.77,38.267266448,2627075,0.0000,1.0
2020-09-09,39.93,40.13,39.75,39.75,39.2345587131,3274022,0.0000,1.0
2020-09-08,39.14,39.35,38.82,38.97,38.4646730327,3045873,0.0000,1.0
2020-09-04,38.92,39.015,37.98,38.47,37.9711565709,3770800,0.0000,1.0
2020-09-03,39.87,39.96,38.81,39.01,38.5041543497,2763751,0.0000,1.0
2020-09-02,39.5,39.94,39.4,39.9,39.3826136517,2842650,0.0000,1.0
2020-09-01,39.3,39.35,38.71,38.96,38.4548027035,3712577,0.0000,1.0
2020-08-31,39.59,39.93,39.49,39.6,39.0865037746,2154602,0.0000,1.0
2020-08-28,39.73,39.74,39.35,39.6,39.0865037746,2110289,0.0000,1.0
2020-08-27,40.23,40.25,39.62,39.75,39.2345587131,2501396,0.0000,1.0
2020-08-26,40.02,40.21,39.915,40.21,39.688593858,1691228,0.0000,1.0
2020-08-25,40.38,40.45,40.035,40.14,39.6195015533,1910210,0.0000,1.0
2020-08-24,40.56,40.61,40.02,40.24,39.7182048457,3578518,0.0000,1.0
2020-08-21,40.0,40.24,39.86,40.21,39.688593858,2218124,0.0000,1.0
2020-08-20,40.62,40.69,40.41,40.59,40.063666369,1867201,0.0000,1.0
2020-08-19,41.32,41.32,40.72,40.74,40.2117213075,1635152,0.0000,1.0
2020-08-18,41.22,41.25,40.92,41.09,40.5571828308,1989918,0.0000,1.0
2020-08-17,40.71,41.25,40.71,41.13,40.5966641477,2685120,0.0000,1.0
2020-08-14,40.54,40.775,40.4418,40.55,40.024185052,3258846,0.0000,1.0
2020-08-13,41.52,41.56,41.11,41.19,40.6558861231,2853320,0.4914,1.0
2020-08-12,41.94,42.4,41.87,42.16,41.1226950387,3314874,0.0000,1.0
2020-08-11,41.5,41.53,41.2128,41.29,40.2741005254,2881462,0.0000,1.0
2020-08-10,41.0,41.02,40.71,40.94,39.932711928,2171842,0.0000,1.0
2020-08-07,40.61,40.845,40.565,40.79,39.7864025292,2948570,0.0000,1.0
2020-08-06,40.94,41.0821,40.65,40.97,39.9619738078,2896764,0.0000,1.0
2020-08-05,41.59,41.66,41.11,41.21,40.196068846,2363960,0.0000,1.0
2020-08-04,40.97,41.32,40.92,41.24,40.2253307257,2188123,0.0000,1.0
2020-08-03,41.07,41.5487,40.96,41.29,40.2741005254,2940893,0.0000,1.0
2020-07-31,41.0,41.05,40.065,40.32,39.3279664128,5256383,0.0000,1.0
2020-07-30,39.8,40.32,39.615,40.25,39.2596886933,3566872,0.0000,1.0
2020-07-29,41.04,41.07,40.165,40.59,39.5913233307,5061440,0.0000,1.0
2020-07-28,41.3,41.66,41.25,41.3,40.2838544853,4145113,0.0000,1.0
2020-07-27,40.68,40.99,40.58,40.88,39.8741881685,3000548,0.0000,1.0
2020-07-24,40.37,40.51,40.145,40.29,39.298704533,3716021,0.0000,1.0
2020-07-23,41.27,41.29,40.29,40.3,39.3084584929,4425092,0.0000,1.0
2020-07-22,41.36,41.55,41.0,41.17,40.1570530063,2072607,0.0000,1.0
2020-07-21,41.85,41.87,41.42,41.57,40.5472114032,2904991,0.0000,1.0
2020-07-20,42.18,42.4,41.41,41.58,40.5569653632,2943761,0.0000,1.0
2020-07-17,41.53,41.95,41.47,41.82,40.7910604013,2624599,0.0000,1.0
2020-07-16,41.67,41.74,41.23,41.49,40.4691797238,2746966,0.0000,1.0
2020-07-15,41.61,42.1,41.44,41.95,40.9178618803,4900650,0.0000,1.0
2020-07-14,40.17,40.76,40.05,40.7,39.6986168899,3778829,0.0000,1.0
2020-07-13,40.15,40.67,39.97,40.07,39.0841174147,3284502,0.0000,1.0
2020-07-10,40.07,40.17,39.35,39.91,38.9280540559,3433827,0.0000,1.0
2020-07-09,40.79,41.0,40.12,40.37,39.3767362124,2770579,0.0000,1.0
2020-07-08,40.57,40.79,40.38,40.73,39.7278787696,2253816,0.0000,1.0
2020-07-07,40.29,40.83,40.26,40.38,39.3864901723,2064969,0.0000,1.0
2020-07-06,40.85,41.32,40.83,41.01,40.0009896475,2163976,0.0000,1.0
2020-07-02,41.15,41.28,40.95,41.22,40.2058228059,2713207,0.0000,1.0
2020-07-01,40.71,41.12,40.53,40.86,39.8546802486,2473723,0.0000,1.0
2020-06-30,40.3,40.92,40.19,40.79,39.7864025292,2321711,0.0000,1.0
2020-06-29,41.02,41.07,40.625,40.75,39.7473866895,2373263,0.0000,1.0
2020-06-26,41.38,41.48,40.47,40.55,39.552307491,2567723,0.0000,1.0
2020-06-25,40.81,41.15,40.54,41.12,40.1082832067,1886870,0.0000,1.0
2020-06-24,41.04,41.34,40.56,40.67,39.6693550101,2305311,0.0000,1.0
2020-06-23,41.6,42.15,41.47,41.59,40.5667193231,2381620,0.0000,1.0
2020-06-22,41.43,41.48,41.0,41.22,40.2058228059,2218133,0.0000,1.0
2020-06-19,41.31,41.43,40.76,41.1,40.0887752868,2284263,0.0000,1.0
2020-06-18,41.17,41.32,40.84,40.95,39.942465888,1917985,0.0000,1.0
2020-06-17,41.92,42.03,41.77,41.83,40.8008143613,2895144,0.0000,1.0
2020-06-16,41.54,41.58,40.87,41.32,40.3033624051,4449046,0.0000,1.0
2020-06-15,40.23,40.92,39.81,40.72,39.7181248097,4211544,0.0000,1.0
2020-06-12,40.94,41.06,39.86,40.42,39.425506012,4365557,0.0000,1.0
2020-06-11,41.83,41.86,40.21,40.21,39.2206728536,3835040,0.0000,1.0
2020-06-10,42.66,42.77,42.25,42.41,41.3665440368,3426270,0.0000,1.0
2020-06-09,42.18,42.28,41.87,41.88,40.8495841609,2937285,0.0000,1.0
2020-06-08,42.0,42.37,41.77,42.37,41.3275281971,5343798,0.0000,1.0
2020-06-05,41.73,42.07,41.62,41.7,40.6740128822,2778708,0.0000,1.0
2020-06-04,41.74,42.13,41.6,41.65,40.6252430826,2801121,0.0000,1.0
2020-06-03,42.19,42.32,42.07,42.12,41.083679199,2637819,0.0000,1.0
2020-06-02,41.69,42.06,41.55,42.03,40.9958935597,1993650,0.0000,1.0
2020-06-01,41.63,41.89,41.54,41.85,40.8203222811,2187091,0.0000,1.0
2020-05-29,41.79,41.96,41.08,41.92,40.8886000006,3695983,0.0000,1.0
2020-05-28,41.66,42.03,41.34,41.54,40.5179495235,2925539,0.0000,1.0
2020-05-27,40.69,40.98,40.29,40.94,39.932711928,2614001,0.0000,1.0
2020-05-26,40.91,41.17,40.65,40.75,39.7473866895,2030655,0.0000,1.0
2020-05-22,40.59,41.09,40.49,40.89,39.8839421284,1619354,0.0000,1.0
2020-05-21,41.27,41.37,40.81,41.03,40.0204975674,2282940,0.0000,1.0
2020-05-20,41.87,41.89,41.19,41.31,40.2936084452,3304276,0.0000,1.0
2020-05-19,41.26,41.61,40.9,40.93,39.9229579681,3495164,0.0000,1.0
2020-05-18,41.43,41.75,41.28,41.28,40.2643465654,5614066,0.0000,1.0
2020-05-15,40.6,40.99,40.46,40.91,39.9034500483,2549749,0.0000,1.0
2020-05-14,40.93,41.24,40.5,40.86,39.8546802486,4822715,0.4720,1.0
2020-05-13,42.66,43.18,42.54,42.74,41.212318547,5027079,0.0000,1.0
2020-05-12,42.26,42.67,41.98,42.21,40.7012626548,3861538,0.0000,1.0
2020-05-11,41.44,42.24,41.39,42.07,40.5662667588,2903512,0.0000,1.0
2020-05-08,41.75,42.1,41.69,41.91,40.4119857348,1629316,0.0000,1.0
2020-05-07,41.85,41.92,41.34,41.7,40.2094918907,3053344,0.0000,1.0
2020-05-06,42.29,42.71,42.15,42.39,40.8748288069,3807097,0.0000,1.0
2020-05-05,42.38,42.47,41.92,41.99,40.4891262468,3934345,0.0000,1.0
2020-05-04,41.83,42.16,41.63,42.15,40.6434072708,3823137,0.0000,1.0
2020-05-01,41.15,41.24,40.63,41.21,39.7370062546,3253142,0.0000,1.0
2020-04-30,42.9,42.94,41.89,42.07,40.5662667588,3477435,0.0000,1.0
2020-04-29,42.41,42.48,41.83,41.85,40.3541303507,4396688,0.0000,1.0
2020-04-28,42.96,42.97,42.01,42.09,40.5855518868,3398072,0.0000,1.0
2020-04-27,42.58,42.97,42.54,42.63,41.1062503429,2623597,0.0000,1.0
