timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.21,11.25,10.93,11.09,11.09,167218,0.0000,1.0
2020-12-10,11.32,11.42,11.22,11.35,11.35,134972,0.0000,1.0
2020-12-09,11.16,11.51,11.16,11.49,11.49,226479,0.0000,1.0
2020-12-08,10.77,11.25,10.76,11.12,11.12,273763,0.0000,1.0
2020-12-07,10.94,11.01,10.7001,10.95,10.95,142500,0.0000,1.0
2020-12-04,10.64,10.94,10.64,10.92,10.92,151230,0.0000,1.0
2020-12-03,10.51,10.67,10.35,10.51,10.51,106054,0.0000,1.0
2020-12-02,10.435,10.63,10.3,10.49,10.49,153971,0.0000,1.0
2020-12-01,10.0,10.46,9.99,10.36,10.36,270879,0.0000,1.0
2020-11-30,10.5,10.5,9.68,9.75,9.75,778068,0.0000,1.0
2020-11-27,10.78,10.93,10.3,10.6,10.6,146506,0.0000,1.0
2020-11-25,10.84,11.02,10.68,10.87,10.87,127734,0.0000,1.0
2020-11-24,10.5,11.06,10.5,11.0,11.0,322791,0.0000,1.0
2020-11-23,10.42,10.45,10.25,10.33,10.33,152739,0.0000,1.0
2020-11-20,10.19,10.32,10.08,10.28,10.28,136683,0.0000,1.0
2020-11-19,10.26,10.37,10.07,10.35,10.35,123510,0.0000,1.0
2020-11-18,10.53,10.67,10.31,10.32,10.32,169490,0.0000,1.0
2020-11-17,10.4,10.53,10.16,10.43,10.43,202818,0.0000,1.0
2020-11-16,10.52,10.68,10.44,10.58,10.58,145543,0.0000,1.0
2020-11-13,10.07,10.32,9.99,10.16,10.16,138099,0.0800,1.0
2020-11-12,10.15,10.15,9.865,10.09,10.011171875,175052,0.0000,1.0
2020-11-11,10.81,10.9,10.15,10.39,10.308828125,120632,0.0000,1.0
2020-11-10,10.8,11.0,10.3015,10.84,10.7553125,233565,0.0000,1.0
2020-11-09,9.86,10.72,9.31,10.33,10.249296875,293904,0.0000,1.0
2020-11-06,9.29,9.31,8.98,9.03,8.959453125,94394,0.0000,1.0
2020-11-05,8.84,9.25,8.84,9.23,9.157890625,109014,0.0000,1.0
2020-11-04,9.1,9.12,8.68,8.84,8.7709375,187561,0.0000,1.0
2020-11-03,9.4,9.52,9.21,9.36,9.286875,114051,0.0000,1.0
2020-11-02,9.08,9.255,9.01,9.19,9.118203125,134089,0.0000,1.0
2020-10-30,8.83,9.13,8.81,8.99,8.919765625,210145,0.0000,1.0
2020-10-29,8.94,9.04,8.55,8.85,8.780859375,218582,0.0000,1.0
2020-10-28,9.46,9.46,8.92,8.96,8.89,401624,0.0000,1.0
2020-10-27,9.07,9.08,8.59,8.6,8.5328125,137733,0.0000,1.0
2020-10-26,9.1,9.32,8.9,9.03,8.959453125,124941,0.0000,1.0
2020-10-23,9.27,9.57,9.06,9.26,9.18765625,199673,0.0000,1.0
2020-10-22,8.73,9.25,8.73,9.21,9.138046875,169211,0.0000,1.0
2020-10-21,8.58,8.73,8.535,8.7,8.63203125,364546,0.0000,1.0
2020-10-20,8.54,8.83,8.47,8.6,8.5328125,157775,0.0000,1.0
2020-10-19,8.435,8.72,8.42,8.46,8.39390625,174902,0.0000,1.0
2020-10-16,8.63,8.64,8.4,8.56,8.493125,150380,0.0000,1.0
2020-10-15,8.42,8.73,8.38,8.67,8.602265625,172136,0.0000,1.0
2020-10-14,8.72,8.83,8.54,8.56,8.493125,91328,0.0000,1.0
2020-10-13,8.88,8.88,8.62,8.71,8.641953125,138058,0.0000,1.0
2020-10-12,8.8,8.97,8.71,8.94,8.87015625,104556,0.0000,1.0
2020-10-09,9.07,9.11,8.775,8.79,8.721328125,111591,0.0000,1.0
2020-10-08,8.91,8.99,8.71,8.97,8.899921875,108585,0.0000,1.0
2020-10-07,8.83,9.015,8.64,8.805,8.7362109375,159605,0.0000,1.0
2020-10-06,8.7,9.01,8.67,8.73,8.661796875,150359,0.0000,1.0
2020-10-05,8.5,8.75,8.5,8.69,8.622109375,122606,0.0000,1.0
2020-10-02,7.93,8.39,7.93,8.38,8.31453125,234989,0.0000,1.0
2020-10-01,8.13,8.18,7.91,8.12,8.0565625,150654,0.0000,1.0
2020-09-30,8.08,8.28,8.04,8.21,8.145859375,210670,0.0000,1.0
2020-09-29,8.02,8.13,7.88,8.04,7.9771875,115107,0.0000,1.0
2020-09-28,7.91,8.28,7.91,8.07,8.006953125,172407,0.0000,1.0
2020-09-25,7.66,7.87,7.66,7.74,7.67953125,220512,0.0000,1.0
2020-09-24,7.59,8.09,7.475,7.76,7.699375,289563,0.0000,1.0
2020-09-23,7.84,8.06,7.6,7.62,7.56046875,188645,0.0000,1.0
2020-09-22,8.17,8.29,7.82,7.865,7.8035546875,161469,0.0000,1.0
2020-09-21,8.39,8.4525,7.99,8.13,8.066484375,210756,0.0000,1.0
2020-09-18,8.81,8.81,8.51,8.59,8.522890625,463296,0.0000,1.0
2020-09-17,8.72,8.9,8.7,8.71,8.641953125,111444,0.0000,1.0
2020-09-16,8.81,9.05,8.785,8.88,8.810625,154929,0.0000,1.0
2020-09-15,9.02,9.04,8.8,8.81,8.741171875,141706,0.0000,1.0
2020-09-14,8.99,9.06,8.86,8.96,8.89,139669,0.0000,1.0
2020-09-11,9.0,9.0,8.85,8.95,8.880078125,125886,0.0000,1.0
2020-09-10,9.13,9.23,8.96,8.98,8.90984375,139968,0.0000,1.0
2020-09-09,9.34,9.34,9.04,9.09,9.018984375,198165,0.0000,1.0
2020-09-08,9.6,9.6,9.13,9.3,9.22734375,263217,0.0000,1.0
2020-09-04,9.76,9.84,9.33,9.68,9.604375,237172,0.0000,1.0
2020-09-03,9.56,9.98,9.54,9.57,9.495234375,166888,0.0000,1.0
2020-09-02,9.52,9.66,9.4,9.51,9.435703125,119995,0.0000,1.0
2020-09-01,9.47,9.74,9.44,9.55,9.475390625,100882,0.0000,1.0
2020-08-31,9.63,9.7,9.51,9.53,9.455546875,160978,0.0000,1.0
2020-08-28,9.81,9.81,9.61,9.71,9.634140625,96446,0.0000,1.0
2020-08-27,9.54,9.94,9.5,9.69,9.614296875,94687,0.0000,1.0
2020-08-26,9.79,9.79,9.5,9.57,9.495234375,195465,0.0000,1.0
2020-08-25,9.89,10.1,9.69,9.84,9.763125,146847,0.0000,1.0
2020-08-24,9.4,9.82,9.28,9.78,9.70359375,312433,0.0000,1.0
2020-08-21,9.45,9.57,9.26,9.38,9.30671875,128199,0.0000,1.0
2020-08-20,9.53,9.65,9.5,9.55,9.475390625,160713,0.0000,1.0
2020-08-19,9.71,9.97,9.59,9.69,9.614296875,147233,0.0000,1.0
2020-08-18,9.98,9.98,9.59,9.665,9.5894921875,176618,0.0000,1.0
2020-08-17,10.24,10.24,9.87,10.0,9.921875,167764,0.0000,1.0
2020-08-14,10.09,10.33,9.95,10.26,10.17984375,205869,0.0000,1.0
2020-08-13,10.31,10.36,10.12,10.21,10.130234375,103335,0.0000,1.0
2020-08-12,10.74,10.74,10.19,10.43,10.348515625,121030,0.0000,1.0
2020-08-11,10.5,10.84,10.39,10.47,10.388203125,215346,0.0000,1.0
2020-08-10,10.2,10.58,10.12,10.35,10.269140625,175213,0.0000,1.0
2020-08-07,9.49,10.13,9.18,10.11,10.031015625,234980,0.0800,1.0
2020-08-06,9.81,9.87,9.48,9.66,9.50928468474,163293,0.0000,1.0
2020-08-05,9.69,9.89,9.51,9.85,9.69632030483,315110,0.0000,1.0
2020-08-04,9.5,9.68,9.46,9.56,9.41084488469,364091,0.0000,1.0
2020-08-03,9.32,9.59,9.16,9.49,9.34193702466,431236,0.0000,1.0
2020-07-31,9.18,9.36,9.03,9.23,9.08599354453,376885,0.0000,1.0
2020-07-30,9.26,9.3946,9.11,9.2,9.05646160451,311940,0.0000,1.0
2020-07-29,9.32,9.72,8.81,9.53,9.38131294468,468589,0.0000,1.0
2020-07-28,9.22,9.355,9.09,9.15,9.00724170449,165145,0.0000,1.0
2020-07-27,9.44,9.44,9.17,9.265,9.12044747455,299460,0.0000,1.0
2020-07-24,9.52,9.74,9.44,9.495,9.34685901466,228289,0.0000,1.0
2020-07-23,9.2,9.58,9.17,9.52,9.37146896467,219938,0.0000,1.0
2020-07-22,9.32,9.44,9.18,9.23,9.08599354453,160462,0.0000,1.0
2020-07-21,9.1,9.48,9.1,9.43,9.28287314463,210864,0.0000,1.0
2020-07-20,9.05,9.13,8.84,8.95,8.81036210439,210421,0.0000,1.0
2020-07-17,9.58,9.58,9.12,9.13,8.98755374448,145984,0.0000,1.0
2020-07-16,9.38,9.79,9.01,9.6,9.45022080471,307386,0.0000,1.0
2020-07-15,9.46,9.59,9.25,9.47,9.32224906465,328503,0.0000,1.0
2020-07-14,9.24,9.39,9.03,9.13,8.98755374448,139881,0.0000,1.0
2020-07-13,9.28,9.48,8.95,9.28,9.13521344455,216090,0.0000,1.0
