timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,24.55,24.93,24.2,24.57,24.57,976439,0.0000,1.0
2020-12-10,24.45,24.82,24.24,24.77,24.77,766330,0.0000,1.0
2020-12-09,24.41,24.75,24.17,24.68,24.68,661456,0.0000,1.0
2020-12-08,23.58,24.15,23.58,24.1,24.1,924559,0.0000,1.0
2020-12-07,23.72,24.5,23.66,23.805,23.805,547697,0.0000,1.0
2020-12-04,23.35,23.9,23.02,23.9,23.9,484029,0.0000,1.0
2020-12-03,22.97,23.38,22.94,23.13,23.13,532958,0.0000,1.0
2020-12-02,23.19,23.41,22.905,23.11,23.11,473607,0.0000,1.0
2020-12-01,23.77,24.005,23.2,23.48,23.48,467498,0.0000,1.0
2020-11-30,23.7,24.44,23.38,23.67,23.67,618256,0.0000,1.0
2020-11-27,23.98,24.2,23.79,24.1,24.1,162428,0.0000,1.0
2020-11-25,23.72,24.29,23.475,24.02,24.02,634688,0.0000,1.0
2020-11-24,23.76,24.35,23.4604,23.8,23.8,429488,0.0000,1.0
2020-11-23,23.0,23.89,22.94,23.425,23.425,520633,0.0000,1.0
2020-11-20,22.89,23.055,22.51,22.82,22.82,826208,0.0000,1.0
2020-11-19,23.04,23.3679,22.31,22.98,22.98,388855,0.2050,1.0
2020-11-18,23.85,24.04,23.28,23.32,23.1138063403,420098,0.0000,1.0
2020-11-17,23.45,24.1,22.89,23.82,23.6093853785,599320,0.0000,1.0
2020-11-16,23.54,23.6261,22.8959,23.47,23.2624800518,433261,0.0000,1.0
2020-11-13,23.51,23.74,22.76,22.98,22.7768125943,457276,0.0000,1.0
2020-11-12,24.5,24.7,22.94,23.19,22.9849557904,615624,0.0000,1.0
2020-11-11,25.11,25.11,24.17,24.73,24.5113392279,375750,0.0000,1.0
2020-11-10,24.47,25.7,24.46,25.1,24.8780677162,726961,0.0000,1.0
2020-11-09,23.95,25.04,23.76,24.25,24.0355833513,829387,0.0000,1.0
