timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,130.8,132.24,130.025,131.86,131.86,433901,0.0000,1.0
2020-12-10,130.13,131.97,129.71,131.09,131.09,331907,0.0000,1.0
2020-12-09,132.49,133.1,129.7142,130.88,130.88,317551,0.0000,1.0
2020-12-08,132.51,134.76,131.08,132.23,132.23,295595,0.0000,1.0
2020-12-07,133.9,134.49,132.49,133.56,133.56,334492,0.0000,1.0
2020-12-04,132.49,133.575,131.37,132.85,132.85,208932,0.0000,1.0
2020-12-03,130.19,133.9,129.18,131.56,131.56,432535,0.0000,1.0
2020-12-02,127.92,130.08,126.48,129.66,129.66,430322,0.0000,1.0
2020-12-01,125.24,129.77,125.1701,128.81,128.81,439732,0.0000,1.0
2020-11-30,126.5,126.81,123.38,123.58,123.58,475663,0.0000,1.0
2020-11-27,129.32,129.34,126.105,127.06,127.06,116619,0.0000,1.0
2020-11-25,128.9,129.54,127.46,128.46,128.46,350941,0.0000,1.0
2020-11-24,130.54,131.29,129.36,129.6,129.6,628382,0.0000,1.0
2020-11-23,128.77,130.15,127.64,128.25,128.25,489666,0.0000,1.0
2020-11-20,132.98,132.98,127.61,127.98,127.98,573833,0.0000,1.0
2020-11-19,133.46,134.8199,132.45,133.17,133.17,543535,0.0000,1.0
2020-11-18,137.22,137.97,134.11,134.29,134.29,360402,0.0000,1.0
2020-11-17,133.87,137.13,132.16,135.47,135.47,324191,0.0000,1.0
2020-11-16,134.5,136.37,133.45,135.46,135.46,616318,0.0000,1.0
2020-11-13,126.85,130.16,126.57,130.07,130.07,433833,0.0000,1.0
2020-11-12,125.01,126.85,124.3,125.29,125.29,438886,0.0000,1.0
2020-11-11,129.73,129.77,125.37,126.68,126.68,375726,0.0000,1.0
2020-11-10,126.32,130.92,125.805,129.77,129.77,508187,0.0000,1.0
2020-11-09,122.67,129.25,120.92,125.79,125.79,762056,0.0000,1.0
2020-11-06,114.9,115.52,113.71,115.0,115.0,201877,0.0000,1.0
2020-11-05,113.44,114.9499,113.37,114.04,114.04,294281,0.0000,1.0
2020-11-04,112.7,114.74,111.35,113.22,113.22,239325,0.0000,1.0
2020-11-03,110.57,113.96,110.01,112.97,112.97,346753,0.0000,1.0
2020-11-02,106.5,109.525,106.39,108.63,108.63,262805,0.0000,1.0
2020-10-30,105.34,106.295,102.93,105.05,105.05,327111,0.0000,1.0
2020-10-29,104.0,106.21,102.64,105.5,105.5,390151,0.0000,1.0
2020-10-28,104.83,108.4167,104.15,104.18,104.18,333240,0.0000,1.0
2020-10-27,108.67,108.94,106.48,106.92,106.92,333724,0.0000,1.0
2020-10-26,112.55,112.55,108.66,109.16,109.16,339017,0.0000,1.0
2020-10-23,114.1,114.875,112.56,114.08,114.08,265779,0.0000,1.0
2020-10-22,110.17,113.405,110.17,112.98,112.98,246949,0.0000,1.0
2020-10-21,111.09,112.445,110.13,110.5,110.5,229019,0.0000,1.0
2020-10-20,111.62,113.2,110.61,110.97,110.97,328700,0.0000,1.0
2020-10-19,113.24,114.0,110.41,110.57,110.57,230173,0.0000,1.0
2020-10-16,115.18,115.18,112.62,112.7,112.7,440531,0.0000,1.0
2020-10-15,109.77,116.0,109.2143,114.59,114.59,647611,0.0000,1.0
2020-10-14,108.92,111.14,108.92,109.78,109.78,189065,0.0000,1.0
2020-10-13,109.61,110.6,108.94,109.41,109.41,181198,0.0000,1.0
2020-10-12,111.71,111.93,110.7,110.73,110.73,206873,0.0000,1.0
2020-10-09,112.0,113.2228,111.29,111.66,111.66,243358,0.0000,1.0
2020-10-08,111.87,112.09,110.66,111.78,111.78,213781,0.0000,1.0
2020-10-07,109.01,111.06,108.56,110.48,110.48,337697,0.0000,1.0
2020-10-06,107.87,109.05,105.89,106.04,106.04,354417,0.0000,1.0
2020-10-05,107.55,108.395,106.36,106.67,106.67,225951,0.0000,1.0
2020-10-02,102.07,106.37,102.01,106.1,106.1,245270,0.0000,1.0
2020-10-01,106.15,106.9,104.63,105.42,105.42,273138,0.0000,1.0
2020-09-30,104.73,106.28,103.47,104.66,104.66,521722,0.0000,1.0
2020-09-29,104.98,105.71,104.04,104.44,104.44,269404,0.0000,1.0
2020-09-28,106.15,107.39,105.125,105.44,105.44,400768,0.0000,1.0
2020-09-25,100.5,104.55,100.29,104.17,104.17,472405,0.0000,1.0
2020-09-24,102.29,103.24,99.55,101.48,101.48,468562,0.0000,1.0
2020-09-23,107.61,109.06,102.83,102.9,102.9,358224,0.0000,1.0
2020-09-22,106.85,108.5531,106.66,107.51,107.51,298438,0.0000,1.0
2020-09-21,109.16,109.46,106.01,106.8,106.8,398821,0.0000,1.0
2020-09-18,112.01,113.77,110.83,111.35,111.35,901516,0.0000,1.0
2020-09-17,110.5,113.93,109.68,112.22,112.22,467574,0.0000,1.0
2020-09-16,109.84,113.01,109.29,111.68,111.68,363463,0.0000,1.0
2020-09-15,110.15,111.15,109.005,109.65,109.65,457054,0.0000,1.0
2020-09-14,109.33,110.2846,108.58,110.02,110.02,415192,0.0000,1.0
2020-09-11,107.21,109.34,106.893,109.01,109.01,363985,0.0000,1.0
2020-09-10,109.37,110.64,107.14,107.2,107.2,345583,0.0000,1.0
2020-09-09,110.75,110.75,108.27,108.61,108.61,461113,0.0000,1.0
2020-09-08,110.56,110.96,107.84,109.49,109.49,407400,0.0000,1.0
2020-09-04,114.52,114.83,109.41,111.44,111.44,457095,0.0000,1.0
2020-09-03,114.95,115.42,111.74,113.49,113.49,705153,0.0000,1.0
2020-09-02,112.0,114.99,111.46,114.51,114.51,510522,0.0000,1.0
2020-09-01,109.28,112.6,108.68,111.98,111.98,414299,0.0000,1.0
2020-08-31,109.74,110.37,108.965,109.92,109.92,392756,0.0000,1.0
2020-08-28,109.21,110.66,108.96,110.59,110.59,391190,0.0000,1.0
2020-08-27,107.53,109.29,107.0,108.25,108.25,678753,0.0000,1.0
2020-08-26,109.0,109.2,101.7,106.15,106.15,860704,0.0000,1.0
2020-08-25,110.73,112.13,109.5391,110.34,110.34,604268,0.0000,1.0
2020-08-24,106.85,110.7,106.15,110.66,110.66,465106,0.0000,1.0
2020-08-21,105.55,106.59,105.24,105.8,105.8,221844,0.0000,1.0
2020-08-20,105.67,106.19,103.92,106.02,106.02,266880,0.0000,1.0
2020-08-19,105.45,107.7,104.24,106.64,106.64,435205,0.0000,1.0
