timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.03,2.13,1.95,2.0,2.0,469252,0.0000,1.0
2020-12-10,2.0,2.16,1.93,2.06,2.06,717142,0.0000,1.0
2020-12-09,2.2,2.23,1.9671,2.03,2.03,1025181,0.0000,1.0
2020-12-08,2.15,2.29,2.1,2.18,2.18,1259659,0.0000,1.0
2020-12-07,2.2801,2.39,2.2,2.26,2.26,2150515,0.0000,1.0
2020-12-04,4.03,5.4,2.5,2.58,2.58,122530826,0.0000,1.0
2020-12-03,1.6,1.77,1.4715,1.76,1.76,2643514,0.0000,1.0
2020-12-02,1.52,1.52,1.43,1.45,1.45,87122,0.0000,1.0
2020-12-01,1.47,1.54,1.45,1.52,1.52,25052,0.0000,1.0
2020-11-30,1.59,1.6,1.45,1.46,1.46,72116,0.0000,1.0
2020-11-27,1.45,1.5,1.45,1.5,1.5,23561,0.0000,1.0
2020-11-25,1.39,1.5399,1.39,1.43,1.43,57060,0.0000,1.0
2020-11-24,1.45,1.5,1.4,1.41,1.41,105243,0.0000,1.0
2020-11-23,1.56,1.56,1.35,1.41,1.41,95194,0.0000,1.0
2020-11-20,1.6,1.6196,1.42,1.47,1.47,91257,0.0000,1.0
2020-11-19,1.88,1.9,1.55,1.65,1.65,496404,0.0000,1.0
2020-11-18,1.38,1.79,1.3661,1.79,1.79,1242796,0.0000,1.0
2020-11-17,1.33,1.4052,1.33,1.38,1.38,8684,0.0000,1.0
2020-11-16,1.34,1.39,1.29,1.38,1.38,6682,0.0000,1.0
2020-11-13,1.39,1.4754,1.33,1.39,1.39,21215,0.0000,1.0
2020-11-12,1.39,1.39,1.2801,1.39,1.39,10875,0.0000,1.0
2020-11-11,1.4,1.4001,1.31,1.39,1.39,25926,0.0000,1.0
2020-11-10,1.32,1.49,1.28,1.46,1.46,32091,0.0000,1.0
2020-11-09,1.43,1.463,1.26,1.36,1.36,64072,0.0000,1.0
2020-11-06,1.31,1.48,1.25,1.38,1.38,41127,0.0000,1.0
2020-11-05,1.3109,1.32,1.285,1.31,1.31,28222,0.0000,1.0
2020-11-04,1.37,1.37,1.32,1.3342,1.3342,4581,0.0000,1.0
2020-11-03,1.28,1.3398,1.28,1.31,1.31,9569,0.0000,1.0
2020-11-02,1.33,1.43,1.3,1.32,1.32,42301,0.0000,1.0
2020-10-30,1.2266,1.39,1.18,1.35,1.35,159638,0.0000,1.0
2020-10-29,1.24,1.335,1.24,1.26,1.26,31809,0.0000,1.0
