timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.0,14.41,13.901,14.38,14.38,246136,0.0000,1.0
2020-12-10,14.07,14.12,13.74,14.06,14.06,474150,0.0000,1.0
2020-12-09,14.35,14.35,13.6,13.97,13.97,950596,0.0000,1.0
2020-12-08,14.74,14.74,13.91,14.3,14.3,1043449,0.0000,1.0
2020-12-07,12.54,12.88,12.4664,12.51,12.51,174639,0.0000,1.0
2020-12-04,12.25,12.6,12.2,12.51,12.51,252890,0.0000,1.0
2020-12-03,12.35,12.39,11.99,12.1,12.1,234725,0.0000,1.0
2020-12-02,12.5,12.56,12.26,12.34,12.34,169286,0.0000,1.0
2020-12-01,12.76,12.82,12.42,12.56,12.56,239962,0.0000,1.0
2020-11-30,13.05,13.29,12.475,12.61,12.61,264590,0.0000,1.0
2020-11-27,12.94,13.22,12.86,13.02,13.02,151411,0.0000,1.0
2020-11-25,12.78,12.97,12.51,12.82,12.82,201470,0.0000,1.0
2020-11-24,12.6,12.97,12.51,12.8,12.8,272708,0.0000,1.0
2020-11-23,11.95,12.53,11.95,12.45,12.45,314597,0.0000,1.0
2020-11-20,11.66,11.905,11.53,11.88,11.88,281969,0.0000,1.0
2020-11-19,11.47,11.72,11.47,11.63,11.63,353112,0.0000,1.0
2020-11-18,11.74,11.755,11.45,11.48,11.48,135550,0.0000,1.0
2020-11-17,11.83,12.08,11.7,11.75,11.75,163518,0.0000,1.0
2020-11-16,11.72,11.85,11.5,11.85,11.85,273098,0.0000,1.0
2020-11-13,11.68,11.92,11.31,11.58,11.58,187174,0.0000,1.0
2020-11-12,12.06,12.06,11.51,11.55,11.55,154317,0.0000,1.0
2020-11-11,11.92,12.2,11.92,12.1,12.1,232509,0.0000,1.0
2020-11-10,11.56,12.09,11.56,11.94,11.94,167838,0.0000,1.0
2020-11-09,11.6,11.824,11.43,11.48,11.48,247729,0.0000,1.0
2020-11-06,11.43,11.51,11.23,11.33,11.33,91479,0.0000,1.0
2020-11-05,11.29,11.495,11.21,11.39,11.39,127533,0.0000,1.0
2020-11-04,11.31,11.505,11.04,11.25,11.25,255410,0.0000,1.0
2020-11-03,11.28,11.475,11.26,11.36,11.36,195178,0.0000,1.0
2020-11-02,11.27,11.5,11.125,11.21,11.21,88745,0.0000,1.0
2020-10-30,11.03,11.19,10.93,11.19,11.19,179769,0.0000,1.0
2020-10-29,11.01,11.17,10.95,11.05,11.05,178678,0.0000,1.0
2020-10-28,11.38,11.38,11.03,11.04,11.04,182250,0.0000,1.0
2020-10-27,11.44,11.66,11.26,11.29,11.29,159130,0.0000,1.0
2020-10-26,11.8,11.8,11.39,11.44,11.44,133574,0.0000,1.0
2020-10-23,11.68,12.03,11.66,11.82,11.82,193204,0.0000,1.0
2020-10-22,11.65,11.735,11.0,11.59,11.59,694457,0.0000,1.0
2020-10-21,12.06,12.08,11.69,11.69,11.69,125809,0.2000,1.0
2020-10-20,12.5,12.56,12.14,12.19,11.9849537426,426767,0.0000,1.0
2020-10-19,12.3,12.42,12.22,12.4,12.1914213625,482040,0.0000,1.0
2020-10-16,12.19,12.269,12.05,12.2,11.9947855341,515748,0.0000,1.0
2020-10-15,12.07,12.45,11.94,12.16,11.9554583684,599038,0.0000,1.0
2020-10-14,11.88,12.1,11.77,12.09,11.8866358284,161686,0.0000,1.0
2020-10-13,12.02,12.09,11.75,11.83,11.6310092515,433687,0.0000,1.0
2020-10-12,11.86,12.1,11.78,12.0,11.7981497056,160340,0.0000,1.0
2020-10-09,11.9,11.95,11.531,11.855,11.65558873,153295,0.0000,1.0
2020-10-08,11.62,11.88,11.45,11.88,11.6801682086,185869,0.0000,1.0
2020-10-07,11.53,11.66,11.43,11.56,11.3655508831,133047,0.0000,1.0
2020-10-06,11.48,11.585,11.35,11.45,11.2574011775,173907,0.0000,1.0
2020-10-05,11.17,11.54,11.17,11.53,11.3360555088,150306,0.0000,1.0
2020-10-02,11.09,11.21,11.0,11.17,10.9821110177,224097,0.0000,1.0
2020-10-01,11.11,11.22,11.09,11.2,11.0116063919,146402,0.0000,1.0
2020-09-30,11.06,11.22,11.0,11.05,10.8641295206,210016,0.0000,1.0
2020-09-29,10.98,11.08,10.81,11.03,10.8444659378,214030,0.0000,1.0
2020-09-28,10.645,11.03,10.645,10.97,10.7854751892,159980,0.0000,1.0
2020-09-25,10.59,10.64,10.47,10.62,10.4413624895,182267,0.0000,1.0
2020-09-24,10.73,10.82,10.51,10.63,10.4511942809,188766,0.0000,1.0
2020-09-23,10.92,11.035,10.75,10.8,10.6183347351,198808,0.0000,1.0
