timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,25.56,25.685,24.73,25.31,25.31,992826,0.0000,1.0
2020-12-10,24.6,26.25,24.525,25.74,25.74,1935675,0.0000,1.0
2020-12-09,25.28,25.92,24.15,24.64,24.64,1573499,0.0000,1.0
2020-12-08,24.17,25.28,24.029,25.28,25.28,1316464,0.0000,1.0
2020-12-07,24.03,24.935,24.01,24.75,24.75,1449731,0.0000,1.0
2020-12-04,24.75,25.1,24.58,24.92,24.92,1592239,0.0000,1.0
2020-12-03,24.0,24.57,23.775,24.1,24.1,1258137,0.0000,1.0
2020-12-02,23.0,24.85,22.93,23.97,23.97,1711414,0.0000,1.0
2020-12-01,23.53,23.87,23.1402,23.34,23.34,1396262,0.0000,1.0
2020-11-30,23.39,23.56,22.64,22.77,22.77,2028323,0.0000,1.0
2020-11-27,23.95,24.43,23.62,23.75,23.75,1270907,0.0000,1.0
2020-11-25,23.67,24.26,23.435,24.12,24.12,1945136,0.0000,1.0
2020-11-24,23.97,24.87,23.76,24.22,24.22,3861839,0.0000,1.0
2020-11-23,20.66,23.15,20.66,23.06,23.06,2477378,0.0000,1.0
2020-11-20,20.08,20.85,19.72,20.16,20.16,2833149,0.0000,1.0
2020-11-19,19.46,20.82,19.39,20.75,20.75,1968691,0.0000,1.0
2020-11-18,19.11,21.0,18.94,19.77,19.77,3302687,0.0000,1.0
2020-11-17,18.25,18.99,18.0518,18.96,18.96,2187027,0.0000,1.0
2020-11-16,17.98,19.06,17.77,18.54,18.54,2023498,0.0000,1.0
2020-11-13,16.83,17.46,16.606,17.27,17.27,1459186,0.0000,1.0
2020-11-12,16.68,17.24,16.42,16.54,16.54,1753504,0.2500,1.0
2020-11-11,17.58,17.66,16.93,17.28,17.0227039905,1514064,0.0000,1.0
2020-11-10,17.93,17.93,16.79,17.4,17.1409172126,2354626,0.0000,1.0
2020-11-09,16.9,17.96,16.57,17.53,17.2689815366,3370262,0.0000,1.0
2020-11-06,15.55,15.9408,15.06,15.15,14.9244192972,1515700,0.0000,1.0
2020-11-05,15.6,15.81,15.5,15.61,15.3775699821,1253593,0.0000,1.0
2020-11-04,15.65,15.82,14.98,15.6,15.3677188803,1837201,0.0000,1.0
2020-11-03,15.95,16.22,15.37,15.75,15.515485408,1214317,0.0000,1.0
2020-11-02,15.06,15.88,14.61,15.66,15.4268254914,2030367,0.0000,1.0
2020-10-30,14.28,14.88,14.14,14.87,14.6485884455,1643852,0.0000,1.0
2020-10-29,13.91,14.33,13.7,14.3,14.0870756403,1555137,0.0000,1.0
2020-10-28,14.44,14.65,13.97,14.22,14.0082668255,1403095,0.0000,1.0
2020-10-27,14.84,15.095,14.285,14.98,14.7569505658,2423050,0.0000,1.0
2020-10-26,15.37,15.37,14.78,14.98,14.7569505658,1251207,0.0000,1.0
2020-10-23,15.33,15.99,15.25,15.64,15.4071232877,2047512,0.0000,1.0
2020-10-22,14.54,15.24,14.49,15.2,14.9736748064,1605986,0.0000,1.0
2020-10-21,14.58,14.83,14.48,14.52,14.3037998809,667671,0.0000,1.0
2020-10-20,14.61,14.98,14.57,14.76,14.5402263252,876324,0.0000,1.0
2020-10-19,14.55,14.97,14.32,14.37,14.1560333532,1946747,0.0000,1.0
2020-10-16,14.82,14.95,14.3,14.35,14.1363311495,1338236,0.0000,1.0
2020-10-15,14.69,15.04,14.52,14.93,14.7076950566,1569212,0.0000,1.0
2020-10-14,14.9,15.55,14.84,15.02,14.7963549732,1506513,0.0000,1.0
2020-10-13,14.74,15.07,14.5,14.89,14.6682906492,2341717,0.0000,1.0
2020-10-12,14.85,15.0903,14.74,15.05,14.8259082787,931663,0.0000,1.0
2020-10-09,15.6,15.62,14.85,15.02,14.7963549732,1414238,0.0000,1.0
2020-10-08,14.88,15.47,14.73,15.46,15.2298034544,1626599,0.0000,1.0
2020-10-07,14.35,14.695,14.08,14.61,14.3924597975,1552279,0.0000,1.0
2020-10-06,14.93,15.16,14.13,14.39,14.1757355569,1915747,0.0000,1.0
2020-10-05,14.59,14.8417,14.24,14.56,14.3432042883,1353943,0.0000,1.0
2020-10-02,12.93,14.105,12.87,14.02,13.8112447886,1948576,0.0000,1.0
2020-10-01,14.33,14.39,13.31,13.48,13.2792852889,3882956,0.0000,1.0
2020-09-30,14.73,15.28,14.335,14.65,14.4318642049,2819182,0.0000,1.0
2020-09-29,14.69,14.8,14.1,14.57,14.3530553901,1865598,0.0000,1.0
2020-09-28,14.58,15.04,14.5,14.86,14.6387373437,1649089,0.0000,1.0
2020-09-25,13.78,14.395,13.65,14.16,13.9491602144,1571948,0.0000,1.0
2020-09-24,14.04,14.35,13.61,13.97,13.7619892793,1707788,0.0000,1.0
2020-09-23,14.95,15.17,14.08,14.08,13.8703513996,2611697,0.0000,1.0
2020-09-22,15.4,15.615,14.84,14.94,14.7175461584,1396752,0.0000,1.0
2020-09-21,15.63,15.65,14.875,15.32,15.0918880286,1440807,0.0000,1.0
2020-09-18,16.46,16.74,15.86,16.21,15.9686360929,2732615,0.0000,1.0
2020-09-17,16.32,16.9,16.18,16.56,16.3134246575,1368025,0.0000,1.0
2020-09-16,15.68,16.81,15.55,16.64,16.3922334723,3002240,0.0000,1.0
2020-09-15,15.64,15.97,15.29,15.57,15.3381655747,1585435,0.0000,1.0
2020-09-14,15.07,15.64,14.82,15.56,15.3283144729,2024165,0.0000,1.0
2020-09-11,14.63,15.14,14.4,14.95,14.7273972603,2456149,0.0000,1.0
2020-09-10,15.01,15.01,14.38,14.55,14.3333531864,2343664,0.0000,1.0
2020-09-09,15.34,15.394,14.69,14.93,14.7076950566,1623291,0.0000,1.0
2020-09-08,15.58,15.655,15.005,15.14,14.9145681954,1878731,0.0000,1.0
2020-09-04,16.18,16.45,15.48,16.02,15.7814651578,1538948,0.0000,1.0
2020-09-03,16.4,16.83,16.03,16.09,15.8504228708,1522922,0.0000,1.0
2020-09-02,16.67,16.87,16.29,16.44,16.1952114354,1265409,0.0000,1.0
2020-09-01,16.58,17.19,16.36,16.75,16.5005955926,1366044,0.0000,1.0
2020-08-31,17.09,17.12,16.47,16.48,16.2346158428,2079929,0.0000,1.0
2020-08-28,16.6,17.23,16.51,16.99,16.7370220369,1262788,0.0000,1.0
2020-08-27,16.71,16.98,16.375,16.61,16.3626801668,1528074,0.0000,1.0
2020-08-26,16.94,17.11,16.4901,16.57,16.3232757594,1194602,0.0000,1.0
2020-08-25,17.61,17.65,16.62,16.82,16.5695533055,1202718,0.0000,1.0
2020-08-24,16.56,17.55,16.351,17.42,17.1606194163,1748194,0.0000,1.0
2020-08-21,17.16,17.34,16.7,16.88,16.6286599166,2081927,0.0000,1.0
2020-08-20,17.79,17.98,17.26,17.38,17.1212150089,1762437,0.0000,1.0
2020-08-19,17.97,18.68,17.825,18.25,17.9782608696,1272814,0.0000,1.0
2020-08-18,18.44,18.702,17.97,17.98,17.7122811197,1835590,0.0000,1.0
2020-08-17,18.65,19.0,18.45,18.57,18.2934961286,1333012,0.0000,1.0
2020-08-14,18.09,18.925,17.98,18.81,18.529922573,1364037,0.2500,1.0
2020-08-13,19.12,19.15,18.29,18.5,17.9854967261,1690478,0.0000,1.0
2020-08-12,19.86,19.96,19.03,19.39,18.850744947,1291509,0.0000,1.0
2020-08-11,20.06,20.52,19.32,19.42,18.8799106174,1773718,0.0000,1.0
2020-08-10,18.56,19.72,18.56,19.42,18.8799106174,1668604,0.0000,1.0
2020-08-07,18.36,18.53,17.97,18.44,17.9271653854,1449891,0.0000,1.0
2020-08-06,19.18,19.22,18.64,18.64,18.1216031878,1106862,0.0000,1.0
2020-08-05,19.01,19.63,18.56,19.26,18.7243603754,1585232,0.0000,1.0
2020-08-04,18.04,18.56,17.7,18.55,18.0341061767,1993817,0.0000,1.0
2020-08-03,17.54,18.33,17.25,18.11,17.6063430113,2085236,0.0000,1.0
2020-07-31,17.81,17.94,17.16,17.83,17.3341300879,2520628,0.0000,1.0
2020-07-30,18.16,18.44,17.51,18.05,17.5480116706,2100731,0.0000,1.0
2020-07-29,19.49,19.89,18.1,18.46,17.9466091656,3346430,0.0000,1.0
2020-07-28,20.38,20.64,19.24,19.43,18.8896325075,1363199,0.0000,1.0
2020-07-27,20.04,20.59,19.95,20.48,19.9104309703,1225194,0.0000,1.0
2020-07-24,20.32,20.5726,19.89,20.04,19.4826678049,1273310,0.0000,1.0
2020-07-23,19.11,20.44,19.05,20.34,19.7743245086,2276756,0.0000,1.0
2020-07-22,19.36,19.6,18.9481,19.29,18.7535260458,2323795,0.0000,1.0
2020-07-21,18.63,20.25,18.63,19.7,19.1521235408,2654874,0.0000,1.0
2020-07-20,18.27,18.71,17.95,18.07,17.5674554509,1831988,0.0000,1.0
2020-07-17,19.15,19.23,18.13,18.15,17.6452305718,3486745,0.0000,1.0
2020-07-16,19.02,19.53,18.75,19.21,18.6757509248,919582,0.0000,1.0
2020-07-15,19.69,19.84,18.88,19.37,18.8313011667,1999944,0.0000,1.0
