timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,62.35,64.01,61.99,63.72,63.72,117967,0.0000,1.0
2020-12-10,64.84,65.015,63.01,63.67,63.67,129584,0.0000,1.0
2020-12-09,65.73,67.13,64.83,65.11,65.11,292903,0.0000,1.0
2020-12-08,62.53,64.7,62.53,64.15,64.15,150108,0.0000,1.0
2020-12-07,63.0,63.33,61.4,63.16,63.16,116627,0.0000,1.0
2020-12-04,61.54,64.28,61.26,63.44,63.44,196294,0.0000,1.0
2020-12-03,60.8,62.58,60.35,60.99,60.99,126280,0.0000,1.0
2020-12-02,59.73,61.95,58.81,60.34,60.34,344054,0.0000,1.0
2020-12-01,59.31,61.0,58.88,60.45,60.45,194660,0.0000,1.0
2020-11-30,59.54,59.54,55.51,57.28,57.28,264058,0.0000,1.0
2020-11-27,60.07,61.7169,58.35,59.7,59.7,97224,0.0000,1.0
2020-11-25,62.17,62.69,59.85,60.59,60.59,169985,0.0000,1.0
2020-11-24,62.0,64.22,60.535,63.16,63.16,205609,0.0000,1.0
2020-11-23,58.25,60.83,57.1368,60.34,60.34,195084,0.0000,1.0
2020-11-20,57.63,58.5,56.765,57.27,57.27,141160,0.0000,1.0
2020-11-19,56.31,59.0,55.25,57.85,57.85,171963,0.0000,1.0
2020-11-18,57.34,59.15,56.6201,56.88,56.88,181794,0.0000,1.0
2020-11-17,55.43,57.45,54.53,57.22,57.22,147420,0.0000,1.0
2020-11-16,52.8,56.495,52.8,56.34,56.34,164549,0.0000,1.0
2020-11-13,51.24,51.925,50.28,51.35,51.35,146225,0.0000,1.0
2020-11-12,52.78,53.21,50.06,50.7,50.7,330602,0.0000,1.0
2020-11-11,53.88,53.95,51.8445,53.81,53.81,159381,0.0000,1.0
2020-11-10,49.27,53.97,49.11,53.88,53.88,281470,0.0000,1.0
2020-11-09,51.54,52.08,48.18,48.47,48.47,190929,0.0000,1.0
2020-11-06,47.31,47.8774,46.4732,46.83,46.83,91496,0.0000,1.0
2020-11-05,44.91,48.5594,44.91,47.54,47.54,161625,0.0000,1.0
2020-11-04,45.91,46.18,43.0,44.1,44.1,279184,0.0000,1.0
2020-11-03,48.0,48.53,46.84,47.83,47.83,144220,0.0000,1.0
2020-11-02,45.22,47.74,45.22,46.48,46.48,322378,0.0000,1.0
2020-10-30,43.81,44.83,43.36,44.36,44.36,166606,0.0000,1.0
2020-10-29,42.82,44.44,42.32,43.97,43.97,167523,0.0000,1.0
2020-10-28,42.07,43.395,41.702,42.95,42.95,163175,0.0000,1.0
2020-10-27,44.27,44.53,43.22,43.8,43.8,257612,0.0000,1.0
