timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.83,2.83,2.71,2.75,2.75,34195,0.0000,1.0
2020-12-10,2.7,2.8,2.7,2.8,2.8,36971,0.0000,1.0
2020-12-09,2.7586,2.795,2.69,2.72,2.72,21913,0.0000,1.0
2020-12-08,2.73,2.84,2.73,2.74,2.74,51541,0.0000,1.0
2020-12-07,2.768,2.854,2.74,2.75,2.75,52333,0.0000,1.0
2020-12-04,2.78,2.9,2.7745,2.82,2.82,117881,0.0000,1.0
2020-12-03,2.8,2.881,2.72,2.8,2.8,68574,0.0000,1.0
2020-12-02,2.63,2.76,2.5882,2.7,2.7,83906,0.0000,1.0
2020-12-01,2.66,2.66,2.61,2.62,2.62,62309,0.0000,1.0
2020-11-30,2.66,2.66,2.63,2.63,2.63,32238,0.0000,1.0
2020-11-27,2.6331,2.68,2.57,2.68,2.68,53221,0.0000,1.0
2020-11-25,2.66,2.6865,2.56,2.6,2.6,74253,0.0000,1.0
2020-11-24,2.62,2.68,2.5711,2.6,2.6,389474,0.0000,1.0
2020-11-23,2.55,2.6,2.5,2.53,2.53,65249,0.0000,1.0
2020-11-20,2.7,2.7,2.57,2.6,2.6,34157,0.0000,1.0
2020-11-19,2.825,2.85,2.6405,2.73,2.73,39618,0.0000,1.0
2020-11-18,2.9259,2.9259,2.74,2.8,2.8,27653,0.0000,1.0
2020-11-17,2.8701,2.9,2.82,2.89,2.89,41343,0.0000,1.0
2020-11-16,2.8,2.939,2.72,2.89,2.89,86331,0.0000,1.0
2020-11-13,2.725,2.81,2.65,2.75,2.75,46252,0.0000,1.0
2020-11-12,2.71,2.83,2.57,2.668,2.668,173341,0.0000,1.0
2020-11-11,2.83,2.85,2.64,2.7744,2.7744,18866,0.0000,1.0
2020-11-10,2.88,2.9,2.76,2.79,2.79,21758,0.0000,1.0
2020-11-09,2.89,2.89,2.65,2.76,2.76,23122,0.0000,1.0
2020-11-06,2.74,2.85,2.68,2.79,2.79,44398,0.0000,1.0
2020-11-05,2.735,2.8,2.735,2.7805,2.7805,9360,0.0000,1.0
2020-11-04,2.835,2.86,2.74,2.76,2.76,9139,0.0000,1.0
2020-11-03,2.86,2.89,2.8125,2.86,2.86,19945,0.0000,1.0
2020-11-02,2.7854,2.8599,2.69,2.85,2.85,14561,0.0000,1.0
2020-10-30,2.81,2.81,2.74,2.75,2.75,13931,0.0000,1.0
2020-10-29,2.7418,2.88,2.7,2.86,2.86,23641,0.0000,1.0
2020-10-28,2.7001,2.78,2.7001,2.77,2.77,7273,0.0000,1.0
2020-10-27,2.7224,2.8125,2.7224,2.8,2.8,15533,0.0000,1.0
2020-10-26,2.62,2.77,2.62,2.77,2.77,7894,0.0000,1.0
2020-10-23,2.7317,2.7317,2.65,2.7,2.7,11467,0.0000,1.0
2020-10-22,2.7271,2.8,2.67,2.72,2.72,9511,0.0000,1.0
2020-10-21,2.6602,2.79,2.61,2.79,2.79,9174,0.0000,1.0
2020-10-20,2.68,2.7399,2.62,2.7299,2.7299,5272,0.0000,1.0
2020-10-19,2.71,2.78,2.602,2.715,2.715,7489,0.0000,1.0
2020-10-16,2.63,2.7799,2.62,2.6988,2.6988,9052,0.0000,1.0
2020-10-15,2.5552,2.74,2.52,2.725,2.725,15198,0.0000,1.0
2020-10-14,2.5893,2.6499,2.52,2.54,2.54,18749,0.0000,1.0
2020-10-13,2.69,2.7,2.55,2.5802,2.5802,31012,0.0000,1.0
2020-10-12,2.7,2.705,2.5257,2.5912,2.5912,25601,0.0000,1.0
2020-10-09,2.74,2.85,2.63,2.65,2.65,26266,0.0000,1.0
2020-10-08,2.785,2.8,2.63,2.79,2.79,9445,0.0000,1.0
2020-10-07,2.83,2.8499,2.635,2.795,2.795,12114,0.0000,1.0
2020-10-06,2.8327,2.8327,2.733,2.74,2.74,6260,0.0000,1.0
2020-10-05,2.65,2.84,2.63,2.71,2.71,19917,0.0000,1.0
2020-10-02,2.45,2.65,2.4,2.6,2.6,7056,0.0000,1.0
2020-10-01,2.47,2.62,2.44,2.52,2.52,29535,0.0000,1.0
2020-09-30,2.5273,2.63,2.42,2.5,2.5,27481,0.0000,1.0
2020-09-29,2.52,2.58,2.46,2.51,2.51,6473,0.0000,1.0
2020-09-28,2.58,2.705,2.485,2.585,2.585,7695,0.0000,1.0
2020-09-25,2.57,2.71,2.57,2.57,2.57,9384,0.0000,1.0
2020-09-24,2.5869,2.7011,2.55,2.62,2.62,22722,0.0000,1.0
2020-09-23,2.69,2.7915,2.54,2.65,2.65,22025,0.0000,1.0
2020-09-22,2.73,2.73,2.5962,2.7,2.7,14294,0.0000,1.0
2020-09-21,2.62,2.8,2.62,2.63,2.63,9851,0.0000,1.0
2020-09-18,2.76,2.855,2.67,2.67,2.67,13355,0.0000,1.0
2020-09-17,2.75,2.89,2.74,2.78,2.78,2370,0.0000,1.0
2020-09-16,2.87,2.89,2.7173,2.86,2.86,9151,0.0000,1.0
2020-09-15,2.85,2.85,2.76,2.82,2.82,8206,0.0000,1.0
2020-09-14,2.64,2.845,2.61,2.7988,2.7988,29094,0.0000,1.0
2020-09-11,2.6601,2.8027,2.6424,2.76,2.76,20120,0.0000,1.0
2020-09-10,2.75,2.83,2.6801,2.74,2.74,8026,0.0000,1.0
2020-09-09,2.7998,2.9,2.6954,2.746,2.746,17470,0.0000,1.0
2020-09-08,2.63,2.88,2.63,2.83,2.83,52413,0.0000,1.0
2020-09-04,2.59,2.85,2.495,2.68,2.68,331951,0.0000,1.0
2020-09-03,2.5351,2.58,2.4379,2.55,2.55,18741,0.0000,1.0
2020-09-02,2.547,2.55,2.3325,2.545,2.545,17381,0.0000,1.0
2020-09-01,2.6341,2.6341,2.56,2.56,2.56,1315,0.0000,1.0
2020-08-31,2.59,2.68,2.59,2.59,2.59,3516,0.0000,1.0
2020-08-28,2.64,2.69,2.56,2.69,2.69,27413,0.0000,1.0
2020-08-27,2.54,2.66,2.54,2.62,2.62,37349,0.0000,1.0
2020-08-26,2.6,2.62,2.55,2.58,2.58,13982,0.0000,1.0
2020-08-25,2.63,2.6567,2.545,2.6,2.6,17211,0.0000,1.0
2020-08-24,2.55,2.6859,2.55,2.58,2.58,6501,0.0000,1.0
2020-08-21,2.6418,2.69,2.5632,2.66,2.66,9201,0.0000,1.0
2020-08-20,2.68,2.7199,2.61,2.69,2.69,10475,0.0000,1.0
2020-08-19,2.69,2.7385,2.55,2.65,2.65,47741,0.0000,1.0
2020-08-18,2.62,2.685,2.57,2.67,2.67,8098,0.0000,1.0
2020-08-17,2.6638,2.6638,2.62,2.63,2.63,5821,0.0000,1.0
2020-08-14,2.58,2.6336,2.58,2.6,2.6,9091,0.0000,1.0
2020-08-13,2.6575,2.7,2.595,2.595,2.595,5728,0.0000,1.0
2020-08-12,2.5883,2.7,2.5883,2.6,2.6,7590,0.0000,1.0
2020-08-11,2.57,2.68,2.5464,2.59,2.59,13168,0.0000,1.0
2020-08-10,2.55,2.63,2.55,2.58,2.58,7568,0.0000,1.0
2020-08-07,2.6,2.6,2.5,2.59,2.59,17925,0.0000,1.0
2020-08-06,2.64,2.6477,2.59,2.605,2.605,7258,0.0000,1.0
2020-08-05,2.63,2.63,2.57,2.63,2.63,9432,0.0000,1.0
2020-08-04,2.64,2.64,2.53,2.56,2.56,3575,0.0000,1.0
2020-08-03,2.51,2.67,2.4678,2.61,2.61,14167,0.0000,1.0
2020-07-31,2.75,2.75,2.51,2.51,2.51,15870,0.0000,1.0
2020-07-30,2.67,2.735,2.6527,2.67,2.67,14413,0.0000,1.0
2020-07-29,2.7002,2.75,2.6,2.65,2.65,15984,0.0000,1.0
2020-07-28,2.58,2.7,2.58,2.69,2.69,9216,0.0000,1.0
2020-07-27,2.56,2.62,2.48,2.62,2.62,20937,0.0000,1.0
2020-07-24,2.7,2.7,2.5572,2.5818,2.5818,4416,0.0000,1.0
2020-07-23,2.6129,2.7,2.6129,2.65,2.65,4007,0.0000,1.0
2020-07-22,2.7,2.7435,2.66,2.67,2.67,8767,0.0000,1.0
2020-07-21,2.6,2.69,2.57,2.69,2.69,11169,0.0000,1.0
2020-07-20,2.63,2.73,2.55,2.55,2.55,12480,0.0000,1.0
2020-07-17,2.65,2.65,2.56,2.6,2.6,3800,0.0000,1.0
2020-07-16,2.68,2.72,2.55,2.64,2.64,6100,0.0000,1.0
2020-07-15,2.6,2.66,2.56,2.6,2.6,8500,0.0000,1.0
2020-07-14,2.54,2.67,2.5,2.6,2.6,12400,0.0000,1.0
2020-07-13,2.58,2.84,2.56,2.57,2.57,25800,0.0000,1.0
2020-07-10,2.55,2.58,2.5,2.57,2.57,12100,0.0000,1.0
2020-07-09,2.5,2.56,2.37,2.56,2.56,8900,0.0000,1.0
2020-07-08,2.63,2.63,2.35,2.5,2.5,32800,0.0000,1.0
2020-07-07,2.6,2.6,2.4,2.57,2.57,12200,0.0000,1.0
2020-07-06,2.56,2.78,2.53,2.59,2.59,26800,0.0000,1.0
2020-07-02,2.4,2.56,2.38,2.53,2.53,46700,0.0000,1.0
2020-07-01,2.36,2.43,2.27,2.38,2.38,23700,0.0000,1.0
2020-06-30,2.16,2.37,2.16,2.36,2.36,17000,0.0000,1.0
2020-06-29,2.19,2.42,2.12,2.3,2.3,23800,0.0000,1.0
2020-06-26,2.34,2.3581,2.0999,2.19,2.19,55910,0.0000,1.0
2020-06-25,2.455,2.455,2.31,2.31,2.31,9639,0.0000,1.0
2020-06-24,2.31,2.4,2.2898,2.31,2.31,17642,0.0000,1.0
2020-06-23,2.48,2.4989,2.31,2.31,2.31,21580,0.0000,1.0
2020-06-22,2.59,2.59,2.35,2.4,2.4,25814,0.0000,1.0
2020-06-19,2.4983,2.68,2.4983,2.5,2.5,22569,0.0000,1.0
2020-06-18,2.615,2.615,2.38,2.43,2.43,34521,0.0000,1.0
2020-06-17,2.9085,2.9085,2.55,2.55,2.55,12369,0.0000,1.0
2020-06-16,2.7006,2.75,2.63,2.63,2.63,47999,0.0000,1.0
2020-06-15,2.59,3.0278,2.55,2.63,2.63,22527,0.0000,1.0
2020-06-12,2.87,3.1293,2.575,2.75,2.75,19823,0.0000,1.0
2020-06-11,3.0,3.0,2.78,2.79,2.79,45649,0.0000,1.0
2020-06-10,3.26,3.26,3.05,3.13,3.13,19185,0.0000,1.0
2020-06-09,3.0,3.2,2.9,3.2,3.2,32816,0.0000,1.0
2020-06-08,2.84,3.0,2.8,3.0,3.0,41416,0.0000,1.0
2020-06-05,2.6134,2.85,2.49,2.84,2.84,57335,0.0000,1.0
2020-06-04,2.43,2.7,2.43,2.7,2.7,22095,0.0000,1.0
2020-06-03,2.42,2.55,2.4,2.55,2.55,37480,0.0000,1.0
2020-06-02,2.41,2.48,2.4,2.41,2.41,24541,0.0000,1.0
2020-06-01,2.3418,2.415,2.3418,2.4,2.4,27892,0.0000,1.0
2020-05-29,2.35,2.437,2.35,2.4,2.4,23690,0.0000,1.0
2020-05-28,2.41,2.45,2.4,2.42,2.42,28915,0.0000,1.0
2020-05-27,2.43,2.4622,2.4,2.45,2.45,9725,0.0000,1.0
2020-05-26,2.38,2.4582,2.37,2.42,2.42,13748,0.0000,1.0
2020-05-22,2.4805,2.4805,2.22,2.38,2.38,22756,0.0000,1.0
2020-05-21,2.395,2.6,2.395,2.4,2.4,22785,0.0000,1.0
2020-05-20,2.3461,2.48,2.295,2.48,2.48,26903,0.0000,1.0
2020-05-19,2.29,2.34,2.25,2.31,2.31,33836,0.0000,1.0
2020-05-18,2.33,2.4085,2.25,2.34,2.34,61260,0.0000,1.0
2020-05-15,2.12,2.47,2.12,2.47,2.47,15235,0.0000,1.0
2020-05-14,2.14,2.19,2.06,2.19,2.19,14590,0.0000,1.0
2020-05-13,2.335,2.37,2.1,2.15,2.15,14970,0.0000,1.0
2020-05-12,2.31,2.315,2.26,2.29,2.29,16974,0.0000,1.0
2020-05-11,2.41,2.65,2.3,2.32,2.32,46606,0.0000,1.0
2020-05-08,2.38,2.59,2.32,2.34,2.34,25637,0.0000,1.0
2020-05-07,2.215,2.31,2.2,2.31,2.31,23709,0.0000,1.0
2020-05-06,2.3,2.3,2.2,2.28,2.28,34463,0.0000,1.0
2020-05-05,2.2,2.3,2.135,2.29,2.29,24564,0.0000,1.0
2020-05-04,2.3,2.3,2.06,2.1558,2.1558,44180,0.0000,1.0
2020-05-01,2.3,2.34,2.1259,2.22,2.22,22033,0.0000,1.0
2020-04-30,2.4461,2.7505,2.3,2.3,2.3,27569,0.0000,1.0
2020-04-29,2.33,2.48,2.3148,2.41,2.41,61833,0.0000,1.0
2020-04-28,2.16,2.2873,2.15,2.22,2.22,19542,0.0000,1.0
2020-04-27,2.18,2.18,2.13,2.165,2.165,18967,0.0000,1.0
2020-04-24,2.0899,2.195,2.0855,2.1,2.1,7183,0.0000,1.0
2020-04-23,2.09,2.2105,2.0428,2.1293,2.1293,3875,0.0000,1.0
2020-04-22,2.1105,2.155,2.05,2.12,2.12,6679,0.0000,1.0
2020-04-21,2.04,2.15,2.01,2.1,2.1,25821,0.0000,1.0
2020-04-20,2.15,2.19,2.03,2.03,2.03,74523,0.0000,1.0
2020-04-17,2.19,2.19,2.07,2.13,2.13,117938,0.0000,1.0
2020-04-16,2.15,2.15,2.0,2.04,2.04,42616,0.0000,1.0
2020-04-15,2.241,2.241,2.11,2.12,2.12,29502,0.0000,1.0
2020-04-14,2.22,2.4,2.21,2.21,2.21,24530,0.0000,1.0
2020-04-13,2.25,2.56,2.13,2.21,2.21,21457,0.0000,1.0
2020-04-09,2.2,2.4429,2.2,2.26,2.26,7487,0.0000,1.0
2020-04-08,2.2406,2.2638,2.08,2.15,2.15,35687,0.0000,1.0
2020-04-07,2.25,2.34,2.15,2.2,2.2,17350,0.0000,1.0
2020-04-06,2.2,2.25,2.115,2.22,2.22,22376,0.0000,1.0
2020-04-03,2.22,2.22,2.06,2.15,2.15,7607,0.0000,1.0
2020-04-02,2.15,2.265,2.07,2.09,2.09,23518,0.0000,1.0
2020-04-01,2.185,2.28,2.08,2.21,2.21,49695,0.0000,1.0
2020-03-31,1.98,2.2,1.95,2.19,2.19,126394,0.0000,1.0
2020-03-30,2.02,2.12,1.9288,2.05,2.05,668711,0.0000,1.0
2020-03-27,1.99,2.18,1.92,1.95,1.95,88054,0.0000,1.0
2020-03-26,2.05,2.13,1.96,2.0,2.0,102568,0.0000,1.0
2020-03-25,1.86,2.13,1.86,1.96,1.96,133279,0.0000,1.0
2020-03-24,2.0999,2.1103,1.74,1.75,1.75,271075,0.0000,1.0
2020-03-23,2.28,2.3001,1.98,1.98,1.98,50018,0.0000,1.0
2020-03-20,2.06,2.345,1.96,2.15,2.15,51835,0.0000,1.0
2020-03-19,2.06,2.129,1.9375,2.05,2.05,99569,0.0000,1.0
2020-03-18,2.16,2.62,2.0,2.05,2.05,254978,0.0000,1.0
2020-03-17,2.21,2.77,2.15,2.42,2.42,63447,0.0000,1.0
2020-03-16,2.35,2.5656,2.0,2.22,2.22,442298,0.0000,1.0
2020-03-13,2.54,2.7658,2.24,2.35,2.35,88002,0.0000,1.0
2020-03-12,2.54,2.5899,1.67,2.39,2.39,112073,0.0000,1.0
2020-03-11,2.69,2.8519,2.5,2.605,2.605,89291,0.0000,1.0
2020-03-10,2.89,2.9009,2.72,2.72,2.72,198591,0.0000,1.0
2020-03-09,2.9004,2.9494,2.81,2.82,2.82,43781,0.0000,1.0
2020-03-06,3.11,3.22,2.96,3.02,3.02,40771,0.0000,1.0
2020-03-05,3.11,3.3005,3.1,3.21,3.21,18297,0.0000,1.0
2020-03-04,3.0174,3.49,3.0174,3.21,3.21,27671,0.0000,1.0
2020-03-03,3.29,3.29,2.95,2.98,2.98,84309,0.0000,1.0
2020-03-02,3.24,3.32,3.1892,3.21,3.21,3726,0.0000,1.0
2020-02-28,3.1,3.4,3.05,3.25,3.25,19958,0.0000,1.0
2020-02-27,3.09,3.3123,3.05,3.25,3.25,50741,0.0000,1.0
2020-02-26,3.5,3.655,2.7208,3.1,3.1,229890,0.0000,1.0
2020-02-25,3.5178,3.6,3.31,3.425,3.425,105091,0.0000,1.0
2020-02-24,3.67,3.726,3.46,3.59,3.59,80185,0.0000,1.0
2020-02-21,3.66,3.77,3.66,3.7,3.7,38170,0.0000,1.0
2020-02-20,3.8,3.9195,3.6,3.73,3.73,65067,0.0000,1.0
