timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,55.62,55.64,54.27,55.09,55.09,402918,0.0000,1.0
2020-12-10,55.33,56.0,54.7,55.94,55.94,694798,0.0000,1.0
2020-12-09,54.97,56.4,54.19,55.72,55.72,749826,0.0000,1.0
2020-12-08,53.2,54.18,52.92,54.14,54.14,826348,0.0000,1.0
2020-12-07,54.25,54.875,53.055,53.47,53.47,958667,0.0000,1.0
2020-12-04,55.06,55.89,54.7,55.07,55.07,446769,0.0000,1.0
2020-12-03,54.94,54.94,54.355,54.72,54.72,486147,0.0000,1.0
2020-12-02,54.63,55.41,53.87,54.81,54.81,690106,0.0000,1.0
2020-12-01,53.65,54.6,53.11,53.98,53.98,1048867,0.0000,1.0
2020-11-30,54.01,54.125,52.18,52.76,52.76,886150,0.1000,1.0
2020-11-27,52.62,54.62,52.06,54.11,54.007635263,461434,0.0000,1.0
2020-11-25,52.8,52.93,52.36,52.64,52.5404161937,434439,0.0000,1.0
2020-11-24,52.89,53.16,52.13,52.77,52.6701702611,575180,0.0000,1.0
2020-11-23,53.09,53.9,52.56,52.64,52.5404161937,574116,0.0000,1.0
2020-11-20,53.42,53.655,52.77,52.98,52.8797729852,1344292,0.0000,1.0
2020-11-19,52.96,53.7,52.62,53.39,53.2889973515,412218,0.0000,1.0
2020-11-18,55.63,55.63,52.59,52.76,52.660189179,702499,0.0000,1.0
2020-11-17,54.21,55.75,53.865,55.24,55.1354975407,654431,0.0000,1.0
2020-11-16,54.02,54.94,53.28,54.68,54.5765569429,667864,0.0000,1.0
2020-11-13,51.9,53.7,51.7301,53.58,53.4786379115,755173,0.0000,1.0
2020-11-12,51.14,51.85,50.4054,51.76,51.6620809686,671461,0.0000,1.0
2020-11-11,50.85,51.81,50.82,51.52,51.4225349981,537074,0.0000,1.0
2020-11-10,49.44,50.99,48.93,50.96,50.8635944003,653075,0.0000,1.0
2020-11-09,50.56,51.49,49.08,49.49,49.3963753311,647123,0.0000,1.0
2020-11-06,49.46,49.46,48.58,48.7,48.6078698449,291730,0.0000,1.0
2020-11-05,48.34,49.57,48.34,49.25,49.1568293606,401272,0.0000,1.0
2020-11-04,48.53,48.8999,47.5,48.27,48.1786833144,383520,0.0000,1.0
2020-11-03,48.45,49.24,48.335,48.76,48.6677563375,464431,0.0000,1.0
2020-11-02,47.91,49.25,47.45,47.82,47.7295346198,609814,0.0000,1.0
2020-10-30,47.48,47.86,46.71,47.57,47.4800075672,503077,0.0000,1.0
2020-10-29,47.32,48.23,47.02,47.76,47.6696481271,410933,0.0000,1.0
2020-10-28,47.38,48.405,46.97,48.06,47.9690805902,710497,0.0000,1.0
2020-10-27,48.0,48.58,47.96,48.03,47.9391373439,305299,0.0000,1.0
2020-10-26,49.03,49.03,47.65,48.27,48.1786833144,379944,0.0000,1.0
2020-10-23,49.68,49.755,49.06,49.41,49.3165266742,306430,0.0000,1.0
2020-10-22,49.39,49.985,48.12,49.68,49.586015891,435137,0.0000,1.0
2020-10-21,48.25,50.625,48.25,49.51,49.4163374953,914088,0.0000,1.0
2020-10-20,49.61,50.8,49.2,49.8,49.7057888763,792037,0.0000,1.0
2020-10-19,50.43,50.6499,49.28,49.34,49.2466590995,324005,0.0000,1.0
2020-10-16,50.08,50.805,50.04,50.44,50.3445781309,311159,0.0000,1.0
2020-10-15,49.17,50.3,49.17,50.09,49.9952402573,351035,0.0000,1.0
2020-10-14,50.79,50.99,49.55,49.58,49.48620507,504842,0.0000,1.0
2020-10-13,51.45,51.88,50.73,50.77,50.6739538403,364277,0.0000,1.0
2020-10-12,51.24,52.07,51.0,51.45,51.3526674234,376534,0.0000,1.0
2020-10-09,51.2,51.73,50.58,50.66,50.5641619372,316910,0.0000,1.0
2020-10-08,51.08,51.52,50.6,51.43,51.3327052592,388731,0.0000,1.0
2020-10-07,50.56,51.1,50.15,50.61,50.5142565267,301907,0.0000,1.0
2020-10-06,49.5,51.0,49.5,50.07,49.9752780931,501811,0.0000,1.0
2020-10-05,49.16,49.69,49.07,49.6,49.5061672342,400590,0.0000,1.0
