timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.22,1.22,1.12,1.16,1.16,270790,0.0000,1.0
2020-12-10,1.08,1.23,1.07,1.22,1.22,759174,0.0000,1.0
2020-12-09,1.1,1.13,1.08,1.11,1.11,517140,0.0000,1.0
2020-12-08,1.11,1.14,1.08,1.09,1.09,559765,0.0000,1.0
2020-12-07,1.1,1.18,1.05,1.15,1.15,1828671,0.0000,1.0
2020-12-04,1.2173,1.36,1.0,1.13,1.13,29279821,0.0000,1.0
2020-12-03,0.82,0.8994,0.81,0.877,0.877,168096,0.0000,1.0
2020-12-02,0.9115,0.915,0.8179,0.8501,0.8501,400762,0.0000,1.0
2020-12-01,0.9135,0.93,0.8756,0.912,0.912,203920,0.0000,1.0
2020-11-30,0.92,0.9454,0.8343,0.87,0.87,451772,0.0000,1.0
2020-11-27,1.0,1.0,0.883765,0.9151,0.9151,428435,0.0000,1.0
2020-11-25,0.9836,1.0928,0.9304,0.979,0.979,1529208,0.0000,1.0
2020-11-24,0.835,1.04,0.82001,0.9728,0.9728,2510293,0.0000,1.0
2020-11-23,0.8067,0.846099,0.7901,0.8118,0.8118,497998,0.0000,1.0
2020-11-20,0.7798,0.7957,0.7538,0.79,0.79,208783,0.0000,1.0
2020-11-19,0.7803,0.796299,0.76,0.7798,0.7798,214093,0.0000,1.0
2020-11-18,0.7606,0.828,0.74,0.78,0.78,673828,0.0000,1.0
2020-11-17,0.75,0.7742,0.7302,0.7677,0.7677,421778,0.0000,1.0
2020-11-16,0.7652,0.769725,0.7001,0.7302,0.7302,274993,0.0000,1.0
2020-11-13,0.775,0.78,0.7349,0.7502,0.7502,365522,0.0000,1.0
2020-11-12,0.743,0.819,0.73,0.7699,0.7699,803987,0.0000,1.0
2020-11-11,0.75,0.77,0.715,0.74,0.74,498783,0.0000,1.0
2020-11-10,0.66,0.76,0.66,0.7398,0.7398,751296,0.0000,1.0
2020-11-09,0.651,0.6998,0.6406,0.6633,0.6633,338247,0.0000,1.0
2020-11-06,0.6485,0.6537,0.62,0.63,0.63,167173,0.0000,1.0
2020-11-05,0.6409,0.6799,0.605,0.6395,0.6395,367739,0.0000,1.0
2020-11-04,0.66,0.66,0.62,0.6251,0.6251,129441,0.0000,1.0
2020-11-03,0.64,0.6469,0.61,0.635,0.635,249860,0.0000,1.0
2020-11-02,0.66,0.6866,0.6328,0.64,0.64,373244,0.0000,1.0
2020-10-30,0.7,0.73,0.651,0.6612,0.6612,604991,0.0000,1.0
2020-10-29,0.675,0.8887,0.67,0.7299,0.7299,5764971,0.0000,1.0
2020-10-28,0.71,0.71,0.65,0.6732,0.6732,182504,0.0000,1.0
2020-10-27,0.699,0.699,0.6521,0.6917,0.6917,429689,0.0000,1.0
2020-10-26,0.74,0.74,0.675,0.6991,0.6991,252654,0.0000,1.0
2020-10-23,0.72,0.75,0.703,0.728,0.728,392772,0.0000,1.0
2020-10-22,0.7842,0.8599,0.7211,0.7657,0.7657,3486017,0.0000,1.0
2020-10-21,0.698,0.7115,0.6825,0.6949,0.6949,470221,0.0000,1.0
2020-10-20,0.7097,0.7263,0.681,0.719,0.719,264406,0.0000,1.0
2020-10-19,0.71,0.74,0.7,0.7035,0.7035,167976,0.0000,1.0
2020-10-16,0.75,0.75,0.717,0.74,0.74,306672,0.0000,1.0
2020-10-15,0.7326,0.75,0.7,0.7489,0.7489,478640,0.0000,1.0
2020-10-14,0.7522,0.8154,0.72,0.73,0.73,1001237,0.0000,1.0
2020-10-13,1.01,1.04,0.77,0.79,0.79,4227802,0.0000,1.0
2020-10-12,0.7627,1.14,0.7348,1.03,1.03,20355316,0.0000,1.0
2020-10-09,0.73,0.755999,0.7131,0.7264,0.7264,135066,0.0000,1.0
2020-10-08,0.7122,0.747,0.71,0.7361,0.7361,115355,0.0000,1.0
2020-10-07,0.7099,0.769,0.698,0.701,0.701,183714,0.0000,1.0
2020-10-06,0.666,0.72,0.666,0.6983,0.6983,91899,0.0000,1.0
2020-10-05,0.699,0.713199,0.6856,0.6901,0.6901,102888,0.0000,1.0
2020-10-02,0.7,0.71,0.69,0.7003,0.7003,60813,0.0000,1.0
2020-10-01,0.704,0.73,0.6805,0.7,0.7,138496,0.0000,1.0
2020-09-30,0.7,0.748,0.6965,0.713,0.713,236607,0.0000,1.0
2020-09-29,0.75,0.78,0.75,0.75525,0.75525,304618,0.0000,1.0
2020-09-28,0.7222,0.77,0.7222,0.751,0.751,60299,0.0000,1.0
2020-09-25,0.72,0.8053,0.7171,0.74,0.74,143192,0.0000,1.0
2020-09-24,0.67,0.7192,0.6362,0.677901,0.677901,152805,0.0000,1.0
2020-09-23,0.73,0.745165,0.6543,0.662,0.662,105227,0.0000,1.0
2020-09-22,0.75,0.765051,0.721,0.722,0.722,83027,0.0000,1.0
2020-09-21,0.7437,0.819,0.7403,0.75,0.75,23795,0.0000,1.0
2020-09-18,0.75,0.8164,0.7401,0.753,0.753,156455,0.0000,1.0
2020-09-17,0.7309,0.76,0.7309,0.735,0.735,32675,0.0000,1.0
2020-09-16,0.74,0.78,0.722,0.722,0.722,142987,0.0000,1.0
2020-09-15,0.7088,0.7344,0.7088,0.7274,0.7274,55579,0.0000,1.0
2020-09-14,0.67,0.713,0.6672,0.709999,0.709999,88470,0.0000,1.0
2020-09-11,0.7005,0.7237,0.672,0.69,0.69,53847,0.0000,1.0
2020-09-10,0.72,0.72,0.683,0.695,0.695,71421,0.0000,1.0
2020-09-09,0.72,0.72,0.670201,0.69,0.69,39821,0.0000,1.0
2020-09-08,0.68,0.7159,0.6708,0.6811,0.6811,42123,0.0000,1.0
2020-09-04,0.7,0.74,0.67,0.68,0.68,119578,0.0000,1.0
2020-09-03,0.7589,0.7721,0.69,0.69,0.69,263716,0.0000,1.0
2020-09-02,0.84,0.85,0.7197,0.7603,0.7603,225023,0.0000,1.0
2020-09-01,0.8301,0.87,0.712,0.775899,0.775899,632467,0.0000,1.0
2020-08-31,0.8,0.8374,0.8,0.81,0.81,98524,0.0000,1.0
2020-08-28,0.864,0.87,0.83,0.8405,0.8405,197759,0.0000,1.0
2020-08-27,0.8407,0.8859,0.83,0.8535,0.8535,73545,0.0000,1.0
2020-08-26,0.91,0.92,0.836521,0.8457,0.8457,133846,0.0000,1.0
2020-08-25,0.8943,0.9,0.85,0.8632,0.8632,61026,0.0000,1.0
2020-08-24,0.93,0.93,0.88,0.885,0.885,117974,0.0000,1.0
2020-08-21,0.8849,0.9239,0.86,0.89,0.89,149704,0.0000,1.0
2020-08-20,0.89,0.9261,0.87,0.88,0.88,260722,0.0000,1.0
2020-08-19,0.947,0.947,0.91,0.9199,0.9199,141623,0.0000,1.0
2020-08-18,0.92,1.0499,0.91,0.91,0.91,1673143,0.0000,1.0
2020-08-17,0.984,1.0199,0.894949,0.938799,0.938799,254953,0.0000,1.0
2020-08-14,1.02,1.04,0.975,0.9976,0.9976,69509,0.0000,1.0
2020-08-13,1.05,1.0501,0.9119,0.9979,0.9979,212543,0.0000,1.0
2020-08-12,1.09,1.11,0.9999,1.04,1.04,255512,0.0000,1.0
2020-08-11,1.11,1.1197,1.09,1.09,1.09,118391,0.0000,1.0
2020-08-10,1.12,1.13,1.06,1.13,1.13,236602,0.0000,1.0
2020-08-07,1.1,1.14,1.0711,1.12,1.12,127690,0.0000,1.0
2020-08-06,1.15,1.15,1.05,1.12,1.12,320936,0.0000,1.0
2020-08-05,1.07,1.19,1.07,1.18,1.18,630341,0.0000,1.0
2020-08-04,1.2194,1.48,1.05,1.2,1.2,15441501,0.0000,1.0
2020-08-03,1.01,1.02,0.9549,0.993,0.993,149692,0.0000,1.0
2020-07-31,1.02,1.03,1.0,1.015,1.015,41596,0.0000,1.0
2020-07-30,1.0,1.03,0.9812,1.03,1.03,70664,0.0000,1.0
2020-07-29,1.08,1.08,1.0,1.03,1.03,163564,0.0000,1.0
2020-07-28,1.07,1.2,1.05,1.07,1.07,1730902,0.0000,1.0
2020-07-27,1.11,1.15,1.0659,1.09,1.09,182099,0.0000,1.0
2020-07-24,1.02,1.14,1.02,1.12,1.12,645431,0.0000,1.0
2020-07-23,1.03,1.08,1.02,1.06,1.06,112920,0.0000,1.0
2020-07-22,1.07,1.09,1.03,1.03,1.03,133017,0.0000,1.0
2020-07-21,1.02,1.09,1.02,1.09,1.09,200484,0.0000,1.0
2020-07-20,1.05,1.08,0.98,1.02,1.02,285438,0.0000,1.0
2020-07-17,1.04,1.11,1.02,1.05,1.05,254535,0.0000,1.0
2020-07-16,1.08,1.12,1.04,1.12,1.12,450589,0.0000,1.0
2020-07-15,0.91,1.2,0.91,1.16,1.16,1967090,0.0000,1.0
2020-07-14,1.53,1.53,1.0,1.04,1.04,17414768,0.0000,1.0
2020-07-13,0.83,0.84,0.74,0.78,0.78,706033,0.0000,1.0
2020-07-10,0.83,0.89,0.81,0.84,0.84,64354,0.0000,1.0
2020-07-09,0.91,0.91,0.8,0.82,0.82,84508,0.0000,1.0
2020-07-08,0.79,0.9,0.78,0.86,0.86,90235,0.0000,1.0
2020-07-07,0.79,0.83,0.74,0.75,0.75,83777,0.0000,1.0
2020-07-06,0.88,0.93,0.71,0.83,0.83,469444,0.0000,1.0
2020-07-02,0.92,0.94,0.91,0.93,0.93,105621,0.0000,1.0
2020-07-01,0.93,0.96,0.9,0.94,0.94,108200,0.0000,1.0
2020-06-30,0.92,0.97,0.9,0.93,0.93,55230,0.0000,1.0
2020-06-29,1.0,1.0,0.9,0.92,0.92,44676,0.0000,1.0
2020-06-26,1.0,1.0698,0.9,0.9271,0.9271,118077,0.0000,1.0
2020-06-25,1.13,1.16,0.9201,1.0199,1.0199,305925,0.0000,1.0
2020-06-24,1.09,1.1116,0.9608,1.0,1.0,310395,0.0000,1.0
2020-06-23,1.17,1.17,1.09,1.115,1.115,47774,0.0000,1.0
2020-06-22,1.1,1.24,1.08,1.13,1.13,397837,0.0000,1.0
2020-06-19,1.11,1.14,1.06,1.08,1.08,61381,0.0000,1.0
2020-06-18,1.17,1.17,1.05,1.11,1.11,108949,0.0000,1.0
2020-06-17,1.13,1.19,1.12,1.16,1.16,67216,0.0000,1.0
2020-06-16,1.15,1.209,1.1,1.14,1.14,109714,0.0000,1.0
2020-06-15,1.03,1.16,1.0,1.1,1.1,78060,0.0000,1.0
2020-06-12,1.09,1.2339,1.05,1.11,1.11,158372,0.0000,1.0
2020-06-11,1.08,1.2837,1.05,1.05,1.05,281625,0.0000,1.0
2020-06-10,1.52,1.65,1.36,1.43,1.43,755108,0.0000,1.0
2020-06-09,1.13,1.92,1.05,1.77,1.77,2429793,0.0000,1.0
2020-06-08,0.94,1.19,0.93,1.09,1.09,811031,0.0000,1.0
2020-06-05,0.9558,0.978,0.92,0.96,0.96,47913,0.0000,1.0
2020-06-04,0.92,0.97,0.92,0.958,0.958,48516,0.0000,1.0
2020-06-03,0.96,0.99,0.91,0.9201,0.9201,71796,0.0000,1.0
2020-06-02,0.98,1.01,0.9301,0.9375,0.9375,38393,0.0000,1.0
2020-06-01,0.97,1.03,0.92001,1.01,1.01,72179,0.0000,1.0
2020-05-29,1.09,1.09,0.93,0.97,0.97,66477,0.0000,1.0
2020-05-28,1.01,1.1,1.0,1.05,1.05,125817,0.0000,1.0
2020-05-27,1.0,1.05,1.0,1.0,1.0,70672,0.0000,1.0
2020-05-26,0.99,1.03,0.9378,1.0,1.0,225510,0.0000,1.0
2020-05-22,0.8327,0.95,0.8327,0.91,0.91,85790,0.0000,1.0
2020-05-21,0.83,0.8998,0.83,0.8302,0.8302,33842,0.0000,1.0
2020-05-20,0.8212,0.8786,0.8002,0.8299,0.8299,28499,0.0000,1.0
