timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,20.84,20.84,20.6,20.69,20.69,21922,0.0000,1.0
2020-12-10,20.98,21.07,20.89,21.03,21.03,5816,0.0000,1.0
2020-12-09,21.0,21.14,20.76,20.8256,20.8256,8923,0.0000,1.0
2020-12-08,20.8,20.905,20.7419,20.84,20.84,56269,0.0000,1.0
2020-12-07,20.69,20.94,20.69,20.8822,20.8822,12231,0.0000,1.0
2020-12-04,20.53,20.64,20.31,20.43,20.43,19884,0.0000,1.0
2020-12-03,20.5,20.629,20.44,20.47,20.47,17574,0.0000,1.0
2020-12-02,20.26,20.53,20.26,20.43,20.43,172289,0.0000,1.0
2020-12-01,20.1,20.45,19.991,20.1,20.1,37146,0.0000,1.0
2020-11-30,19.99,19.99,19.59,19.61,19.61,13358,0.0000,1.0
2020-11-27,20.34,20.54,20.34,20.44,20.44,14411,0.0000,1.0
2020-11-25,19.9631,20.09,19.8722,20.0573,20.0573,9597,0.0000,1.0
2020-11-24,19.8216,20.169,19.8216,20.1051,20.1051,13005,0.0000,1.0
2020-11-23,19.89,19.925,19.69,19.74,19.74,65547,0.0000,1.0
2020-11-20,19.4124,19.45,19.4,19.4,19.4,4277,0.0000,1.0
2020-11-19,19.3866,19.3866,19.31,19.31,19.31,5399,0.0000,1.0
2020-11-18,19.5,19.52,19.39,19.39,19.39,7553,0.0000,1.0
2020-11-17,19.35,19.58,19.35,19.4401,19.4401,9249,0.0000,1.0
2020-11-16,19.2,19.52,19.148,19.39,19.39,67843,0.0000,1.0
2020-11-13,18.95,19.09,18.95,19.09,19.09,7902,0.0000,1.0
2020-11-12,19.042,19.1599,18.81,18.8506,18.8506,10653,0.0000,1.0
2020-11-11,19.2,19.3,19.19,19.24,19.24,12938,0.0000,1.0
2020-11-10,19.09,19.4,19.01,19.38,19.38,15971,0.0000,1.0
2020-11-09,18.95,19.25,18.92,18.95,18.95,72106,0.0000,1.0
2020-11-06,18.26,18.46,18.26,18.435,18.435,13677,0.0000,1.0
2020-11-05,17.82,18.28,17.8,18.25,18.25,49075,0.0000,1.0
2020-11-04,17.33,17.63,17.33,17.59,17.59,10538,0.0000,1.0
2020-11-03,17.25,17.4027,17.25,17.32,17.32,5401,0.0000,1.0
2020-11-02,16.75,16.99,16.75,16.99,16.99,9787,0.0000,1.0
2020-10-30,16.57,16.57,16.49,16.56,16.56,14280,0.0000,1.0
2020-10-29,16.425,16.72,16.425,16.72,16.72,5239,0.0000,1.0
2020-10-28,16.8,16.8,16.6282,16.6282,16.6282,12113,0.0000,1.0
2020-10-27,17.13,17.13,17.0311,17.05,17.05,34196,0.0000,1.0
2020-10-26,17.16,17.21,17.04,17.11,17.11,12006,0.0000,1.0
2020-10-23,17.1,17.24,17.0901,17.215,17.215,3868,0.0000,1.0
2020-10-22,17.19,17.19,17.02,17.07,17.07,48253,0.0000,1.0
2020-10-21,16.93,17.19,16.93,17.17,17.17,68163,0.0000,1.0
2020-10-20,16.9599,16.9599,16.87,16.91,16.91,4060,0.0000,1.0
2020-10-19,16.9299,16.9299,16.75,16.81,16.81,31595,0.0000,1.0
2020-10-16,16.74,16.8099,16.74,16.75,16.75,5071,0.0000,1.0
2020-10-15,16.7224,16.7224,16.6506,16.6749,16.6749,2355,0.0000,1.0
