timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.15,12.56,12.0,12.43,12.43,199546,0.0000,1.0
2020-12-10,11.6,12.2299,11.536,12.09,12.09,140497,0.0000,1.0
2020-12-09,12.24,12.38,11.4,11.61,11.61,312544,0.0000,1.0
2020-12-08,11.86,12.17,11.7267,12.15,12.15,261671,0.0000,1.0
2020-12-07,10.9,11.87,10.82,11.75,11.75,223717,0.0000,1.0
2020-12-04,10.7,11.0,10.7,10.75,10.75,158054,0.0000,1.0
2020-12-03,10.5,10.55,10.27,10.5,10.5,82256,0.0000,1.0
2020-12-02,10.32,10.34,10.17,10.34,10.34,108755,0.0000,1.0
2020-12-01,10.17,10.29,10.0,10.27,10.27,81160,0.0000,1.0
2020-11-30,10.35,10.3734,9.91,9.91,9.91,142554,0.0000,1.0
2020-11-27,10.11,10.2002,10.0,10.09,10.09,49171,0.0000,1.0
2020-11-25,10.01,10.25,9.95,9.99,9.99,99266,0.0000,1.0
2020-11-24,10.1,10.2799,9.93,9.97,9.97,83967,0.0000,1.0
2020-11-23,10.15,10.5,9.99,10.0,10.0,190895,0.0000,1.0
2020-11-20,10.34,10.34,9.74,9.93,9.93,198265,0.0000,1.0
2020-11-19,10.1,10.19,9.9218,10.05,10.05,69749,0.0000,1.0
2020-11-18,10.0,10.1,9.92,10.03,10.03,29287,0.0000,1.0
2020-11-17,10.01,10.3394,9.9201,9.99,9.99,22225,0.0000,1.0
2020-11-16,10.09,10.09,9.9101,10.04,10.04,18169,0.0000,1.0
2020-11-13,9.61,10.16,9.61,10.0,10.0,36321,0.0000,1.0
2020-11-12,9.4,9.89,9.4,9.76,9.76,33217,0.0000,1.0
2020-11-11,9.48,9.48,9.24,9.38,9.38,22877,0.0000,1.0
2020-11-10,9.47,9.5617,9.32,9.32,9.32,16656,0.0000,1.0
2020-11-09,9.99,9.99,9.4,9.505,9.505,31604,0.0000,1.0
2020-11-06,9.92,9.92,9.53,9.64,9.64,28204,0.0000,1.0
2020-11-05,9.99,10.18,9.78,9.92,9.92,26569,0.0000,1.0
2020-11-04,9.75,10.35,9.6521,9.9,9.9,67931,0.0000,1.0
2020-11-03,9.63,9.7498,9.53,9.68,9.68,17872,0.0000,1.0
2020-11-02,9.56,9.6,9.22,9.53,9.53,15261,0.0000,1.0
2020-10-30,9.84,9.8566,9.42,9.57,9.57,14987,0.0000,1.0
2020-10-29,9.5,9.86,9.32,9.86,9.86,20699,0.0000,1.0
2020-10-28,9.75,9.75,9.22,9.59,9.59,33202,0.0000,1.0
2020-10-27,9.58,9.8,9.26,9.75,9.75,26549,0.0000,1.0
2020-10-26,9.3,9.62,9.22,9.62,9.62,33712,0.0000,1.0
2020-10-23,9.57,9.595,9.36,9.5,9.5,15815,0.0000,1.0
2020-10-22,9.44,9.7,9.4,9.46,9.46,16875,0.0000,1.0
2020-10-21,9.68,9.68,9.45,9.46,9.46,17646,0.0000,1.0
2020-10-20,9.66,9.85,9.5,9.5,9.5,19686,0.0000,1.0
2020-10-19,9.6,9.9799,9.46,9.54,9.54,89818,0.0000,1.0
2020-10-16,9.08,9.5899,9.044,9.527,9.527,193644,0.0000,1.0
2020-10-15,9.105,9.105,8.94,9.06,9.06,17699,0.0000,1.0
2020-10-14,9.02,9.25,9.02,9.13,9.13,5841,0.0000,1.0
2020-10-13,9.01,9.17,9.01,9.05,9.05,31470,0.0000,1.0
2020-10-12,9.15,9.15,8.91,9.065,9.065,21338,0.0000,1.0
2020-10-09,9.07,9.24,9.05,9.15,9.15,26887,0.0000,1.0
2020-10-08,8.87,9.07,8.87,9.07,9.07,26299,0.0000,1.0
2020-10-07,8.81,8.97,8.8,8.86,8.86,14882,0.0000,1.0
2020-10-06,8.89,9.05,8.8,8.81,8.81,27336,0.0000,1.0
2020-10-05,8.91,9.0,8.89,8.96,8.96,30981,0.0000,1.0
2020-10-02,8.31,8.78,8.31,8.75,8.75,29274,0.0000,1.0
2020-10-01,8.66,8.75,8.6447,8.7,8.7,3111,0.0000,1.0
2020-09-30,8.75,8.75,8.6,8.65,8.65,17573,0.0000,1.0
2020-09-29,8.73,8.88,8.61,8.76,8.76,7952,0.0000,1.0
2020-09-28,8.4726,8.9,8.4726,8.75,8.75,20970,0.0000,1.0
2020-09-25,8.41,8.64,8.39,8.55,8.55,21729,0.0000,1.0
2020-09-24,8.45,8.4999,8.35,8.44,8.44,16944,0.0000,1.0
2020-09-23,8.49,8.55,8.34,8.45,8.45,40574,0.0000,1.0
2020-09-22,8.57,8.645,8.5,8.565,8.565,14401,0.0000,1.0
2020-09-21,8.49,8.6522,8.45,8.56,8.56,8810,0.0000,1.0
2020-09-18,8.69,8.69,8.51,8.56,8.56,28889,0.0000,1.0
2020-09-17,8.59,8.75,8.5,8.62,8.62,46460,0.0000,1.0
2020-09-16,8.76,8.78,8.64,8.65,8.65,13543,0.0000,1.0
2020-09-15,8.75,8.75,8.66,8.7,8.7,8736,0.0000,1.0
2020-09-14,8.571,8.7271,8.571,8.69,8.69,10185,0.0000,1.0
2020-09-11,8.625,8.64,8.54,8.6,8.6,25709,0.0000,1.0
2020-09-10,8.72,8.79,8.571,8.69,8.69,8224,0.0000,1.0
2020-09-09,8.7,8.8,8.66,8.68,8.68,11413,0.0000,1.0
2020-09-08,8.68,8.78,8.484,8.74,8.74,13298,0.0000,1.0
2020-09-04,8.82,8.86,8.42,8.86,8.86,33834,0.0000,1.0
2020-09-03,9.0,9.0,8.7,8.84,8.84,21030,0.0000,1.0
2020-09-02,8.8,9.05,8.67,8.99,8.99,78762,0.0000,1.0
2020-09-01,8.49,8.8,8.42,8.74,8.74,18104,0.0000,1.0
2020-08-31,8.4,8.4443,8.33,8.4,8.4,28306,0.0000,1.0
2020-08-28,8.34,8.48,8.34,8.43,8.43,14257,0.0000,1.0
2020-08-27,8.39,8.39,8.35,8.38,8.38,30301,0.0000,1.0
2020-08-26,8.3,8.41,8.3,8.39,8.39,21310,0.0000,1.0
2020-08-25,8.55,8.56,8.3,8.3,8.3,135755,0.0000,1.0
2020-08-24,8.46,8.62,8.46,8.62,8.62,31995,0.0000,1.0
2020-08-21,8.625,8.6415,8.4,8.445,8.445,37258,0.0000,1.0
2020-08-20,8.62,8.6899,8.59,8.64,8.64,15762,0.0000,1.0
2020-08-19,8.7,8.7,8.58,8.61,8.61,20871,0.0000,1.0
2020-08-18,8.74,8.75,8.56,8.74,8.74,14960,0.0000,1.0
2020-08-17,8.84,8.84,8.6201,8.74,8.74,49260,0.0000,1.0
2020-08-14,8.84,8.9,8.75,8.7547,8.7547,16216,0.0000,1.0
2020-08-13,8.66,8.95,8.66,8.8,8.8,26562,0.0000,1.0
2020-08-12,8.7565,8.88,8.7,8.78,8.78,25395,0.0000,1.0
2020-08-11,8.76,8.899,8.7,8.79,8.79,49217,0.0000,1.0
2020-08-10,8.85,8.85,8.7,8.79,8.79,31683,0.0000,1.0
2020-08-07,8.75,8.96,8.69,8.79,8.79,23211,0.0000,1.0
2020-08-06,8.8,9.11,8.7,8.7,8.7,39114,0.0000,1.0
2020-08-05,9.5,9.68,8.4,8.56,8.56,260173,0.0000,1.0
2020-08-04,9.17,9.4,9.03,9.375,9.375,52126,0.0000,1.0
2020-08-03,9.09,9.35,9.0,9.25,9.25,66101,0.0000,1.0
2020-07-31,8.98,9.2473,8.87,9.0,9.0,21193,0.0000,1.0
2020-07-30,9.05,9.125,8.9,9.025,9.025,25074,0.0000,1.0
2020-07-29,8.82,9.2048,8.82,9.0745,9.0745,33678,0.0000,1.0
2020-07-28,8.8507,8.89,8.8,8.83,8.83,39486,0.0000,1.0
2020-07-27,8.92,9.23,8.85,8.88,8.88,15036,0.0000,1.0
2020-07-24,8.95,9.0,8.87,8.96,8.96,21133,0.0000,1.0
2020-07-23,8.89,9.1,8.89,8.96,8.96,39269,0.0000,1.0
2020-07-22,8.84,8.95,8.8,8.95,8.95,9230,0.0000,1.0
2020-07-21,9.0,9.02,8.8,8.85,8.85,27377,0.0000,1.0
2020-07-20,9.13,9.13,8.92,8.95,8.95,11294,0.0000,1.0
2020-07-17,8.83,9.25,8.76,9.15,9.15,28600,0.0000,1.0
2020-07-16,9.02,9.17,8.86,8.89,8.89,12600,0.0000,1.0
2020-07-15,8.71,9.25,8.71,9.25,9.25,51100,0.0000,1.0
2020-07-14,8.52,8.76,8.41,8.66,8.66,9500,0.0000,1.0
2020-07-13,8.64,8.85,8.55,8.55,8.55,42100,0.0000,1.0
2020-07-10,8.51,8.79,8.51,8.71,8.71,14500,0.0000,1.0
2020-07-09,8.32,8.7,8.25,8.51,8.51,27100,0.0000,1.0
2020-07-08,8.75,8.91,8.2,8.4,8.4,106500,0.0000,1.0
2020-07-07,8.91,9.28,8.5,8.83,8.83,70400,0.0000,1.0
2020-07-06,9.35,9.4,8.85,8.95,8.95,80700,0.0000,1.0
2020-07-02,9.43,9.43,9.1,9.35,9.35,27700,0.0000,1.0
2020-07-01,9.55,9.7,9.25,9.35,9.35,41800,0.0000,1.0
2020-06-30,9.51,9.7,9.17,9.63,9.63,66800,0.0000,1.0
2020-06-29,9.29,9.65,9.11,9.5,9.5,63600,0.0000,1.0
2020-06-26,9.37,9.4184,9.28,9.28,9.28,25561,0.0000,1.0
2020-06-25,9.33,9.4399,9.26,9.43,9.43,12398,0.0000,1.0
2020-06-24,9.61,9.61,9.12,9.32,9.32,63282,0.0000,1.0
2020-06-23,9.07,9.7,8.97,9.63,9.63,181658,0.0000,1.0
2020-06-22,8.98,9.1,8.9601,9.02,9.02,21025,0.0000,1.0
2020-06-19,8.94,9.04,8.92,8.99,8.99,14485,0.0000,1.0
2020-06-18,9.03,9.0851,8.86,8.92,8.92,24301,0.0000,1.0
2020-06-17,8.87,9.21,8.85,9.06,9.06,39244,0.0000,1.0
2020-06-16,9.1,9.225,8.85,8.895,8.895,61625,0.0000,1.0
2020-06-15,9.27,9.3287,9.01,9.1,9.1,61243,0.0000,1.0
2020-06-12,9.34,9.34,8.98,9.15,9.15,23479,0.0000,1.0
2020-06-11,9.35,9.35,8.85,8.92,8.92,73833,0.0000,1.0
2020-06-10,9.35,9.35,9.2,9.325,9.325,49654,0.0000,1.0
2020-06-09,9.35,9.4,9.19,9.28,9.28,56803,0.0000,1.0
2020-06-08,9.3,9.45,9.15,9.38,9.38,148236,0.0000,1.0
2020-06-05,9.3,9.3,9.0,9.1,9.1,258308,0.0000,1.0
2020-06-04,9.2,9.65,8.85,9.0,9.0,753752,0.0000,1.0
2020-06-03,8.2,8.3,8.08,8.1,8.1,104172,0.0000,1.0
2020-06-02,8.1,8.17,8.03,8.12,8.12,10212,0.0000,1.0
2020-06-01,8.02,8.155,7.96,8.0,8.0,21399,0.0000,1.0
2020-05-29,8.0,8.1,7.75,7.96,7.96,12380,0.0000,1.0
2020-05-28,8.04,8.1,7.95,7.95,7.95,13571,0.0000,1.0
2020-05-27,7.95,8.04,7.84,8.04,8.04,18169,0.0000,1.0
2020-05-26,8.0,8.04,7.77,7.93,7.93,20376,0.0000,1.0
2020-05-22,7.71,8.0,7.67,8.0,8.0,20538,0.0000,1.0
2020-05-21,7.72,7.85,7.51,7.69,7.69,17486,0.0000,1.0
2020-05-20,7.6838,7.76,7.505,7.62,7.62,6712,0.0000,1.0
2020-05-19,7.6,7.63,7.4,7.5,7.5,22338,0.0000,1.0
2020-05-18,8.41,8.41,7.35,7.46,7.46,172608,0.0000,1.0
2020-05-15,7.89,8.4498,7.85,8.0,8.0,94552,0.0000,1.0
2020-05-14,7.8,7.99,7.78,7.89,7.89,32345,0.0000,1.0
2020-05-13,7.99,8.0,7.77,7.9,7.9,65413,0.0000,1.0
2020-05-12,8.0,8.0,7.86,7.96,7.96,32228,0.0000,1.0
2020-05-11,8.01,8.1,7.85,7.98,7.98,52358,0.0000,1.0
2020-05-08,7.8272,8.1,7.77,7.95,7.95,24124,0.0000,1.0
2020-05-07,8.34,8.34,7.93,7.95,7.95,18334,0.0000,1.0
2020-05-06,7.95,8.44,7.76,7.98,7.98,74083,0.0000,1.0
2020-05-05,7.4,7.74,7.25,7.25,7.25,19458,0.0000,1.0
2020-05-04,7.17,7.36,7.16,7.2,7.2,6407,0.0000,1.0
2020-05-01,7.15,7.39,7.15,7.3,7.3,8814,0.0000,1.0
2020-04-30,7.2107,7.295,7.15,7.24,7.24,3182,0.0000,1.0
2020-04-29,7.1,7.45,7.09,7.36,7.36,23046,0.0000,1.0
2020-04-28,7.1,7.1,6.9307,7.01,7.01,3880,0.0000,1.0
2020-04-27,7.01,7.1,6.99,7.1,7.1,6866,0.0000,1.0
2020-04-24,7.0,7.04,6.905,6.93,6.93,12175,0.0000,1.0
2020-04-23,6.85,7.05,6.825,7.05,7.05,17136,0.0000,1.0
2020-04-22,6.7,6.86,6.7,6.74,6.74,23140,0.0000,1.0
2020-04-21,6.89,6.89,6.7,6.7,6.7,3122,0.0000,1.0
2020-04-20,6.85,7.03,6.695,6.91,6.91,41081,0.0000,1.0
2020-04-17,6.83,6.91,6.71,6.85,6.85,8713,0.0000,1.0
2020-04-16,6.81,6.91,6.65,6.67,6.67,12502,0.0000,1.0
2020-04-15,6.77,6.8311,6.55,6.78,6.78,13064,0.0000,1.0
2020-04-14,7.0,7.2467,6.76,6.91,6.91,27645,0.0000,1.0
2020-04-13,6.55,7.0315,6.5,6.88,6.88,9486,0.0000,1.0
2020-04-09,7.35,7.45,6.6,6.93,6.93,37221,0.0000,1.0
2020-04-08,7.25,7.77,6.6925,7.2,7.2,35561,0.0000,1.0
2020-04-07,6.51,7.0,6.32,6.92,6.92,28176,0.0000,1.0
2020-04-06,6.2,6.5167,6.2,6.25,6.25,26448,0.0000,1.0
2020-04-03,5.85,6.0228,5.52,6.0,6.0,8224,0.0000,1.0
2020-04-02,5.8,6.04,5.755,5.84,5.84,17252,0.0000,1.0
2020-04-01,5.72,6.1,5.655,5.95,5.95,21534,0.0000,1.0
2020-03-31,6.14,6.31,5.85,5.94,5.94,18576,0.0000,1.0
2020-03-30,6.62,6.62,5.813,6.2,6.2,20417,0.0000,1.0
2020-03-27,6.13,6.64,5.7,6.64,6.64,40536,0.0000,1.0
2020-03-26,6.0432,6.48,5.4,6.1,6.1,23409,0.0000,1.0
2020-03-25,5.93,5.97,5.65,5.65,5.65,17373,0.0000,1.0
2020-03-24,5.74,6.06,5.73,6.01,6.01,10663,0.0000,1.0
2020-03-23,5.2497,5.69,5.2,5.61,5.61,9220,0.0000,1.0
2020-03-20,5.75,5.75,5.5975,5.68,5.68,13969,0.0000,1.0
2020-03-19,5.14,5.705,5.14,5.705,5.705,7424,0.0000,1.0
2020-03-18,5.51,5.52,5.06,5.4,5.4,50239,0.0000,1.0
