timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.18,5.22,5.17,5.2,5.2,233115,0.0000,1.0
2020-12-10,5.15,5.22,5.15,5.21,5.21,393404,0.0000,1.0
2020-12-09,5.16,5.18,5.15,5.17,5.17,347418,0.0000,1.0
2020-12-08,5.14,5.16,5.12,5.15,5.15,235908,0.0000,1.0
2020-12-07,5.15,5.18,5.14,5.16,5.16,433840,0.0000,1.0
2020-12-04,5.19,5.19,5.16,5.18,5.18,403405,0.0000,1.0
2020-12-03,5.15,5.2,5.15,5.18,5.18,389582,0.0000,1.0
2020-12-02,5.14,5.17,5.14,5.16,5.16,320347,0.0000,1.0
2020-12-01,5.14,5.2,5.14,5.17,5.17,476422,0.0400,1.0
2020-11-30,5.19,5.2,5.17,5.18,5.1402303263,375921,0.0000,1.0
2020-11-27,5.16,5.215,5.14,5.2,5.16007677543,187548,0.0000,1.0
2020-11-25,5.16,5.18,5.13,5.16,5.12038387716,332667,0.0000,1.0
2020-11-24,5.14,5.2,5.133,5.19,5.15015355086,406615,0.0000,1.0
2020-11-23,5.11,5.14,5.08,5.13,5.09061420345,301298,0.0000,1.0
2020-11-20,5.07,5.11,5.06,5.08,5.04099808061,310035,0.0000,1.0
2020-11-19,5.04,5.1,5.04,5.08,5.04099808061,281845,0.0000,1.0
2020-11-18,5.1,5.12,5.06,5.06,5.02115163148,377826,0.0000,1.0
2020-11-17,5.05,5.12,5.05,5.1,5.06084452975,367876,0.0000,1.0
2020-11-16,5.1,5.13,5.05,5.07,5.03107485605,379581,0.0000,1.0
2020-11-13,5.0,5.05,4.9901,5.04,5.00130518234,219328,0.0000,1.0
2020-11-12,5.0,5.04,4.98,5.0,4.96161228407,222856,0.0000,1.0
2020-11-11,5.01,5.03,5.0,5.02,4.98145873321,206310,0.0000,1.0
2020-11-10,4.95,5.01,4.95,4.99,4.9516890595,273265,0.0000,1.0
2020-11-09,5.04,5.05,4.97,4.97,4.93184261036,447617,0.0000,1.0
2020-11-06,4.9,4.91,4.85,4.9,4.86238003839,210111,0.0000,1.0
2020-11-05,4.85,4.94,4.85,4.9,4.86238003839,348270,0.0000,1.0
2020-11-04,4.79,4.87,4.7703,4.82,4.78299424184,232550,0.0000,1.0
2020-11-03,4.71,4.8,4.71,4.78,4.74330134357,261976,0.0000,1.0
2020-11-02,4.67,4.7,4.67,4.69,4.65399232246,330725,0.0400,1.0
2020-10-30,4.69,4.72,4.65,4.66,4.58511717181,212701,0.0000,1.0
2020-10-29,4.64,4.745,4.63,4.74,4.66383162969,473513,0.0000,1.0
2020-10-28,4.75,4.77,4.61,4.62,4.54575994286,941894,0.0000,1.0
2020-10-27,4.83,4.847,4.8,4.8,4.72286747311,242759,0.0000,1.0
2020-10-26,4.87,4.88,4.8,4.83,4.75238539481,338343,0.0000,1.0
2020-10-23,4.91,4.9299,4.89,4.9,4.82126054546,188250,0.0000,1.0
2020-10-22,4.92,4.93,4.89,4.9,4.82126054546,312629,0.0000,1.0
2020-10-21,4.91,4.945,4.88,4.92,4.84093915993,280830,0.0000,1.0
2020-10-20,4.88,4.9679,4.88,4.92,4.84093915993,250798,0.0000,1.0
2020-10-19,4.92,4.955,4.88,4.88,4.80158193099,338480,0.0000,1.0
2020-10-16,4.93,4.98,4.93,4.93,4.85077846717,274766,0.0000,1.0
2020-10-15,4.93,4.94,4.9,4.94,4.86061777441,559345,0.0000,1.0
2020-10-14,4.99,5.01,4.95,4.97,4.89013569611,217541,0.0000,1.0
2020-10-13,5.01,5.02,4.96,4.99,4.90981431058,206498,0.0000,1.0
2020-10-12,5.02,5.03,4.96,5.03,4.94917153953,208082,0.0000,1.0
2020-10-09,4.98,5.027,4.97,5.02,4.93933223229,154259,0.0000,1.0
2020-10-08,5.03,5.03,4.96,4.97,4.89013569611,319103,0.0000,1.0
2020-10-07,4.93,5.01,4.93,5.01,4.92949292505,332589,0.0000,1.0
2020-10-06,4.95,4.98,4.92,4.92,4.84093915993,230506,0.0000,1.0
2020-10-05,4.95,4.9679,4.91,4.94,4.86061777441,258780,0.0000,1.0
2020-10-02,4.89,4.94,4.85,4.94,4.86061777441,171976,0.0000,1.0
2020-10-01,4.9,4.96,4.9,4.94,4.86061777441,407732,0.0400,1.0
2020-09-30,4.93,5.01,4.93,4.95,4.83133694444,682647,0.0000,1.0
2020-09-29,4.9,4.94,4.88,4.92,4.80205611447,481613,0.0000,1.0
2020-09-28,4.87,4.93,4.8504,4.92,4.80205611447,360210,0.0000,1.0
2020-09-25,4.77,4.83,4.77,4.83,4.71421362457,309639,0.0000,1.0
