timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,72.5,72.63,72.28,72.63,72.63,212099,0.0000,1.0
2020-12-10,72.03,72.5,72.02,72.42,72.42,570652,0.0000,1.0
2020-12-09,71.97,71.97,71.635,71.89,71.89,289911,0.0000,1.0
2020-12-08,72.53,72.58,72.2,72.24,72.24,232014,0.0000,1.0
2020-12-07,72.52,72.59,72.29,72.42,72.42,193112,0.0000,1.0
2020-12-04,72.3,72.32,72.03,72.21,72.21,244971,0.0000,1.0
2020-12-03,72.74,73.0,72.6,72.83,72.83,215938,0.0000,1.0
2020-12-02,72.53,72.56,72.16,72.41,72.41,439728,0.0000,1.0
2020-12-01,73.1,73.3,72.66,72.79,72.79,404614,0.1725,1.0
2020-11-30,73.11,73.43,72.995,73.39,73.2164682193,167890,0.0000,1.0
2020-11-27,72.89,73.0099,72.88,72.97,72.7974613158,36111,0.0000,1.0
2020-11-25,72.71,72.8,72.53,72.54,72.3684780574,326408,0.0000,1.0
2020-11-24,73.01,73.01,72.59,72.59,72.4183598316,338749,0.0000,1.0
2020-11-23,72.92,73.04,72.835,73.03,72.8573194449,138403,0.0000,1.0
2020-11-20,72.83,73.06,72.4968,72.86,72.6877214125,288421,0.0000,1.0
2020-11-19,72.53,73.0,72.44,72.92,72.7475795416,486427,0.0000,1.0
2020-11-18,72.14,72.24,72.0,72.14,71.9694238635,269890,0.0000,1.0
2020-11-17,71.64,71.8994,71.56,71.87,71.7000622827,643180,0.0000,1.0
2020-11-16,71.26,71.52,71.2001,71.5,71.3309371533,96444,0.0000,1.0
2020-11-13,71.15,71.2899,71.05,71.19,71.0216701531,171063,0.0000,1.0
2020-11-12,70.69,71.05,70.57,71.03,70.8620484755,116594,0.0000,1.0
2020-11-11,70.34,70.4999,70.22,70.43,70.2634671847,176334,0.0000,1.0
2020-11-10,70.39,70.5999,70.22,70.27,70.1038455072,156676,0.0000,1.0
2020-11-09,71.38,71.38,70.49,70.55,70.3831834429,194380,0.0000,1.0
2020-11-06,71.38,71.5,71.18,71.39,71.22119725,300183,0.0000,1.0
2020-11-05,71.77,71.95,71.56,71.74,71.5703696697,293441,0.0000,1.0
2020-11-04,71.18,71.56,71.06,71.3,71.1314100564,771279,0.0000,1.0
2020-11-03,69.72,69.9,69.56,69.78,69.6150041197,272202,0.0000,1.0
2020-11-02,69.66,69.82,69.53,69.76,69.59505141,1198134,0.1889,1.0
2020-10-30,70.02,70.14,69.43,69.43,69.0787941314,388295,0.0000,1.0
2020-10-29,70.4,70.4,69.68,69.99,69.635961418,235401,0.0000,1.0
2020-10-28,70.87,70.88,70.23,70.3,69.9443933089,195582,0.0000,1.0
2020-10-27,70.63,70.8,70.43,70.8,70.4418641006,118145,0.0000,1.0
2020-10-26,70.28,70.3799,70.13,70.31,69.9543427247,80210,0.0000,1.0
2020-10-23,69.79,70.07,69.74,70.07,69.7155567447,288767,0.0000,1.0
2020-10-22,69.98,70.16,69.69,69.7,69.3474283589,82245,0.0000,1.0
2020-10-21,70.17,70.31,70.0,70.0,69.6459108339,116163,0.0000,1.0
2020-10-20,70.47,70.47,70.14,70.25,69.8946462297,190900,0.0000,1.0
2020-10-19,70.69,70.76,70.46,70.6,70.2428757839,109696,0.0000,1.0
2020-10-16,71.07,71.26,70.67,70.68,70.3224711106,756330,0.0000,1.0
2020-10-15,71.2,71.25,70.83,71.09,70.7303971597,300625,0.0000,1.0
2020-10-14,71.13,71.21,70.89,71.15,70.7900936547,129313,0.0000,1.0
2020-10-13,70.9,71.06,70.68,70.89,70.5314088431,1658312,0.0000,1.0
2020-10-12,70.5,71.07,70.5,71.05,70.6905994964,89590,0.0000,1.0
2020-10-09,69.99,70.4,69.87,70.37,70.0140392197,389164,0.0000,1.0
2020-10-08,70.12,70.2999,69.95,70.04,69.6857084972,172525,0.0000,1.0
2020-10-07,69.8,70.14,69.65,69.8,69.4469225172,375608,0.0000,1.0
2020-10-06,69.89,70.34,69.6718,69.94,69.5862143389,403739,0.0000,1.0
2020-10-05,69.98,70.29,69.78,69.78,69.4270236855,191378,0.0000,1.0
2020-10-02,70.3,70.36,69.9685,70.36,70.0040898039,101912,0.0000,1.0
2020-10-01,69.86,70.44,69.84,70.31,69.9543427247,374519,0.1970,1.0
2020-09-30,70.17,70.41,70.0501,70.41,69.8581030429,122723,0.0000,1.0
2020-09-29,70.63,70.84,70.31,70.39,69.8382598096,95122,0.0000,1.0
2020-09-28,70.28,70.66,70.2749,70.66,70.1061434599,104982,0.0000,1.0
2020-09-25,70.2,70.2799,70.0469,70.22,69.669592326,76558,0.0000,1.0
2020-09-24,70.21,70.52,70.095,70.3,69.7489652594,78510,0.0000,1.0
2020-09-23,71.14,71.24,70.21,70.4,69.8481814262,98728,0.0000,1.0
2020-09-22,71.2,71.2011,70.9101,71.11,70.5526162105,98970,0.0000,1.0
2020-09-21,71.29,71.29,70.82,70.96,70.4037919603,88580,0.0000,1.0
2020-09-18,71.41,71.41,70.97,71.07,70.5129297438,186654,0.0000,1.0
2020-09-17,71.62,71.62,71.12,71.35,70.7907350108,138708,0.0000,1.0
2020-09-16,71.42,71.57,71.07,71.19,70.631989144,84518,0.0000,1.0
2020-09-15,71.17,71.41,71.13,71.25,70.691518844,249233,0.0000,1.0
2020-09-14,71.18,71.33,71.0865,71.18,70.6220675273,100354,0.0000,1.0
2020-09-11,70.96,70.9999,70.73,70.78,70.2252028601,110709,0.0000,1.0
2020-09-10,70.6,70.879,70.41,70.81,70.2549677101,84155,0.0000,1.0
2020-09-09,70.94,70.94,70.58,70.7,70.1458299266,130272,0.0000,1.0
2020-09-08,70.57,70.87,70.57,70.7,70.1458299266,148226,0.0000,1.0
2020-09-04,71.29,71.29,70.37,70.39,69.8382598096,111782,0.0000,1.0
2020-09-03,71.75,71.93,71.5007,71.71,71.1479132113,186270,0.0000,1.0
2020-09-02,71.27,71.949,71.2139,71.8,71.2372077614,127632,0.0000,1.0
2020-09-01,70.46,71.35,70.39,71.29,70.7312053108,225282,0.1942,1.0
2020-08-31,70.35,70.94,70.35,70.8,70.0542595232,329108,0.0000,1.0
2020-08-28,70.3,70.3799,69.95,70.27,69.5298420437,126514,0.0000,1.0
2020-08-27,71.18,71.18,70.07,70.14,69.4012113412,153479,0.0000,1.0
2020-08-26,70.96,71.17,70.72,71.05,70.3016262588,188084,0.0000,1.0
2020-08-25,71.22,71.33,70.83,71.2,70.4500463001,222528,0.0000,1.0
2020-08-24,71.93,72.1,71.55,71.69,70.9348851019,157414,0.0000,1.0
2020-08-21,71.66,71.94,71.4298,71.93,71.1723571681,110689,0.0000,1.0
2020-08-20,71.66,71.7,71.46,71.62,70.8656224159,100572,0.0000,1.0
2020-08-19,71.7,71.8299,71.1,71.19,70.4401516307,131250,0.0000,1.0
2020-08-18,71.28,71.7,71.22,71.63,70.8755170854,183673,0.0000,1.0
2020-08-17,71.24,71.4199,71.09,71.21,70.4599409696,184954,0.0000,1.0
2020-08-14,71.53,71.5623,70.9,71.06,70.3115209282,124462,0.0000,1.0
2020-08-13,72.43,72.43,71.28,71.7,70.9447797713,204836,0.0000,1.0
2020-08-12,72.65,72.8399,72.42,72.57,71.8056160112,81776,0.0000,1.0
2020-08-11,73.14,73.14,72.79,72.97,72.2014027882,188945,0.0000,1.0
2020-08-10,74.07,74.07,73.58,73.58,72.8049776231,85496,0.0000,1.0
2020-08-07,74.34,74.42,73.81,73.86,73.082028367,222952,0.0000,1.0
2020-08-06,74.0,74.34,74.0,74.235,73.4530784704,98959,0.0000,1.0
2020-08-05,73.74,73.97,73.59,73.65,72.8742403091,91077,0.0000,1.0
2020-08-04,73.69,73.92,73.61,73.92,73.1413963835,143971,0.0000,1.0
2020-08-03,73.27,73.58,73.0801,73.33,72.5576108875,148759,0.1950,1.0
2020-07-31,73.48,73.66,73.19,73.66,72.6908227906,345783,0.0000,1.0
2020-07-30,73.55,73.624,73.37,73.5,72.5329279814,92810,0.0000,1.0
2020-07-29,73.04,73.52,73.04,73.52,72.5526648326,127383,0.0000,1.0
2020-07-28,73.25,73.51,73.07,73.14,72.1776646607,105659,0.0000,1.0
2020-07-27,73.51,73.5622,73.12,73.18,72.217138363,79202,0.0000,1.0
2020-07-24,73.46,73.65,73.25,73.51,72.542796407,160438,0.0000,1.0
