timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,23.68,24.0453,23.22,23.55,23.55,36632,0.0000,1.0
2020-12-10,24.33,24.33,23.6,23.95,23.95,45235,0.0000,1.0
2020-12-09,24.39,24.61,24.195,24.51,24.51,44809,0.0000,1.0
2020-12-08,23.83,24.47,23.59,24.31,24.31,70804,0.0000,1.0
2020-12-07,23.94,24.17,23.71,24.08,24.08,42750,0.0000,1.0
2020-12-04,23.01,24.24,23.01,23.94,23.94,43090,0.0000,1.0
2020-12-03,23.37,23.49,22.6,23.26,23.26,45770,0.0000,1.0
2020-12-02,23.05,23.53,22.81,23.23,23.23,117215,0.0000,1.0
2020-12-01,23.58,23.66,23.0,23.2,23.2,56923,0.0000,1.0
2020-11-30,23.43,24.72,22.85,23.13,23.13,128822,1.5300,1.0
2020-11-27,25.5,25.5686,24.81,25.26,23.6927737226,55114,0.0000,1.0
2020-11-25,25.74,25.9,25.3,25.5,23.9178832117,79146,0.0000,1.0
2020-11-24,25.49,25.845,25.225,25.76,24.1617518248,114276,0.0000,1.0
2020-11-23,25.43,25.91,24.89,25.28,23.7115328467,105488,0.0000,1.0
2020-11-20,25.16,25.42,24.8,25.31,23.7396715328,69620,0.0000,1.0
2020-11-19,25.09,25.43,24.74,25.35,23.777189781,105401,0.0000,1.0
2020-11-18,25.14,25.62,24.945,24.985,23.4348357664,100538,0.0000,1.0
2020-11-17,24.73,24.9,23.605,24.61,23.0831021898,86908,0.0000,1.0
2020-11-16,24.12,24.74,23.18,24.74,23.2050364964,103288,0.0000,1.0
2020-11-13,23.49,23.82,23.08,23.46,22.0044525547,46026,0.0000,1.0
2020-11-12,23.81,24.73,22.7,23.17,21.7324452555,70853,0.0000,1.0
2020-11-11,24.62,24.62,23.27,24.07,22.5766058394,26758,0.0000,1.0
2020-11-10,23.8,25.23,23.8,24.6,23.0737226277,61849,0.0000,1.0
2020-11-09,24.1,24.77,23.0504,23.44,21.9856934307,80163,0.0000,1.0
2020-11-06,22.97,22.97,21.98,22.28,20.8976642336,43402,0.0000,1.0
2020-11-05,22.35,23.05,21.5875,22.84,21.422919708,43700,0.0000,1.0
2020-11-04,22.03,22.45,21.41,22.35,20.9633211679,80662,0.0000,1.0
2020-11-03,21.71,22.46,21.49,22.31,20.9258029197,49399,0.0000,1.0
2020-11-02,21.8,21.86,20.63,21.19,19.8752919708,74602,0.0000,1.0
2020-10-30,21.32,22.05,21.18,21.76,20.4099270073,66260,0.0000,1.0
2020-10-29,21.79,21.79,20.94,21.32,19.9972262774,67950,0.0000,1.0
2020-10-28,20.45,21.02,20.315,20.55,19.275,37854,0.0000,1.0
2020-10-27,21.22,21.83,20.9,21.06,19.7533576642,57152,0.0000,1.0
2020-10-26,21.23,21.67,20.92,21.33,20.0066058394,45116,0.0000,1.0
2020-10-23,21.3,21.98,21.27,21.61,20.2692335766,31939,0.0000,1.0
2020-10-22,21.49,22.98,20.66,21.34,20.0159854015,72507,0.0000,1.0
2020-10-21,20.87,21.43,20.74,20.99,19.6877007299,49125,0.0000,1.0
2020-10-20,20.99,21.01,20.55,20.95,19.6501824818,88277,0.0000,1.0
2020-10-19,21.21,21.31,20.705,21.0,19.697080292,57923,0.0000,1.0
2020-10-16,21.27,21.27,20.6,21.0,19.697080292,53724,0.0000,1.0
2020-10-15,20.12,21.5,19.915,21.36,20.0347445255,73808,0.0000,1.0
2020-10-14,20.35,20.64,20.026,20.3,19.0405109489,45388,0.0000,1.0
2020-10-13,20.39,20.6,18.83,20.39,19.1249270073,74900,0.0000,1.0
2020-10-12,20.55,20.695,19.99,20.6,19.3218978102,61375,0.0000,1.0
2020-10-09,20.95,21.25,20.31,20.51,19.2374817518,63110,0.0000,1.0
2020-10-08,20.49,21.0,19.49,20.74,19.4532116788,49781,0.0000,1.0
2020-10-07,20.09,20.34,19.82,20.15,18.8998175182,100008,0.0000,1.0
2020-10-06,19.88,20.42,19.27,20.01,18.7685036496,86967,0.0000,1.0
2020-10-05,18.95,19.87,18.92,19.7,18.4777372263,49924,0.0000,1.0
2020-10-02,18.3,19.13,18.11,18.95,17.774270073,44127,0.0000,1.0
2020-10-01,18.68,18.96,18.36,18.83,17.6617153285,39796,0.0000,1.0
2020-09-30,18.78,19.14,18.61,18.7,17.5397810219,59565,0.0000,1.0
2020-09-29,18.6,18.87,18.12,18.79,17.6241970803,41112,0.0000,1.0
2020-09-28,18.4,19.03,18.4,18.68,17.5210218978,52947,0.0000,1.0
2020-09-25,17.7,18.56,17.7,18.08,16.9582481752,67126,0.0000,1.0
2020-09-24,17.43,18.17,17.24,17.92,16.8081751825,63724,0.0000,1.0
2020-09-23,17.45,18.03,17.43,17.49,16.4048540146,132943,0.0000,1.0
2020-09-22,17.12,17.51,16.81,17.5,16.4142335766,187554,0.0000,1.0
2020-09-21,18.41,18.41,16.96,17.18,16.1140875912,60739,0.0000,1.0
2020-09-18,19.37,19.74,18.84,18.99,17.8117883212,202848,0.0000,1.0
2020-09-17,18.81,19.3,18.8,19.16,17.9712408759,113862,0.0000,1.0
2020-09-16,18.15,19.265,18.115,19.15,17.9618613139,88015,0.0000,1.0
2020-09-15,17.98,18.26,17.79,17.98,16.8644525547,53919,0.0000,1.0
2020-09-14,17.57,17.93,17.41,17.88,16.7706569343,45326,0.0000,1.0
2020-09-11,17.78,18.005,17.275,17.43,16.3485766423,58434,0.0000,1.0
2020-09-10,18.11,18.18,17.52,17.6,16.5080291971,51069,0.0300,1.0
2020-09-09,18.13,18.57,18.095,18.2,17.0417544746,53268,0.0000,1.0
2020-09-08,17.66,18.38,17.22,18.01,16.8638460487,65087,0.0000,1.0
2020-09-04,18.44,18.73,17.67,18.0,16.8544824474,48094,0.0000,1.0
2020-09-03,19.14,19.2,17.86,18.03,16.8825732515,60513,0.0000,1.0
2020-09-02,19.02,19.33,18.95,19.17,17.9500238065,39487,0.0000,1.0
2020-09-01,18.42,19.14,18.28,19.08,17.8657513942,48878,0.0000,1.0
2020-08-31,18.59,18.78,18.1975,18.44,17.2664809072,278938,0.0000,1.0
2020-08-28,18.88,18.88,18.49,18.69,17.5005709412,30493,0.0000,1.0
2020-08-27,18.89,19.37,18.64,18.7,17.5099345426,32075,0.0000,1.0
2020-08-26,18.87,19.04,18.64,18.79,17.5942069548,28770,0.0000,1.0
2020-08-25,19.13,19.22,18.66,18.9,17.6972065698,40259,0.0000,1.0
2020-08-24,18.74,19.11,18.645,19.08,17.8657513942,50378,0.0000,1.0
