timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.075,5.13,5.03,5.09,5.09,8560,0.0000,1.0
2020-12-10,5.03,5.31,4.96,5.02,5.02,45843,0.0000,1.0
2020-12-09,5.65,5.65,5.09,5.4,5.4,47336,0.0000,1.0
2020-12-08,5.6499,5.7,5.5,5.54,5.54,12128,0.0000,1.0
2020-12-07,5.49,5.82,5.42,5.65,5.65,183426,0.0000,1.0
2020-12-04,5.44,5.49,5.36,5.465,5.465,28450,0.0000,1.0
2020-12-03,5.44,5.44,5.26,5.42,5.42,4213,0.0000,1.0
2020-12-02,5.4,5.45,5.2662,5.4,5.4,32872,0.0000,1.0
2020-12-01,5.35,5.42,5.2,5.339,5.339,15581,0.0000,1.0
2020-11-30,5.06,5.4,5.06,5.4,5.4,26283,0.0000,1.0
2020-11-27,4.98,5.21,4.98,5.17,5.17,9701,0.0000,1.0
2020-11-25,5.0201,5.09,4.88,4.94,4.94,28334,0.0000,1.0
2020-11-24,5.228,5.228,5.01,5.0899,5.0899,16537,0.0000,1.0
2020-11-23,5.15,5.245,5.02,5.2,5.2,15639,0.0000,1.0
2020-11-20,5.33,5.4,5.16,5.25,5.25,9303,0.0000,1.0
2020-11-19,5.3088,5.4208,5.22,5.25,5.25,4819,0.0000,1.0
2020-11-18,5.48,5.5,5.25,5.41,5.41,13143,0.0000,1.0
2020-11-17,5.0619,5.4168,5.0619,5.4,5.4,5018,0.0000,1.0
2020-11-16,5.08,5.33,5.0302,5.24,5.24,18578,0.0000,1.0
2020-11-13,5.48,5.5,5.04,5.05,5.05,24718,0.0000,1.0
2020-11-12,5.43,5.5,5.19,5.46,5.46,39352,0.0000,1.0
2020-11-11,5.38,5.42,5.2,5.42,5.42,4954,0.0000,1.0
2020-11-10,4.85,5.4627,4.75,5.24,5.24,61081,0.0000,1.0
2020-11-09,4.92,5.24,4.86,5.1,5.1,17479,0.0000,1.0
2020-11-06,4.8,5.16,4.8,4.92,4.92,19805,0.0000,1.0
2020-11-05,5.01,5.12,4.98,4.992,4.992,12416,0.0000,1.0
2020-11-04,5.11,5.13,4.76,4.76,4.76,11590,0.0000,1.0
2020-11-03,4.91,5.26,4.4,5.25,5.25,341033,0.0000,1.0
2020-11-02,4.62,4.9,4.62,4.9,4.9,10380,0.0000,1.0
2020-10-30,4.66,4.77,4.4601,4.66,4.66,29504,0.0000,1.0
2020-10-29,4.08,4.7,4.08,4.61,4.61,11296,0.0000,1.0
2020-10-28,4.21,4.35,4.03,4.1,4.1,51629,0.0000,1.0
2020-10-27,4.5,4.58,4.29,4.32,4.32,19926,0.0000,1.0
2020-10-26,4.5,4.5,4.4,4.45,4.45,7358,0.0000,1.0
2020-10-23,4.47,4.53,4.42,4.485,4.485,5828,0.0000,1.0
2020-10-22,4.73,4.73,4.1,4.39,4.39,58506,0.0000,1.0
2020-10-21,4.71,4.83,4.71,4.74,4.74,12269,0.0000,1.0
2020-10-20,4.65,4.9,4.65,4.75,4.75,86692,0.0000,1.0
2020-10-19,4.55,4.65,4.535,4.625,4.625,12686,0.0000,1.0
2020-10-16,4.48,4.56,4.48,4.5,4.5,4135,0.0000,1.0
2020-10-15,4.4,4.5773,4.4,4.57,4.57,2841,0.0000,1.0
2020-10-14,4.5632,4.5632,4.5632,4.5632,4.5632,925,0.0000,1.0
2020-10-13,4.5139,4.58,4.5139,4.57,4.57,1776,0.0000,1.0
2020-10-12,4.64,4.64,4.56,4.57,4.57,1223,0.0000,1.0
2020-10-09,4.5754,4.58,4.5,4.55,4.55,7652,0.0000,1.0
2020-10-08,4.65,4.65,4.45,4.53,4.53,8213,0.0000,1.0
2020-10-07,4.53,4.54,4.42,4.52,4.52,8594,0.0000,1.0
2020-10-06,4.65,4.65,4.41,4.41,4.41,9294,0.0000,1.0
2020-10-05,4.34,4.64,4.34,4.56,4.56,12384,0.0000,1.0
2020-10-02,4.76,4.76,4.5,4.54,4.54,45841,0.0000,1.0
2020-10-01,4.72,4.76,4.69,4.76,4.76,3182,0.0000,1.0
2020-09-30,4.33,4.5,4.33,4.5,4.5,25894,0.0000,1.0
2020-09-29,4.44,4.44,4.33,4.35,4.35,7194,0.0000,1.0
2020-09-28,4.31,4.6,4.31,4.36,4.36,34804,0.0000,1.0
2020-09-25,4.5,4.56,4.3,4.46,4.46,16371,0.0000,1.0
2020-09-24,4.63,4.63,4.31,4.53,4.53,23812,0.0000,1.0
2020-09-23,4.8,4.8488,4.47,4.6,4.6,21551,0.0000,1.0
2020-09-22,4.63,4.85,4.61,4.79,4.79,39098,0.0000,1.0
2020-09-21,4.54,4.67,4.54,4.67,4.67,8340,0.0000,1.0
2020-09-18,4.7,4.72,4.46,4.46,4.46,12141,0.0000,1.0
2020-09-17,4.44,4.6,4.44,4.48,4.48,3869,0.0000,1.0
2020-09-16,4.62,4.83,4.55,4.55,4.55,8665,0.0000,1.0
2020-09-15,4.68,4.75,4.53,4.62,4.62,14804,0.0000,1.0
2020-09-14,4.67,4.74,4.66,4.71,4.71,3927,0.0000,1.0
2020-09-11,4.55,4.6606,4.515,4.57,4.57,9834,0.0000,1.0
2020-09-10,4.49,4.61,4.49,4.54,4.54,16458,0.0000,1.0
2020-09-09,4.715,4.715,4.44,4.52,4.52,56066,0.0000,1.0
2020-09-08,4.65,4.67,4.5,4.55,4.55,28287,0.0000,1.0
2020-09-04,4.87,4.87,4.635,4.7,4.7,2842,0.0000,1.0
2020-09-03,4.81,4.81,4.53,4.7,4.7,47296,0.0000,1.0
2020-09-02,4.63,4.92,4.63,4.84,4.84,15576,0.0000,1.0
2020-09-01,4.9,4.9,4.62,4.71,4.71,6374,0.0000,1.0
2020-08-31,4.882,4.99,4.85,4.92,4.92,20503,0.0000,1.0
2020-08-28,4.72,4.95,4.6,4.855,4.855,12202,0.0000,1.0
2020-08-27,4.58,4.7,4.53,4.55,4.55,28669,0.0000,1.0
2020-08-26,4.66,4.77,4.52,4.77,4.77,16079,0.0000,1.0
2020-08-25,4.64,4.85,4.61,4.85,4.85,6209,0.0000,1.0
2020-08-24,4.71,4.745,4.52,4.5901,4.5901,21899,0.0000,1.0
2020-08-21,4.85,4.87,4.69,4.74,4.74,12159,0.0000,1.0
2020-08-20,5.03,5.03,4.55,4.78,4.78,20347,0.0000,1.0
2020-08-19,5.0,5.1,4.9201,5.01,5.01,12617,0.0000,1.0
