timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,71.63,73.095,71.61,72.86,72.86,28215,0.0000,1.0
2020-12-10,71.9,73.2,70.4079,72.06,72.06,29808,0.0000,1.0
2020-12-09,72.05,73.5,71.59,72.63,72.63,37059,0.0000,1.0
2020-12-08,71.44,72.52,70.77,72.32,72.32,29272,0.0000,1.0
2020-12-07,73.01,73.5118,71.19,71.82,71.82,34376,0.0000,1.0
2020-12-04,70.65,72.94,70.65,72.67,72.67,24179,0.0000,1.0
2020-12-03,72.03,72.03,70.1969,70.69,70.69,27036,0.0000,1.0
2020-12-02,70.37,72.02,70.337,71.8,71.8,28313,0.0000,1.0
2020-12-01,69.89,70.71,69.33,70.39,70.39,44603,0.0000,1.0
2020-11-30,71.43,71.43,68.21,69.4,69.4,115607,0.0000,1.0
2020-11-27,71.99,71.99,70.32,71.28,71.28,37594,0.0000,1.0
2020-11-25,72.42,72.42,70.47,71.5,71.5,24146,0.0000,1.0
2020-11-24,71.87,72.93,71.14,72.22,72.22,31392,0.0000,1.0
2020-11-23,71.81,72.53,70.18,70.86,70.86,36575,0.0000,1.0
2020-11-20,72.16,72.3,71.06,71.62,71.62,71615,0.0000,1.0
2020-11-19,72.5,73.09,72.01,72.87,72.87,23977,0.0000,1.0
2020-11-18,74.775,74.85,72.67,72.94,72.94,35930,0.0000,1.0
2020-11-17,74.2,74.8,73.14,74.41,74.41,35649,0.0000,1.0
2020-11-16,74.0,74.55,73.2,74.55,74.55,49341,0.0000,1.0
2020-11-13,71.65,72.67,71.47,72.38,72.38,39731,0.0000,1.0
2020-11-12,72.89,72.89,70.07,71.3,71.3,41834,0.0000,1.0
2020-11-11,74.55,74.55,72.37,73.59,73.59,38505,0.0000,1.0
2020-11-10,69.89,74.47,69.4,74.25,74.25,75923,0.0000,1.0
2020-11-09,71.18,74.55,68.88,69.39,69.39,64564,0.0000,1.0
2020-11-06,68.94,69.845,67.06,67.43,67.43,38222,0.0000,1.0
2020-11-05,69.04,69.46,67.89,68.63,68.63,33778,0.0000,1.0
2020-11-04,69.53,69.73,68.1,68.87,68.87,40804,0.0000,1.0
2020-11-03,70.0,70.78,67.735,69.84,69.84,47373,0.0000,1.0
2020-11-02,68.5,68.99,66.39,68.58,68.58,36672,0.0000,1.0
2020-10-30,67.34,68.69,66.63,67.41,67.41,43612,0.0000,1.0
2020-10-29,65.45,67.58,64.21,67.51,67.51,36701,0.0000,1.0
2020-10-28,65.34,66.005,64.61,65.79,65.79,47648,0.0000,1.0
2020-10-27,68.31,68.73,66.35,66.38,66.38,31263,0.0000,1.0
2020-10-26,68.93,68.93,67.21,68.36,68.36,18168,0.0000,1.0
2020-10-23,69.75,69.85,68.81,69.44,69.44,28447,0.0000,1.0
2020-10-22,68.32,69.2,67.66,69.05,69.05,39507,0.0000,1.0
2020-10-21,68.33,68.5,67.65,68.16,68.16,21174,0.0000,1.0
2020-10-20,69.13,69.73,67.96,68.56,68.56,31424,0.0000,1.0
2020-10-19,70.47,71.65,68.55,68.95,68.95,52110,0.0000,1.0
2020-10-16,70.7,71.37,69.4449,70.15,70.15,40672,0.0000,1.0
