timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,135.02,135.58,134.43,135.35,135.35,3072740,0.0000,1.0
2020-12-10,135.27,135.86,134.86,135.62,135.62,1906634,0.0000,1.0
2020-12-09,136.57,136.7,135.12,135.77,135.77,1928404,0.0000,1.0
2020-12-08,134.89,136.25,134.8,136.03,136.03,1891295,0.0000,1.0
2020-12-07,136.17,136.17,135.11,135.56,135.56,3476656,0.0000,1.0
2020-12-04,135.07,136.35,135.07,136.32,136.32,2044879,0.0000,1.0
2020-12-03,134.39,135.23,134.15,134.6,134.6,2113292,0.0000,1.0
2020-12-02,133.41,134.45,133.11,134.32,134.32,1822876,0.0000,1.0
2020-12-01,134.02,134.74,133.49,133.63,133.63,2659576,0.0000,1.0
2020-11-30,133.33,133.52,132.06,132.4,132.4,3092993,0.0000,1.0
2020-11-27,134.15,134.3,133.44,133.82,133.82,1251628,0.0000,1.0
2020-11-25,134.38,134.38,133.3,133.92,133.92,2646493,0.0000,1.0
2020-11-24,133.44,134.96,133.28,134.78,134.78,4214753,0.0000,1.0
2020-11-23,131.0,132.28,131.0,131.96,131.96,2568852,0.0000,1.0
2020-11-20,130.52,131.0,129.94,130.18,130.18,2332287,0.0000,1.0
2020-11-19,130.02,130.87,129.31,130.74,130.74,3099466,0.0000,1.0
2020-11-18,132.17,132.649,130.3,130.37,130.37,1950694,0.0000,1.0
2020-11-17,131.21,132.27,130.5,131.9,131.9,2883225,0.0000,1.0
2020-11-16,132.64,132.64,131.18,132.46,132.46,2905390,0.0000,1.0
2020-11-13,128.34,130.36,128.34,130.02,130.02,1955392,0.0000,1.0
2020-11-12,128.49,128.58,126.565,127.53,127.53,2478468,0.0000,1.0
2020-11-11,130.38,130.4,128.621,129.21,129.21,2104687,0.0000,1.0
2020-11-10,128.48,129.8,128.05,129.6,129.6,3739056,0.0000,1.0
2020-11-09,129.86,131.56,128.07,128.13,128.13,7805827,0.0000,1.0
2020-11-06,123.44,123.76,122.7,123.03,123.03,2051164,0.0000,1.0
2020-11-05,122.52,123.98,122.34,123.21,123.21,2274617,0.0000,1.0
2020-11-04,121.15,123.18,120.15,121.11,121.11,2757692,0.0000,1.0
2020-11-03,120.3,121.79,120.3,121.14,121.14,3273759,0.0000,1.0
2020-11-02,118.28,119.07,117.34,118.91,118.91,2671814,0.0000,1.0
2020-10-30,116.2,117.0276,115.1213,116.73,116.73,3911988,0.0000,1.0
2020-10-29,115.63,117.73,114.76,116.73,116.73,3668219,0.0000,1.0
2020-10-28,117.05,117.96,115.68,115.84,115.84,3681972,0.0000,1.0
2020-10-27,120.7,120.72,119.31,119.31,119.31,2794154,0.0000,1.0
2020-10-26,121.91,122.07,119.71,120.83,120.83,2742402,0.0000,1.0
2020-10-23,123.54,123.85,122.62,123.37,123.37,1783680,0.0000,1.0
2020-10-22,121.54,123.365,121.54,123.2,123.2,1687976,0.0000,1.0
2020-10-21,121.88,122.54,121.53,121.53,121.53,3396426,0.0000,1.0
2020-10-20,122.04,123.14,121.77,122.03,122.03,1752579,0.0000,1.0
2020-10-19,123.28,123.78,121.24,121.44,121.44,2798050,0.0000,1.0
2020-10-16,123.37,123.77,122.92,123.2,123.2,3624371,0.0000,1.0
2020-10-15,121.34,122.99,121.01,122.89,122.89,1570327,0.0000,1.0
2020-10-14,123.03,123.61,122.33,122.5,122.5,1954627,0.0000,1.0
2020-10-13,123.81,124.0408,122.64,123.01,123.01,1336848,0.0000,1.0
2020-10-12,123.6,124.555,123.43,124.25,124.25,1221824,0.0000,1.0
2020-10-09,123.81,123.95,122.92,123.28,123.28,1469515,0.0000,1.0
2020-10-08,122.11,123.15,121.94,123.07,123.07,1898472,0.0000,1.0
2020-10-07,120.62,121.83,120.58,121.48,121.48,1478594,0.0000,1.0
2020-10-06,121.11,122.13,119.37,119.58,119.58,2360505,0.0000,1.0
2020-10-05,119.57,120.8343,119.57,120.68,120.68,1792285,0.0000,1.0
2020-10-02,116.7,119.41,116.41,118.76,118.76,2643037,0.0000,1.0
2020-10-01,118.68,119.25,117.654,118.42,118.42,1530513,0.0000,1.0
2020-09-30,117.61,119.23,117.35,118.13,118.13,2495486,0.0000,1.0
2020-09-29,118.31,118.32,116.83,117.27,117.27,2145492,0.0000,1.0
2020-09-28,117.65,118.78,117.63,118.18,118.18,1700780,0.0000,1.0
2020-09-25,114.4,116.54,114.21,116.29,116.29,2098433,0.0000,1.0
2020-09-24,114.55,116.09,113.57,114.97,114.97,2785101,0.0000,1.0
2020-09-23,117.39,117.88,114.701,114.77,114.77,1487694,0.7200,1.0
2020-09-22,117.68,118.49,117.08,117.87,117.13514511,1478891,0.0000,1.0
2020-09-21,118.56,118.56,116.2,117.55,116.817140134,2669550,0.0000,1.0
2020-09-18,121.64,121.64,119.69,120.3,119.549995391,1850748,0.0000,1.0
2020-09-17,120.71,121.82,120.04,121.45,120.69282577,2660453,0.0000,1.0
2020-09-16,121.74,123.275,121.535,121.98,121.219521511,1286017,0.0000,1.0
2020-09-15,121.83,122.15,121.03,121.21,120.454322039,3700911,0.0000,1.0
2020-09-14,120.51,121.8162,120.37,121.3,120.543760938,2817198,0.0000,1.0
2020-09-11,119.51,120.13,118.74,119.61,118.864297163,2038300,0.0000,1.0
2020-09-10,121.07,121.375,118.79,118.94,118.198474246,2123040,0.0000,1.0
2020-09-09,120.21,121.57,119.93,120.72,119.967376921,2225436,0.0000,1.0
2020-09-08,120.88,120.88,119.0,119.27,118.526416876,2234731,0.0000,1.0
2020-09-04,122.56,122.95,119.95,121.52,120.762389359,4925634,0.0000,1.0
2020-09-03,124.36,125.12,120.83,121.69,120.931329502,3989353,0.0000,1.0
2020-09-02,122.59,124.59,122.3,124.26,123.485306959,2905193,0.0000,1.0
2020-09-01,121.62,122.3,121.1001,122.3,121.537526486,2465014,0.0000,1.0
2020-08-31,122.87,122.88,121.86,121.91,121.149957922,2711556,0.0000,1.0
2020-08-28,122.49,123.03,121.84,122.94,122.173536436,1163293,0.0000,1.0
2020-08-27,121.59,122.51,121.5286,122.1,121.338773376,1734318,0.0000,1.0
2020-08-26,121.37,121.48,120.75,121.24,120.484135005,1538695,0.0000,1.0
2020-08-25,121.97,122.14,120.91,121.48,120.722638737,1273514,0.0000,1.0
2020-08-24,120.4,121.57,119.99,121.57,120.812077636,1532862,0.0000,1.0
2020-08-21,119.44,119.86,119.28,119.78,119.033237306,1954097,0.0000,1.0
2020-08-20,119.39,120.06,119.231,119.7,118.953736062,2363168,0.0000,1.0
2020-08-19,120.96,121.34,120.03,120.24,119.490369458,2146871,0.0000,1.0
2020-08-18,121.21,121.43,120.61,120.8,120.046878164,1682522,0.0000,1.0
2020-08-17,121.57,121.665,121.0856,121.23,120.47419735,1648017,0.0000,1.0
2020-08-14,120.93,121.91,120.79,121.47,120.712701081,969379,0.0000,1.0
2020-08-13,121.45,121.91,120.99,121.38,120.623262182,1496467,0.0000,1.0
2020-08-12,122.49,122.65,121.75,122.15,121.388461654,1859823,0.0000,1.0
2020-08-11,122.81,123.31,121.07,121.37,120.613324527,2588410,0.0000,1.0
2020-08-10,120.54,121.62,120.54,121.49,120.732576392,1838629,0.0000,1.0
2020-08-07,118.72,120.39,118.71,120.39,119.63943429,1823803,0.0000,1.0
2020-08-06,118.77,119.24,118.48,119.12,118.377352044,1846593,0.0000,1.0
2020-08-05,118.89,119.15,118.7301,118.93,118.18853659,1334358,0.0000,1.0
2020-08-04,117.3,118.11,117.02,118.05,117.314022908,1343233,0.0000,1.0
2020-08-03,117.54,117.79,116.78,117.51,116.777389512,2003855,0.0000,1.0
2020-07-31,117.21,117.27,115.52,117.13,116.399758604,3903136,0.0000,1.0
2020-07-30,117.38,117.6996,116.3,117.51,116.777389512,1817274,0.0000,1.0
2020-07-29,117.57,118.91,117.42,118.71,117.96990817,1251123,0.0000,1.0
2020-07-28,117.22,117.91,117.06,117.14,116.40969626,3468608,0.0000,1.0
2020-07-27,117.32,117.58,116.61,117.52,116.787327168,1164660,0.0000,1.0
2020-07-24,118.05,118.21,117.01,117.36,116.62832468,2419389,0.0000,1.0
2020-07-23,118.5,119.27,117.87,118.44,117.701591472,2405874,0.0000,1.0
2020-07-22,117.6,118.68,117.36,118.57,117.830780993,988184,0.0000,1.0
2020-07-21,117.23,118.5,117.22,117.9,117.164958076,1832360,0.0000,1.0
2020-07-20,117.01,117.14,116.21,116.48,115.753810998,2062152,0.0000,1.0
2020-07-17,117.16,117.53,116.64,117.24,116.509072814,1957906,0.0000,1.0
2020-07-16,116.24,117.23,115.97,116.77,116.042003007,2051260,0.0000,1.0
2020-07-15,116.71,117.21,115.99,116.87,116.141379562,3681441,0.0000,1.0
2020-07-14,112.9,115.04,112.45,114.88,114.163786122,2775346,0.0000,1.0
2020-07-13,114.08,115.14,113.0,113.19,112.484322346,2689727,0.0000,1.0
2020-07-10,111.22,113.38,111.22,113.32,112.613511867,1895100,0.0000,1.0
2020-07-09,112.96,113.01,110.32,111.27,110.576292495,2546334,0.0000,1.0
2020-07-08,112.81,113.37,111.97,112.96,112.25575627,5601625,0.0000,1.0
2020-07-07,113.34,113.56,112.43,112.62,111.917875984,3610154,0.0000,1.0
2020-07-06,114.69,115.08,113.7,114.21,113.497963205,1329489,0.0000,1.0
2020-07-02,114.02,114.68,112.74,113.05,112.34519517,1912191,0.0000,1.0
2020-07-01,113.01,113.71,112.08,112.48,111.778748807,1921753,0.0000,1.0
2020-06-30,111.15,113.15,110.99,112.62,111.917875984,3282295,0.0000,1.0
2020-06-29,110.25,111.38,109.48,111.38,110.685606705,2292089,0.0000,1.0
