timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,129.7,130.4224,128.37,129.45,129.45,1082178,0.0000,1.0
2020-12-10,128.87,130.72,128.3689,130.54,130.54,880702,0.0000,1.0
2020-12-09,131.06,131.78,128.91,129.94,129.94,1733443,0.0000,1.0
2020-12-08,128.01,130.21,128.01,130.15,130.15,911028,0.0000,1.0
2020-12-07,129.38,129.4487,128.11,128.88,128.88,1372700,0.0000,1.0
2020-12-04,127.0,129.71,126.835,129.57,129.57,1447972,0.0000,1.0
2020-12-03,125.56,126.94,125.28,126.05,126.05,899584,0.0000,1.0
2020-12-02,124.18,125.73,123.35,125.35,125.35,1393093,0.0000,1.0
2020-12-01,124.81,125.79,123.7098,124.43,124.43,1491007,0.0000,1.0
2020-11-30,125.68,125.79,122.44,122.62,122.62,2775629,0.0000,1.0
2020-11-27,127.08,127.08,125.26,126.19,126.19,1041253,0.0000,1.0
2020-11-25,127.4,127.4,125.477,126.81,126.81,1241086,0.0000,1.0
2020-11-24,125.88,128.62,125.66,127.91,127.91,3220267,0.0000,1.0
2020-11-23,122.28,124.68,122.005,123.96,123.96,1636809,0.0000,1.0
2020-11-20,120.84,121.2,120.1057,120.99,120.99,2075985,0.0000,1.0
2020-11-19,120.56,121.52,119.4665,121.34,121.34,1955047,0.0000,1.0
2020-11-18,122.88,123.64,119.28,120.71,120.71,2976467,0.0000,1.0
2020-11-17,120.96,122.73,119.5016,122.28,122.28,1773746,0.0000,1.0
2020-11-16,121.15,122.03,120.01,121.97,121.97,2140466,0.0000,1.0
2020-11-13,115.78,118.42,115.78,117.96,117.96,3676113,0.0000,1.0
2020-11-12,116.24,116.24,113.55,114.72,114.72,2440758,0.0000,1.0
2020-11-11,119.43,119.43,116.17,117.16,117.16,2640850,0.0000,1.0
2020-11-10,116.4335,119.16,116.15,118.64,118.64,4684327,0.0000,1.0
2020-11-09,117.78,119.98,115.26,115.54,115.54,5384690,0.0000,1.0
2020-11-06,109.83,110.235,107.87,107.99,107.99,1099266,0.0000,1.0
2020-11-05,107.07,109.8275,107.07,109.47,109.47,1459300,0.0000,1.0
2020-11-04,106.37,107.78,104.73,106.11,106.11,2947191,0.0000,1.0
2020-11-03,107.21,108.91,107.11,108.38,108.38,2206242,0.0000,1.0
2020-11-02,104.05,105.51,103.66,105.49,105.49,797950,0.0000,1.0
2020-10-30,103.15,104.2237,102.01,102.99,102.99,1681308,0.0000,1.0
2020-10-29,101.92,104.21,100.88,103.8,103.8,1158797,0.0000,1.0
2020-10-28,103.31,104.1,102.1,102.14,102.14,2116138,0.0000,1.0
2020-10-27,107.46,107.63,105.65,105.69,105.69,1846604,0.0000,1.0
2020-10-26,108.81,109.07,106.26,107.61,107.61,1206022,0.0000,1.0
2020-10-23,110.05,110.57,109.1,110.33,110.33,1373233,0.0000,1.0
2020-10-22,107.73,109.53,107.42,109.48,109.48,928404,0.0000,1.0
2020-10-21,107.8,108.36,107.22,107.22,107.22,875706,0.0000,1.0
2020-10-20,107.82,108.85,107.37,107.74,107.74,2239122,0.0000,1.0
2020-10-19,108.49,109.15,106.68,106.89,106.89,948118,0.0000,1.0
2020-10-16,108.72,109.03,107.74,108.15,108.15,1678230,0.0000,1.0
2020-10-15,105.7,108.64,105.49,108.47,108.47,1011267,0.0000,1.0
2020-10-14,107.82,108.61,106.78,106.92,106.92,1406759,0.0000,1.0
2020-10-13,108.53,108.53,107.22,107.66,107.66,1529374,0.0000,1.0
2020-10-12,108.91,109.56,108.27,109.33,109.33,1552156,0.0000,1.0
2020-10-09,109.55,109.86,108.04,108.47,108.47,1943650,0.0000,1.0
2020-10-08,107.83,108.66,107.16,108.48,108.48,1146400,0.0000,1.0
2020-10-07,105.8,107.06,105.74,106.77,106.77,1295325,0.0000,1.0
2020-10-06,105.95,107.93,104.48,104.62,104.62,2255186,0.0000,1.0
2020-10-05,103.58,105.16,103.58,105.03,105.03,842850,0.0000,1.0
2020-10-02,98.89,102.94,98.89,102.52,102.52,1068018,0.0000,1.0
2020-10-01,99.99,100.9,98.99,100.9,100.9,478259,0.0000,1.0
2020-09-30,99.45,101.1099,98.6,99.33,99.33,659049,0.0000,1.0
2020-09-29,99.9,99.9,97.73,99.09,99.09,1063303,0.0000,1.0
2020-09-28,98.33,100.41,98.33,99.99,99.99,1026494,0.0000,1.0
2020-09-25,95.31,97.33,95.03,96.95,96.95,1245094,0.0000,1.0
2020-09-24,95.51,97.57,94.22,95.77,95.77,1312321,0.0000,1.0
2020-09-23,98.58,99.8099,95.41,95.49,95.49,1426082,0.5774,1.0
2020-09-22,99.41,100.13,98.22,99.23,98.6335813571,1684429,0.0000,1.0
2020-09-21,101.44,101.44,97.96,99.08,98.4844829271,2017610,0.0000,1.0
2020-09-18,104.49,105.15,102.5,103.51,102.887856558,1295122,0.0000,1.0
2020-09-17,103.23,104.76,102.85,104.19,103.563769441,1515179,0.0000,1.0
2020-09-16,104.09,106.135,103.72,104.85,104.219802532,1713192,0.0000,1.0
2020-09-15,104.61,104.83,103.501,103.67,103.046894883,927409,0.0000,1.0
2020-09-14,102.26,104.02,101.88,103.73,103.106534255,1429787,0.0000,1.0
2020-09-11,102.52,102.6272,100.54,101.56,100.949576969,798901,0.0000,1.0
2020-09-10,103.92,104.42,101.95,101.99,101.376992468,1256324,0.0000,1.0
2020-09-09,103.76,104.0,102.29,103.53,102.907736349,1136654,0.0000,1.0
2020-09-08,104.03,104.3365,102.41,102.68,102.062845246,985149,0.0000,1.0
2020-09-04,106.35,106.63,103.34,105.06,104.428540334,942077,0.0000,1.0
2020-09-03,106.66,107.97,104.3967,104.91,104.279441904,1422313,0.0000,1.0
2020-09-02,106.32,107.19,105.38,106.82,106.177961912,1692590,0.0000,1.0
2020-09-01,104.66,105.99,103.75,105.91,105.273431437,1307728,0.0000,1.0
2020-08-31,106.51,106.52,104.78,104.84,104.209862637,1705979,0.0000,1.0
