timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,274.52,277.216,271.83,274.65,274.65,244584,0.0000,1.0
2020-12-10,269.63,276.04,268.79,275.6,275.6,276253,0.0000,1.0
2020-12-09,276.5,278.098,269.52,271.51,271.51,343444,0.0000,1.0
2020-12-08,269.14,275.34,269.14,275.17,275.17,318773,0.0000,1.0
2020-12-07,268.95,271.26,268.95,270.45,270.45,350251,0.0000,1.0
2020-12-04,265.16,269.26,264.51,269.02,269.02,656795,0.0000,1.0
2020-12-03,263.18,265.6912,262.55,264.05,264.05,180574,0.0000,1.0
2020-12-02,262.31,263.03,259.93,262.49,262.49,479731,0.0000,1.0
2020-12-01,265.41,265.44,262.83,263.37,263.37,461704,0.0000,1.0
2020-11-30,264.56,265.36,259.25,262.59,262.59,315973,0.0000,1.0
2020-11-27,262.13,264.84,262.13,264.63,264.63,309548,0.0000,1.0
2020-11-25,260.53,261.95,259.1501,261.42,261.42,208266,0.0000,1.0
2020-11-24,262.51,263.2165,259.53,260.97,260.97,357114,0.0000,1.0
2020-11-23,258.2,261.0604,256.53,259.57,259.57,324436,0.0000,1.0
2020-11-20,253.96,256.74,252.9812,256.04,256.04,733077,0.0000,1.0
2020-11-19,252.24,255.12,251.38,254.7,254.7,471271,0.0000,1.0
2020-11-18,256.83,257.35,252.19,252.26,252.26,356459,0.0000,1.0
2020-11-17,252.8,256.26,250.0,255.97,255.97,344170,0.0000,1.0
2020-11-16,253.95,254.845,251.6844,254.36,254.36,600967,0.0000,1.0
2020-11-13,249.49,251.61,248.94,250.97,250.97,546213,0.0000,1.0
2020-11-12,248.79,250.325,245.23,247.34,247.34,518697,0.0000,1.0
2020-11-11,248.72,250.05,247.0,250.03,250.03,679735,0.0000,1.0
2020-11-10,246.35,248.1408,242.63,247.12,247.12,656170,0.0000,1.0
2020-11-09,254.81,255.5,244.62,244.99,244.99,772260,0.0000,1.0
2020-11-06,245.0,245.0,242.3313,242.62,242.62,314300,0.0000,1.0
2020-11-05,240.32,244.84,240.23,244.21,244.21,608550,0.0000,1.0
2020-11-04,231.87,239.74,231.87,237.53,237.53,517895,0.0000,1.0
2020-11-03,229.7,234.46,229.03,233.1,233.1,695159,0.0000,1.0
2020-11-02,225.31,227.49,222.83,226.28,226.28,221502,0.0000,1.0
2020-10-30,226.11,227.34,220.2469,223.17,223.17,327676,0.0000,1.0
2020-10-29,225.24,228.64,224.12,227.47,227.47,553749,0.0000,1.0
2020-10-28,227.53,228.36,225.22,225.7,225.7,487178,0.0000,1.0
2020-10-27,232.34,233.83,231.89,232.37,232.37,506147,0.0000,1.0
2020-10-26,234.14,235.375,229.395,232.35,232.35,555661,0.0000,1.0
2020-10-23,236.98,237.19,234.32,236.98,236.98,463518,0.0000,1.0
2020-10-22,233.42,236.11,231.92,235.88,235.88,333617,0.0000,1.0
2020-10-21,235.83,236.69,232.32,232.48,232.48,345563,0.0000,1.0
2020-10-20,237.48,238.6652,235.12,235.48,235.48,362472,0.0000,1.0
2020-10-19,240.06,241.58,235.52,236.11,236.11,1094097,0.0000,1.0
2020-10-16,240.1,241.31,239.23,239.32,239.32,305933,0.0000,1.0
2020-10-15,235.52,240.43,234.51,239.86,239.86,246572,0.0000,1.0
2020-10-14,241.6,242.58,237.9,238.39,238.39,221324,0.0000,1.0
2020-10-13,239.46,241.85,238.8,241.18,241.18,254485,0.0000,1.0
2020-10-12,240.47,241.6499,239.4465,241.03,241.03,598109,0.0000,1.0
2020-10-09,238.86,239.95,238.05,239.54,239.54,246740,0.0000,1.0
2020-10-08,237.8,238.09,236.05,237.06,237.06,282565,0.0000,1.0
2020-10-07,232.83,236.16,232.83,235.23,235.23,258938,0.0000,1.0
2020-10-06,232.22,235.9,229.72,230.36,230.36,419419,0.0000,1.0
2020-10-05,226.14,230.93,226.14,230.7,230.7,312726,0.0000,1.0
2020-10-02,220.87,224.99,220.86,223.89,223.89,224034,0.0000,1.0
2020-10-01,223.0,225.06,221.515,224.94,224.94,426807,0.0000,1.0
2020-09-30,221.36,224.4,219.76,221.52,221.52,470365,0.0000,1.0
2020-09-29,220.72,222.5093,219.68,221.07,221.07,236114,0.0000,1.0
2020-09-28,219.34,221.3,218.56,220.83,220.83,186741,0.0000,1.0
2020-09-25,211.88,217.25,211.88,216.68,216.68,280670,0.0000,1.0
2020-09-24,212.74,215.87,210.02,212.73,212.73,698385,0.0000,1.0
