timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,99.3,100.29,97.89,99.93,99.93,547579,0.0000,1.0
2020-12-10,98.13,99.83,97.86,99.77,99.77,368996,0.0000,1.0
2020-12-09,100.56,100.6,98.155,98.7,98.7,504273,0.0000,1.0
2020-12-08,99.51,100.558,99.51,100.38,100.38,710779,0.0000,1.0
2020-12-07,99.73,99.92,99.4,99.62,99.62,514578,0.0000,2.0
2020-12-04,197.5,199.21,196.84,199.1,99.55,242471,0.0000,1.0
2020-12-03,195.49,198.059,195.45,196.86,98.43,316599,0.0000,1.0
2020-12-02,195.58,195.87,193.99,195.42,97.71,360409,0.0000,1.0
2020-12-01,198.19,198.19,195.605,196.74,98.37,280592,0.0000,1.0
2020-11-30,194.97,196.32,192.76,196.15,98.075,391324,0.0000,1.0
2020-11-27,192.93,194.68,192.86,194.68,97.34,163118,0.0000,1.0
2020-11-25,190.56,192.13,190.41,191.85,95.925,186553,0.0000,1.0
2020-11-24,192.27,192.27,190.11,190.48,95.24,403521,0.0000,1.0
2020-11-23,191.03,191.5513,189.49,190.78,95.39,239944,0.0000,1.0
2020-11-20,189.57,191.138,189.44,189.86,94.93,273398,0.0000,1.0
2020-11-19,186.3,189.84,186.3,189.44,94.72,285503,0.0000,1.0
2020-11-18,188.52,188.95,186.61,186.62,93.31,515513,0.0000,1.0
2020-11-17,187.42,189.05,186.75,188.66,94.33,404095,0.0000,1.0
2020-11-16,187.86,188.5,186.5808,188.31,94.155,580165,0.0000,1.0
2020-11-13,186.84,187.85,185.94,186.88,93.44,237942,0.0000,1.0
2020-11-12,187.06,187.72,184.55,185.62,92.81,599527,0.0000,1.0
2020-11-11,184.43,186.925,184.43,186.64,93.32,794714,0.0000,1.0
2020-11-10,184.33,184.987,180.2278,182.93,91.465,464913,0.0000,1.0
2020-11-09,194.02,194.02,185.3675,185.59,92.795,763682,0.0000,1.0
2020-11-06,188.47,190.27,187.8,189.86,94.93,906054,0.0000,1.0
2020-11-05,188.0,189.14,187.585,188.75,94.375,384482,0.0000,1.0
