timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,285.21,285.76,283.09,285.62,285.62,88102,0.0000,1.0
2020-12-10,284.25,287.83,283.6448,286.92,286.92,60887,0.0000,1.0
2020-12-09,291.36,291.5,285.53,286.01,286.01,44899,0.0000,1.0
2020-12-08,290.24,292.14,289.4648,291.24,291.24,40960,0.0000,1.0
2020-12-07,289.63,290.9504,289.5,290.24,290.24,131052,0.0000,1.0
2020-12-04,287.1,289.34,286.7,289.3,289.3,31520,0.0000,1.0
2020-12-03,286.78,287.93,285.56,285.82,285.82,45309,0.0000,1.0
2020-12-02,284.93,286.16,283.56,285.71,285.71,46392,0.0000,1.0
2020-12-01,284.33,287.1048,283.99,285.97,285.97,80207,0.0000,1.0
2020-11-30,280.95,282.46,278.05,282.26,282.26,39287,0.0000,1.0
2020-11-27,280.85,282.27,280.85,281.08,281.08,32525,0.0000,1.0
2020-11-25,278.69,279.45,278.1118,278.91,278.91,54441,0.0000,1.0
2020-11-24,276.05,278.9499,274.8622,278.25,278.25,51372,0.0000,1.0
2020-11-23,276.02,277.39,273.4301,275.25,275.25,57353,0.0000,1.0
2020-11-20,276.82,277.06,274.34,274.55,274.55,46826,0.0000,1.0
2020-11-19,273.95,277.0,273.47,276.48,276.48,49043,0.0000,1.0
2020-11-18,276.72,277.895,274.66,274.66,274.66,55471,0.0000,1.0
2020-11-17,276.92,278.25,276.09,277.03,277.03,79214,0.0000,1.0
2020-11-16,275.97,278.84,275.73,278.78,278.78,65429,0.0000,1.0
2020-11-13,274.25,275.45,272.55,275.04,275.04,47294,0.0000,1.0
2020-11-12,274.53,275.33,271.26,271.97,271.97,182200,0.0000,1.0
2020-11-11,270.93,275.06,270.78,274.58,274.58,76830,0.0000,1.0
2020-11-10,270.1,272.16,266.37,267.97,267.97,83678,0.0000,1.0
2020-11-09,279.35,282.32,272.56,272.98,272.98,92082,0.0000,1.0
2020-11-06,272.97,275.115,269.9501,274.51,274.51,61590,0.0000,1.0
2020-11-05,272.28,274.11,271.36,273.71,273.71,157973,0.0000,1.0
2020-11-04,262.83,267.0337,260.76,265.39,265.39,54944,0.0000,1.0
2020-11-03,253.57,257.766,253.23,256.3,256.3,53884,0.0000,1.0
2020-11-02,252.62,253.9,249.0446,251.42,251.42,55513,0.0000,1.0
2020-10-30,252.65,253.513,248.2369,250.55,250.55,54193,0.0000,1.0
2020-10-29,252.79,258.51,252.79,256.24,256.24,52740,0.0000,1.0
2020-10-28,257.8,258.1,252.11,252.6,252.6,77338,0.0000,1.0
2020-10-27,263.05,263.8132,261.8301,263.08,263.08,49569,0.0000,1.0
2020-10-26,264.6,265.6,259.19,261.8,261.8,46982,0.0000,1.0
2020-10-23,268.59,268.59,266.31,268.26,268.26,66249,0.0000,1.0
2020-10-22,269.58,269.93,265.76,268.14,268.14,39650,0.0000,1.0
2020-10-21,269.39,271.76,269.18,269.66,269.66,50001,0.0000,1.0
2020-10-20,270.25,272.5899,269.1099,270.16,270.16,68113,0.0000,1.0
2020-10-19,274.66,275.34,268.24,268.89,268.89,78963,0.0000,1.0
2020-10-16,275.16,275.85,272.85,273.1,273.1,54165,0.0000,1.0
2020-10-15,270.62,274.1947,270.21,273.7,273.7,124042,0.0000,1.0
2020-10-14,277.53,278.68,273.58,275.21,275.21,256719,0.0000,1.0
2020-10-13,279.44,279.55,276.1,276.73,276.73,78031,0.0000,1.0
2020-10-12,275.83,280.0641,274.78,278.69,278.69,55490,0.0000,1.0
2020-10-09,269.56,272.2,269.56,272.2,272.2,43943,0.0000,1.0
2020-10-08,268.84,268.84,267.61,268.07,268.07,87805,0.0000,1.0
2020-10-07,264.7,267.0,264.6801,266.54,266.54,299408,0.0000,1.0
2020-10-06,265.26,267.05,261.3331,261.75,261.75,70467,0.0000,1.0
2020-10-05,262.33,266.09,262.33,266.0,266.0,63965,0.0000,1.0
2020-10-02,260.53,264.17,260.08,260.45,260.45,78613,0.0000,1.0
2020-10-01,267.05,267.38,265.375,266.68,266.68,86649,0.0000,1.0
2020-09-30,261.68,266.0699,261.68,263.67,263.67,99493,0.0000,1.0
2020-09-29,261.95,263.058,261.61,262.02,262.02,147198,0.0000,1.0
2020-09-28,261.71,262.17,259.84,262.16,262.16,43393,0.0000,1.0
2020-09-25,251.89,257.69,250.96,257.46,257.46,43281,0.0000,1.0
2020-09-24,248.7,255.0,248.39,252.24,252.24,51910,0.0000,1.0
2020-09-23,258.43,258.74,250.91,251.06,251.06,81570,0.0000,1.0
2020-09-22,257.29,258.76,253.4305,258.37,258.37,120308,0.0000,1.0
2020-09-21,249.9,255.33,248.96,255.33,255.33,63818,0.0000,1.0
2020-09-18,257.87,258.7841,251.9321,253.86,253.86,47744,0.0000,1.0
2020-09-17,254.22,258.86,253.49,257.35,257.35,81215,0.0000,1.0
2020-09-16,264.33,264.58,259.27,259.27,259.27,41874,0.0000,1.0
2020-09-15,264.11,264.5,261.605,263.16,263.16,71875,0.0000,1.0
2020-09-14,259.32,261.4,258.06,260.48,260.48,119006,0.0000,1.0
2020-09-11,258.85,259.66,252.65,255.36,255.36,142389,0.0000,1.0
2020-09-10,265.17,265.4533,255.71,256.35,256.35,54995,0.0000,1.0
2020-09-09,259.49,264.0699,257.97,262.01,262.01,149256,0.0000,1.0
2020-09-08,255.41,260.72,253.3375,253.44,253.44,106492,0.0000,1.0
2020-09-04,266.06,269.765,254.04,264.52,264.52,113674,0.0000,1.0
2020-09-03,278.31,278.31,265.865,267.46,267.46,123964,0.0000,1.0
2020-09-02,283.39,283.39,278.3751,282.43,282.43,130953,0.0000,1.0
2020-09-01,277.12,280.23,276.11,280.01,280.01,64874,0.0000,1.0
2020-08-31,274.6,276.2694,273.5,274.98,274.98,51131,0.0000,1.0
2020-08-28,273.41,275.16,273.32,274.62,274.62,47649,0.0000,1.0
2020-08-27,273.83,274.7057,270.65,272.73,272.73,44532,0.0000,1.0
2020-08-26,270.38,273.4555,270.38,272.83,272.83,232796,0.0000,1.0
2020-08-25,266.07,268.11,266.07,267.98,267.98,66983,0.0000,1.0
2020-08-24,267.86,267.9,264.582,266.24,266.24,50514,0.0000,1.0
2020-08-21,261.64,264.29,261.25,264.02,264.02,35358,0.0000,1.0
2020-08-20,257.5,261.91,257.5,261.65,261.65,40445,0.0000,1.0
2020-08-19,260.41,261.35,259.035,259.27,259.27,72747,0.0000,1.0
2020-08-18,259.91,260.78,258.0001,260.07,260.07,87144,0.0000,1.0
2020-08-17,259.1,259.99,259.08,259.57,259.57,74022,0.0000,1.0
2020-08-14,257.58,258.17,256.3446,257.44,257.44,50773,0.0000,1.0
2020-08-13,258.22,259.4,256.81,257.87,257.87,51549,0.0000,1.0
2020-08-12,254.35,258.57,254.35,258.03,258.03,40931,0.0000,1.0
2020-08-11,255.58,256.73,251.96,252.2,252.2,59606,0.0000,1.0
2020-08-10,257.48,257.65,253.7,256.1,256.1,54367,0.0000,1.0
2020-08-07,259.23,259.475,255.7023,256.97,256.97,62176,0.0000,1.0
2020-08-06,257.51,260.93,257.24,260.69,260.69,48059,0.0000,1.0
2020-08-05,257.32,258.34,256.8679,257.49,257.49,42326,0.0000,1.0
