timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.77,13.79,13.68,13.79,13.79,35323,0.0000,1.0
2020-12-10,13.75,13.8335,13.71,13.8,13.8,52230,0.0000,1.0
2020-12-09,13.86,13.89,13.79,13.83,13.83,57631,0.0000,1.0
2020-12-08,13.62,13.88,13.62,13.83,13.83,46861,0.0000,1.0
2020-12-07,13.82,13.86,13.75,13.76,13.76,50157,0.0000,1.0
2020-12-04,13.8,13.96,13.8,13.93,13.93,41789,0.0000,1.0
2020-12-03,13.77,13.88,13.77,13.8,13.8,39824,0.0000,1.0
2020-12-02,13.7,13.83,13.69,13.81,13.81,44362,0.0000,1.0
2020-12-01,13.49,13.73,13.49,13.7,13.7,58142,0.0000,1.0
2020-11-30,13.44,13.5,13.38,13.5,13.5,39456,0.0000,1.0
2020-11-27,13.46,13.57,13.45,13.51,13.51,16460,0.0000,1.0
2020-11-25,13.52,13.5794,13.41,13.43,13.43,49153,0.0000,1.0
2020-11-24,13.4,13.6,13.34,13.51,13.51,97352,0.0000,1.0
2020-11-23,13.63,13.63,13.42,13.44,13.44,41643,0.0000,1.0
2020-11-20,13.61,13.61,13.4307,13.52,13.52,27409,0.0000,1.0
2020-11-19,13.58,13.58,13.4,13.57,13.57,33493,0.0000,1.0
2020-11-18,13.59,13.6,13.47,13.52,13.52,42653,0.0000,1.0
2020-11-17,13.46,13.59,13.41,13.59,13.59,62438,0.0000,1.0
2020-11-16,13.37,13.57,13.37,13.54,13.54,48033,0.0000,1.0
2020-11-13,13.19,13.31,13.19,13.28,13.28,59208,0.0000,1.0
2020-11-12,13.2,13.21,13.02,13.05,13.05,32650,0.0000,1.0
2020-11-11,13.4,13.4,13.17,13.2,13.2,38099,0.0000,1.0
2020-11-10,13.3,13.39,13.0,13.39,13.39,54401,0.0000,1.0
2020-11-09,13.66,13.68,13.3,13.35,13.35,60844,0.0000,1.0
2020-11-06,13.14,13.14,12.96,13.0,13.0,25354,0.0000,1.0
2020-11-05,12.74,13.05,12.74,13.05,13.05,58984,0.0000,1.0
2020-11-04,12.63,12.75,12.5,12.58,12.58,43786,0.0000,1.0
2020-11-03,12.41,12.55,12.41,12.5,12.5,20062,0.0000,1.0
2020-11-02,12.25,12.39,12.23,12.28,12.28,46731,0.0000,1.0
2020-10-30,12.25,12.275,12.06,12.16,12.16,31815,0.0000,1.0
2020-10-29,12.21,12.33,12.19,12.27,12.27,37170,0.0000,1.0
2020-10-28,12.47,12.52,12.22,12.22,12.22,43791,0.0000,1.0
2020-10-27,12.76,12.78,12.64,12.64,12.64,33501,0.0000,1.0
2020-10-26,12.89,12.96,12.72,12.75,12.75,31404,0.0000,1.0
2020-10-23,13.22,13.22,13.05,13.11,13.11,20753,0.0000,1.0
2020-10-22,13.09,13.15,13.0,13.15,13.15,28485,0.0000,1.0
2020-10-21,13.13,13.13,13.01,13.05,13.05,27920,0.0000,1.0
2020-10-20,13.01,13.1,12.98,13.1,13.1,34276,0.0000,1.0
2020-10-19,13.16,13.1972,12.91,12.95,12.95,26938,0.0000,1.0
2020-10-16,13.15,13.22,13.08,13.16,13.16,33990,0.0000,1.0
2020-10-15,13.14,13.16,13.038,13.16,13.16,37088,0.0000,1.0
2020-10-14,13.14,13.22,13.07,13.18,13.18,40013,0.0000,1.0
2020-10-13,13.28,13.28,13.1,13.19,13.19,38372,0.0000,1.0
2020-10-12,13.17,13.2699,13.17,13.25,13.25,45706,0.0000,1.0
2020-10-09,13.26,13.261,13.12,13.15,13.15,47319,0.0000,1.0
2020-10-08,13.34,13.34,13.1119,13.23,13.23,39846,0.0000,1.0
2020-10-07,13.11,13.18,13.035,13.18,13.18,43153,0.0000,1.0
2020-10-06,13.07,13.09,12.86,12.92,12.92,69382,0.0000,1.0
2020-10-05,12.88,13.0,12.82,13.0,13.0,62471,0.0000,1.0
2020-10-02,12.75,12.83,12.62,12.81,12.81,64784,0.0000,1.0
2020-10-01,12.89,12.96,12.75,12.84,12.84,64421,0.0000,1.0
2020-09-30,12.59,12.82,12.58,12.8,12.8,48259,0.0000,1.0
2020-09-29,12.66,12.67,12.53,12.59,12.59,46182,0.0000,1.0
2020-09-28,12.61,12.6703,12.59,12.6,12.6,59813,0.0000,1.0
2020-09-25,12.31,12.45,12.3,12.45,12.45,46045,0.0000,1.0
2020-09-24,12.38,12.44,12.25,12.36,12.36,34929,0.0000,1.0
2020-09-23,12.68,12.69,12.3,12.36,12.36,38283,0.0000,1.0
2020-09-22,12.53,12.64,12.45,12.64,12.64,34341,0.0000,1.0
2020-09-21,12.56,12.56,12.35,12.51,12.51,50124,0.0000,1.0
2020-09-18,12.74,12.7899,12.62,12.71,12.71,59824,0.0000,1.0
2020-09-17,12.8,12.83,12.66,12.73,12.73,52535,0.0000,1.0
2020-09-16,12.88,12.9815,12.855,12.92,12.92,46049,0.0000,1.0
2020-09-15,12.78,12.84,12.78,12.84,12.84,63754,0.0000,1.0
2020-09-14,12.59,12.77,12.59,12.71,12.71,90695,0.2250,1.0
2020-09-11,12.86,12.86,12.69,12.76,12.5380440665,69715,0.0000,1.0
2020-09-10,13.05,13.0799,12.81,12.81,12.5871743332,77386,0.0000,1.0
2020-09-09,12.99,13.06,12.89,13.0,12.7738693467,70061,0.0000,1.0
2020-09-08,12.98,12.98,12.8489,12.87,12.6461306533,43026,0.0000,1.0
2020-09-04,13.33,13.34,12.86,13.12,12.8917819869,67845,0.0000,1.0
2020-09-03,13.54,13.5464,13.21,13.21,12.980216467,69748,0.0000,1.0
2020-09-02,13.39,13.6,13.385,13.56,13.324128334,47307,0.0000,1.0
2020-09-01,13.21,13.36,13.21,13.35,13.1177812138,43754,0.0000,1.0
2020-08-31,13.39,13.39,13.27,13.3,13.068650947,60898,0.0000,1.0
2020-08-28,13.28,13.35,13.18,13.34,13.1079551604,24960,0.0000,1.0
2020-08-27,13.16,13.26,13.15,13.25,13.0195206803,45846,0.0000,1.0
2020-08-26,13.2,13.2,13.08,13.17,12.9409122536,54440,0.0000,1.0
2020-08-25,13.28,13.28,13.04,13.1498,12.9210636258,182310,0.0000,1.0
2020-08-24,13.24,13.25,13.15,13.19,12.9605643603,48634,0.0000,1.0
2020-08-21,13.14,13.175,13.11,13.14,12.9114340935,49702,0.0000,1.0
2020-08-20,13.23,13.23,13.14,13.14,12.9114340935,22196,0.0000,1.0
2020-08-19,13.38,13.44,13.26,13.3,13.068650947,56500,0.0000,1.0
2020-08-18,13.45,13.45,13.29,13.34,13.1079551604,33602,0.0000,1.0
2020-08-17,13.32,13.36,13.3,13.34,13.1079551604,27077,0.0000,1.0
2020-08-14,13.29,13.29,13.23,13.28,13.0489988404,29792,0.0000,1.0
2020-08-13,13.31,13.31,13.215,13.26,13.0293467337,54442,0.0000,1.0
2020-08-12,13.14,13.25,13.13,13.24,13.009694627,34806,0.0000,1.0
2020-08-11,13.06,13.2,13.05,13.05,12.8229996135,43853,0.0000,1.0
2020-08-10,13.1,13.1,13.0,13.06,12.8328256668,55391,0.0000,1.0
2020-08-07,13.0,13.05,12.975,13.05,12.8229996135,27169,0.0000,1.0
2020-08-06,13.02,13.03,12.94,13.03,12.8033475068,44043,0.0000,1.0
2020-08-05,12.97,13.02,12.94,12.98,12.75421724,43665,0.0000,1.0
2020-08-04,12.83,12.93,12.81,12.905,12.68052184,43851,0.0000,1.0
2020-08-03,12.8,12.91,12.696,12.83,12.6068264399,66286,0.0000,1.0
2020-07-31,12.78,12.78,12.63,12.73,12.5085659065,50181,0.0000,1.0
2020-07-30,12.68,12.74,12.59,12.74,12.5183919598,78945,0.0000,1.0
2020-07-29,12.66,12.74,12.61,12.74,12.5183919598,36076,0.0000,1.0
2020-07-28,12.63,12.67,12.58,12.63,12.410305373,23301,0.0000,1.0
2020-07-27,12.53,12.65,12.53,12.65,12.4299574797,42395,0.0000,1.0
2020-07-24,12.61,12.6449,12.43,12.55,12.3316969463,45997,0.0000,1.0
2020-07-23,12.65,12.69,12.5101,12.56,12.3415229996,40185,0.0000,1.0
2020-07-22,12.66,12.7,12.58,12.62,12.4004793197,43852,0.0000,1.0
2020-07-21,12.67,12.69,12.56,12.62,12.4004793197,26638,0.0000,1.0
2020-07-20,12.54,12.55,12.49,12.55,12.3316969463,39488,0.0000,1.0
2020-07-17,12.47,12.55,12.44,12.49,12.2727406262,47443,0.0000,1.0
