timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,8.8,8.98,8.79,8.98,8.98,50864,0.0000,1.0
2020-12-10,8.95,9.0,8.81,8.81,8.81,55617,0.0000,1.0
2020-12-09,9.06,9.215,9.0,9.04,9.04,36717,0.0000,1.0
2020-12-08,8.99,9.15,8.93,9.06,9.06,57377,0.0000,1.0
2020-12-07,9.04,9.26,8.97,9.05,9.05,78326,0.0000,1.0
2020-12-04,8.92,9.39,8.8554,9.14,9.14,19803,0.0000,1.0
2020-12-03,8.86,8.99,8.84,8.9315,8.9315,47379,0.0000,1.0
2020-12-02,8.82,8.94,8.76,8.81,8.81,28594,0.0000,1.0
2020-12-01,8.88,8.92,8.75,8.83,8.83,60474,0.0000,1.0
2020-11-30,8.74,8.9,8.7,8.84,8.84,51419,0.0000,1.0
2020-11-27,8.83,8.842,8.7772,8.81,8.81,25719,0.0000,1.0
2020-11-25,8.83,8.8601,8.64,8.7,8.7,41700,0.0000,1.0
2020-11-24,8.74,8.85,8.735,8.84,8.84,32572,0.0000,1.0
2020-11-23,8.61,8.704,8.52,8.66,8.66,32085,0.0000,1.0
2020-11-20,8.49,8.54,8.48,8.53,8.53,33048,0.0000,1.0
2020-11-19,8.46,8.559,8.46,8.52,8.52,14207,0.0000,1.0
2020-11-18,8.53,8.6,8.5,8.52,8.52,23012,0.0000,1.0
2020-11-17,8.5,8.6,8.47,8.53,8.53,75421,0.0000,1.0
2020-11-16,8.42,8.59,8.42,8.55,8.55,74664,0.0000,1.0
2020-11-13,8.27,8.42,8.27,8.39,8.39,52298,0.0000,1.0
2020-11-12,8.21,8.34,8.16,8.25,8.25,50627,0.0000,1.0
2020-11-11,8.19,8.26,8.16,8.25,8.25,49590,0.0000,1.0
2020-11-10,8.04,8.18,8.04,8.12,8.12,27954,0.0000,1.0
2020-11-09,8.09,8.255,8.04,8.05,8.05,32570,0.0000,1.0
2020-11-06,7.8,7.867,7.8,7.82,7.82,35065,0.0000,1.0
2020-11-05,7.75,7.88,7.75,7.85,7.85,110591,0.0000,1.0
2020-11-04,7.63,7.77,7.59,7.74,7.74,58380,0.0000,1.0
2020-11-03,7.49,7.6599,7.49,7.6,7.6,60007,0.0000,1.0
2020-11-02,7.35,7.4989,7.35,7.43,7.43,49655,0.0000,1.0
2020-10-30,7.35,7.45,7.33,7.34,7.34,78216,0.0000,1.0
2020-10-29,7.33,7.49,7.33,7.46,7.46,82386,0.0000,1.0
2020-10-28,7.52,7.53,7.33,7.33,7.33,65832,0.0000,1.0
2020-10-27,7.62,7.6736,7.56,7.59,7.59,58041,0.0000,1.0
2020-10-26,7.73,7.73,7.6,7.65,7.65,58148,0.0000,1.0
2020-10-23,7.83,7.83,7.6,7.78,7.78,64861,0.0000,1.0
2020-10-22,7.76,7.82,7.715,7.79,7.79,96239,0.0000,1.0
2020-10-21,7.74,7.803,7.72,7.77,7.77,51365,0.0000,1.0
2020-10-20,7.71,7.82,7.71,7.77,7.77,62313,0.0000,1.0
2020-10-19,7.86,7.9,7.71,7.71,7.71,111060,0.0000,1.0
2020-10-16,7.9,7.93,7.85,7.85,7.85,76495,0.0000,1.0
2020-10-15,7.96,7.97,7.9,7.9,7.9,110161,0.0000,1.0
2020-10-14,8.12,8.23,8.0,8.06,8.06,99835,0.0000,1.0
2020-10-13,8.17,8.2001,8.11,8.15,8.15,32162,0.0000,1.0
2020-10-12,8.31,8.31,7.97,8.18,8.18,163997,0.0000,1.0
2020-10-09,8.07,8.24,8.07,8.17,8.17,65114,0.0000,1.0
2020-10-08,8.1,8.165,8.0301,8.14,8.14,22478,0.0000,1.0
2020-10-07,8.02,8.1132,8.005,8.04,8.04,71691,0.0000,1.0
2020-10-06,8.07,8.11,8.03,8.04,8.04,86186,0.0000,1.0
