timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,8.81,8.83,8.76,8.77,8.77,456159,0.0000,1.0
2020-12-10,8.8,8.84,8.786,8.81,8.81,99771,0.0000,1.0
2020-12-09,8.79,8.83,8.75,8.8,8.8,575216,0.0000,1.0
2020-12-08,8.78,8.83,8.78,8.79,8.79,114448,0.0000,1.0
2020-12-07,8.81,8.84,8.79,8.79,8.79,193606,0.0000,1.0
2020-12-04,8.75,8.85,8.75,8.85,8.85,196002,0.0000,1.0
2020-12-03,8.69,8.82,8.67,8.77,8.77,536643,0.0000,1.0
2020-12-02,8.59,8.71,8.59,8.71,8.71,169855,0.0000,1.0
2020-12-01,8.58,8.64,8.56,8.63,8.63,188111,0.0000,1.0
2020-11-30,8.52,8.58,8.52,8.58,8.58,166997,0.0000,1.0
2020-11-27,8.5,8.55,8.5,8.55,8.55,91183,0.0000,1.0
2020-11-25,8.46,8.51,8.46,8.48,8.48,214050,0.0000,1.0
2020-11-24,8.43,8.54,8.43,8.47,8.47,1526936,0.0000,1.0
2020-11-23,8.42,8.45,8.4,8.43,8.43,631760,0.0000,1.0
2020-11-20,8.42,8.43,8.38,8.38,8.38,113267,0.0000,1.0
2020-11-19,8.35,8.44,8.35,8.4,8.4,1086101,0.0000,1.0
2020-11-18,8.39,8.41,8.35,8.36,8.36,170199,0.0000,1.0
2020-11-17,8.37,8.4,8.3417,8.4,8.4,354782,0.0000,1.0
2020-11-16,8.34,8.39,8.31,8.365,8.365,305606,0.0000,1.0
2020-11-13,8.37,8.37,8.32,8.33,8.33,268998,0.0000,1.0
2020-11-12,8.37,8.4,8.36,8.36,8.36,108140,0.0485,1.0
2020-11-11,8.4,8.45,8.36,8.42,8.37143366831,217362,0.0000,1.0
2020-11-10,8.38,8.405,8.37,8.38,8.33166438723,152094,0.0000,1.0
2020-11-09,8.34,8.42,8.333,8.37,8.32172206696,196977,0.0000,1.0
2020-11-06,8.22,8.24,8.22,8.24,8.19247190343,96719,0.0000,1.0
2020-11-05,8.16,8.21,8.16,8.2,8.15270262235,92033,0.0000,1.0
2020-11-04,8.11,8.18,8.0899,8.15,8.10299102099,143202,0.0000,1.0
2020-11-03,8.02,8.09,8.0085,8.09,8.04333709936,262609,0.0000,1.0
2020-11-02,7.97,8.01,7.94,8.01,7.96379853719,248872,0.0000,1.0
2020-10-30,7.94,7.97,7.91,7.97,7.92402925611,442216,0.0000,1.0
2020-10-29,7.93,7.965,7.91,7.95,7.90414461557,195245,0.0000,1.0
2020-10-28,7.94,7.955,7.92,7.93,7.88425997503,109839,0.0000,1.0
2020-10-27,7.99,8.04,7.98,8.02,7.97374085747,1071844,0.0000,1.0
2020-10-26,8.01,8.04,8.0,8.02,7.97374085747,191414,0.0000,1.0
2020-10-23,8.05,8.08,8.03,8.05,8.00356781828,425105,0.0000,1.0
2020-10-22,8.05,8.09,8.01,8.04,7.99362549801,278049,0.0000,1.0
2020-10-21,8.11,8.14,8.06,8.06,8.01351013855,1790122,0.0000,1.0
2020-10-20,8.11,8.16,8.11,8.12,8.07316406018,928508,0.0000,1.0
2020-10-19,8.15,8.18,8.11,8.12,8.07316406018,154600,0.0000,1.0
2020-10-16,8.19,8.1916,8.15,8.16,8.11293334126,216313,0.0000,1.0
2020-10-15,8.17,8.21,8.165,8.21,8.16264494262,122584,0.0000,1.0
2020-10-14,8.25,8.2993,8.21,8.24,8.19247190343,724507,0.0485,1.0
2020-10-13,8.36,8.3899,8.3,8.3,8.20383866785,549887,0.0000,1.0
2020-10-12,8.37,8.41,8.36,8.37,8.27302766866,134590,0.0000,1.0
2020-10-09,8.38,8.41,8.35,8.35,8.25325938272,127973,0.0000,1.0
2020-10-08,8.34,8.42,8.34,8.36,8.26314352569,155386,0.0000,1.0
2020-10-07,8.39,8.42,8.33,8.34,8.24337523974,208660,0.0000,1.0
2020-10-06,8.37,8.43,8.37,8.37,8.27302766866,201217,0.0000,1.0
2020-10-05,8.4,8.45,8.39,8.43,8.3323325265,109220,0.0000,1.0
2020-10-02,8.27,8.38,8.27,8.38,8.28291181164,134168,0.0000,1.0
2020-10-01,8.34,8.39,8.31,8.31,8.21372281082,254869,0.0000,1.0
2020-09-30,8.29,8.36,8.29,8.31,8.21372281082,149543,0.0000,1.0
2020-09-29,8.3,8.33,8.28,8.3,8.20383866785,503768,0.0000,1.0
2020-09-28,8.26,8.32,8.26,8.3,8.20383866785,197139,0.0000,1.0
2020-09-25,8.27,8.28,8.2501,8.26,8.16430209596,383027,0.0000,1.0
2020-09-24,8.27,8.33,8.22,8.3,8.20383866785,328354,0.0000,1.0
2020-09-23,8.35,8.4,8.275,8.28,8.1840703819,1317199,0.0000,1.0
2020-09-22,8.35,8.4,8.35,8.36,8.26314352569,381548,0.0000,1.0
2020-09-21,8.4,8.4,8.33,8.36,8.26314352569,1028131,0.0000,1.0
2020-09-18,8.44,8.45,8.41,8.44,8.34221666948,997300,0.0000,1.0
2020-09-17,8.41,8.44,8.4,8.42,8.32244838353,680652,0.0000,1.0
2020-09-16,8.45,8.47,8.41,8.47,8.3718690984,383569,0.0000,1.0
2020-09-15,8.43,8.46,8.42,8.43,8.3323325265,480177,0.0000,1.0
2020-09-14,8.42,8.4456,8.4,8.41,8.31256424056,105556,0.0460,1.0
2020-09-11,8.4,8.43,8.4,8.42,8.27717489422,99537,0.0000,1.0
2020-09-10,8.35,8.42,8.33,8.4,8.25751414625,726646,0.0000,1.0
2020-09-09,8.37,8.4,8.33,8.39,8.24768377226,605887,0.0000,1.0
2020-09-08,8.28,8.36,8.28,8.35,8.20836227633,119948,0.0000,1.0
2020-09-04,8.24,8.36,8.24,8.34,8.19853190235,211618,0.0000,1.0
2020-09-03,8.28,8.3348,8.26,8.29,8.14938003243,388864,0.0000,1.0
2020-09-02,8.31,8.33,8.27,8.31,8.1690407804,230503,0.0000,1.0
