timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,281.56,282.185,279.3747,282.16,282.16,56357,0.0000,1.0
2020-12-10,280.87,283.82,280.5,283.37,283.37,14328,0.0000,1.0
2020-12-09,288.48,288.48,281.749,283.12,283.12,13441,0.0000,1.0
2020-12-08,287.1,288.769,286.522,288.4103,288.4103,17127,0.0000,1.0
2020-12-07,286.87,288.725,286.87,288.3,288.3,12535,0.0000,1.0
2020-12-04,284.84,286.8488,284.84,286.8488,286.8488,18702,0.0000,1.0
2020-12-03,285.44,285.6,284.03,284.03,284.03,10563,0.0000,1.0
2020-12-02,283.9,284.79,283.42,284.29,284.29,16510,0.0000,1.0
2020-12-01,285.47,286.859,284.0401,285.88,285.88,15024,0.0000,1.0
2020-11-30,283.41,283.41,280.21,282.5,282.5,16982,0.0000,1.0
2020-11-27,282.32,283.7,282.28,282.6638,282.6638,10445,0.0000,1.0
2020-11-25,280.0,281.38,279.8421,280.92,280.92,17180,0.0000,1.0
2020-11-24,277.67,279.7,276.99,279.15,279.15,28572,0.0000,1.0
2020-11-23,276.95,278.42,275.0491,276.2672,276.2672,13577,0.0000,1.0
2020-11-20,278.53,278.53,275.87,275.87,275.87,16191,0.0000,1.0
2020-11-19,275.59,278.89,275.59,278.37,278.37,17082,0.0000,1.0
2020-11-18,278.86,279.6586,276.72,276.72,276.72,24835,0.0000,1.0
2020-11-17,277.82,279.21,277.4,278.4262,278.4262,22244,0.0000,1.0
2020-11-16,276.97,278.1593,276.2506,277.61,277.61,33499,0.0000,1.0
2020-11-13,275.92,276.98,273.375,276.56,276.56,23902,0.0000,1.0
2020-11-12,275.98,277.1053,272.96,273.9399,273.9399,18085,0.0000,1.0
2020-11-11,273.52,276.3983,273.24,275.6,275.6,40817,0.0000,1.0
2020-11-10,273.92,274.75,268.92,270.44,270.44,48109,0.0000,1.0
2020-11-09,284.64,286.06,277.2453,277.2453,277.2453,38950,0.0000,1.0
2020-11-06,278.9,280.805,276.39,280.07,280.07,71283,0.0000,1.0
2020-11-05,278.7,279.9808,277.535,278.81,278.81,37609,0.0000,1.0
2020-11-04,267.96,274.3768,267.96,272.2726,272.2726,56582,0.0000,1.0
2020-11-03,259.31,263.22,258.64,261.5,261.5,41642,0.0000,1.0
