timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,193.2558,193.4984,193.2558,193.4984,193.4984,888,0.0000,1.0
2020-12-10,193.3119,194.2839,193.24,194.2839,194.2839,1104,0.0000,1.0
2020-12-09,195.55,195.55,193.99,194.03,194.03,2008,0.0000,1.0
2020-12-08,193.618,194.4573,193.618,194.4573,194.4573,1275,0.0000,1.0
2020-12-07,193.345,193.3931,192.84,193.3067,193.3067,816,0.0000,1.0
2020-12-04,193.23,193.8641,191.56,193.8641,193.8641,2590,0.0000,1.0
2020-12-03,190.8853,191.14,189.8621,189.8621,189.8621,1313,0.0000,1.0
2020-12-02,188.8127,189.32,188.8127,189.2964,189.2964,690,0.0000,1.0
2020-12-01,189.02,189.2575,188.98,189.2575,189.2575,785,0.0000,1.0
2020-11-30,190.52,190.52,186.727,186.727,186.727,1622,0.0000,1.0
2020-11-27,190.4121,190.4121,190.4121,190.4121,190.4121,195,0.0000,1.0
2020-11-25,191.38,191.38,189.4537,190.8044,190.8044,754,0.0000,1.0
2020-11-24,190.7231,192.2572,190.7231,192.2572,192.2572,1444,0.0000,1.0
2020-11-23,185.48,188.2,185.48,187.7666,187.7666,1667,0.0000,1.0
2020-11-20,184.24,184.6576,184.12,184.6576,184.6576,597,0.0000,1.0
2020-11-19,182.9864,184.6661,182.9864,184.6661,184.6661,704,0.0000,1.0
2020-11-18,185.59,185.59,183.2431,183.2431,183.2431,849,0.0000,1.0
2020-11-17,183.47,185.7998,182.34,185.2808,185.2808,1613,0.0000,1.0
2020-11-16,183.76,185.04,183.76,185.04,185.04,2328,0.0000,1.0
2020-11-13,180.0037,180.0037,180.0037,180.0037,180.0037,538,0.0000,1.0
2020-11-12,176.015,176.015,175.6579,175.6579,175.6579,363,0.0000,1.0
2020-11-11,178.82,178.943,178.82,178.9221,178.9221,627,0.0000,1.0
2020-11-10,177.2,180.33,177.2,180.1618,180.1618,1487,0.0000,1.0
2020-11-09,181.96,184.3,176.7033,176.7033,176.7033,7925,0.0000,1.0
2020-11-06,170.84,170.9665,168.6,168.8037,168.8037,27962,0.0000,1.0
2020-11-05,169.93,170.2191,169.93,170.2191,170.2191,780,0.0000,1.0
2020-11-04,167.13,167.13,164.53,165.6049,165.6049,1392,0.0000,1.0
2020-11-03,167.0371,167.7539,167.0371,167.7539,167.7539,510,0.0000,1.0
2020-11-02,163.1681,163.1681,163.1681,163.1681,163.1681,440,0.0000,1.0
2020-10-30,159.2695,159.2695,159.2695,159.2695,159.2695,372,0.0000,1.0
2020-10-29,160.4639,161.2715,160.2153,161.2715,161.2715,1696,0.0000,1.0
2020-10-28,160.8469,160.8469,159.2552,159.2552,159.2552,1723,0.0000,1.0
2020-10-27,164.33,164.33,163.5697,163.5697,163.5697,1197,0.0000,1.0
2020-10-26,166.8435,166.8435,165.64,166.0086,166.0086,558,0.0000,1.0
2020-10-23,168.87,169.304,168.87,169.304,169.304,1163,0.0000,1.0
2020-10-22,165.67,168.4054,165.67,168.4054,168.4054,773,0.0000,1.0
2020-10-21,166.02,166.86,165.6201,165.65,165.65,1169,0.0000,1.0
2020-10-20,166.72,167.2022,166.5192,166.5192,166.5192,1072,0.0000,1.0
2020-10-19,167.67,167.7875,165.2938,165.2938,165.2938,1314,0.0000,1.0
2020-10-16,168.0709,168.0709,167.3644,167.3644,167.3644,547,0.0000,1.0
2020-10-15,163.76,167.88,163.76,167.862,167.862,2436,0.0000,1.0
2020-10-14,167.7685,167.7685,166.2814,166.2814,166.2814,2189,0.0000,1.0
2020-10-13,167.385,167.57,167.005,167.1483,167.1483,11143,0.0000,1.0
2020-10-12,168.55,168.9736,168.17,168.9114,168.9114,1541,0.0000,1.0
2020-10-09,168.071,168.071,167.917,167.917,167.917,561,0.0000,1.0
2020-10-08,167.305,167.5851,166.79,167.5851,167.5851,1898,0.0000,1.0
2020-10-07,164.1,165.98,164.1,165.8498,165.8498,4056,0.0000,1.0
2020-10-06,164.23,166.44,163.2815,163.2815,163.2815,1338,0.0000,1.0
2020-10-05,161.3,163.6252,161.3,163.5784,163.5784,2072,0.0000,1.0
2020-10-02,157.779,160.38,157.779,160.38,160.38,1800,0.0000,1.0
2020-10-01,157.65,158.49,157.65,158.3619,158.3619,2653,0.0000,1.0
2020-09-30,157.89,157.89,155.73,156.8241,156.8241,1632,0.0000,1.0
2020-09-29,157.18,157.18,154.875,155.7944,155.7944,1034,0.0000,1.0
2020-09-28,157.04,157.1572,156.825,156.825,156.825,762,0.0000,1.0
2020-09-25,151.95,153.3264,151.7564,153.3264,153.3264,1394,0.0000,1.0
2020-09-24,150.84,153.131,150.84,151.6898,151.6898,1135,0.0000,1.0
2020-09-23,154.3385,154.41,151.2399,151.2399,151.2399,1514,0.6758,1.0
2020-09-22,154.4224,155.4898,154.255,155.4898,154.798121944,2112,0.0000,1.0
2020-09-21,154.4001,154.425,153.55,154.0713,153.385931974,3969,0.0000,1.0
2020-09-18,161.81,161.84,159.0421,159.2398,158.531440511,2620,0.0000,1.0
2020-09-17,159.87,161.2893,159.87,161.281,160.563560473,2112,0.0000,1.0
2020-09-16,161.9462,162.94,161.9462,162.1753,161.453882285,1605,0.0000,1.0
2020-09-15,162.25,162.25,161.2722,161.2722,160.554799619,697,0.0000,1.0
2020-09-14,160.81,161.4382,160.81,161.4382,160.720061187,1812,0.0000,1.0
2020-09-11,159.07,159.23,157.45,158.3497,157.645300016,1196,0.0000,1.0
2020-09-10,160.37,160.37,158.9752,158.9752,158.268017553,936,0.0000,1.0
2020-09-09,159.51,160.81,159.44,160.3068,159.593694087,5333,0.0000,1.0
2020-09-08,159.96,160.15,158.6737,158.6737,157.96785874,4299,0.0000,1.0
2020-09-04,163.08,163.08,161.565,162.1983,161.476779972,1069,0.0000,1.0
2020-09-03,165.06,166.44,162.14,162.184,161.462543584,1837,0.0000,1.0
2020-09-02,164.28,166.18,163.7501,165.95,165.211790976,2515,0.0000,1.0
2020-09-01,163.58,163.8815,163.5115,163.8815,163.152492455,1061,0.0000,1.0
