timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,289.11,291.4547,286.5,290.06,290.06,19112,0.0000,1.0
2020-12-10,284.01,289.67,282.685,289.6,289.6,12189,0.0000,1.0
2020-12-09,290.28,290.28,283.615,284.69,284.69,21885,0.0000,1.0
2020-12-08,284.0,288.48,284.0,288.37,288.37,26330,0.0000,1.0
2020-12-07,284.18,285.44,282.25,285.0,285.0,12557,0.0000,1.0
2020-12-04,280.3,283.37,279.43,283.37,283.37,16559,0.0000,1.0
2020-12-03,275.73,280.0485,275.73,278.07,278.07,11050,0.0000,1.0
2020-12-02,277.11,277.11,274.8701,275.79,275.79,12022,0.0000,1.0
2020-12-01,280.93,280.93,276.7141,278.4,278.4,21562,0.0000,1.0
2020-11-30,277.3199,277.3199,273.5817,277.22,277.22,10837,0.0000,1.0
2020-11-27,276.48,278.3,276.48,278.3,278.3,4082,0.0000,1.0
2020-11-25,274.72,274.89,272.5165,274.27,274.27,19983,0.0000,1.0
2020-11-24,275.81,275.81,273.23,274.01,274.01,13453,0.0000,1.0
2020-11-23,271.01,273.57,270.0111,273.0,273.0,13248,0.0000,1.0
2020-11-20,267.74,270.5562,267.74,269.75,269.75,14973,0.0000,1.0
2020-11-19,266.7835,269.08,266.7835,268.3245,268.3245,14030,0.0000,1.0
2020-11-18,270.1,270.1,265.7668,265.911,265.911,15275,0.0000,1.0
2020-11-17,265.3896,269.33,264.79,269.04,269.04,68784,0.0000,1.0
2020-11-16,268.46,269.81,265.744,267.58,267.58,19992,0.0000,1.0
2020-11-13,265.72,265.93,263.3406,264.91,264.91,32178,0.0000,1.0
2020-11-12,265.24,265.875,260.7492,261.9299,261.9299,23709,0.0000,1.0
2020-11-11,263.06,265.24,262.6633,265.24,265.24,20212,0.0000,1.0
2020-11-10,263.16,263.5471,258.38,260.7099,260.7099,32096,0.0000,1.0
2020-11-09,273.02,273.3633,262.3,262.64,262.64,44107,0.0000,1.0
2020-11-06,267.59,267.59,263.7,264.23,264.23,83268,0.0000,1.0
2020-11-05,264.04,265.575,262.705,264.98,264.98,64887,0.0000,1.0
2020-11-04,254.79,260.755,253.01,259.52,259.52,313277,0.0000,1.0
2020-11-03,250.21,252.5,249.09,251.87,251.87,201591,0.0000,1.0
2020-11-02,246.17,247.71,242.725,245.8,245.8,40678,0.0000,1.0
2020-10-30,248.82,248.82,242.245,244.02,244.02,7803,0.0000,1.0
2020-10-29,247.21,249.6,247.09,249.5,249.5,8840,0.0000,1.0
2020-10-28,250.56,250.56,246.8986,246.8986,246.8986,6316,0.0000,1.0
2020-10-27,254.01,254.42,253.61,253.6639,253.6639,1534,0.0000,1.0
2020-10-26,255.37,255.4756,251.5601,253.1755,253.1755,8914,0.0000,1.0
2020-10-23,256.289,257.78,256.19,257.78,257.78,5642,0.0000,1.0
