timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,9.72,9.755,9.63,9.67,9.67,70232,0.0000,1.0
2020-12-10,9.76,9.8,9.7,9.7,9.7,95662,0.0000,1.0
2020-12-09,9.76,9.81,9.72,9.79,9.79,107525,0.0000,1.0
2020-12-08,9.66,9.81,9.6,9.7,9.7,219065,0.0000,1.0
2020-12-07,9.8,9.82,9.64,9.66,9.66,90195,0.0000,1.0
2020-12-04,9.71,9.83,9.65,9.8,9.8,324254,0.0000,1.0
2020-12-03,9.39,9.66,9.36,9.65,9.65,148653,0.0000,1.0
2020-12-02,9.33,9.4,9.32,9.34,9.34,63184,0.0000,1.0
2020-12-01,9.27,9.41,9.27,9.32,9.32,157486,0.0000,1.0
2020-11-30,9.5,9.58,9.0,9.25,9.25,91771,0.0000,1.0
2020-11-27,9.68,9.9,9.52,9.53,9.53,223656,0.0000,1.0
2020-11-25,9.34,9.57,9.34,9.52,9.52,216157,0.0000,1.0
2020-11-24,9.24,9.51,9.185,9.43,9.43,109885,0.0000,1.0
2020-11-23,9.17,9.22,9.1115,9.16,9.16,26264,0.0000,1.0
2020-11-20,9.09,9.1122,9.05,9.06,9.06,24010,0.0000,1.0
2020-11-19,9.02,9.06,9.0,9.05,9.05,5157,0.0000,1.0
2020-11-18,9.0,9.1545,9.0,9.08,9.08,17063,0.0000,1.0
2020-11-17,9.04,9.09,8.97,9.07,9.07,14690,0.0000,1.0
2020-11-16,8.99,9.2,8.98,9.04,9.04,69554,0.0000,1.0
2020-11-13,8.81,9.01,8.7904,8.98,8.98,29349,0.0000,1.0
2020-11-12,8.79,8.9611,8.77,8.8,8.8,53373,0.0000,1.0
2020-11-11,8.71,9.015,8.7,8.99,8.99,37695,0.0000,1.0
2020-11-10,8.89,8.89,8.67,8.71,8.71,18219,0.0000,1.0
2020-11-09,8.86,8.88,8.7087,8.84,8.84,25928,0.0000,1.0
2020-11-06,8.57,8.575,8.43,8.48,8.48,136655,0.0000,1.0
2020-11-05,8.61,8.6166,8.55,8.56,8.56,26024,0.0000,1.0
2020-11-04,8.3,8.47,8.3,8.44,8.44,25942,0.0000,1.0
2020-11-03,8.37,8.52,8.36,8.48,8.48,16953,0.0000,1.0
2020-11-02,8.38,8.38,8.22,8.3,8.3,17707,0.0000,1.0
2020-10-30,8.24,8.28,8.24,8.25,8.25,8492,0.0000,1.0
2020-10-29,8.29,8.41,8.29,8.36,8.36,10423,0.0000,1.0
2020-10-28,8.29,8.4288,8.23,8.25,8.25,13939,0.0000,1.0
2020-10-27,8.26,8.38,8.26,8.32,8.32,15654,0.0000,1.0
2020-10-26,8.27,8.28,8.24,8.25,8.25,113800,0.0000,1.0
2020-10-23,8.46,8.55,8.28,8.28,8.28,41804,0.0000,1.0
2020-10-22,8.44,8.5,8.4304,8.48,8.48,11299,0.0000,1.0
2020-10-21,8.51,8.51,8.42,8.49,8.49,13900,0.0000,1.0
2020-10-20,8.34,8.56,8.34,8.52,8.52,24359,0.0000,1.0
2020-10-19,8.35,8.3829,8.27,8.34,8.34,41032,0.0000,1.0
2020-10-16,8.32,8.33,8.255,8.3,8.3,14011,0.0000,1.0
2020-10-15,8.36,8.37,8.15,8.28,8.28,116765,0.0000,1.0
2020-10-14,8.47,8.856,8.395,8.41,8.41,38412,0.0000,1.0
2020-10-13,8.71,8.7116,8.47,8.515,8.515,19146,0.0000,1.0
2020-10-12,8.6,8.67,8.55,8.55,8.55,10198,0.0000,1.0
2020-10-09,8.54,8.5993,8.53,8.53,8.53,29828,0.0000,1.0
2020-10-08,8.75,8.75,8.51,8.51,8.51,33373,0.0000,1.0
2020-10-07,8.7,8.72,8.63,8.65,8.65,24837,0.0000,1.0
2020-10-06,8.79,8.86,8.62,8.67,8.67,66719,0.0000,1.0
2020-10-05,8.66,8.89,8.66,8.74,8.74,32022,0.0000,1.0
2020-10-02,8.5,8.92,8.47,8.71,8.71,39721,0.0000,1.0
2020-10-01,8.63,8.68,8.55,8.58,8.58,40910,0.0000,1.0
2020-09-30,8.66,8.6842,8.6,8.67,8.67,13239,0.0000,1.0
2020-09-29,8.83,8.8604,8.75,8.75,8.75,26636,0.0000,1.0
2020-09-28,8.76,8.8,8.755,8.8,8.8,41185,0.0000,1.0
2020-09-25,8.57,8.69,8.49,8.66,8.66,61014,0.0000,1.0
2020-09-24,8.55,8.58,8.495,8.57,8.57,19924,0.0000,1.0
2020-09-23,8.64,8.72,8.59,8.66,8.66,41917,0.0000,1.0
2020-09-22,8.47,8.57,8.4504,8.57,8.57,46898,0.0000,1.0
2020-09-21,8.39,8.46,8.35,8.43,8.43,42745,0.0000,1.0
2020-09-18,8.49,8.56,8.48,8.53,8.53,71549,0.0000,1.0
2020-09-17,8.3,8.445,8.3,8.42,8.42,31040,0.0000,1.0
2020-09-16,8.41,8.45,8.35,8.37,8.37,48529,0.0000,1.0
2020-09-15,8.43,8.43,8.34,8.37,8.37,34696,0.0000,1.0
2020-09-14,8.38,8.465,8.34,8.34,8.34,28392,0.0000,1.0
2020-09-11,8.38,8.39,8.29,8.33,8.33,49559,0.0000,1.0
2020-09-10,8.54,8.54,8.33,8.33,8.33,53650,0.0000,1.0
2020-09-09,8.17,8.56,8.14,8.45,8.45,149857,0.0000,1.0
2020-09-08,7.95,8.1,7.95,8.06,8.06,10266,0.0000,1.0
2020-09-04,8.0,8.05,7.96,8.05,8.05,16844,0.0000,1.0
2020-09-03,8.09,8.09,7.97,7.98,7.98,25432,0.0000,1.0
2020-09-02,8.08,8.16,8.08,8.09,8.09,40560,0.0000,1.0
2020-09-01,8.1,8.13,8.07,8.07,8.07,30906,0.0000,1.0
2020-08-31,8.03,8.13,8.03,8.13,8.13,16920,0.0000,1.0
2020-08-28,8.02,8.0203,7.91,8.01,8.01,34550,0.0000,1.0
2020-08-27,8.03,8.04,7.98,8.01,8.01,24958,0.0000,1.0
2020-08-26,8.05,8.07,8.05,8.07,8.07,7911,0.0000,1.0
2020-08-25,8.09,8.0916,8.025,8.04,8.04,18314,0.0000,1.0
2020-08-24,8.13,8.1563,8.1,8.1,8.1,9831,0.0000,1.0
2020-08-21,8.08,8.08,8.06,8.06,8.06,4692,0.0000,1.0
2020-08-20,7.99,8.08,7.98,8.07,8.07,19541,0.0000,1.0
2020-08-19,8.11,8.13,8.0,8.07,8.07,39701,0.0000,1.0
2020-08-18,8.07,8.1298,8.07,8.1,8.1,3791,0.0000,1.0
2020-08-17,7.99,8.08,7.99,8.08,8.08,9143,0.0000,1.0
2020-08-14,7.98,8.0511,7.98,8.03,8.03,5521,0.0000,1.0
2020-08-13,7.9765,8.02,7.97,8.02,8.02,34139,0.0000,1.0
2020-08-12,8.01,8.03,7.98,7.99,7.99,41940,0.0000,1.0
2020-08-11,7.94,7.94,7.84,7.84,7.84,18349,0.0000,1.0
2020-08-10,7.75,7.8215,7.75,7.78,7.78,2121,0.0000,1.0
2020-08-07,7.82,7.83,7.78,7.78,7.78,20665,0.0000,1.0
2020-08-06,7.82,7.91,7.82,7.89,7.89,9377,0.0000,1.0
2020-08-05,7.84,7.8784,7.81,7.81,7.81,7126,0.0000,1.0
2020-08-04,7.78,7.82,7.78,7.82,7.82,17037,0.0000,1.0
2020-08-03,7.71,7.77,7.71,7.73,7.73,24120,0.0000,1.0
2020-07-31,7.74,7.8,7.66,7.67,7.67,45365,0.0000,1.0
2020-07-30,7.88,7.9,7.84,7.89,7.89,109964,0.0000,1.0
2020-07-29,8.09,8.12,8.04,8.04,8.04,14618,0.0000,1.0
2020-07-28,8.08,8.16,8.08,8.08,8.08,4105,0.0000,1.0
2020-07-27,8.07,8.13,8.06,8.11,8.11,39446,0.0000,1.0
2020-07-24,7.89,8.035,7.89,8.03,8.03,25493,0.0000,1.0
2020-07-23,8.0,8.13,7.84,7.88,7.88,62154,0.0000,1.0
2020-07-22,8.0,8.05,7.97,8.0,8.0,33312,0.0000,1.0
2020-07-21,7.97,8.03,7.97,7.98,7.98,19015,0.0000,1.0
2020-07-20,8.0,8.0,7.94,7.99,7.99,35007,0.0000,1.0
2020-07-17,7.89,7.99,7.89,7.99,7.99,17600,0.0000,1.0
2020-07-16,7.89,7.93,7.87,7.89,7.89,27600,0.0000,1.0
2020-07-15,7.95,7.97,7.91,7.94,7.94,89100,0.0000,1.0
2020-07-14,7.89,7.92,7.8,7.85,7.85,61300,0.0000,1.0
2020-07-13,7.83,7.84,7.79,7.82,7.82,9900,0.0000,1.0
2020-07-10,7.72,7.8,7.72,7.78,7.78,11300,0.0000,1.0
2020-07-09,7.74,7.74,7.66,7.71,7.71,8500,0.0000,1.0
2020-07-08,7.76,7.79,7.72,7.74,7.74,30400,0.0000,1.0
2020-07-07,7.84,7.84,7.79,7.81,7.81,12700,0.0000,1.0
2020-07-06,7.81,7.84,7.78,7.84,7.84,26600,0.0000,1.0
2020-07-02,7.78,7.78,7.72,7.72,7.72,31000,0.0000,1.0
2020-07-01,7.77,7.77,7.72,7.74,7.74,111600,0.0000,1.0
2020-06-30,7.83,7.89,7.81,7.82,7.82,72400,0.0000,1.0
2020-06-29,7.85,7.87,7.76,7.84,7.84,75200,0.0000,1.0
2020-06-26,7.87,7.87,7.81,7.85,7.85,69444,0.0000,1.0
2020-06-25,7.77,7.93,7.77,7.9,7.9,42247,0.0000,1.0
2020-06-24,7.84,7.92,7.75,7.83,7.83,46498,0.0000,1.0
2020-06-23,8.0,8.0499,7.92,7.955,7.955,29243,0.0000,1.0
2020-06-22,7.88,7.9267,7.88,7.91,7.91,18589,0.0000,1.0
2020-06-19,7.98,7.9838,7.91,7.93,7.93,3646,0.0000,1.0
2020-06-18,7.95,7.95,7.88,7.91,7.91,19069,0.0000,1.0
2020-06-17,7.89,7.97,7.89,7.96,7.96,11447,0.0000,1.0
2020-06-16,7.9,7.935,7.78,7.87,7.87,43312,0.0000,1.0
2020-06-15,7.74,7.77,7.64,7.72,7.72,91351,0.0000,1.0
2020-06-12,7.93,7.93,7.8217,7.88,7.88,57307,0.0000,1.0
2020-06-11,7.9,8.0,7.78,7.8,7.8,125327,0.0000,1.0
2020-06-10,8.05,8.11,8.04,8.07,8.07,23727,0.0000,1.0
2020-06-09,8.07,8.07,8.01,8.01,8.01,38681,0.0000,1.0
2020-06-08,8.07,8.16,8.0,8.1405,8.1405,199097,0.0000,1.0
2020-06-05,7.92,8.011,7.905,7.97,7.97,122648,0.0000,1.0
2020-06-04,7.82,7.89,7.82,7.87,7.87,45384,0.0000,1.0
2020-06-03,7.85,7.93,7.84,7.93,7.93,19409,0.0000,1.0
2020-06-02,7.9,7.915,7.51,7.83,7.83,68408,0.0000,1.0
2020-06-01,7.76,7.87,7.76,7.87,7.87,12615,0.0000,1.0
2020-05-29,7.78,7.78,7.72,7.78,7.78,21992,0.0000,1.0
2020-05-28,7.82,7.82,7.73,7.78,7.78,73195,0.0000,1.0
2020-05-27,7.69,7.72,7.65,7.72,7.72,28933,0.0000,1.0
2020-05-26,7.69,7.695,7.58,7.64,7.64,43386,0.0000,1.0
2020-05-22,7.49,7.49,7.45,7.49,7.49,3886,0.0000,1.0
2020-05-21,7.47,7.5099,7.4555,7.46,7.46,6298,0.0000,1.0
2020-05-20,7.5,7.52,7.48,7.51,7.51,18881,0.0000,1.0
2020-05-19,7.47,7.47,7.39,7.4,7.4,17125,0.0000,1.0
2020-05-18,7.35,7.48,7.35,7.48,7.48,56902,0.0000,1.0
2020-05-15,7.26,7.3,7.26,7.3,7.3,39651,0.0000,1.0
2020-05-14,7.3,7.31,7.19,7.29,7.29,61851,0.0000,1.0
2020-05-13,7.49,7.49,7.4,7.43,7.43,46805,0.0000,1.0
2020-05-12,7.5,7.516,7.45,7.47,7.47,24913,0.0000,1.0
2020-05-11,7.45,7.51,7.45,7.51,7.51,45479,0.0000,1.0
2020-05-08,7.41,7.5,7.36,7.4,7.4,22074,0.0000,1.0
2020-05-07,7.26,7.32,7.26,7.29,7.29,16619,0.0000,1.0
2020-05-06,7.27,7.27,7.18,7.205,7.205,21860,0.0000,1.0
2020-05-05,7.18,7.25,7.18,7.25,7.25,69873,0.0000,1.0
2020-05-04,7.13,7.175,7.07,7.16,7.16,54990,0.0000,1.0
2020-05-01,7.1,7.14,7.09,7.14,7.14,89647,0.0000,1.0
2020-04-30,7.11,7.16,7.0714,7.16,7.16,114440,0.0000,1.0
2020-04-29,7.23,7.26,7.12,7.21,7.21,73382,0.0000,1.0
2020-04-28,7.11,7.2,7.09,7.11,7.11,59983,0.0000,1.0
2020-04-27,6.91,7.04,6.9,6.99,6.99,177103,0.0000,1.0
2020-04-24,7.03,7.03,6.92,6.96,6.96,135307,0.0000,1.0
2020-04-23,6.94,7.08,6.94,6.97,6.97,41912,0.0000,1.0
2020-04-22,6.95,6.95,6.87,6.93,6.93,30618,0.0000,1.0
