timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,94.47,96.85,93.44,94.55,94.55,80336,0.0000,1.0
2020-12-10,93.92,96.2,93.5579,95.78,95.78,103697,0.0000,1.0
2020-12-09,97.37,97.37,93.12,94.4,94.4,65189,0.0000,1.0
2020-12-08,93.14,95.97,92.44,95.86,95.86,80939,0.0000,1.0
2020-12-07,97.14,100.285,94.3,94.61,94.61,147569,0.0000,1.0
2020-12-04,95.26,100.45,92.9,99.32,99.32,256802,0.0000,1.0
2020-12-03,87.0,90.41,86.0,89.87,89.87,121300,0.0000,1.0
2020-12-02,87.92,87.92,84.23,86.1,86.1,134299,0.0000,1.0
2020-12-01,82.0,90.1,81.555,87.57,87.57,253306,0.0000,1.0
2020-11-30,79.48,80.695,77.74,77.98,77.98,124072,0.0000,1.0
2020-11-27,79.49,80.175,78.085,79.95,79.95,42766,0.0000,1.0
2020-11-25,80.36,80.36,77.39,79.37,79.37,70957,0.0000,1.0
2020-11-24,80.8,82.26,80.1,80.5,80.5,145876,0.0000,1.0
2020-11-23,76.27,79.46,76.27,79.12,79.12,169129,0.0000,1.0
2020-11-20,76.13,76.41,74.89,75.29,75.29,100298,0.0000,1.0
2020-11-19,77.6,78.1395,75.01,76.61,76.61,112305,0.0000,1.0
2020-11-18,81.76,83.02,78.1,78.15,78.15,97436,0.0000,1.0
2020-11-17,78.94,81.12,78.505,80.89,80.89,99877,0.0000,1.0
2020-11-16,78.7,80.96,76.915,80.61,80.61,146450,0.0000,1.0
2020-11-13,73.15,77.81,73.15,76.83,76.83,92891,0.0000,1.0
2020-11-12,73.7,73.93,69.17,72.42,72.42,109422,0.0000,1.0
2020-11-11,77.07,77.07,73.7251,74.95,74.95,140067,0.0000,1.0
2020-11-10,72.32,76.58,71.76,75.84,75.84,210262,0.0000,1.0
2020-11-09,70.0,74.86,70.0,70.87,70.87,245522,0.0000,1.0
2020-11-06,66.26,66.84,64.78,65.04,65.04,63797,0.0000,1.0
2020-11-05,63.67,67.43,63.23,66.1,66.1,90531,0.0000,1.0
2020-11-04,65.11,65.475,62.3169,63.22,63.22,96288,0.0000,1.0
2020-11-03,65.55,66.58,63.89,65.75,65.75,113181,0.0000,1.0
2020-11-02,63.92,65.0,62.43,64.64,64.64,126974,0.0000,1.0
2020-10-30,64.1,64.68,62.035,62.93,62.93,107643,0.0000,1.0
2020-10-29,60.42,64.485,59.52,64.24,64.24,131558,0.0000,1.0
2020-10-28,60.57,61.61,59.21,60.69,60.69,138585,0.0000,1.0
2020-10-27,62.53,63.87,62.37,62.63,62.63,188040,0.0000,1.0
2020-10-26,62.86,63.11,62.095,62.8,62.8,145615,0.0000,1.0
2020-10-23,65.1,65.27,63.63,63.92,63.92,181877,0.0000,1.0
2020-10-22,63.48,64.93,57.1301,64.45,64.45,213424,0.6700,1.0
2020-10-21,64.16,65.9,63.305,63.62,62.9654330467,193848,0.0000,1.0
2020-10-20,66.37,68.0,64.1,64.53,63.8660703317,124925,0.0000,1.0
2020-10-19,63.45,67.0364,63.45,65.43,64.7568105037,185708,0.0000,1.0
2020-10-16,62.91,65.39,62.64,65.06,64.3906173219,131351,0.0000,1.0
2020-10-15,60.59,63.14,60.2656,63.11,62.4606802826,111378,0.0000,1.0
2020-10-14,60.18,62.52,59.78,61.92,61.2829238329,121594,0.0000,1.0
2020-10-13,60.52,61.17,59.76,60.0,59.3826781327,81958,0.0000,1.0
2020-10-12,62.35,62.95,60.425,61.44,60.8078624079,113247,0.0000,1.0
2020-10-09,60.72,62.97,60.72,62.77,62.1241784398,179375,0.0000,1.0
2020-10-08,58.88,60.12,58.35,59.94,59.3232954545,114604,0.0000,1.0
2020-10-07,56.04,58.27,55.59,57.96,57.3636670762,164401,0.0000,1.0
2020-10-06,57.25,57.57,54.72,54.81,54.2460764742,96806,0.0000,1.0
2020-10-05,55.65,56.84,55.65,56.44,55.8593058968,118653,0.0000,1.0
2020-10-02,52.87,55.9,52.87,55.07,54.5034014128,125367,0.0000,1.0
2020-10-01,53.63,54.18,52.68,54.18,53.6225583538,105118,0.0000,1.0
2020-09-30,53.34,55.08,53.335,53.59,53.0386286855,194035,0.0000,1.0
2020-09-29,53.04,53.4,51.71,53.0,52.4546990172,152066,0.0000,1.0
2020-09-28,51.6,54.16,51.3685,53.47,52.9198633292,129308,0.0000,1.0
2020-09-25,51.52,52.09,50.49,50.5,49.9804207617,150098,0.0000,1.0
2020-09-24,52.03,53.48,51.71,51.97,51.4352963759,60564,0.0000,1.0
2020-09-23,53.31,54.605,52.0175,52.02,51.484781941,121564,0.0000,1.0
2020-09-22,54.91,55.31,52.76,53.59,53.0386286855,116722,0.0000,1.0
2020-09-21,58.53,59.225,53.41,54.74,54.176796683,185576,0.0000,1.0
2020-09-18,60.89,61.6,59.53,59.98,59.3628839066,335048,0.0000,1.0
2020-09-17,59.66,61.03,58.92,60.78,60.1546529484,116311,0.0000,1.0
2020-09-16,59.03,60.87,58.08,60.77,60.1447558354,126497,0.0000,1.0
2020-09-15,60.01,60.675,58.66,58.73,58.1257447789,95163,0.0000,1.0
2020-09-14,57.58,59.81,57.58,59.6,58.9867936118,119039,0.0000,1.0
2020-09-11,57.99,59.56,57.05,57.19,56.6015893735,80209,0.0000,1.0
2020-09-10,60.01,60.6,57.53,57.64,57.0469594595,95171,0.0000,1.0
