timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,77.96,79.64,77.55,77.79,77.79,204115,0.0000,1.0
2020-12-10,78.21,78.95,77.55,78.62,78.62,112369,0.0000,1.0
2020-12-09,78.0,78.95,77.81,78.8,78.8,148150,0.0000,1.0
2020-12-08,75.94,77.91,75.94,77.84,77.84,147467,0.0000,1.0
2020-12-07,77.02,77.5,75.8,76.64,76.64,216255,0.0000,1.0
2020-12-04,77.0,77.41,76.04,77.34,77.34,113541,0.0000,1.0
2020-12-03,76.22,76.88,75.4201,76.21,76.21,179837,0.0000,1.0
2020-12-02,75.1,76.67,74.71,76.46,76.46,164532,0.0000,1.0
2020-12-01,76.41,76.81,74.74,75.47,75.47,195316,0.0000,1.0
2020-11-30,77.32,77.89,74.93,74.95,74.95,254610,0.0000,1.0
2020-11-27,77.29,78.07,77.0343,77.79,77.79,73515,0.0000,1.0
2020-11-25,77.73,77.77,76.31,77.48,77.48,143524,0.0000,1.0
2020-11-24,77.02,78.46,76.44,77.81,77.81,219854,0.0000,1.0
2020-11-23,74.9,76.37,74.03,76.01,76.01,172216,0.0000,1.0
2020-11-20,71.87,73.87,71.478,73.81,73.81,247726,0.0000,1.0
2020-11-19,71.9,72.325,71.19,72.07,72.07,228880,0.0000,1.0
2020-11-18,72.4,73.11,71.915,72.17,72.17,178838,0.0000,1.0
2020-11-17,72.23,72.745,71.13,72.15,72.15,169771,0.0000,1.0
2020-11-16,71.53,72.94,71.19,72.93,72.93,238707,0.0000,1.0
2020-11-13,69.05,70.55,68.9093,70.07,70.07,167287,0.3000,1.0
2020-11-12,68.63,68.93,67.34,68.51,68.2179295154,184103,0.0000,1.0
2020-11-11,69.75,70.12,68.53,69.19,68.8950305528,203547,0.0000,1.0
2020-11-10,67.04,70.09,66.2,69.55,69.2534958079,242701,0.0000,1.0
2020-11-09,69.93,70.63,66.44,66.49,66.2065411397,254579,0.0000,1.0
2020-11-06,64.85,65.16,64.1,64.83,64.553618019,153180,0.0000,1.0
2020-11-05,63.8,64.86,63.35,64.19,63.9163464545,158206,0.0000,1.0
2020-11-04,63.48,65.08,62.665,63.52,63.2492027853,224791,0.0000,1.0
2020-11-03,66.49,66.97,64.2,64.96,64.6830638056,542447,0.0000,1.0
2020-11-02,62.63,64.39,62.44,64.25,63.9760906636,257031,0.0000,1.0
2020-10-30,62.2,63.025,61.07,61.66,61.3971323007,177638,0.0000,1.0
2020-10-29,62.0,62.93,60.8944,62.47,62.2036791246,190462,0.0000,1.0
2020-10-28,62.04,63.1,61.2801,62.13,61.8651286059,161133,0.0000,1.0
2020-10-27,65.2,65.2,62.8319,63.21,62.9405243712,169265,0.0000,1.0
2020-10-26,65.87,65.93,64.65,65.2,64.9220406423,156965,0.0000,1.0
2020-10-23,65.83,66.995,65.71,66.79,66.5052621856,188377,0.0000,1.0
2020-10-22,64.73,66.36,64.61,65.61,65.3302927384,172274,0.0000,1.0
2020-10-21,64.08,65.351,63.975,65.05,64.7726801194,280671,0.0000,1.0
2020-10-20,64.56,64.63,63.325,64.17,63.8964317181,314098,0.0000,1.0
2020-10-19,65.69,66.125,63.73,63.9,63.6275827768,169930,0.0000,1.0
2020-10-16,65.61,66.37,64.82,65.53,65.2506337928,169345,0.0000,1.0
2020-10-15,64.84,65.82,64.71,65.76,65.4796532613,204451,0.0000,1.0
2020-10-14,66.43,67.1,65.19,65.32,65.0415290607,198941,0.0000,1.0
2020-10-13,68.27,68.435,65.951,66.33,66.0472232485,200367,0.0000,1.0
2020-10-12,66.49,68.53,66.49,68.31,68.0187821515,376015,0.0000,1.0
2020-10-09,66.9,67.72,66.44,66.56,66.2762427171,296856,0.0000,1.0
2020-10-08,67.3,67.9,66.72,66.92,66.6347079721,128520,0.0000,1.0
2020-10-07,67.97,68.67,66.97,67.02,66.7342816541,154580,0.0000,1.0
2020-10-06,68.46,69.08,67.02,67.5,67.2122353276,192199,0.0000,1.0
2020-10-05,67.9,68.74,67.52,68.1,67.8096774194,201690,0.0000,1.0
2020-10-02,65.41,67.63,65.41,66.99,66.7044095495,129261,0.0000,1.0
2020-10-01,66.56,67.5332,65.835,66.36,66.0770953531,133711,0.0000,1.0
2020-09-30,67.19,67.74,66.1,66.83,66.5450916584,276275,0.0000,1.0
2020-09-29,67.87,68.16,66.0,67.0,66.7143669177,123521,0.0000,1.0
2020-09-28,68.17,68.7796,67.85,68.14,67.8495068921,153837,0.0000,1.0
2020-09-25,64.64,67.52,64.49,67.11,66.8238979679,266612,0.0000,1.0
2020-09-24,65.34,66.39,64.205,65.25,64.9718274833,219611,0.0000,1.0
2020-09-23,68.15,68.15,65.06,65.11,64.8324243285,223541,0.0000,1.0
2020-09-22,68.02,69.35,67.76,68.14,67.8495068921,254426,0.0000,1.0
2020-09-21,67.91,69.255,66.82,68.05,67.7598905784,321642,0.0000,1.0
2020-09-18,70.6,71.02,69.51,69.77,69.4725579082,633208,0.0000,1.0
2020-09-17,68.95,71.04,68.54,70.5,70.1994457866,642271,0.0000,1.0
