timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,249.64,253.22,247.575,252.9,252.9,60425,0.0000,1.0
2020-12-10,246.42,249.08,244.28,247.92,247.92,47221,0.0000,1.0
2020-12-09,250.0,252.3613,244.62,248.43,248.43,64556,0.0000,1.0
2020-12-08,241.83,252.74,241.77,249.44,249.44,65813,0.0000,1.0
2020-12-07,244.76,246.34,242.18,243.04,243.04,52741,0.0000,1.0
2020-12-04,244.76,248.555,243.31,246.0,246.0,73646,0.0000,1.0
2020-12-03,242.78,246.34,241.55,242.78,242.78,34411,0.0000,1.0
2020-12-02,247.99,247.99,242.44,243.19,243.19,76900,0.0000,1.0
2020-12-01,251.46,251.46,246.74,248.44,248.44,80145,0.0000,1.0
2020-11-30,249.4,249.99,245.25,247.0,247.0,59422,0.0000,1.0
2020-11-27,247.84,252.84,247.84,251.03,251.03,45091,0.0000,1.0
2020-11-25,254.67,255.685,248.42,249.27,249.27,77675,0.0000,1.0
2020-11-24,255.4,260.19,251.55,255.93,255.93,99392,0.0000,1.0
2020-11-23,255.38,257.46,252.62,252.8,252.8,75247,0.0000,1.0
2020-11-20,251.85,254.915,244.4015,254.1,254.1,114887,0.0000,1.0
2020-11-19,252.51,255.98,248.25,254.17,254.17,111987,0.0000,1.0
2020-11-18,261.21,262.5,253.45,253.47,253.47,115063,0.0000,1.0
2020-11-17,255.55,260.06,249.915,259.54,259.54,129976,0.0000,1.0
2020-11-16,255.84,261.75,251.13,258.45,258.45,140007,0.0000,1.0
2020-11-13,241.54,252.65,241.54,251.15,251.15,85226,0.0000,1.0
2020-11-12,246.01,246.51,237.02,239.77,239.77,86397,0.0000,1.0
2020-11-11,244.92,251.45,239.37,249.13,249.13,132483,0.0000,1.0
2020-11-10,234.4,243.38,229.87,242.94,242.94,160534,0.0000,1.0
2020-11-09,263.29,272.31,227.54,231.17,231.17,187639,0.0000,1.0
2020-11-06,212.38,217.0,210.71,215.68,215.68,78320,0.0000,1.0
2020-11-05,200.85,210.0,200.85,208.36,208.36,85601,0.0000,1.0
2020-11-04,200.2,200.96,196.72,198.08,198.08,54112,0.0000,1.0
2020-11-03,200.0,204.52,198.0,203.0,203.0,80464,0.0000,1.0
2020-11-02,193.8,197.18,193.135,196.76,196.76,47191,0.0000,1.0
2020-10-30,190.79,192.47,188.12,190.79,190.79,60547,0.0000,1.0
2020-10-29,185.43,192.49,185.05,191.57,191.57,74397,0.0000,1.0
2020-10-28,187.26,190.97,186.17,186.86,186.86,58146,0.0000,1.0
2020-10-27,191.59,194.04,191.17,191.58,191.58,55456,0.0000,1.0
2020-10-26,195.27,195.27,190.2895,191.91,191.91,49769,0.0000,1.0
2020-10-23,199.21,199.21,196.12,197.23,197.23,23992,0.0000,1.0
2020-10-22,196.01,197.86,193.89,197.25,197.25,45085,0.0000,1.0
2020-10-21,194.22,196.33,193.62,194.54,194.54,40117,0.0000,1.0
2020-10-20,194.56,196.5,193.196,193.59,193.59,23931,0.0000,1.0
2020-10-19,197.47,198.03,191.335,192.49,192.49,55264,0.0000,1.0
2020-10-16,191.49,197.89,189.46,196.97,196.97,82436,0.0000,1.0
2020-10-15,188.4,192.65,187.4,191.07,191.07,72584,0.3950,1.0
2020-10-14,192.67,193.68,190.21,190.72,190.326536965,40000,0.0000,1.0
2020-10-13,194.83,195.115,192.09,192.98,192.581874494,48794,0.0000,1.0
2020-10-12,194.25,197.57,193.135,196.7,196.294199984,45595,0.0000,1.0
2020-10-09,196.11,197.43,193.455,194.47,194.068800564,60703,0.0000,1.0
2020-10-08,191.98,195.15,191.58,194.28,193.879192542,48970,0.0000,1.0
2020-10-07,188.98,192.31,187.945,189.83,189.438373071,89405,0.0000,1.0
2020-10-06,190.73,193.77,186.88,186.88,186.49445904,87843,0.0000,1.0
2020-10-05,184.95,188.91,184.95,188.14,187.751859609,81224,0.0000,1.0
2020-10-02,176.65,184.26,176.65,182.69,182.313103178,51126,0.0000,1.0
2020-10-01,179.94,181.15,177.71,179.49,179.119704907,68406,0.0000,1.0
2020-09-30,177.91,182.35,177.91,179.71,179.339251038,88612,0.0000,1.0
2020-09-29,178.96,180.29,176.31,176.36,175.996162223,55304,0.0000,1.0
2020-09-28,173.97,179.82,173.97,179.02,178.650674536,140246,0.0000,1.0
2020-09-25,173.16,174.98,170.31,171.88,171.525404643,93070,0.0000,1.0
2020-09-24,173.7,177.0,171.535,174.3,173.940412086,88368,0.0000,1.0
2020-09-23,178.43,179.14,172.83,172.92,172.563259081,68844,0.0000,1.0
2020-09-22,177.41,180.6,176.49,178.63,178.261479122,98449,0.0000,1.0
2020-09-21,179.25,181.305,173.59,176.43,176.06601781,150460,0.0000,1.0
2020-09-18,188.58,188.58,180.9,183.35,182.971741572,142147,0.0000,1.0
2020-09-17,185.08,187.36,184.38,186.69,186.304851017,84844,0.0000,1.0
2020-09-16,191.25,191.42,187.12,187.13,186.743943279,106110,0.0000,1.0
2020-09-15,188.87,192.39,186.82,189.89,189.498249288,93243,0.0000,1.0
2020-09-14,186.94,188.73,184.656,188.45,188.061220066,87634,0.0000,1.0
2020-09-11,189.23,190.39,183.84,185.24,184.857842426,57105,0.0000,1.0
2020-09-10,191.51,191.6,187.95,187.95,187.562251586,72223,0.0000,1.0
2020-09-09,187.87,191.11,186.34,190.66,190.266660747,85292,0.0000,1.0
2020-09-08,190.95,190.95,185.79,186.28,185.895696864,83124,0.0000,1.0
2020-09-04,194.25,195.21,190.2,193.22,192.821379364,54404,0.0000,1.0
2020-09-03,197.52,197.52,188.86,191.41,191.015113467,47088,0.0000,1.0
2020-09-02,194.55,197.98,194.55,197.02,196.613539811,65365,0.0000,1.0
2020-09-01,190.05,196.05,188.27,194.99,194.587727783,94107,0.0000,1.0
2020-08-31,195.01,195.64,189.61,190.0,189.608022354,79526,0.0000,1.0
2020-08-28,195.6,196.17,193.12,195.88,195.475891677,40758,0.0000,1.0
2020-08-27,197.7,198.96,193.0,194.55,194.148635521,38291,0.0000,1.0
2020-08-26,195.7,197.205,195.01,195.99,195.585664743,42341,0.0000,1.0
2020-08-25,199.07,199.07,193.86,195.48,195.076716893,34857,0.0000,1.0
2020-08-24,198.47,200.06,195.21,197.03,196.623519181,51458,0.0000,1.0
2020-08-21,194.69,196.28,192.715,196.15,195.745334656,44898,0.0000,1.0
2020-08-20,195.39,196.82,193.91,196.0,195.595644113,52558,0.0000,1.0
2020-08-19,200.0,200.17,197.1,197.33,196.922900269,91128,0.0000,1.0
