timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.4005,13.4005,13.4005,13.4005,13.4005,91,0.0000,1.0
2020-12-10,13.35,13.4012,13.35,13.4005,13.4005,2655,0.0000,1.0
2020-12-09,13.52,13.66,13.25,13.25,13.25,11700,0.0000,1.0
2020-12-08,13.5,13.83,13.5,13.83,13.83,855,0.0000,1.0
2020-12-07,13.5,13.5,13.5,13.5,13.5,733,0.0000,1.0
2020-12-04,13.5,13.5,13.5,13.5,13.5,422,0.0000,1.0
2020-12-03,13.55,13.624,13.55,13.624,13.624,3173,0.0000,1.0
2020-12-02,13.5,13.5501,13.5,13.5501,13.5501,4480,0.0000,1.0
2020-12-01,13.5,14.0,13.5,13.5,13.5,688,0.0000,1.0
2020-11-30,13.5,13.725,13.5,13.6693,13.6693,2105,0.0000,1.0
2020-11-27,13.06,14.3,13.06,14.3,14.3,511,0.0000,1.0
2020-11-25,13.0,14.0,12.866,14.0,14.0,5975,0.0000,1.0
2020-11-24,12.795,12.9899,12.717,12.9899,12.9899,669,0.0000,1.0
2020-11-23,12.33,12.6588,12.33,12.6588,12.6588,485,0.0000,1.0
2020-11-20,12.32,12.32,12.32,12.32,12.32,333,0.0000,1.0
2020-11-19,12.31,12.31,12.31,12.31,12.31,174,0.0000,1.0
2020-11-18,12.3002,12.31,12.3,12.31,12.31,1058,0.0000,1.0
2020-11-17,12.3,12.3,12.3,12.3,12.3,78,0.0000,1.0
2020-11-16,12.3,12.3,12.3,12.3,12.3,236,0.0000,1.0
2020-11-13,12.46,12.46,12.46,12.46,12.46,156,0.0000,1.0
2020-11-12,12.3499,12.3499,12.3499,12.3499,12.3499,28,0.0000,1.0
2020-11-11,11.925,12.35,11.875,12.3499,12.3499,2766,0.0000,1.0
2020-11-10,12.3235,12.3235,12.3235,12.3235,12.3235,69,0.0000,1.0
2020-11-09,12.74,12.74,12.25,12.3235,12.3235,1973,0.0000,1.0
2020-11-06,12.5,12.5,12.5,12.5,12.5,23,0.0000,1.0
2020-11-05,12.5,12.5,12.5,12.5,12.5,81,0.0000,1.0
2020-11-04,11.8407,12.5,11.8407,12.5,12.5,859,0.1300,1.0
2020-11-03,12.9006,12.9006,12.9006,12.9006,12.7678147268,233,0.0000,1.0
2020-11-02,12.4529,12.4529,12.3012,12.3012,12.174584323,1224,0.0000,1.0
2020-10-30,12.5,12.5,12.5,12.5,12.3713380839,36,0.0000,1.0
2020-10-29,12.5,12.5,12.5,12.5,12.3713380839,39,0.0000,1.0
2020-10-28,12.5,12.5,12.5,12.5,12.3713380839,314,0.0000,1.0
2020-10-27,12.55,12.55,12.55,12.55,12.4208234363,101,0.0000,1.0
2020-10-26,12.75,12.75,12.75,12.75,12.6187648456,1014,0.0000,1.0
2020-10-23,12.648,12.648,12.5,12.5,12.3713380839,611,0.0000,1.0
2020-10-22,13.01,13.01,12.57,12.57,12.4406175772,1575,0.0000,1.0
2020-10-21,13.02,13.02,13.02,13.02,12.8859857482,337,0.0000,1.0
2020-10-20,12.921,12.921,12.921,12.921,12.7880047506,0,0.0000,1.0
2020-10-19,12.921,12.921,12.921,12.921,12.7880047506,2,0.0000,1.0
