timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,138.91,140.135,138.01,138.72,138.72,393193,0.0000,1.0
2020-12-10,139.75,140.0,137.18,139.43,139.43,390591,0.0000,1.0
2020-12-09,138.2,139.95,137.26,139.38,139.38,401907,0.0000,1.0
2020-12-08,134.36,138.09,133.84,137.54,137.54,526670,0.0000,1.0
2020-12-07,133.12,136.16,133.12,134.65,134.65,502519,0.0000,1.0
2020-12-04,130.89,134.1,129.705,133.58,133.58,249359,0.0000,1.0
2020-12-03,129.8,132.41,128.66,131.13,131.13,303576,0.0000,1.0
2020-12-02,132.91,133.13,128.87,130.56,130.56,320566,0.0000,1.0
2020-12-01,131.24,133.52,130.27,132.76,132.76,359668,0.0000,1.0
2020-11-30,130.58,132.37,128.965,131.42,131.42,436686,0.0000,1.0
2020-11-27,129.83,131.02,129.305,130.26,130.26,78515,0.0000,1.0
2020-11-25,132.35,133.48,129.315,130.36,130.36,209033,0.0000,1.0
2020-11-24,129.77,133.41,129.5,132.7,132.7,281270,0.0000,1.0
2020-11-23,130.31,131.17,128.525,129.82,129.82,263682,0.0000,1.0
2020-11-20,131.89,132.485,129.68,129.79,129.79,327029,0.0000,1.0
2020-11-19,130.7,131.24,129.72,131.1,131.1,186213,0.0000,1.0
2020-11-18,132.39,133.63,131.0,131.41,131.41,208511,0.0000,1.0
2020-11-17,131.19,132.39,129.15,132.17,132.17,147084,0.0000,1.0
2020-11-16,130.06,132.11,128.79,131.88,131.88,236147,0.0000,1.0
2020-11-13,128.32,129.81,128.32,128.69,128.69,137708,0.0000,1.0
2020-11-12,129.25,129.56,126.605,127.64,127.64,229821,0.0000,1.0
2020-11-11,131.12,131.5899,127.57,129.81,129.81,295592,0.0000,1.0
2020-11-10,125.27,131.09,123.34,130.62,130.62,447933,0.0000,1.0
2020-11-09,128.99,130.775,123.16,124.67,124.67,355417,0.2100,1.0
2020-11-06,125.15,126.06,123.34,123.88,123.671681614,245783,0.0000,1.0
2020-11-05,125.39,126.565,123.96,125.07,124.859680493,219398,0.0000,1.0
2020-11-04,127.25,130.51,124.09,124.4,124.190807175,350888,0.0000,1.0
2020-11-03,123.54,128.82,123.54,128.26,128.044316143,303608,0.0000,1.0
2020-11-02,125.88,126.385,122.63,123.41,123.202471973,339529,0.0000,1.0
2020-10-30,124.49,126.69,123.64,124.7,124.490302691,408466,0.0000,1.0
2020-10-29,124.55,125.91,123.92,125.22,125.009428251,374166,0.0000,1.0
2020-10-28,127.33,128.64,125.5,125.71,125.49860426,358379,0.0000,1.0
2020-10-27,131.94,132.81,128.93,129.12,128.902869955,281289,0.0000,1.0
2020-10-26,130.2,131.57,128.68,131.5,131.278867713,366068,0.0000,1.0
2020-10-23,131.44,132.735,127.86,131.98,131.758060538,305791,0.0000,1.0
2020-10-22,135.98,136.79,125.67,131.43,131.208985426,481444,0.0000,1.0
2020-10-21,128.65,130.825,126.6,127.29,127.075947309,347736,0.0000,1.0
2020-10-20,127.37,129.115,127.34,128.29,128.074265695,232438,0.0000,1.0
2020-10-19,130.6,130.84,126.48,126.91,126.696586323,297395,0.0000,1.0
2020-10-16,133.78,134.845,130.48,130.62,130.400347534,223672,0.0000,1.0
2020-10-15,132.21,134.88,132.17,134.61,134.383637892,196566,0.0000,1.0
2020-10-14,132.19,135.25,132.19,133.48,133.255538117,295623,0.0000,1.0
2020-10-13,132.83,134.19,132.15,132.44,132.217286996,179590,0.0000,1.0
