timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,40.4237,40.4237,40.4237,40.4237,40.4237,666,0.0000,1.0
2020-12-10,40.4595,40.4595,40.4595,40.4595,40.4595,155,0.0000,1.0
2020-12-09,41.3354,41.3354,41.3354,41.3354,41.3354,206,0.0000,1.0
2020-12-08,41.299,41.299,41.299,41.299,41.299,2,0.0000,1.0
2020-12-07,41.23,41.23,40.3056,40.3056,40.3056,359,0.0000,1.0
2020-12-04,40.2772,40.2772,40.2772,40.2772,40.2772,381,0.0000,1.0
2020-12-03,39.6128,39.6128,39.6128,39.6128,39.6128,4,0.0000,1.0
2020-12-02,39.3253,39.3253,39.3253,39.3253,39.3253,2,0.0000,1.0
2020-12-01,38.9821,38.9821,38.9821,38.9821,38.9821,5,0.0000,1.0
2020-11-30,38.2565,38.2565,38.2565,38.2565,38.2565,0,0.0000,1.0
2020-11-27,38.7302,38.7302,38.7302,38.7302,38.7302,0,0.0000,1.0
2020-11-25,38.4494,38.4494,38.4494,38.4494,38.4494,1,0.0000,1.0
2020-11-24,38.7723,38.7723,38.7723,38.7723,38.7723,1,0.0000,1.0
2020-11-23,37.661,37.661,37.661,37.661,37.661,1,0.0000,1.0
2020-11-20,37.0968,37.0968,37.0968,37.0968,37.0968,2,0.0000,1.0
2020-11-19,37.1344,37.1344,37.1344,37.1344,37.1344,5,0.0000,1.0
2020-11-18,37.2862,37.2862,37.2862,37.2862,37.2862,93,0.0000,1.0
2020-11-17,38.1633,38.1633,38.1633,38.1633,38.1633,2,0.0000,1.0
2020-11-16,38.06,38.1172,38.06,38.1172,38.1172,203,0.0000,1.0
2020-11-13,37.41,37.5486,37.41,37.5486,37.5486,836,0.0000,1.0
2020-11-12,36.1479,36.1479,36.1479,36.1479,36.1479,33,0.0000,1.0
2020-11-11,36.5633,36.5633,36.5633,36.5633,36.5633,33,0.0000,1.0
2020-11-10,36.3794,36.3794,36.3794,36.3794,36.3794,42,0.0000,1.0
2020-11-09,35.7106,35.7106,35.7106,35.7106,35.7106,113,0.0000,1.0
2020-11-06,34.22,34.3034,34.22,34.3034,34.3034,407,0.0000,1.0
2020-11-05,33.8669,33.8669,33.8669,33.8669,33.8669,1021,0.0000,1.0
2020-11-04,32.17,32.3492,32.14,32.3492,32.3492,1021,0.0000,1.0
2020-11-03,32.83,32.83,32.7188,32.7188,32.7188,335,0.0000,1.0
2020-11-02,31.3745,31.3745,31.3745,31.3745,31.3745,4,0.0000,1.0
2020-10-30,30.66,30.66,30.38,30.5544,30.5544,8572,0.0000,1.0
2020-10-29,30.6269,30.6269,30.6269,30.6269,30.6269,106,0.0000,1.0
2020-10-28,31.42,31.42,30.1237,30.1237,30.1237,642,0.0000,1.0
2020-10-27,31.96,31.96,31.7411,31.7411,31.7411,207,0.0000,1.0
2020-10-26,32.0226,32.0226,32.0226,32.0226,32.0226,0,0.0000,1.0
2020-10-23,33.0069,33.0069,33.0069,33.0069,33.0069,37,0.0000,1.0
2020-10-22,33.0396,33.0396,33.0396,33.0396,33.0396,37,0.0000,1.0
2020-10-21,32.1577,32.1577,32.1577,32.1577,32.1577,3,0.0000,1.0
2020-10-20,32.4951,32.4951,32.4951,32.4951,32.4951,3,0.0000,1.0
2020-10-19,33.58,33.58,32.4523,32.4523,32.4523,575,0.0000,1.0
2020-10-16,33.4464,33.4464,33.4464,33.4464,33.4464,38,0.0000,1.0
2020-10-15,33.5422,33.5422,33.5422,33.5422,33.5422,4,0.0000,1.0
2020-10-14,34.1,34.1,33.5403,33.5403,33.5403,842,0.0000,1.0
2020-10-13,34.25,34.25,34.1678,34.1678,34.1678,108,0.0000,1.0
2020-10-12,34.7518,34.7518,34.7518,34.7518,34.7518,0,0.0000,1.0
2020-10-09,34.3954,34.3954,34.3954,34.3954,34.3954,0,0.0000,1.0
2020-10-08,33.9416,33.9416,33.9416,33.9416,33.9416,2,0.0000,1.0
2020-10-07,33.2723,33.2723,33.2723,33.2723,33.2723,2,0.0000,1.0
2020-10-06,32.6249,32.6249,32.6249,32.6249,32.6249,98,0.0000,1.0
2020-10-05,32.7717,32.7717,32.7717,32.7717,32.7717,41,0.0000,1.0
2020-10-02,32.1475,32.1475,32.1475,32.1475,32.1475,57,0.0000,1.0
2020-10-01,32.23,32.3117,32.2058,32.2058,32.2058,316,0.0000,1.0
2020-09-30,32.2611,32.2611,32.2611,32.2611,32.2611,46,0.0000,1.0
2020-09-29,32.2519,32.2519,32.2519,32.2519,32.2519,33,0.0000,1.0
2020-09-28,32.1911,32.1911,32.1911,32.1911,32.1911,20,0.0000,1.0
2020-09-25,31.4124,31.4124,31.4124,31.4124,31.4124,0,0.0000,1.0
2020-09-24,31.0053,31.0053,31.0053,31.0053,31.0053,359,0.0000,1.0
2020-09-23,30.9184,30.9184,30.9184,30.9184,30.9184,359,0.1300,1.0
2020-09-22,32.6266,32.6266,32.6266,32.6266,32.4899512481,78,0.0000,1.0
2020-09-21,31.97,32.2374,31.76,32.2374,32.1023813197,483,0.0000,1.0
2020-09-18,33.3938,33.3938,33.3938,33.3938,33.2539380134,32,0.0000,1.0
2020-09-17,33.8283,33.8283,33.8283,33.8283,33.6866182136,66,0.0000,1.0
2020-09-16,34.192,34.192,34.192,34.192,34.0487949426,47,0.0000,1.0
2020-09-15,34.1575,34.1575,34.1575,34.1575,34.0144394377,62,0.0000,1.0
2020-09-14,33.79,33.8929,33.79,33.8929,33.7509476518,645,0.0000,1.0
2020-09-11,33.2571,33.2571,33.2571,33.2571,33.1178105489,56,0.0000,1.0
2020-09-10,33.1772,33.1772,33.1772,33.1772,33.038245191,70,0.0000,1.0
2020-09-09,34.2538,34.2538,34.2538,34.2538,34.110336108,70,0.0000,1.0
2020-09-08,33.9696,33.9696,33.9696,33.9696,33.8273264121,89,0.0000,1.0
2020-09-04,34.8615,34.8615,34.8615,34.8615,34.7154909012,77,0.0000,1.0
2020-09-03,35.49,35.49,35.3847,35.3847,35.2364996024,1082,0.0000,1.0
2020-09-02,37.5662,37.5662,37.5662,37.5662,37.4088629087,151,0.0000,1.0
2020-09-01,36.2479,36.2479,36.2479,36.2479,36.0960842946,19,0.0000,1.0
2020-08-31,36.45,36.45,36.45,36.45,36.2973378468,51,0.0000,1.0
2020-08-28,36.48,36.48,36.48,36.48,36.327212199,36,0.0000,1.0
2020-08-27,36.3533,36.3533,36.3533,36.3533,36.2010428518,18,0.0000,1.0
2020-08-26,36.61,36.6388,36.61,36.6388,36.485347103,186,0.0000,1.0
2020-08-25,36.4399,36.4399,36.4399,36.4399,36.2872801483,1,0.0000,1.0
2020-08-24,36.5276,36.5276,36.5276,36.5276,36.3746128377,47,0.0000,1.0
2020-08-21,36.022,36.022,36.022,36.022,35.871130423,185,0.0000,1.0
2020-08-20,36.1094,36.1094,36.1094,36.1094,35.9581643689,86,0.0000,1.0
2020-08-19,36.3719,36.3719,36.3719,36.3719,36.2195649501,2,0.0000,1.0
2020-08-18,36.321,36.321,36.321,36.321,36.1688781326,0,0.0000,1.0
2020-08-17,36.25,36.25,36.25,36.25,36.0981754993,0,0.0000,1.0
2020-08-14,36.5257,36.5257,36.5257,36.5257,36.3727207954,7,0.0000,1.0
2020-08-13,36.5651,36.5651,36.5651,36.5651,36.4119557779,107,0.0000,1.0
2020-08-12,37.1255,37.1255,37.0381,37.0381,36.8829747299,1146,0.0000,1.0
