timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,10.59,10.71,10.58,10.64,10.64,1488254,0.0000,1.0
2020-12-10,10.77,10.795,10.62,10.65,10.65,1534298,0.0000,1.0
2020-12-09,10.54,10.71,10.49,10.69,10.69,2564723,0.0000,1.0
2020-12-08,10.49,10.575,10.44,10.51,10.51,1684312,0.0000,1.0
2020-12-07,10.53,10.615,10.495,10.52,10.52,2381254,0.0000,1.0
2020-12-04,10.41,10.59,10.41,10.59,10.59,1477677,0.0000,1.0
2020-12-03,10.17,10.41,10.17,10.34,10.34,1573280,0.0000,1.0
2020-12-02,10.38,10.38,10.16,10.17,10.17,1806361,0.0000,1.0
2020-12-01,10.3,10.49,10.12,10.39,10.39,1542041,0.0000,1.0
2020-11-30,10.3,10.36,10.19,10.21,10.21,2653336,0.0000,1.0
2020-11-27,10.59,10.61,10.3,10.37,10.37,621848,0.0000,1.0
2020-11-25,10.68,10.68,10.41,10.56,10.56,1773009,0.0000,1.0
2020-11-24,10.5,10.69,10.43,10.45,10.45,2158337,0.0000,1.0
2020-11-23,10.33,10.505,10.29,10.39,10.39,1853148,0.0000,1.0
2020-11-20,10.37,10.405,10.21,10.25,10.25,1432161,0.0000,1.0
2020-11-19,10.46,10.48,10.3,10.46,10.46,1621215,0.0000,1.0
2020-11-18,10.85,10.865,10.53,10.54,10.54,1892944,0.0000,1.0
2020-11-17,10.89,10.96,10.63,10.86,10.86,1801198,0.0000,1.0
2020-11-16,10.92,11.025,10.715,11.01,11.01,2259292,0.0000,1.0
2020-11-13,10.34,10.67,10.34,10.62,10.62,2110745,0.0000,1.0
2020-11-12,10.28,10.42,10.185,10.26,10.26,1485951,0.0000,1.0
2020-11-11,10.4,10.45,10.205,10.36,10.36,1588375,0.0000,1.0
2020-11-10,10.05,10.36,9.84,10.35,10.35,2184241,0.0000,1.0
2020-11-09,10.36,10.77,9.95,9.97,9.97,3550458,0.0000,1.0
2020-11-06,10.13,10.13,9.82,9.83,9.83,1738354,0.0000,1.0
2020-11-05,10.26,10.3264,10.01,10.1,10.1,1213898,0.0000,1.0
2020-11-04,10.23,10.29,10.11,10.24,10.24,1488079,0.0000,1.0
2020-11-03,10.19,10.33,10.09,10.29,10.29,1461137,0.0000,1.0
2020-11-02,10.06,10.14,9.915,10.03,10.03,1644405,0.0000,1.0
2020-10-30,10.01,10.05,9.825,9.93,9.93,1187440,0.0000,1.0
2020-10-29,9.95,10.05,9.87,10.02,10.02,1375260,0.0000,1.0
2020-10-28,10.17,10.25,9.96,10.0,10.0,1783544,0.0000,1.0
2020-10-27,10.56,10.64,10.36,10.36,10.36,971365,0.0000,1.0
2020-10-26,10.66,10.7,10.48,10.57,10.57,1894180,0.0000,1.0
2020-10-23,10.75,10.82,10.63,10.79,10.79,1328907,0.0000,1.0
2020-10-22,10.6,10.72,10.57,10.67,10.67,1620776,0.0000,1.0
2020-10-21,10.5,10.61,10.46,10.6,10.6,2142409,0.0000,1.0
2020-10-20,10.43,10.59,10.35,10.53,10.53,1124857,0.0000,1.0
2020-10-19,10.63,10.63,10.34,10.34,10.34,1629502,0.0000,1.0
2020-10-16,10.65,10.69,10.53,10.55,10.55,1200975,0.0000,1.0
2020-10-15,10.38,10.74,10.36,10.67,10.67,1348648,0.0000,1.0
2020-10-14,10.74,10.75,10.46,10.46,10.46,790619,0.0000,1.0
2020-10-13,10.93,11.05,10.75,10.77,10.77,1440969,0.0000,1.0
2020-10-12,10.98,11.085,10.91,11.01,11.01,1476831,0.0000,1.0
2020-10-09,11.02,11.08,10.92,10.95,10.95,1073849,0.0000,1.0
2020-10-08,10.81,11.025,10.81,10.92,10.92,953278,0.0000,1.0
2020-10-07,10.81,10.86,10.71,10.72,10.72,2090400,0.0000,1.0
2020-10-06,10.9,11.02,10.69,10.73,10.73,2654404,0.0000,1.0
2020-10-05,10.9,10.95,10.72,10.84,10.84,1334963,0.0000,1.0
2020-10-02,10.43,10.84,10.36,10.82,10.82,1896441,0.0000,1.0
2020-10-01,10.47,10.62,10.34,10.6,10.6,2059775,0.0000,1.0
2020-09-30,10.57,10.62,10.36,10.45,10.45,2028867,0.0000,1.0
2020-09-29,10.67,10.67,10.4631,10.54,10.54,1463572,0.1050,1.0
2020-09-28,10.61,10.8,10.55,10.75,10.6439643025,4049951,0.0000,1.0
2020-09-25,10.26,10.46,10.26,10.45,10.3469234382,1333169,0.0000,1.0
2020-09-24,10.29,10.52,10.27,10.33,10.2281070925,1193648,0.0000,1.0
2020-09-23,10.45,10.6,10.255,10.27,10.1686989197,1953637,0.0000,1.0
2020-09-22,10.26,10.55,10.23,10.5,10.3964302489,1978400,0.0000,1.0
2020-09-21,10.44,10.53,10.18,10.23,10.1290934711,3874218,0.0000,1.0
2020-09-18,10.9,11.0,10.6,10.61,10.5053452325,4962416,0.0000,1.0
2020-09-17,10.94,11.06,10.78,10.83,10.7231751996,2243775,0.0000,1.0
2020-09-16,11.28,11.28,10.97,11.04,10.9311038046,2683487,0.0000,1.0
2020-09-15,11.33,11.42,11.22,11.23,11.1192296853,1681341,0.0000,1.0
2020-09-14,11.1,11.36,11.09,11.29,11.1786378581,1795412,0.0000,1.0
2020-09-11,11.17,11.17,10.89,11.02,10.9113010803,1647439,0.0000,1.0
2020-09-10,11.24,11.28,11.095,11.15,11.0400187882,1452389,0.0000,1.0
2020-09-09,11.17,11.38,11.16,11.28,11.168736496,1397614,0.0000,1.0
2020-09-08,11.21,11.21,11.01,11.09,10.9806106153,1348857,0.0000,1.0
2020-09-04,11.46,11.54,11.07,11.27,11.1588351339,1219585,0.0000,1.0
2020-09-03,11.49,11.66,11.33,11.4,11.2875528417,1402865,0.0000,1.0
2020-09-02,11.37,11.5,11.25,11.46,11.3469610146,3286209,0.0000,1.0
2020-09-01,11.27,11.47,11.25,11.37,11.2578487553,2338368,0.0000,1.0
2020-08-31,11.51,11.615,11.36,11.37,11.2578487553,2729483,0.0000,1.0
2020-08-28,11.73,11.73,11.49,11.52,11.4063691874,1047726,0.0000,1.0
2020-08-27,11.64,11.78,11.55,11.61,11.4954814467,1546638,0.0000,1.0
2020-08-26,11.65,11.725,11.545,11.59,11.4756787224,1507236,0.0000,1.0
2020-08-25,11.72,11.755,11.575,11.66,11.5449882574,1436719,0.0000,1.0
