timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.07,4.1,3.1,3.12,3.12,31642712,0.0000,1.0
2020-12-10,2.79,3.32,2.7,3.32,3.32,11256759,0.0000,1.0
2020-12-09,2.96,3.09,2.6101,2.9,2.9,16037599,0.0000,1.0
2020-12-08,2.35,4.04,2.21,3.08,3.08,203828478,0.0000,1.0
2020-12-07,1.6,1.75,1.585,1.73,1.73,3586509,0.0000,1.0
2020-12-04,1.53,1.65,1.52,1.58,1.58,1896237,0.0000,1.0
2020-12-03,1.56,1.61,1.52,1.53,1.53,1705159,0.0000,1.0
2020-12-02,1.48,1.6,1.44,1.56,1.56,1937974,0.0000,1.0
2020-12-01,1.54,1.56,1.46,1.46,1.46,1745291,0.0000,1.0
2020-11-30,1.59,1.62,1.53,1.53,1.53,2069803,0.0000,1.0
2020-11-27,1.65,1.66,1.59,1.62,1.62,900491,0.0000,1.0
2020-11-25,1.62,1.68,1.55,1.65,1.65,2471351,0.0000,1.0
2020-11-24,1.48,1.59,1.45,1.58,1.58,2332570,0.0000,1.0
2020-11-23,1.49,1.5,1.435,1.46,1.46,2131471,0.0000,1.0
2020-11-20,1.53,1.56,1.48,1.5,1.5,2046029,0.0000,1.0
2020-11-19,1.57,1.59,1.47,1.55,1.55,3248674,0.0000,1.0
2020-11-18,1.8077,1.815,1.57,1.6,1.6,10424085,0.0000,1.0
2020-11-17,2.25,2.38,1.71,1.81,1.81,102548681,0.0000,1.0
2020-11-16,1.28,1.31,1.25,1.29,1.29,592858,0.0000,1.0
2020-11-13,1.23,1.3,1.19,1.27,1.27,551824,0.0000,1.0
2020-11-12,1.25,1.26,1.2,1.23,1.23,421072,0.0000,1.0
2020-11-11,1.29,1.29,1.21,1.24,1.24,655262,0.0000,1.0
2020-11-10,1.17,1.34,1.1666,1.28,1.28,1612934,0.0000,1.0
2020-11-09,1.03,1.17,1.03,1.16,1.16,1022013,0.0000,1.0
2020-11-06,1.11,1.1245,1.06,1.07,1.07,492995,0.0000,1.0
2020-11-05,1.11,1.13,1.08,1.1,1.1,531108,0.0000,1.0
2020-11-04,1.1,1.155,1.07,1.08,1.08,458461,0.0000,1.0
2020-11-03,1.07,1.11,1.07,1.1,1.1,627438,0.0000,1.0
2020-11-02,1.09,1.09,1.05,1.05,1.05,958019,0.0000,1.0
2020-10-30,1.15,1.16,1.1,1.11,1.11,885728,0.0000,1.0
2020-10-29,1.25,1.25,1.12,1.16,1.16,1270826,0.0000,1.0
2020-10-28,1.3,1.3,1.22,1.22,1.22,906925,0.0000,1.0
