timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,15.68,16.03,15.68,15.95,15.95,1696659,0.0000,1.0
2020-12-10,16.06,16.2,15.75,15.78,15.78,1849794,0.0000,1.0
2020-12-09,16.03,16.75,16.0,16.18,16.18,3948428,0.0000,1.0
2020-12-08,15.38,16.23,15.28,16.13,16.13,4627617,0.0000,1.0
2020-12-07,15.42,15.67,15.35,15.43,15.43,1809652,0.0000,1.0
2020-12-04,15.57,15.65,15.4,15.47,15.47,1652636,0.0000,1.0
2020-12-03,15.65,15.8,15.47,15.57,15.57,2156273,0.0000,1.0
2020-12-02,15.5,15.66,15.175,15.57,15.57,2533813,0.0000,1.0
2020-12-01,15.67,15.87,15.52,15.7,15.7,2434694,0.0000,1.0
2020-11-30,15.87,15.97,15.382,15.49,15.49,3180633,0.0000,1.0
2020-11-27,15.75,16.03,15.74,15.94,15.94,1143143,0.0000,1.0
2020-11-25,15.42,15.87,15.395,15.71,15.71,2860762,0.0000,1.0
2020-11-24,15.53,15.645,15.33,15.51,15.51,7545655,0.0000,1.0
2020-11-23,15.2,15.85,15.18,15.47,15.47,4996267,0.0000,1.0
2020-11-20,14.9,15.07,14.69,15.04,15.04,2302453,0.0000,1.0
2020-11-19,14.61,15.03,14.57,14.98,14.98,3449735,0.0000,1.0
2020-11-18,14.7,14.86,14.42,14.54,14.54,4739076,0.0000,1.0
2020-11-17,14.21,14.535,13.955,14.5,14.5,5509949,0.0000,1.0
2020-11-16,13.95,14.68,13.86,14.36,14.36,7153493,0.0000,1.0
2020-11-13,13.66,13.84,13.57,13.77,13.77,1647053,0.0000,1.0
2020-11-12,13.76,13.87,13.48,13.55,13.55,2509189,0.0000,1.0
2020-11-11,14.03,14.05,13.73,13.88,13.88,2915953,0.0000,1.0
2020-11-10,13.6,14.08,13.395,13.97,13.97,3907468,0.0000,1.0
2020-11-09,14.61,14.68,13.54,13.54,13.54,4531784,0.0000,1.0
2020-11-06,14.7,14.875,14.185,14.235,14.235,4725090,0.0000,1.0
2020-11-05,13.72,14.42,13.7199,14.34,14.34,2992851,0.0000,1.0
2020-11-04,13.82,14.095,13.58,13.585,13.585,2710200,0.0000,1.0
2020-11-03,14.02,14.24,13.875,13.97,13.97,3436707,0.0000,1.0
2020-11-02,13.9,14.01,13.73,13.93,13.93,3015328,0.0000,1.0
2020-10-30,13.94,14.02,13.54,13.77,13.77,2910255,0.0000,1.0
2020-10-29,14.08,14.15,13.76,14.0,14.0,3414551,0.0000,1.0
2020-10-28,13.93,14.195,13.81,14.05,14.05,3899364,0.0000,1.0
2020-10-27,13.8,14.365,13.71,14.27,14.27,5406565,0.0000,1.0
2020-10-26,14.0,14.12,13.4,13.75,13.75,6749682,0.0000,1.0
2020-10-23,13.85,14.82,13.8,14.155,14.155,27723137,0.0000,1.0
2020-10-22,12.5,13.07,12.44,12.92,12.92,7917239,0.0000,1.0
2020-10-21,12.6,12.665,12.45,12.45,12.45,2768122,0.0000,1.0
2020-10-20,12.62,12.77,12.505,12.55,12.55,2835336,0.0000,1.0
2020-10-19,12.89,13.01,12.5,12.525,12.525,3862255,0.0000,1.0
2020-10-16,12.4,12.635,12.325,12.6,12.6,3998263,0.0000,1.0
2020-10-15,12.3,12.505,12.2,12.39,12.39,3282863,0.0000,1.0
2020-10-14,12.55,12.7,12.43,12.435,12.435,5856625,0.0000,1.0
2020-10-13,12.55,12.69,12.48,12.55,12.55,6196652,0.0000,1.0
2020-10-12,12.63,12.68,12.4,12.61,12.61,4704670,0.0000,1.0
2020-10-09,12.76,12.83,12.49,12.49,12.49,4938265,0.0000,1.0
2020-10-08,12.53,12.69,12.33,12.6,12.6,4538020,0.0000,1.0
2020-10-07,12.38,12.61,12.29,12.35,12.35,3254671,0.0000,1.0
2020-10-06,12.32,12.62,12.25,12.25,12.25,5027450,0.0000,1.0
2020-10-05,12.3,12.462,12.085,12.24,12.24,13279836,0.0000,1.0
2020-10-02,11.71,12.11,11.7,12.075,12.075,11679118,0.0000,1.0
2020-10-01,11.73,11.975,11.69,11.92,11.92,2190299,0.0000,1.0
2020-09-30,11.58,12.03,11.58,11.7,11.7,3670541,0.0000,1.0
2020-09-29,11.55,11.915,11.46,11.5,11.5,3203017,0.0000,1.0
2020-09-28,11.42,11.53,11.23,11.4,11.4,3483995,0.0000,1.0
2020-09-25,11.35,11.505,11.295,11.33,11.33,3066334,0.0000,1.0
2020-09-24,11.25,11.45,11.15,11.33,11.33,4184356,0.0000,1.0
2020-09-23,11.35,11.57,11.29,11.29,11.29,2711514,0.0000,1.0
2020-09-22,11.72,11.94,11.16,11.295,11.295,4271991,0.0000,1.0
2020-09-21,11.35,11.63,11.15,11.6,11.6,5238032,0.0000,1.0
2020-09-18,11.84,12.12,11.605,11.66,11.66,6441983,0.0000,1.0
2020-09-17,11.35,12.11,11.12,11.86,11.86,9372596,0.0000,1.0
2020-09-16,11.09,11.62,11.075,11.44,11.44,3857568,0.0000,1.0
2020-09-15,10.99,11.175,10.71,11.05,11.05,2405568,0.0000,1.0
2020-09-14,11.02,11.14,10.87,10.97,10.97,1894854,0.0000,1.0
2020-09-11,11.18,11.19,10.96,11.01,11.01,2413467,0.0000,1.0
2020-09-10,11.01,11.28,10.96,11.08,11.08,1863096,0.0000,1.0
