timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,8.51,8.6,8.4899,8.58,8.58,203634,0.0000,1.0
2020-12-10,8.5,8.5,8.46,8.49,8.49,54596,0.0000,1.0
2020-12-09,8.48,8.5,8.47,8.47,8.47,146490,0.0000,1.0
2020-12-08,8.47,8.5,8.46,8.48,8.48,110854,0.0000,1.0
2020-12-07,8.46,8.4966,8.45,8.46,8.46,113295,0.0000,1.0
2020-12-04,8.52,8.52,8.45,8.505,8.505,100450,0.0000,1.0
2020-12-03,8.5,8.52,8.47,8.52,8.52,76484,0.0000,1.0
2020-12-02,8.55,8.5806,8.46,8.49,8.49,214762,0.0000,1.0
2020-12-01,8.51,8.63,8.5,8.59,8.59,99160,0.0000,1.0
2020-11-30,8.51,8.53,8.47,8.53,8.53,80300,0.0000,1.0
2020-11-27,8.51,8.51,8.39,8.5,8.5,89788,0.0000,1.0
2020-11-25,8.44,8.5,8.43,8.5,8.5,62658,0.0000,1.0
2020-11-24,8.51,8.51,8.41,8.47,8.47,75909,0.0000,1.0
2020-11-23,8.44,8.457,8.4,8.45,8.45,55162,0.0000,1.0
2020-11-20,8.46,8.4801,8.42,8.43,8.43,69188,0.0000,1.0
2020-11-19,8.48,8.5048,8.46,8.48,8.48,39931,0.0000,1.0
2020-11-18,8.44,8.5,8.44,8.5,8.5,53831,0.0000,1.0
2020-11-17,8.45,8.455,8.42,8.45,8.45,50295,0.0583,1.0
2020-11-16,8.5,8.5,8.4659,8.48,8.42187411851,88254,0.0000,1.0
2020-11-13,8.49,8.5,8.48,8.49,8.43180557384,74158,0.0000,1.0
2020-11-12,8.49,8.49,8.43,8.46,8.40201120785,46733,0.0000,1.0
2020-11-11,8.49,8.49,8.45,8.45,8.39207975252,83342,0.0000,1.0
2020-11-10,8.45,8.49,8.44,8.48,8.42187411851,65990,0.0000,1.0
2020-11-09,8.47,8.49,8.4538,8.48,8.42187411851,104230,0.0000,1.0
2020-11-06,8.47,8.47,8.45,8.47,8.41194266318,46339,0.0000,1.0
2020-11-05,8.44,8.47,8.44,8.47,8.41194266318,58284,0.0000,1.0
2020-11-04,8.37,8.4383,8.37,8.39,8.33249102055,55529,0.0000,1.0
2020-11-03,8.24,8.47,8.21,8.36,8.30269665457,90527,0.0000,1.0
2020-11-02,8.19,8.24,8.1554,8.21,8.15372482464,90685,0.0000,1.0
2020-10-30,8.0,8.17,7.91,8.16,8.104067548,147259,0.0000,1.0
2020-10-29,8.01,8.1046,7.99,8.04,7.98489008406,80350,0.0000,1.0
2020-10-28,8.12,8.175,8.01,8.03,7.97495862873,99901,0.0000,1.0
2020-10-27,8.2,8.22,8.1701,8.21,8.15372482464,34428,0.0000,1.0
2020-10-26,8.24,8.24,8.1301,8.22,8.16365627997,42661,0.0000,1.0
2020-10-23,8.19,8.27,8.19,8.23,8.1735877353,33202,0.0000,1.0
2020-10-22,8.2,8.2199,7.8,8.21,8.15372482464,30257,0.0000,1.0
2020-10-21,8.2,8.22,8.2,8.21,8.15372482464,31696,0.0000,1.0
2020-10-20,8.17,8.23,8.17,8.21,8.15372482464,35197,0.0000,1.0
2020-10-19,8.22,8.2542,8.17,8.17,8.11399900333,80931,0.0000,1.0
2020-10-16,8.24,8.2522,8.22,8.22,8.16365627997,90942,0.0000,1.0
2020-10-15,8.27,8.27,8.22,8.25,8.19345064596,67208,0.0000,1.0
2020-10-14,8.26,8.293,8.24,8.26,8.20338210128,49864,0.0000,1.0
2020-10-13,8.24,8.26,8.22,8.26,8.20338210128,33698,0.0586,1.0
2020-10-12,8.3,8.36,8.3,8.32,8.2048021632,41033,0.0000,1.0
2020-10-09,8.28,8.34,8.265,8.31,8.19494062214,87929,0.0000,1.0
2020-10-08,8.22,8.3,8.22,8.23,8.11604829364,47383,0.0000,1.0
2020-10-07,8.21,8.25,8.2,8.25,8.13577137577,58126,0.0000,1.0
2020-10-06,8.12,8.18,8.1,8.13,8.01743288303,108843,0.0000,1.0
2020-10-05,8.15,8.1826,8.12,8.14,8.02729442409,83637,0.0000,1.0
2020-10-02,8.11,8.2,8.0748,8.12,8.00757134197,59155,0.0000,1.0
2020-10-01,8.01,8.09,8.01,8.07,7.95826363666,85801,0.0000,1.0
2020-09-30,8.14,8.14,8.01,8.01,7.89909439029,111351,0.0000,1.0
2020-09-29,8.04,8.09,8.01,8.05,7.93854055454,103272,0.0000,1.0
