timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.11,14.19,14.11,14.17,14.17,30350,0.0000,1.0
2020-12-10,14.11,14.18,14.11,14.16,14.16,36105,0.0000,1.0
2020-12-09,14.2,14.26,14.05,14.13,14.13,72275,0.0000,1.0
2020-12-08,14.25,14.25,14.13,14.21,14.21,34192,0.0000,1.0
2020-12-07,14.1,14.25,14.0342,14.24,14.24,41219,0.0000,1.0
2020-12-04,14.5,14.5,13.99,14.04,14.04,69937,0.0000,1.0
2020-12-03,14.17,14.17,14.02,14.13,14.13,74487,0.0000,1.0
2020-12-02,13.95,14.2,13.95,14.11,14.11,57749,0.0000,1.0
2020-12-01,14.0,14.1,13.9206,13.98,13.98,82504,0.0000,1.0
2020-11-30,14.0,14.0,13.93,13.99,13.99,17302,0.0000,1.0
2020-11-27,14.0,14.0,13.93,13.93,13.93,20377,0.0000,1.0
2020-11-25,13.99,13.99,13.84,13.86,13.86,75392,0.0000,1.0
2020-11-24,13.91,13.94,13.81,13.9,13.9,52136,0.0000,1.0
2020-11-23,13.84,13.84,13.7363,13.8,13.8,56514,0.0000,1.0
2020-11-20,13.82,13.82,13.6604,13.75,13.75,47972,0.0000,1.0
2020-11-19,13.84,13.84,13.65,13.73,13.73,79081,0.0000,1.0
2020-11-18,13.66,13.86,13.632,13.78,13.78,52064,0.0000,1.0
2020-11-17,13.66,13.66,13.58,13.64,13.64,39512,0.0000,1.0
2020-11-16,13.78,13.78,13.52,13.66,13.66,57730,0.0000,1.0
2020-11-13,13.83,13.83,13.65,13.66,13.66,50381,0.0485,1.0
2020-11-12,13.83,13.86,13.71,13.8,13.7511762775,78710,0.0000,1.0
2020-11-11,13.62,13.87,13.5701,13.76,13.7113177955,82535,0.0000,1.0
2020-11-10,13.46,13.54,13.46,13.53,13.4821315242,30598,0.0000,1.0
2020-11-09,13.62,13.7,13.46,13.51,13.4622022833,86834,0.0000,1.0
2020-11-06,13.38,13.58,13.38,13.55,13.5020607652,84824,0.0000,1.0
2020-11-05,13.49,13.575,13.34,13.34,13.2928037349,66661,0.0000,1.0
2020-11-04,13.33,13.46,13.2861,13.46,13.4123791808,44973,0.0000,1.0
2020-11-03,13.3,13.3,13.13,13.24,13.19315753,45537,0.0000,1.0
2020-11-02,13.2,13.21,13.1,13.21,13.1632636685,41003,0.0000,1.0
2020-10-30,13.06,13.19,13.03,13.17,13.1234051866,61122,0.0000,1.0
2020-10-29,13.08,13.15,13.02,13.13,13.0835467046,50787,0.0000,1.0
2020-10-28,13.06,13.15,12.97,13.12,13.0735820841,57807,0.0000,1.0
2020-10-27,13.06,13.12,13.0,13.08,13.0337236021,49836,0.0000,1.0
2020-10-26,13.12,13.15,13.02,13.06,13.0137943612,62335,0.0000,1.0
2020-10-23,13.25,13.25,13.1,13.12,13.0735820841,83457,0.0000,1.0
2020-10-22,13.34,13.34,13.21,13.24,13.19315753,26256,0.0000,1.0
2020-10-21,13.27,13.34,13.24,13.29,13.2429806325,44772,0.0000,1.0
2020-10-20,13.34,13.34,13.2667,13.34,13.2928037349,45417,0.0000,1.0
2020-10-19,13.36,13.37,13.2515,13.29,13.2429806325,44579,0.0000,1.0
2020-10-16,13.35,13.37,13.28,13.28,13.233016012,40843,0.0000,1.0
2020-10-15,13.45,13.45,13.3,13.39,13.3426268374,28827,0.0000,1.0
2020-10-14,13.55,13.55,13.27,13.45,13.4024145603,54987,0.0485,1.0
2020-10-13,13.56,13.59,13.53,13.53,13.433690336,22124,0.0000,1.0
2020-10-12,13.58,13.58,13.525,13.56,13.4634767891,26937,0.0000,1.0
2020-10-09,13.55,13.59,13.39,13.51,13.4138327007,19812,0.0000,1.0
2020-10-08,13.52,13.55,13.47,13.52,13.4237615183,92288,0.0000,1.0
2020-10-07,13.52,13.53,13.45,13.5,13.403903883,61353,0.0000,1.0
2020-10-06,13.51,13.52,13.32,13.42,13.3244733414,61850,0.0000,1.0
2020-10-05,13.5,13.52,13.41,13.45,13.3542597945,34259,0.0000,1.0
2020-10-02,13.37,13.5176,13.33,13.48,13.3840462476,36297,0.0000,1.0
