timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.38,18.13,17.26,17.65,17.65,16394,0.0000,1.0
2020-12-10,17.3,17.71,17.3,17.59,17.59,6884,0.0000,1.0
2020-12-09,18.5,18.5,17.26,17.4,17.4,17887,0.0000,1.0
2020-12-08,17.89,18.46,17.69,18.46,18.46,18368,0.0000,1.0
2020-12-07,18.5,18.5,17.89,17.89,17.89,17059,0.0000,1.0
2020-12-04,17.85,18.625,17.85,18.3,18.3,10639,0.0000,1.0
2020-12-03,17.8305,18.27,17.42,17.63,17.63,7129,0.0000,1.0
2020-12-02,17.98,18.23,17.8,17.85,17.85,7476,0.0000,1.0
2020-12-01,18.0,18.12,17.2001,18.03,18.03,15211,0.0000,1.0
2020-11-30,18.32,18.32,17.3,17.8,17.8,12828,0.0000,1.0
2020-11-27,18.27,18.6,17.7582,18.32,18.32,11458,0.0000,1.0
2020-11-25,18.75,18.75,17.725,18.27,18.27,19543,0.0000,1.0
2020-11-24,18.11,18.9,17.734,18.65,18.65,18753,0.0000,1.0
2020-11-23,17.2,18.0,17.2,17.73,17.73,16205,0.0000,1.0
2020-11-20,17.28,17.685,16.94,17.13,17.13,11548,0.0000,1.0
2020-11-19,17.9,18.07,17.5084,17.57,17.57,8384,0.0000,1.0
2020-11-18,17.66,18.2,17.63,17.7,17.7,14288,0.0000,1.0
2020-11-17,17.92,18.3032,17.67,17.67,17.67,13764,0.0000,1.0
2020-11-16,17.7,18.18,17.38,17.99,17.99,13716,0.0000,1.0
2020-11-13,17.25,17.59,17.1,17.1,17.1,8296,0.0000,1.0
2020-11-12,18.35,18.46,16.63,16.88,16.88,13665,0.0000,1.0
2020-11-11,18.69,18.69,17.97,18.25,18.25,22104,0.0000,1.0
2020-11-10,17.78,18.94,17.78,18.94,18.94,10367,0.0000,1.0
2020-11-09,17.86,18.48,17.2,17.75,17.75,29800,0.0000,1.0
2020-11-06,15.88,16.56,15.765,16.24,16.24,17298,0.0000,1.0
2020-11-05,15.95,16.34,15.8,15.88,15.88,34180,0.0000,1.0
2020-11-04,16.23,16.2473,15.65,15.8,15.8,36080,0.0000,1.0
2020-11-03,16.74,16.74,15.64,16.23,16.23,30059,0.0000,1.0
2020-11-02,16.31,16.86,15.3813,15.93,15.93,31486,0.0000,1.0
2020-10-30,17.1471,17.31,15.49,15.68,15.68,32144,0.0000,1.0
2020-10-29,17.6,17.915,17.2,17.22,17.22,23538,0.0000,1.0
2020-10-28,18.9,18.9,17.5,17.71,17.71,14696,0.0000,1.0
2020-10-27,19.5001,19.6375,19.04,19.04,19.04,11210,0.0000,1.0
2020-10-26,20.02,20.0899,19.215,19.59,19.59,10255,0.0000,1.0
2020-10-23,20.03,20.3396,19.73,19.8,19.8,10437,0.0000,1.0
