timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,18.82,19.05,18.165,18.36,18.36,2239140,0.0000,1.0
2020-12-10,18.87,19.11,18.67,18.91,18.91,1229012,0.0000,1.0
2020-12-09,19.49,19.5,18.895,18.96,18.96,1676769,0.0000,1.0
2020-12-08,19.11,19.55,19.02,19.32,19.32,1765173,0.0000,1.0
2020-12-07,19.41,19.54,19.3,19.39,19.39,2711776,0.0000,1.0
2020-12-04,19.08,19.76,18.88,19.66,19.66,2592444,0.0000,1.0
2020-12-03,18.41,19.33,18.34,18.89,18.89,3562888,0.0000,1.0
2020-12-02,18.05,18.32,17.88,18.21,18.21,1265496,0.0000,1.0
2020-12-01,18.3,18.435,18.1,18.19,18.19,1186881,0.0000,1.0
2020-11-30,18.29,18.365,17.855,18.13,18.13,2394909,0.0000,1.0
2020-11-27,18.5,18.85,18.47,18.49,18.49,918712,0.0000,1.0
2020-11-25,19.16,19.18,18.39,18.46,18.46,1274888,0.0000,1.0
2020-11-24,18.8656,19.24,18.54,19.09,19.09,4063823,0.0000,1.0
2020-11-23,18.79,18.79,18.2,18.26,18.26,1421435,0.0000,1.0
2020-11-20,18.75,19.07,18.55,18.78,18.78,2200424,0.0000,1.0
2020-11-19,18.59,18.98,18.46,18.77,18.77,1216422,0.0000,1.0
2020-11-18,18.32,19.02,18.185,18.45,18.45,2196202,0.0000,1.0
2020-11-17,18.53,18.53,18.09,18.42,18.42,1991407,0.0000,1.0
2020-11-16,18.6,18.87,18.33,18.52,18.52,2637285,0.0000,1.0
2020-11-13,17.32,18.46,17.3,18.06,18.06,3735077,0.0000,1.0
2020-11-12,17.25,17.51,17.06,17.12,17.12,3670121,0.0000,1.0
2020-11-11,18.12,18.14,17.31,17.55,17.55,3316480,0.0000,1.0
2020-11-10,19.13,19.13,17.895,18.1,18.1,3553338,0.0000,1.0
2020-11-09,18.2,19.96,18.2,18.89,18.89,8124446,0.0000,1.0
2020-11-06,16.3,16.66,16.1,16.2,16.2,2410969,0.0000,1.0
2020-11-05,16.88,17.38,16.35,16.46,16.46,4157325,0.0000,1.0
2020-11-04,16.46,17.25,16.36,16.83,16.83,2920839,0.0000,1.0
2020-11-03,16.09,16.435,16.02,16.33,16.33,1920657,0.0000,1.0
2020-11-02,16.4,16.43,15.89,16.01,16.01,4651832,0.0000,1.0
2020-10-30,15.69,16.32,15.69,16.12,16.12,3809221,0.0000,1.0
2020-10-29,15.64,16.24,15.6,15.99,15.99,3000262,0.0000,1.0
2020-10-28,15.81,15.93,15.5,15.61,15.61,2201268,0.0000,1.0
2020-10-27,16.05,16.34,15.79,16.15,16.15,3696836,0.0000,1.0
2020-10-26,15.8,16.1,15.615,15.91,15.91,2436093,0.0000,1.0
2020-10-23,15.95,16.315,15.75,16.06,16.06,3067956,0.0000,1.0
2020-10-22,15.81,16.32,15.74,15.89,15.89,4934023,0.0000,1.0
2020-10-21,15.01,15.42,14.7,15.26,15.26,3543395,0.0000,1.0
2020-10-20,14.6,15.14,14.57,14.94,14.94,3032350,0.0000,1.0
2020-10-19,14.775,15.05,14.5,14.63,14.63,3775916,0.0000,1.0
2020-10-16,15.15,15.15,14.855,14.93,14.93,1823278,0.0000,1.0
2020-10-15,14.79,14.97,14.545,14.95,14.95,2114368,0.0000,1.0
2020-10-14,15.04,15.05,14.55,14.91,14.91,3717477,0.0000,1.0
2020-10-13,15.54,15.61,14.96,15.02,15.02,3695970,0.0000,1.0
2020-10-12,15.61,15.8502,15.34,15.64,15.64,3543499,0.0000,1.0
2020-10-09,15.98,16.04,15.32,15.44,15.44,3829112,0.0000,1.0
2020-10-08,16.32,16.32,15.75,15.86,15.86,2815210,0.0000,1.0
2020-10-07,16.45,16.52,16.16,16.17,16.17,1807976,0.0000,1.0
2020-10-06,16.15,16.9,16.12,16.34,16.34,4454357,0.0000,1.0
2020-10-05,16.63,16.6818,15.51,16.13,16.13,5751519,0.0000,1.0
2020-10-02,16.26,16.8,16.24,16.78,16.78,3969782,0.0000,1.0
2020-10-01,16.65,16.85,16.38,16.53,16.53,1194610,0.0000,1.0
2020-09-30,16.66,16.9338,16.56,16.65,16.65,1675448,0.0000,1.0
2020-09-29,16.56,16.8,16.38,16.6,16.6,1985881,0.0000,1.0
2020-09-28,16.63,16.82,16.42,16.59,16.59,1636242,0.0000,1.0
2020-09-25,16.56,16.56,16.19,16.41,16.41,2519616,0.0000,1.0
2020-09-24,15.7035,16.675,15.7,16.57,16.57,3716305,0.0000,1.0
2020-09-23,16.58,16.755,16.005,16.06,16.06,2477923,0.0000,1.0
2020-09-22,16.52,16.92,16.34,16.56,16.56,4495570,0.0000,1.0
2020-09-21,16.92,17.2,16.2118,16.33,16.33,4373211,0.0000,1.0
2020-09-18,18.08,18.35,17.88,18.1,18.1,2143328,0.0000,1.0
2020-09-17,18.38,18.6,17.985,18.09,18.09,3508028,0.0000,1.0
2020-09-16,19.59,19.6,18.58,18.65,18.65,4680845,0.0000,1.0
2020-09-15,19.7,19.935,19.39,19.66,19.66,2892994,0.0000,1.0
2020-09-14,19.03,19.44,18.73,19.4,19.4,3463243,0.0000,1.0
2020-09-11,19.11,19.11,18.4,18.7,18.7,4454078,0.0000,1.0
2020-09-10,18.4,19.5502,18.4,18.74,18.74,3599400,0.0000,1.0
2020-09-09,18.31,18.58,18.02,18.38,18.38,2970059,0.0000,1.0
2020-09-08,18.64,18.83,18.42,18.46,18.46,1663392,0.0000,1.0
2020-09-04,19.24,19.53,18.57,19.04,19.04,2284651,0.0000,1.0
2020-09-03,19.59,19.82,18.75,19.2,19.2,3233232,0.0000,1.0
2020-09-02,18.71,19.81,18.675,19.69,19.69,3965268,0.0000,1.0
2020-09-01,19.4,19.56,18.74,18.78,18.78,2959968,0.0000,1.0
2020-08-31,19.41,19.98,19.36,19.52,19.52,3029859,0.0000,1.0
2020-08-28,19.38,20.29,19.2,19.9,19.9,4020519,0.0000,1.0
2020-08-27,19.38,19.665,18.96,19.05,19.05,3519558,0.0000,1.0
2020-08-26,19.41,19.7,19.1,19.55,19.55,2131013,0.0000,1.0
2020-08-25,19.52,19.59,19.04,19.53,19.53,1249768,0.0000,1.0
2020-08-24,19.17,19.69,18.74,19.31,19.31,2737006,0.0000,1.0
2020-08-21,19.5,20.35,18.995,19.18,19.18,3468529,0.0000,1.0
2020-08-20,19.15,20.17,18.851,19.56,19.56,5327731,0.0000,1.0
2020-08-19,19.18,19.35,18.795,19.02,19.02,2600511,0.0000,1.0
2020-08-18,19.47,19.62,19.205,19.23,19.23,1418226,0.0000,1.0
2020-08-17,19.77,19.77,19.1,19.5,19.5,1553460,0.0000,1.0
2020-08-14,19.68,19.8,19.38,19.49,19.49,2442332,0.0000,1.0
2020-08-13,20.12,20.49,19.76,19.82,19.82,2676254,0.0000,1.0
2020-08-12,20.06,20.29,19.74,19.9,19.9,3785450,0.0000,1.0
2020-08-11,19.78,20.635,19.21,19.98,19.98,11907639,0.0000,1.0
2020-08-10,18.17,19.45,18.15,19.3,19.3,6576681,0.0000,1.0
2020-08-07,17.4,17.94,17.24,17.37,17.37,3009974,0.0000,1.0
2020-08-06,16.61,17.985,16.61,17.92,17.92,3984471,0.0000,1.0
2020-08-05,17.06,17.37,16.75,16.86,16.86,2334930,0.0000,1.0
2020-08-04,16.91,17.27,16.7173,16.85,16.85,2697366,0.0000,1.0
2020-08-03,16.49,17.595,16.3,17.08,17.08,3374879,0.0000,1.0
2020-07-31,16.53,16.68,16.0399,16.46,16.46,1878882,0.0000,1.0
2020-07-30,16.76,16.975,16.31,16.63,16.63,3438917,0.0000,1.0
2020-07-29,16.01,16.49,15.96,15.99,15.99,2471208,0.0000,1.0
2020-07-28,15.28,16.32,15.28,16.04,16.04,4237201,0.0000,1.0
2020-07-27,15.35,15.74,15.0,15.41,15.41,4923131,0.0000,1.0
2020-07-24,15.39,15.5,15.06,15.25,15.25,1251477,0.0000,1.0
2020-07-23,15.99,15.99,15.4,15.5,15.5,1930627,0.0000,1.0
2020-07-22,16.73,16.83,15.805,15.87,15.87,2111601,0.0000,1.0
2020-07-21,16.99,17.26,16.62,16.64,16.64,3259298,0.0000,1.0
2020-07-20,17.05,17.16,16.64,16.92,16.92,2353531,0.0000,1.0
2020-07-17,17.7,17.72,17.05,17.11,17.11,1389500,0.0000,1.0
2020-07-16,17.43,17.72,17.1,17.44,17.44,1758800,0.0000,1.0
2020-07-15,17.5,18.27,17.45,17.89,17.89,3629700,0.0000,1.0
2020-07-14,16.77,17.47,16.63,17.0,17.0,5201100,0.0000,1.0
2020-07-13,16.05,18.54,15.59,18.14,18.14,11074600,0.0000,1.0
2020-07-10,15.25,15.62,14.91,15.61,15.61,2277300,0.0000,1.0
2020-07-09,15.57,15.62,14.72,15.22,15.22,4759700,0.0000,1.0
2020-07-08,16.13,16.13,15.57,15.75,15.75,3615300,0.0000,1.0
2020-07-07,16.33,16.64,15.81,15.82,15.82,1791200,0.0000,1.0
2020-07-06,16.99,17.42,16.66,16.82,16.82,2507900,0.0000,1.0
2020-07-02,16.04,16.84,15.68,16.58,16.58,3238800,0.0000,1.0
2020-07-01,15.58,15.87,15.39,15.59,15.59,2294600,0.0000,1.0
2020-06-30,15.3,15.58,14.95,15.52,15.52,2856700,0.0000,1.0
2020-06-29,15.15,15.45,14.9,15.41,15.41,1815200,0.0000,1.0
2020-06-26,15.63,15.635,15.08,15.15,15.15,1475379,0.0000,1.0
2020-06-25,15.47,15.55,15.16,15.43,15.43,3218699,0.0000,1.0
2020-06-24,16.23,16.48,15.6,15.84,15.84,2752280,0.0000,1.0
2020-06-23,16.39,16.895,16.39,16.67,16.67,2115689,0.0000,1.0
2020-06-22,16.48,16.48,15.94,16.29,16.29,2010349,0.0000,1.0
2020-06-19,17.06,17.225,16.21,16.44,16.44,2497073,0.0000,1.0
2020-06-18,16.7,17.21,16.54,16.8,16.8,1027622,0.0000,1.0
2020-06-17,16.84,17.12,16.54,16.81,16.81,1929903,0.0000,1.0
2020-06-16,18.0,18.0,16.67,16.92,16.92,2924077,0.0000,1.0
2020-06-15,16.71,17.57,16.53,17.28,17.28,1774718,0.0000,1.0
