timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.82,1.9,1.78,1.78,1.78,158258,0.0000,1.0
2020-12-10,1.825,1.91,1.76,1.87,1.87,292678,0.0000,1.0
2020-12-09,1.85,1.9231,1.7588,1.77,1.77,196621,0.0000,1.0
2020-12-08,1.97,2.01,1.85,1.86,1.86,328490,0.0000,1.0
2020-12-07,2.05,2.15,1.95,1.98,1.98,230153,0.0000,1.0
2020-12-04,1.77,2.0655,1.77,1.985,1.985,705602,0.0000,1.0
2020-12-03,1.64,1.75,1.6301,1.73,1.73,112820,0.0000,1.0
2020-12-02,1.58,1.65,1.56,1.62,1.62,108272,0.0000,1.0
2020-12-01,1.6,1.73,1.56,1.58,1.58,177449,0.0000,1.0
2020-11-30,1.72,1.78,1.58,1.62,1.62,133527,0.0000,1.0
2020-11-27,1.77,1.8,1.7001,1.74,1.74,43288,0.0000,1.0
2020-11-25,1.76,1.7928,1.72,1.78,1.78,124910,0.0000,1.0
2020-11-24,1.66,1.84,1.65,1.77,1.77,384334,0.0000,1.0
2020-11-23,1.59,1.66,1.59,1.62,1.62,188096,0.0000,1.0
2020-11-20,1.66,1.6778,1.6,1.62,1.62,59757,0.0000,1.0
2020-11-19,1.66,1.7,1.58,1.66,1.66,93934,0.0000,1.0
2020-11-18,1.54,1.6708,1.51,1.67,1.67,281289,0.0000,1.0
2020-11-17,1.46,1.55,1.45,1.54,1.54,193568,0.0000,1.0
2020-11-16,1.49,1.55,1.4602,1.47,1.47,198887,0.0000,1.0
2020-11-13,1.48,1.5,1.41,1.41,1.41,161482,0.0000,1.0
2020-11-12,1.46,1.491,1.45,1.47,1.47,68701,0.0000,1.0
2020-11-11,1.47,1.5,1.45,1.46,1.46,71837,0.0000,1.0
2020-11-10,1.49,1.539,1.45,1.49,1.49,102006,0.0000,1.0
2020-11-09,1.54,1.5601,1.45,1.51,1.51,184151,0.0000,1.0
2020-11-06,1.49,1.51,1.4,1.41,1.41,148925,0.0000,1.0
2020-11-05,1.5,1.5499,1.47,1.48,1.48,51426,0.0050,1.0
2020-11-04,1.46,1.55,1.4001,1.46,1.45508417508,137058,0.0000,1.0
2020-11-03,1.42,1.51,1.4,1.48,1.47501683502,107600,0.0000,1.0
2020-11-02,1.41,1.5,1.39,1.39,1.38531986532,81080,0.0000,1.0
2020-10-30,1.46,1.47,1.385,1.4,1.39528619529,65366,0.0000,1.0
2020-10-29,1.58,1.58,1.44,1.47,1.46505050505,91393,0.0000,1.0
2020-10-28,1.61,1.65,1.51,1.53,1.52484848485,53710,0.0000,1.0
2020-10-27,1.65,1.69,1.55,1.61,1.60457912458,41119,0.0000,1.0
2020-10-26,1.77,1.77,1.6,1.63,1.62451178451,134163,0.0000,1.0
2020-10-23,1.64,1.78,1.57,1.71,1.70424242424,237618,0.0000,1.0
2020-10-22,1.51,1.82,1.51,1.72,1.71420875421,230475,0.0000,1.0
2020-10-21,1.85,1.85,1.7594,1.81,1.80390572391,177318,0.0000,1.0
2020-10-20,1.84,1.86,1.75,1.83,1.82383838384,281352,0.0000,1.0
2020-10-19,1.7,1.85,1.65,1.85,1.84377104377,202008,0.0000,1.0
2020-10-16,1.69,1.77,1.6455,1.77,1.76404040404,160575,0.0000,1.0
2020-10-15,1.5765,1.7,1.5,1.7,1.69427609428,179117,0.0000,1.0
2020-10-14,1.7,1.73,1.55,1.67,1.66437710438,191038,0.0000,1.0
2020-10-13,1.51,1.74,1.425,1.68,1.67434343434,439678,0.0000,1.0
2020-10-12,1.38,1.59,1.37,1.57,1.56471380471,364358,0.0000,1.0
2020-10-09,1.36,1.76,1.31,1.37,1.36538720539,2263423,0.0000,1.0
2020-10-08,1.24,1.38,1.24,1.36,1.35542087542,193656,0.0000,1.0
2020-10-07,1.26,1.29,1.22,1.27,1.26572390572,78633,0.0000,1.0
2020-10-06,1.28,1.35,1.27,1.27,1.26572390572,106160,0.0000,1.0
2020-10-05,1.29,1.35,1.2701,1.29,1.28565656566,89492,0.0000,1.0
2020-10-02,1.03,1.4,1.03,1.34,1.33548821549,627538,0.0000,1.0
2020-10-01,1.17,1.23,1.14,1.15,1.14612794613,129440,0.0000,1.0
2020-09-30,1.28,1.29,1.17,1.17,1.16606060606,106967,0.0000,1.0
2020-09-29,1.2,1.32,1.19,1.23,1.22585858586,240582,0.0000,1.0
2020-09-28,1.2,1.25,1.17,1.19,1.18599326599,270833,0.0000,1.0
2020-09-25,1.22,1.3,1.2,1.21,1.20592592593,136544,0.0000,1.0
2020-09-24,1.23,1.3,1.15,1.215,1.21090909091,190257,0.0000,1.0
2020-09-23,1.28,1.346,1.2,1.2,1.19595959596,193557,0.0000,1.0
2020-09-22,1.24,1.29,1.23,1.28,1.27569023569,134658,0.0000,1.0
2020-09-21,1.23,1.34,1.224,1.27,1.26572390572,225494,0.0000,1.0
2020-09-18,1.35,1.39,1.14,1.29,1.28565656566,2005625,0.0000,1.0
2020-09-17,1.28,1.32,1.26,1.3,1.29562289562,180413,0.0000,1.0
2020-09-16,1.3,1.33,1.25,1.28,1.27569023569,425636,0.0000,1.0
2020-09-15,1.32,1.365,1.25,1.25,1.24579124579,321535,0.0000,1.0
2020-09-14,1.35,1.37,1.27,1.36,1.35542087542,298713,0.0000,1.0
2020-09-11,1.43,1.43,1.25,1.41,1.40525252525,440785,0.0000,1.0
2020-09-10,1.37,1.429,1.33,1.37,1.36538720539,185595,0.0000,1.0
2020-09-09,1.44,1.44,1.35,1.35,1.34545454545,149051,0.0000,1.0
2020-09-08,1.35,1.45,1.31,1.4,1.39528619529,198184,0.0000,1.0
2020-09-04,1.36,1.41,1.35,1.35,1.34545454545,168268,0.0000,1.0
2020-09-03,1.4,1.455,1.36,1.37,1.36538720539,115912,0.0000,1.0
2020-09-02,1.41,1.48,1.381,1.39,1.38531986532,171591,0.0000,1.0
2020-09-01,1.53,1.53,1.4,1.44,1.43515151515,116746,0.0000,1.0
2020-08-31,1.51,1.5873,1.47,1.51,1.50491582492,195133,0.0000,1.0
2020-08-28,1.51,1.55,1.48,1.5,1.49494949495,142465,0.0000,1.0
2020-08-27,1.55,1.59,1.5,1.51,1.50491582492,141465,0.0000,1.0
2020-08-26,1.65,1.65,1.54,1.58,1.57468013468,158562,0.0000,1.0
2020-08-25,1.64,1.655,1.55,1.58,1.57468013468,131805,0.0000,1.0
2020-08-24,1.6,1.69,1.57,1.64,1.63447811448,112972,0.0000,1.0
2020-08-21,1.61,1.65,1.56,1.6,1.59461279461,170273,0.0000,1.0
2020-08-20,1.66,1.7,1.61,1.63,1.62451178451,166575,0.0000,1.0
2020-08-19,1.68,1.75,1.68,1.7,1.69427609428,116390,0.0000,1.0
2020-08-18,1.76,1.79,1.66,1.7,1.69427609428,238326,0.0000,1.0
2020-08-17,1.83,1.8659,1.78,1.79,1.78397306397,138530,0.0000,1.0
2020-08-14,1.8935,1.94,1.78,1.85,1.84377104377,239279,0.0000,1.0
2020-08-13,1.82,1.95,1.75,1.93,1.9235016835,380478,0.0000,1.0
2020-08-12,1.83,1.8825,1.76,1.84,1.8338047138,245289,0.0000,1.0
2020-08-11,1.76,1.94,1.75,1.85,1.84377104377,242325,0.0000,1.0
2020-08-10,1.87,1.94,1.81,1.82,1.81387205387,316781,0.0000,1.0
2020-08-07,1.91,1.975,1.88,1.91,1.90356902357,108103,0.0000,1.0
2020-08-06,1.91,1.99,1.88,1.98,1.97333333333,141330,0.0050,1.0
2020-08-05,1.77,1.95,1.77,1.9,1.88883291352,310823,0.0000,1.0
2020-08-04,1.7,1.82,1.6812,1.78,1.76953820319,370550,0.0000,1.0
2020-08-03,1.86,1.8943,1.69,1.72,1.70989084803,562041,0.0000,1.0
2020-07-31,2.01,2.03,1.86,1.89,1.87889168766,281433,0.0000,1.0
2020-07-30,2.08,2.1,2.0,2.03,2.01806884971,258893,0.0000,1.0
2020-07-29,2.11,2.17,2.03,2.14,2.12742233417,326094,0.0000,1.0
2020-07-28,2.3,2.36,2.015,2.15,2.13736356003,971809,0.0000,1.0
2020-07-27,2.4,2.55,2.35,2.4,2.38589420655,578410,0.0000,1.0
2020-07-24,2.33,2.48,2.295,2.45,2.43560033585,344128,0.0000,1.0
2020-07-23,2.2,2.34,2.15,2.3,2.28648194794,517971,0.0000,1.0
2020-07-22,2.01,2.15,1.96,2.15,2.13736356003,473112,0.0000,1.0
2020-07-21,2.0,2.15,1.95,1.98,1.9683627204,375024,0.0000,1.0
2020-07-20,1.97,2.08,1.89,2.01,1.99818639798,379552,0.0000,1.0
2020-07-17,2.11,2.19,1.95,2.02,2.00812762385,358626,0.0000,1.0
2020-07-16,1.97,2.27,1.87,2.06,2.04789252729,775866,0.0000,1.0
2020-07-15,1.7,2.04,1.67,1.97,1.95842149454,660980,0.0000,1.0
2020-07-14,1.6,1.7,1.6,1.63,1.62041981528,176860,0.0000,1.0
2020-07-13,1.71,1.73,1.61,1.65,1.640302267,376592,0.0000,1.0
2020-07-10,1.71,1.71,1.64,1.68,1.67012594458,279050,0.0000,1.0
2020-07-09,1.76,1.77,1.53,1.66,1.65024349286,529698,0.0000,1.0
2020-07-08,1.7,1.81,1.67,1.7,1.69000839631,244166,0.0000,1.0
2020-07-07,1.82,1.84,1.7,1.7,1.69000839631,331932,0.0000,1.0
2020-07-06,1.98,2.0,1.76,1.86,1.84906801008,461314,0.0000,1.0
2020-07-02,2.16,2.19,1.73,1.92,1.90871536524,1703635,0.0000,1.0
2020-07-01,1.43,2.19,1.33,1.95,1.93853904282,4083029,0.0000,1.0
2020-06-30,1.41,1.47,1.19,1.19,1.18300587741,642028,0.0000,1.0
2020-06-29,1.55,1.6,1.32,1.34,1.33212426532,817127,0.0000,1.0
2020-06-26,2.0,2.0,1.53,1.64,1.63036104114,961135,0.0000,1.0
2020-06-25,2.18,2.35,2.12,2.24,2.22683459278,92487,0.0000,1.0
2020-06-24,2.29,2.31,2.15,2.25,2.23677581864,180693,0.0000,1.0
2020-06-23,2.43,2.43,2.31,2.37,2.35607052897,187453,0.0000,1.0
2020-06-22,2.5,2.5,2.36,2.43,2.41571788413,107972,0.0000,1.0
2020-06-19,2.57,2.57,2.45,2.5,2.48530646516,203852,0.0000,1.0
2020-06-18,2.55,2.64,2.53,2.53,2.51513014274,83184,0.0000,1.0
2020-06-17,2.68,2.68,2.5,2.62,2.60460117548,119784,0.0000,1.0
2020-06-16,2.62,2.78,2.48,2.68,2.66424853065,247024,0.0000,1.0
2020-06-15,2.44,2.75,2.42,2.59,2.5747774979,214451,0.0000,1.0
