timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,61.07,62.29,60.24,61.83,61.83,96436,0.0000,1.0
2020-12-10,62.93,63.59,61.27,61.91,61.91,112466,0.0000,1.0
2020-12-09,63.9,63.93,62.68,63.47,63.47,103366,0.0000,1.0
2020-12-08,61.94,63.89,61.94,63.4,63.4,140997,0.0000,1.0
2020-12-07,63.3,65.51,62.55,62.7,62.7,175587,0.0000,1.0
2020-12-04,61.93,63.96,61.69,63.56,63.56,156544,0.0000,1.0
2020-12-03,62.89,63.15,61.64,61.93,61.93,59634,0.0000,1.0
2020-12-02,62.2,62.96,61.56,62.48,62.48,138811,0.0000,1.0
2020-12-01,62.05,63.32,61.57,62.24,62.24,112840,0.0000,1.0
2020-11-30,61.95,62.56,60.49,60.67,60.67,142734,0.0000,1.0
2020-11-27,62.66,63.54,61.59,62.47,62.47,39470,0.0000,1.0
2020-11-25,63.64,63.875,62.08,62.74,62.74,83463,0.0000,1.0
2020-11-24,62.0,64.285,61.91,64.16,64.16,169072,0.0000,1.0
2020-11-23,60.0,61.713,59.65,61.0,61.0,85265,0.0000,1.0
2020-11-20,58.3,59.36,58.1638,59.31,59.31,96038,0.0000,1.0
2020-11-19,59.25,59.325,57.81,58.91,58.91,102749,0.0000,1.0
2020-11-18,61.24,61.59,59.56,59.62,59.62,165284,0.0000,1.0
2020-11-17,60.34,61.53,59.41,61.2,61.2,94620,0.0000,1.0
2020-11-16,60.99,61.8,60.39,61.28,61.28,127786,0.0000,1.0
2020-11-13,57.51,59.62,57.51,59.51,59.51,99577,0.0000,1.0
2020-11-12,59.27,59.72,56.33,56.91,56.91,150061,0.0000,1.0
2020-11-11,62.75,63.01,59.665,60.18,60.18,134126,0.0000,1.0
2020-11-10,61.82,63.38,61.42,62.34,62.34,219715,0.0000,1.0
2020-11-09,61.87,66.24,60.68,60.78,60.78,252515,0.0000,1.0
2020-11-06,57.04,57.61,56.555,56.99,56.99,115058,0.0000,1.0
2020-11-05,54.81,56.67,53.9,56.51,56.51,130521,0.0000,1.0
2020-11-04,55.7,55.91,52.96,54.5,54.5,164637,0.0000,1.0
2020-11-03,57.41,57.92,56.97,57.39,57.39,143333,0.0000,1.0
2020-11-02,55.42,56.19,54.27,56.06,56.06,164771,0.0000,1.0
2020-10-30,54.92,55.76,53.33,54.69,54.69,134185,0.0500,1.0
2020-10-29,53.04,55.29,52.37,55.03,54.9797351114,113232,0.0000,1.0
2020-10-28,54.32,54.67,53.17,53.61,53.561032152,180399,0.0000,1.0
2020-10-27,57.38,57.38,55.745,55.83,55.7790043844,96425,0.0000,1.0
2020-10-26,57.93,57.995,56.85,57.63,57.5773602484,101630,0.0000,1.0
2020-10-23,58.7,59.65,58.38,58.61,58.5564651078,108195,0.0000,1.0
2020-10-22,57.89,58.5,57.69,58.38,58.3266751918,128156,0.0000,1.0
2020-10-21,57.47,58.34,57.47,57.66,57.6073328462,98860,0.0000,1.0
2020-10-20,58.45,59.37,57.59,57.66,57.6073328462,117994,0.0000,1.0
2020-10-19,57.95,58.9285,57.43,57.66,57.6073328462,133038,0.0000,1.0
2020-10-16,57.23,58.37,57.03,57.8,57.7472049689,140569,0.0000,1.0
2020-10-15,56.01,57.646,56.01,57.32,57.2676434052,177695,0.0000,1.0
2020-10-14,57.13,57.85,56.79,56.86,56.8080635733,102626,0.0000,1.0
2020-10-13,58.14,58.88,57.13,57.22,57.1677347461,139777,0.0000,1.0
2020-10-12,57.7,59.18,57.52,58.82,58.7662732919,97319,0.0000,1.0
2020-10-09,58.01,58.29,57.4,57.67,57.6173237121,138236,0.0000,1.0
2020-10-08,58.24,58.24,57.085,57.52,57.4674607234,157432,0.0000,1.0
2020-10-07,55.71,57.93,55.68,57.48,57.4274972598,256035,0.0000,1.0
2020-10-06,55.63,56.73,54.68,54.9,54.8498538546,161398,0.0000,1.0
2020-10-05,53.39,54.86,53.39,54.79,54.7399543296,164370,0.0000,1.0
2020-10-02,50.43,53.24,50.06,52.9,52.8516806723,148469,0.0000,1.0
2020-10-01,51.49,51.895,50.93,51.54,51.4929229083,151833,0.0000,1.0
2020-09-30,51.56,52.82,50.84,51.1,51.0533248082,167518,0.0000,1.0
2020-09-29,51.33,51.53,50.5,51.16,51.1132700037,152998,0.0000,1.0
2020-09-28,49.95,51.55,49.79,51.19,51.1432426014,164621,0.0000,1.0
2020-09-25,48.03,49.83,47.5,49.23,49.1850328827,159413,0.0000,1.0
2020-09-24,47.97,48.77,47.34,48.1,48.0560650347,135475,0.0000,1.0
2020-09-23,48.29,48.93,47.7,47.86,47.8162842528,196285,0.0000,1.0
2020-09-22,47.42,48.58,46.82,48.49,48.4457088053,165079,0.0000,1.0
2020-09-21,48.94,49.02,46.49,47.29,47.2468048959,176222,0.0000,1.0
2020-09-18,50.42,51.26,49.57,49.67,49.6246309828,466984,0.0000,1.0
2020-09-17,49.44,50.43,49.07,50.06,50.0142747534,128642,0.0000,1.0
2020-09-16,50.49,51.22,49.91,50.02,49.9743112897,132416,0.0000,1.0
2020-09-15,49.9,50.73,49.13,50.2,50.1541468761,120943,0.0000,1.0
2020-09-14,49.22,49.73,48.91,49.61,49.5646857874,111248,0.0000,1.0
2020-09-11,49.03,49.37,48.35,48.68,48.6355352576,91015,0.0000,1.0
2020-09-10,49.93,50.08,48.7,48.8,48.7554256485,75688,0.0000,1.0
2020-09-09,49.74,50.11,48.93,49.68,49.6346218487,100224,0.0000,1.0
2020-09-08,50.83,50.86,49.31,49.36,49.3149141396,92684,0.0000,1.0
2020-09-04,51.47,51.76,50.905,51.37,51.3230781878,83019,0.0000,1.0
2020-09-03,52.04,52.68,50.21,50.54,50.4938363171,79885,0.0000,1.0
2020-09-02,51.48,52.3,51.47,52.14,52.092374863,64519,0.0000,1.0
2020-09-01,50.52,51.56,50.52,51.49,51.4429685787,90544,0.0000,1.0
2020-08-31,52.49,52.49,50.71,50.75,50.7036445013,134887,0.0000,1.0
2020-08-28,52.13,52.79,51.53,52.69,52.6418724881,88304,0.0000,1.0
2020-08-27,52.15,52.15,51.21,51.55,51.5029137742,74097,0.0000,1.0
2020-08-26,52.23,52.73,51.54,51.56,51.5129046401,100634,0.0000,1.0
2020-08-25,52.8,53.01,51.97,52.22,52.1723017903,114579,0.0000,1.0
