timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,44.63,45.54,44.37,45.01,45.01,37986,0.0000,1.0
2020-12-10,44.37,45.27,44.26,45.26,45.26,50472,0.0000,1.0
2020-12-09,45.8,45.9669,44.51,45.06,45.06,27690,0.0000,1.0
2020-12-08,44.24,45.45,44.24,45.34,45.34,94751,0.0000,1.0
2020-12-07,45.23,45.23,44.6,44.91,44.91,113173,0.0000,1.0
2020-12-04,44.1,45.23,44.08,45.23,45.23,29662,0.0000,1.0
2020-12-03,43.15,44.12,43.12,43.6,43.6,230398,0.0000,1.0
2020-12-02,43.02,43.2661,42.49,43.14,43.14,74895,0.0000,1.0
2020-12-01,43.26,43.71,42.97,43.31,43.31,97126,0.0000,1.0
2020-11-30,43.44,43.69,42.12,42.21,42.21,27335,0.0000,1.0
2020-11-27,43.62,43.78,43.45,43.68,43.68,12619,0.0000,1.0
2020-11-25,43.84,43.84,43.1,43.56,43.56,34219,0.0000,1.0
2020-11-24,43.76,44.375,43.4593,44.13,44.13,43362,0.0000,1.0
2020-11-23,42.21,43.1,41.9711,42.77,42.77,166946,0.0000,1.0
2020-11-20,41.36,41.63,41.175,41.45,41.45,12511,0.0000,1.0
2020-11-19,40.95,41.49,40.3902,41.49,41.49,53786,0.0000,1.0
2020-11-18,42.35,42.39,40.78,40.81,40.81,57996,0.0000,1.0
2020-11-17,41.22,42.18,40.5439,41.97,41.97,62250,0.0000,1.0
2020-11-16,41.22,41.8,40.97,41.8,41.8,43149,0.0000,1.0
2020-11-13,39.405,40.22,39.28,40.13,40.13,28696,0.0000,1.0
2020-11-12,39.53,39.53,37.9201,38.52,38.52,33027,0.0000,1.0
2020-11-11,40.33,40.425,39.4451,39.87,39.87,28758,0.0000,1.0
2020-11-10,39.42,40.1405,39.02,39.96,39.96,89251,0.0000,1.0
2020-11-09,41.53,42.3,38.97,39.07,39.07,166628,0.0000,1.0
2020-11-06,37.67,37.67,36.815,36.95,36.95,26748,0.0000,1.0
2020-11-05,36.18,37.53,36.16,37.37,37.37,171725,0.0000,1.0
2020-11-04,34.66,36.21,34.51,35.31,35.31,114049,0.0000,1.0
2020-11-03,34.61,35.61,34.49,35.31,35.31,226162,0.0000,1.0
2020-11-02,33.32,33.81,33.02,33.81,33.81,99733,0.0000,1.0
2020-10-30,32.61,32.8859,31.71,32.48,32.48,36921,0.0000,1.0
2020-10-29,32.29,33.26,31.78,32.99,32.99,61395,0.0000,1.0
2020-10-28,32.87,33.12,32.37,32.38,32.38,33125,0.0000,1.0
2020-10-27,35.09,35.13,34.16,34.18,34.18,14858,0.0000,1.0
2020-10-26,35.78,35.79,34.3142,35.11,35.11,29668,0.0000,1.0
2020-10-23,36.58,36.82,35.97,36.68,36.68,23511,0.0000,1.0
2020-10-22,35.25,36.228,35.0434,36.18,36.18,22198,0.0000,1.0
2020-10-21,35.53,35.9,35.02,35.07,35.07,39593,0.0000,1.0
2020-10-20,35.57,36.26,35.47,35.48,35.48,65543,0.0000,1.0
2020-10-19,36.15,36.57,35.0176,35.18,35.18,65046,0.0000,1.0
2020-10-16,36.33,36.4363,35.99,36.0,36.0,128296,0.0000,1.0
2020-10-15,34.66,36.27,34.34,36.17,36.17,89531,0.0000,1.0
2020-10-14,35.9,36.4,35.45,35.46,35.46,43719,0.0000,1.0
2020-10-13,35.86,36.16,35.71,35.81,35.81,66723,0.0000,1.0
2020-10-12,36.31,36.51,35.99,36.43,36.43,77181,0.0000,1.0
2020-10-09,36.4029,36.48,35.721,35.94,35.94,40222,0.0000,1.0
2020-10-08,35.65,35.77,35.28,35.77,35.77,52043,0.0000,1.0
2020-10-07,34.59,35.19,34.59,35.05,35.05,51826,0.0000,1.0
2020-10-06,34.6,35.39,33.67,33.82,33.82,66972,0.0000,1.0
2020-10-05,33.21,34.18,33.21,34.18,34.18,50488,0.0000,1.0
2020-10-02,30.97,32.89,30.97,32.63,32.63,92987,0.0000,1.0
2020-10-01,31.59,32.04,31.32,32.04,32.04,209662,0.0000,1.0
2020-09-30,31.04,31.86,30.8394,31.27,31.27,49971,0.0000,1.0
2020-09-29,31.2,31.31,30.63,30.83,30.83,13999,0.0000,1.0
2020-09-28,30.53,31.34,30.53,31.26,31.26,44463,0.0000,1.0
2020-09-25,28.67,29.9399,28.65,29.82,29.82,48864,0.0000,1.0
2020-09-24,28.88,29.67,28.2901,29.0,29.0,37009,0.0000,1.0
2020-09-23,30.31,30.8,28.9696,28.9696,28.9696,40075,0.0055,1.0
2020-09-22,30.16,30.47,29.985,30.35,30.3442285465,24147,0.0000,1.0
2020-09-21,30.26,30.26,29.23,29.93,29.924308415,150852,0.0000,1.0
2020-09-18,32.35,32.48,30.99,31.51,31.5040079572,39312,0.0000,1.0
2020-09-17,31.72,32.4207,31.38,32.19,32.1838786462,34453,0.0000,1.0
2020-09-16,32.74,33.39,32.49,32.58,32.5738044825,265044,0.0000,1.0
2020-09-15,32.82,32.9,32.29,32.4,32.3938387119,81701,0.0000,1.0
2020-09-14,31.69,32.41,31.63,32.35,32.3438482201,21485,0.0000,1.0
2020-09-11,31.53,31.53,30.67,31.09,31.0840878257,23607,0.0000,1.0
2020-09-10,32.31,32.67,31.185,31.19,31.1840688094,61580,0.0000,1.0
2020-09-09,31.68,32.23,31.41,31.92,31.9139299903,52518,0.0000,1.0
2020-09-08,31.9,31.9899,30.93,31.1,31.0940859241,73332,0.0000,1.0
2020-09-04,33.49,33.5,31.21,32.56,32.5538082858,64589,0.0000,1.0
2020-09-03,34.73,34.8099,32.54,32.83,32.8237569417,52468,0.0000,1.0
2020-09-02,34.33,35.15,34.01,34.99,34.9833461892,33135,0.0000,1.0
2020-09-01,33.44,34.09,32.98,34.09,34.0835173361,96752,0.0000,1.0
2020-08-31,34.21,34.21,33.58,33.6,33.5936105161,31798,0.0000,1.0
2020-08-28,34.33,34.33,33.8,34.31,34.3034755002,66909,0.0000,1.0
2020-08-27,33.84,34.205,33.6,33.96,33.9535420573,87469,0.0000,1.0
2020-08-26,33.91,33.92,33.56,33.69,33.6835934014,32969,0.0000,1.0
2020-08-25,34.27,34.27,33.45,33.96,33.9535420573,19720,0.0000,1.0
2020-08-24,33.54,34.0,33.1899,34.0,33.9935344508,107860,0.0000,1.0
2020-08-21,33.01,33.1798,32.795,33.08,33.0737094009,56324,0.0000,1.0
2020-08-20,33.0,33.52,32.93,33.28,33.2736713683,16163,0.0000,1.0
2020-08-19,34.18,34.215,33.64,33.66,33.6535991063,23080,0.0000,1.0
2020-08-18,34.58,34.58,33.86,33.95,33.9435439589,18716,0.0000,1.0
2020-08-17,34.53,34.785,34.52,34.58,34.5734241561,21110,0.0000,1.0
2020-08-14,34.21,34.72,34.15,34.4,34.3934583855,22333,0.0000,1.0
2020-08-13,34.42,34.87,34.28,34.57,34.5634260577,18008,0.0000,1.0
2020-08-12,35.01,35.01,34.41,34.71,34.7033994349,83577,0.0000,1.0
2020-08-11,34.86,35.305,34.15,34.26,34.2534850083,44651,0.0000,1.0
2020-08-10,34.15,34.6,34.15,34.27,34.2634831067,91494,0.0000,1.0
2020-08-07,33.08,34.0,32.96,34.0,33.9935344508,54665,0.0000,1.0
2020-08-06,33.41,33.51,32.96,33.18,33.1736903846,25895,0.0000,1.0
2020-08-05,33.07,33.42,32.76,33.38,33.373652352,19404,0.0000,1.0
2020-08-04,32.02,32.49,31.9,32.49,32.4838215972,20326,0.0000,1.0
2020-08-03,31.9,32.29,31.5,32.19,32.1838786462,115107,0.0000,1.0
2020-07-31,31.82,31.82,30.53,31.4584,31.4524177696,44365,0.0000,1.0
2020-07-30,31.42,31.98,30.98,31.86,31.8539414,109051,0.0000,1.0
2020-07-29,31.24,32.405,31.24,32.28,32.2738615315,217276,0.0000,1.0
