timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.62,14.62,14.55,14.55,14.55,22460,0.0000,1.0
2020-12-10,14.49,14.62,14.49,14.57,14.57,29559,0.0000,1.0
2020-12-09,14.63,14.65,14.49,14.51,14.51,33416,0.0000,1.0
2020-12-08,14.46,14.63,14.46,14.57,14.57,46949,0.0000,1.0
2020-12-07,14.44,14.54,14.4,14.4,14.4,44520,0.0000,1.0
2020-12-04,14.54,14.54,14.44,14.47,14.47,17109,0.0000,1.0
2020-12-03,14.49,14.49,14.4,14.48,14.48,28769,0.0000,1.0
2020-12-02,14.35,14.44,14.31,14.44,14.44,27344,0.0000,1.0
2020-12-01,14.45,14.45,14.38,14.4,14.4,30157,0.0000,1.0
2020-11-30,14.32,14.39,14.285,14.39,14.39,45102,0.0000,1.0
2020-11-27,14.4,14.419,14.32,14.32,14.32,19764,0.0000,1.0
2020-11-25,14.28,14.38,14.26,14.34,14.34,40388,0.0000,1.0
2020-11-24,14.26,14.29,14.25,14.265,14.265,46123,0.0000,1.0
2020-11-23,14.24,14.28,14.13,14.28,14.28,50464,0.0000,1.0
2020-11-20,14.28,14.28,14.14,14.22,14.22,30579,0.0000,1.0
2020-11-19,14.29,14.3,14.19,14.21,14.21,25299,0.0000,1.0
2020-11-18,14.19,14.25,14.17,14.21,14.21,19787,0.0000,1.0
2020-11-17,14.21,14.24,14.17,14.185,14.185,28826,0.0000,1.0
2020-11-16,14.16,14.16,14.08,14.14,14.14,50018,0.0000,1.0
2020-11-13,14.02,14.08,14.02,14.08,14.08,23487,0.0430,1.0
2020-11-12,14.05,14.08,14.03,14.08,14.0371309212,31363,0.0000,1.0
2020-11-11,14.07,14.07,13.99,14.04,13.9972527083,28581,0.0000,1.0
2020-11-10,13.99,14.09,13.96,14.0,13.9573744955,52291,0.0000,1.0
2020-11-09,14.18,14.25,14.02,14.13,14.0869786872,66884,0.0000,1.0
2020-11-06,14.02,14.09,13.98,14.04,13.9972527083,54163,0.0000,1.0
2020-11-05,13.98,14.06,13.97,13.97,13.9274658359,27588,0.0000,1.0
2020-11-04,13.84,14.06,13.84,13.93,13.887587623,30332,0.0000,1.0
2020-11-03,13.83,13.96,13.75,13.81,13.7679529845,59964,0.0000,1.0
2020-11-02,13.99,14.04,13.83,13.9,13.8576789634,32444,0.0000,1.0
2020-10-30,13.78,13.93,13.78,13.93,13.887587623,21795,0.0000,1.0
2020-10-29,13.86,13.86,13.82,13.85,13.8078311973,13861,0.0000,1.0
2020-10-28,13.77,13.822,13.75,13.78,13.7380443249,18732,0.0000,1.0
2020-10-27,14.04,14.04,13.8,13.84,13.7978616441,54890,0.0000,1.0
2020-10-26,14.11,14.11,13.86,13.96,13.9174962827,18821,0.0000,1.0
2020-10-23,13.97,14.08,13.97,14.07,14.027161368,33775,0.0000,1.0
2020-10-22,14.04,14.07,13.97,14.07,14.027161368,38192,0.0000,1.0
2020-10-21,13.86,13.97,13.84,13.97,13.9274658359,30412,0.0000,1.0
2020-10-20,13.92,13.94,13.87,13.93,13.887587623,13184,0.0000,1.0
2020-10-19,13.89,13.98,13.88,13.98,13.9374353891,14978,0.0000,1.0
2020-10-16,13.92,13.96,13.87,13.89,13.8477094102,33344,0.0000,1.0
2020-10-15,13.94,13.99,13.9125,13.97,13.9274658359,22335,0.0000,1.0
2020-10-14,14.0,14.0,13.88,13.88,13.837739857,44171,0.0430,1.0
2020-10-13,13.9351,14.0,13.87,14.0,13.9142683328,26789,0.0000,1.0
2020-10-12,14.02,14.02,13.84,13.9,13.8148807019,14965,0.0000,1.0
2020-10-09,13.98,14.01,13.89,13.89,13.8049419388,24054,0.0000,1.0
2020-10-08,13.93,14.02,13.85,13.98,13.8943908066,35184,0.0000,1.0
2020-10-07,13.93,13.93,13.83,13.84,13.7552481233,39089,0.0000,1.0
2020-10-06,13.79,13.85,13.79,13.85,13.7651868864,16930,0.0000,1.0
2020-10-05,13.8,13.87,13.77,13.87,13.7850644126,27492,0.0000,1.0
2020-10-02,13.83,13.85,13.78,13.85,13.7651868864,16061,0.0000,1.0
2020-10-01,13.84,13.89,13.82,13.83,13.7453093602,34695,0.0000,1.0
2020-09-30,13.86,13.87,13.77,13.85,13.7651868864,99936,0.0000,1.0
2020-09-29,13.89,13.95,13.85,13.85,13.7651868864,22194,0.0000,1.0
2020-09-28,13.87,13.92,13.84,13.88,13.7950031757,44782,0.0000,1.0
2020-09-25,13.81,13.92,13.78,13.85,13.7651868864,61465,0.0000,1.0
2020-09-24,13.78,13.91,13.74,13.89,13.8049419388,51241,0.0000,1.0
2020-09-23,13.93,13.95,13.87,13.899,13.8138868255,28450,0.0000,1.0
2020-09-22,14.05,14.09,13.98,13.98,13.8943908066,30408,0.0000,1.0
2020-09-21,14.15,14.16,13.99,14.0,13.9142683328,24102,0.0000,1.0
2020-09-18,14.31,14.31,14.0501,14.11,14.0235947268,31843,0.0000,1.0
2020-09-17,14.18,14.31,14.12,14.2,14.1130435947,18660,0.0000,1.0
2020-09-16,14.3,14.34,14.21,14.23,14.142859884,19812,0.0000,1.0
2020-09-15,14.39,14.418,14.22,14.26,14.1726761733,39357,0.0000,1.0
2020-09-14,14.18,14.39,14.18,14.25,14.1627374102,22491,0.0430,1.0
2020-09-11,14.22,14.43,14.19,14.24,14.110220438,46723,0.0000,1.0
2020-09-10,14.13,14.24,14.1,14.1,13.9714963607,42379,0.0000,1.0
2020-09-09,14.08,14.19,14.01,14.19,14.0606761247,39295,0.0000,1.0
2020-09-08,13.98,14.02,13.84,14.02,13.8922254594,70008,0.0000,1.0
2020-09-04,14.1,14.1,13.88,13.9,13.7733191074,45828,0.0000,1.0
2020-09-03,14.2,14.23,14.04,14.09,13.961587498,24485,0.0000,1.0
2020-09-02,14.15,14.24,14.145,14.145,14.0160862427,25466,0.0000,1.0
2020-09-01,14.13,14.2,14.12,14.14,14.0111318114,30121,0.0000,1.0
2020-08-31,14.17,14.25,14.06,14.08,13.9516786354,66782,0.0000,1.0
2020-08-28,14.03,14.12,14.03,14.1,13.9714963607,47035,0.0000,1.0
2020-08-27,14.27,14.31,13.95,13.95,13.8228634207,62688,0.0000,1.0
2020-08-26,14.36,14.39,14.23,14.23,14.1003115754,21950,0.0000,1.0
2020-08-25,14.39,14.43,14.31,14.34,14.2093090647,35446,0.0000,1.0
2020-08-24,14.51,14.52,14.38,14.38,14.2489445154,27732,0.0000,1.0
2020-08-21,14.64,14.64,14.41,14.41,14.2786711034,67201,0.0000,1.0
2020-08-20,14.72,14.73,14.57,14.57,14.4372129061,24541,0.0000,1.0
2020-08-19,14.76,14.76,14.6823,14.7,14.5660281207,11222,0.0000,1.0
2020-08-18,14.78,14.79,14.72,14.79,14.6552078847,22900,0.0000,1.0
2020-08-17,14.76,14.77,14.725,14.75,14.6155724341,32141,0.0000,1.0
2020-08-14,14.64,14.76,14.5401,14.75,14.6155724341,40671,0.0000,1.0
2020-08-13,14.78,14.78,14.59,14.59,14.4570306314,39441,0.0430,1.0
2020-08-12,14.8,14.807,14.71,14.78,14.6022628806,42793,0.0000,1.0
2020-08-11,14.66,14.82,14.66,14.74,14.5627439012,70019,0.0000,1.0
2020-08-10,14.69,14.7,14.62,14.7,14.5232249218,34100,0.0000,1.0
2020-08-07,14.6,14.66,14.6,14.66,14.4837059425,43102,0.0000,1.0
2020-08-06,14.71,14.74,14.6,14.64,14.4639464528,37309,0.0000,1.0
2020-08-05,14.65,14.66,14.58,14.62,14.4441869631,31328,0.0000,1.0
2020-08-04,14.64,14.67,14.51,14.56,14.384908494,19731,0.0000,1.0
2020-08-03,14.43,14.56,14.43,14.55,14.3750287492,30952,0.0000,1.0
2020-07-31,14.45,14.46,14.38,14.46,14.2861110456,15623,0.0000,1.0
2020-07-30,14.4,14.41,14.341,14.38,14.2070730868,24040,0.0000,1.0
2020-07-29,14.33,14.38,14.275,14.37,14.197193342,8395,0.0000,1.0
2020-07-28,14.33,14.33,14.29,14.3,14.1280351281,46193,0.0000,1.0
2020-07-27,14.36,14.36,14.29,14.32,14.1477946177,29448,0.0000,1.0
2020-07-24,14.21,14.34,14.21,14.3179,14.1457198713,28227,0.0000,1.0
2020-07-23,14.4,14.4,14.26,14.32,14.1477946177,25547,0.0000,1.0
2020-07-22,14.27,14.31,14.22,14.31,14.1379148729,21059,0.0000,1.0
2020-07-21,14.19,14.23,14.16,14.23,14.0588769141,25604,0.0000,1.0
2020-07-20,14.14,14.19,14.14,14.17,13.9995984451,16525,0.0000,1.0
2020-07-17,14.19,14.24,14.08,14.11,13.940319976,30160,0.0000,1.0
