timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.2,14.25,14.2,14.24,14.24,113452,0.0000,1.0
2020-12-10,14.2,14.23,14.19,14.22,14.22,80886,0.0000,1.0
2020-12-09,14.18,14.24,14.16,14.24,14.24,118857,0.0000,1.0
2020-12-08,14.15,14.155,14.13,14.14,14.14,133287,0.0000,1.0
2020-12-07,14.18,14.18,14.11,14.11,14.11,85783,0.0000,1.0
2020-12-04,14.11,14.15,14.0913,14.15,14.15,64141,0.0000,1.0
2020-12-03,14.1,14.1227,14.04,14.12,14.12,115895,0.0000,1.0
2020-12-02,13.96,14.07,13.96,14.06,14.06,153798,0.0000,1.0
2020-12-01,13.94,14.0,13.8957,13.95,13.95,64931,0.0000,1.0
2020-11-30,13.94,13.94,13.9,13.93,13.93,62020,0.0000,1.0
2020-11-27,13.94,13.95,13.92,13.92,13.92,45903,0.0000,1.0
2020-11-25,13.93,13.93,13.9,13.92,13.92,81592,0.0000,1.0
2020-11-24,13.94,13.94,13.88,13.88,13.88,64140,0.0000,1.0
2020-11-23,13.83,13.9,13.83,13.85,13.85,81280,0.0000,1.0
2020-11-20,13.88,13.88,13.83,13.83,13.83,37578,0.0000,1.0
2020-11-19,13.83,13.85,13.8175,13.85,13.85,44356,0.0000,1.0
2020-11-18,13.77,13.88,13.77,13.81,13.81,54862,0.0000,1.0
2020-11-17,13.79,13.81,13.77,13.79,13.79,46964,0.0000,1.0
2020-11-16,13.76,13.79,13.7401,13.77,13.77,61323,0.0000,1.0
2020-11-13,13.78,13.8,13.72,13.77,13.77,123639,0.0515,1.0
2020-11-12,13.79,13.82,13.77,13.82,13.7685055891,64243,0.0000,1.0
2020-11-11,13.78,13.8,13.75,13.78,13.7286546323,57306,0.0000,1.0
2020-11-10,13.71,13.775,13.71,13.75,13.6987664146,50729,0.0000,1.0
2020-11-09,13.69,13.77,13.68,13.75,13.6987664146,369814,0.0000,1.0
2020-11-06,13.7,13.7232,13.68,13.68,13.6290272402,109307,0.0000,1.0
2020-11-05,13.61,13.7,13.6075,13.68,13.6290272402,58912,0.0000,1.0
2020-11-04,13.53,13.61,13.495,13.6,13.5493253265,83076,0.0000,1.0
2020-11-03,13.46,13.49,13.43,13.43,13.3799587599,109313,0.0000,1.0
2020-11-02,13.45,13.48,13.41,13.46,13.4098469775,88779,0.0000,1.0
2020-10-30,13.3,13.43,13.27,13.43,13.3799587599,106787,0.0000,1.0
