timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.45,13.66,13.08,13.25,13.25,37689,0.0000,1.0
2020-12-10,13.21,13.52,12.7001,13.36,13.36,34090,0.0000,1.0
2020-12-09,13.32,13.78,13.01,13.17,13.17,69558,0.0000,1.0
2020-12-08,12.88,13.6299,12.87,13.2,13.2,83826,0.0000,1.0
2020-12-07,13.02,13.04,12.44,12.77,12.77,43267,0.0000,1.0
2020-12-04,12.345,12.92,12.345,12.83,12.83,18261,0.0000,1.0
2020-12-03,12.41,13.0,12.41,12.69,12.69,43347,0.0000,1.0
2020-12-02,12.665,12.7,12.26,12.59,12.59,20010,0.0000,1.0
2020-12-01,12.79,12.79,12.07,12.49,12.49,18983,0.0000,1.0
2020-11-30,12.66,12.71,12.315,12.43,12.43,16970,0.0000,1.0
2020-11-27,12.55,12.755,12.41,12.64,12.64,7187,0.0000,1.0
2020-11-25,12.6,12.74,12.31,12.41,12.41,18464,0.0000,1.0
2020-11-24,12.74,12.975,12.64,12.76,12.76,36545,0.0000,1.0
2020-11-23,12.35,12.83,12.27,12.67,12.67,24090,0.0000,1.0
2020-11-20,12.07,12.38,12.06,12.25,12.25,23527,0.0000,1.0
2020-11-19,12.28,12.6,12.0,12.18,12.18,57070,0.0000,1.0
2020-11-18,12.74,12.74,12.2,12.38,12.38,58557,0.0000,1.0
2020-11-17,11.86,13.0,11.86,12.74,12.74,39818,0.0000,1.0
2020-11-16,11.835,12.22,11.67,12.06,12.06,50683,0.0000,1.0
2020-11-13,11.3,11.86,11.3,11.59,11.59,28098,0.0000,1.0
2020-11-12,11.14,11.465,10.955,11.12,11.12,31541,0.0000,1.0
2020-11-11,10.98,11.2847,10.91,11.19,11.19,16873,0.0000,1.0
2020-11-10,10.83,11.22,10.35,11.04,11.04,94913,0.0000,1.0
2020-11-09,10.55,11.05,10.0,10.0,10.0,44495,0.0000,1.0
2020-11-06,10.36,10.59,9.86,9.99,9.99,25033,0.0000,1.0
2020-11-05,10.26,10.6,10.215,10.36,10.36,9516,0.0000,1.0
2020-11-04,10.52,10.98,10.03,10.14,10.14,13037,0.0000,1.0
2020-11-03,10.5,10.93,10.32,10.76,10.76,61846,0.0000,1.0
2020-11-02,10.65,10.66,10.4,10.55,10.55,15463,0.0000,1.0
2020-10-30,10.64,11.0,10.31,10.42,10.42,16767,0.0000,1.0
2020-10-29,10.83,10.91,10.38,10.91,10.91,17013,0.0000,1.0
2020-10-28,10.72,10.72,10.23,10.49,10.49,22574,0.0000,1.0
2020-10-27,11.0,11.1001,10.87,10.93,10.93,8690,0.0000,1.0
2020-10-26,10.76,10.95,10.76,10.88,10.88,9320,0.0000,1.0
2020-10-23,10.9876,11.97,10.93,10.99,10.99,34059,0.0000,1.0
2020-10-22,11.31,11.31,10.93,10.93,10.93,19789,0.0000,1.0
2020-10-21,11.63,11.87,11.11,11.21,11.21,18723,0.0000,1.0
2020-10-20,11.62,11.93,11.55,11.72,11.72,13756,0.0000,1.0
2020-10-19,12.025,12.025,11.46,11.46,11.46,15413,0.0000,1.0
2020-10-16,12.25,12.345,12.171,12.21,12.21,8032,0.0000,1.0
2020-10-15,11.905,12.41,11.74,12.32,12.32,23025,0.0000,1.0
2020-10-14,12.31,12.31,12.02,12.04,12.04,11754,0.0000,1.0
2020-10-13,12.17,12.5,12.17,12.38,12.38,15501,0.0000,1.0
2020-10-12,12.2,12.38,12.14,12.38,12.38,12122,0.0000,1.0
2020-10-09,12.2,12.3516,12.08,12.14,12.14,21643,0.0000,1.0
2020-10-08,12.2,12.2,11.87,12.1,12.1,11805,0.0000,1.0
2020-10-07,12.2,12.2,12.0,12.125,12.125,17351,0.0000,1.0
2020-10-06,12.14,12.38,11.9307,12.07,12.07,20915,0.0000,1.0
2020-10-05,12.05,12.05,11.64,11.98,11.98,19806,0.0000,1.0
2020-10-02,11.99,12.04,11.786,11.99,11.99,8445,0.0000,1.0
2020-10-01,11.94,12.05,11.6919,12.05,12.05,28233,0.0000,1.0
2020-09-30,11.36,11.8899,11.36,11.57,11.57,27279,0.0000,1.0
2020-09-29,11.07,11.42,10.8715,11.42,11.42,13441,0.0000,1.0
2020-09-28,11.29,11.51,11.0,11.08,11.08,28222,0.0000,1.0
2020-09-25,10.99,11.35,10.99,11.18,11.18,7389,0.0000,1.0
2020-09-24,10.91,11.15,10.8,10.94,10.94,16261,0.0000,1.0
2020-09-23,11.33,11.49,10.86,10.98,10.98,30065,0.0000,1.0
