timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,18.15,18.49,18.15,18.27,18.27,97265,0.0000,1.0
2020-12-10,18.34,18.35,18.02,18.24,18.24,117221,0.0000,1.0
2020-12-09,18.32,18.44,18.07,18.39,18.39,144991,0.0000,1.0
2020-12-08,18.35,18.36,18.02,18.23,18.23,152588,0.0000,1.0
2020-12-07,18.6,18.695,18.28,18.34,18.34,130506,0.0000,1.0
2020-12-04,18.51,18.74,18.45,18.54,18.54,188032,0.0000,1.0
2020-12-03,18.34,18.54,18.16,18.36,18.36,134857,0.0000,1.0
2020-12-02,18.23,18.45,18.095,18.29,18.29,97866,0.0000,1.0
2020-12-01,18.12,18.5,18.12,18.21,18.21,101888,0.0000,1.0
2020-11-30,18.1,18.25,17.9,18.03,18.03,118933,0.0000,1.0
2020-11-27,18.24,18.3524,18.13,18.28,18.28,80657,0.0000,1.0
2020-11-25,18.27,18.51,18.2,18.3,18.3,90372,0.0000,1.0
2020-11-24,18.08,18.52,17.95,18.26,18.26,184978,0.0000,1.0
2020-11-23,17.72,18.25,17.65,17.91,17.91,178172,0.0000,1.0
2020-11-20,17.71,17.826,17.45,17.53,17.53,102007,0.0000,1.0
2020-11-19,17.8,17.9899,17.63,17.77,17.77,168348,0.0000,1.0
2020-11-18,17.76,18.3,17.69,17.77,17.77,226662,0.0000,1.0
2020-11-17,17.37,17.925,17.35,17.74,17.74,133055,0.0000,1.0
2020-11-16,17.5,17.97,17.3729,17.52,17.52,281141,0.0000,1.0
2020-11-13,17.31,17.5,17.2,17.26,17.26,120663,0.0000,1.0
2020-11-12,17.28,17.5261,17.05,17.15,17.15,90983,0.0000,1.0
2020-11-11,17.52,17.64,17.2479,17.38,17.38,238730,0.0000,1.0
2020-11-10,17.44,17.855,17.3,17.52,17.52,114404,0.0000,1.0
2020-11-09,17.55,17.75,16.97,17.32,17.32,218360,0.0000,1.0
2020-11-06,17.02,17.095,16.4,16.6,16.6,196844,0.0000,1.0
2020-11-05,16.82,17.5699,16.8,17.03,17.03,202071,0.0000,1.0
2020-11-04,17.22,17.22,16.62,16.85,16.85,104904,0.0000,1.0
2020-11-03,16.9,17.34,16.9,17.18,17.18,60643,0.0000,1.0
2020-11-02,16.77,17.03,16.66,16.74,16.74,83717,0.0000,1.0
2020-10-30,16.37,16.8499,16.24,16.58,16.58,100516,0.0000,1.0
2020-10-29,16.76,16.82,16.26,16.37,16.37,177238,0.0000,1.0
2020-10-28,17.4,17.42,16.8,16.85,16.85,135348,0.0000,1.0
2020-10-27,17.65,17.97,17.57,17.62,17.62,70674,0.0000,1.0
2020-10-26,18.13,18.26,17.55,17.67,17.67,76960,0.0000,1.0
2020-10-23,17.71,18.5,17.71,18.33,18.33,90041,0.0000,1.0
2020-10-22,17.6,17.75,17.45,17.71,17.71,418377,0.0000,1.0
2020-10-21,17.79,17.8762,17.52,17.59,17.59,67916,0.0000,1.0
2020-10-20,17.85,18.09,17.59,17.79,17.79,86791,0.0000,1.0
2020-10-19,18.55,18.59,17.6,17.83,17.83,183980,0.0000,1.0
2020-10-16,18.48,18.5749,18.27,18.5,18.5,65474,0.0000,1.0
2020-10-15,18.04,18.65,18.04,18.47,18.47,85813,0.0000,1.0
2020-10-14,18.26,18.6,18.05,18.12,18.12,84570,0.0000,1.0
2020-10-13,18.15,18.43,17.99,18.26,18.26,168105,0.0000,1.0
2020-10-12,18.71,18.86,18.15,18.19,18.19,196275,0.0000,1.0
2020-10-09,18.78,18.97,18.69,18.75,18.75,67057,0.0000,1.0
2020-10-08,19.06,19.22,18.65,18.79,18.79,73866,0.0000,1.0
2020-10-07,18.9,19.22,18.71,18.98,18.98,74371,0.0000,1.0
2020-10-06,19.11,19.165,18.6101,18.72,18.72,60509,0.0000,1.0
2020-10-05,19.36,19.47,19.04,19.1,19.1,84258,0.0000,1.0
2020-10-02,18.53,19.35,18.46,19.31,19.31,94976,0.0000,1.0
2020-10-01,18.58,18.94,18.54,18.86,18.86,124522,0.0000,1.0
2020-09-30,18.6,19.09,18.52,18.57,18.57,140024,0.0000,1.0
2020-09-29,18.84,18.96,18.41,18.45,18.45,57599,0.0000,1.0
2020-09-28,18.59,19.12,18.555,18.96,18.96,162770,0.0000,1.0
2020-09-25,17.57,18.3,17.57,18.19,18.19,119994,0.0000,1.0
2020-09-24,17.91,18.08,17.42,17.62,17.62,221006,0.0000,1.0
2020-09-23,18.65,18.89,17.93,17.96,17.96,127585,0.0000,1.0
2020-09-22,18.52,18.8,18.47,18.62,18.62,152135,0.0000,1.0
2020-09-21,18.86,18.92,18.4,18.47,18.47,241499,0.0000,1.0
2020-09-18,19.36,19.4,18.7163,19.14,19.14,514823,0.5800,1.0
2020-09-17,20.0,20.0498,19.85,19.92,19.3341176471,306956,0.0000,1.0
2020-09-16,19.88,20.14,19.785,19.89,19.305,206452,0.0000,1.0
2020-09-15,19.88,20.115,19.61,19.71,19.1302941176,179964,0.0000,1.0
2020-09-14,20.02,20.36,19.65,19.85,19.2661764706,250454,0.0000,1.0
2020-09-11,19.6,20.16,19.6,19.85,19.2661764706,174154,0.0000,1.0
2020-09-10,19.82,19.9839,19.3619,19.54,18.9652941176,106937,0.0000,1.0
2020-09-09,19.29,19.82,19.2039,19.72,19.14,125095,0.0000,1.0
2020-09-08,18.9,19.29,18.53,19.12,18.5576470588,176509,0.0000,1.0
2020-09-04,19.3,19.3,18.52,18.99,18.4314705882,114161,0.0000,1.0
2020-09-03,19.45,19.69,18.93,18.99,18.4314705882,112630,0.0000,1.0
2020-09-02,19.27,19.49,19.175,19.42,18.8488235294,87171,0.0000,1.0
2020-09-01,19.0,19.41,18.95,19.18,18.6158823529,122317,0.0000,1.0
2020-08-31,19.02,19.2465,18.93,18.93,18.3732352941,93401,0.0000,1.0
2020-08-28,18.89,19.08,18.83,19.0,18.4411764706,80264,0.0000,1.0
2020-08-27,18.65,18.8724,18.58,18.69,18.1402941176,96240,0.0000,1.0
2020-08-26,18.91,18.95,18.55,18.61,18.0626470588,106487,0.0000,1.0
2020-08-25,18.99,19.05,18.84,18.96,18.4023529412,66146,0.0000,1.0
2020-08-24,18.99,19.0957,18.75,18.94,18.3829411765,124814,0.0000,1.0
2020-08-21,18.92,19.3,18.92,18.98,18.4217647059,137420,0.0000,1.0
2020-08-20,19.01,19.2099,18.73,18.86,18.3052941176,105014,0.0000,1.0
2020-08-19,18.95,19.17,18.75,19.06,18.4994117647,174915,0.0000,1.0
2020-08-18,19.45,19.45,18.8,18.81,18.2567647059,124616,0.0000,1.0
2020-08-17,19.34,19.47,19.1,19.44,18.8682352941,154500,0.0000,1.0
2020-08-14,19.47,19.64,19.3001,19.47,18.8973529412,168850,0.0000,1.0
2020-08-13,19.66,19.81,19.48,19.59,19.0138235294,100506,0.0000,1.0
2020-08-12,20.13,20.2021,19.53,19.69,19.1108823529,125210,0.0000,1.0
2020-08-11,19.69,20.5,19.69,19.82,19.2370588235,249853,0.0000,1.0
2020-08-10,19.5,20.39,19.47,19.87,19.2855882353,260684,0.0000,1.0
2020-08-07,19.18,19.61,19.18,19.58,19.0041176471,130845,0.0000,1.0
2020-08-06,19.8,19.87,19.1,19.26,18.6935294118,184637,0.0000,1.0
2020-08-05,19.47,19.75,19.3506,19.75,19.1691176471,117713,0.0000,1.0
2020-08-04,19.3,19.52,19.02,19.32,18.7517647059,162221,0.0000,1.0
2020-08-03,18.88,19.66,18.85,19.33,18.7614705882,214474,0.0000,1.0
2020-07-31,18.75,19.23,18.5475,18.73,18.1791176471,260701,0.0000,1.0
2020-07-30,18.19,18.69,18.08,18.57,18.0238235294,184504,0.0000,1.0
2020-07-29,18.05,18.55,17.91,18.37,17.8297058824,168770,0.0000,1.0
2020-07-28,18.04,18.4,17.89,17.99,17.4608823529,253438,0.0000,1.0
2020-07-27,17.5,18.33,17.5,18.15,17.6161764706,232704,0.0000,1.0
2020-07-24,17.68,17.8,17.1011,17.41,16.8979411765,206855,0.0000,1.0
2020-07-23,18.0,18.0,17.5,17.82,17.2958823529,125242,0.0000,1.0
2020-07-22,17.78,17.97,17.7,17.96,17.4317647059,100447,0.0000,1.0
2020-07-21,17.63,17.8,17.35,17.78,17.2570588235,206122,0.0000,1.0
2020-07-20,17.13,17.59,16.96,17.42,16.9076470588,143435,0.0000,1.0
2020-07-17,17.25,17.41,16.97,17.13,16.6261764706,103141,0.0000,1.0
2020-07-16,17.21,17.51,17.1,17.29,16.7814705882,114041,0.0000,1.0
2020-07-15,17.35,17.57,17.04,17.45,16.9367647059,156723,0.0000,1.0
2020-07-14,17.52,17.65,17.17,17.38,16.8688235294,156326,0.5600,1.0
2020-07-13,18.07,18.4,17.84,18.0,16.9252409994,287647,0.0000,1.0
2020-07-10,17.25,17.99,17.25,17.83,16.7653915011,207654,0.0000,1.0
2020-07-09,17.97,18.07,16.73,17.17,16.1447993311,314195,0.0000,1.0
2020-07-08,18.0,18.17,17.87,17.96,16.8876293527,106047,0.0000,1.0
2020-07-07,18.05,18.18,17.93,17.98,16.9064351761,130767,0.0000,1.0
2020-07-06,18.14,18.39,18.02,18.05,16.9722555577,150478,0.0000,1.0
2020-07-02,18.05,18.15,17.78,17.86,16.7936002361,160724,0.0000,1.0
2020-07-01,18.26,18.45,17.77,17.95,16.8782264411,179706,0.0000,1.0
2020-06-30,18.13,18.77,17.97,18.22,17.1321050561,165200,0.0000,1.0
2020-06-29,17.95,18.33,17.6001,18.16,17.0756875861,94951,0.0000,1.0
2020-06-26,18.37,18.37,17.39,17.84,16.7747944127,198104,0.0000,1.0
2020-06-25,18.49,18.71,18.25,18.44,17.3389691127,137165,0.0000,1.0
2020-06-24,17.95,18.56,17.76,18.25,17.1603137911,118012,0.0000,1.0
2020-06-23,18.48,18.65,17.9,18.06,16.9816584694,136672,0.0000,1.0
2020-06-22,18.04,18.57,17.88,18.21,17.1227021444,203206,0.0000,1.0
2020-06-19,17.94,18.22,17.35,17.53,16.4833041511,227946,0.0000,1.0
2020-06-18,18.22,18.46,17.82,17.97,16.8970322644,106497,0.0000,1.0
2020-06-17,18.19,18.54,18.16,18.22,17.1321050561,91005,0.0000,1.0
2020-06-16,18.55,18.55,17.79,18.38,17.2825516427,197069,0.0000,1.0
2020-06-15,17.88,18.44,17.4,18.06,16.9816584694,208009,0.0000,1.0
2020-06-12,16.74,18.27,16.36,18.18,17.0944934094,332026,0.0000,1.0
2020-06-11,16.09,16.35,15.0,15.68,14.7437654928,404908,0.0000,1.0
2020-06-10,17.85,18.17,16.42,16.76,15.7592799528,227694,0.0000,1.0
2020-06-09,18.25,18.27,17.46,17.86,16.7936002361,156270,0.0000,1.0
2020-06-08,18.27,18.84,18.13,18.61,17.4988186111,168315,0.0000,1.0
2020-06-05,18.15,18.74,17.81,17.9,16.8312118827,176822,0.0000,1.0
2020-06-04,17.57,17.94,17.32,17.83,16.7653915011,101714,0.0000,1.0
2020-06-03,17.52,18.22,17.32,17.69,16.6337507378,200106,0.0000,1.0
2020-06-02,17.5,17.67,17.01,17.23,16.2012168011,154465,0.0000,1.0
2020-06-01,17.2,17.65,17.03,17.24,16.2106197128,166164,0.0000,1.0
2020-05-29,16.73,17.58,16.38,17.16,16.1353964194,134570,0.0000,1.0
2020-05-28,17.5,17.55,16.81,16.97,15.9567410978,124260,0.0000,1.0
2020-05-27,17.49,17.71,16.85,17.55,16.5021099744,112912,0.0000,1.0
2020-05-26,17.34,17.73,16.97,17.05,16.0319643911,137788,0.0000,1.0
2020-05-22,16.05,16.95,15.98,16.78,15.7780857761,127453,0.0000,1.0
2020-05-21,15.54,16.09,15.54,15.84,14.8942120795,187316,0.0000,1.0
2020-05-20,15.72,16.09,15.56,15.69,14.7531684045,109872,0.0000,1.0
